ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000977.SZ,20200110,32.0,32.25,31.46,31.92,32.0,-0.08,-0.25,405376.57,1291808.556
000977.SZ,20200109,30.13,32.16,30.13,32.0,29.9,2.1,7.0234,706905.72,2220064.76
000977.SZ,20200108,30.84,31.0,29.8,29.9,31.29,-1.39,-4.4423,434363.64,1313874.705
000977.SZ,20200107,31.41,31.51,30.78,31.29,31.36,-0.07,-0.2232,297197.24,922709.353
000977.SZ,20200106,31.5,31.75,30.93,31.36,31.63,-0.27,-0.8536,333653.4,1045089.969
000977.SZ,20200103,30.86,31.65,30.71,31.63,30.72,0.91,2.9622,387058.3,1209217.662
000977.SZ,20200102,30.38,31.0,30.07,30.72,30.1,0.62,2.0598,320889.03,984517.838
000977.SZ,20191231,30.01,30.45,29.71,30.1,30.03,0.07,0.2331,255244.56,769520.809
000977.SZ,20191230,29.1,30.16,28.61,30.03,29.42,0.61,2.0734,305483.66,906240.433
000977.SZ,20191227,29.79,30.03,29.36,29.42,29.79,-0.37,-1.242,275319.6,817836.628
000977.SZ,20191226,29.78,29.95,29.3,29.79,29.91,-0.12,-0.4012,321944.83,953229.977
000977.SZ,20191225,29.8,30.28,29.4,29.91,29.91,0.0,0.0,340897.72,1016550.055
000977.SZ,20191224,29.3,29.95,29.3,29.91,29.3,0.61,2.0819,312474.1,927278.824
000977.SZ,20191223,30.63,30.64,29.1,29.3,31.41,-2.11,-6.7176,609550.23,1807408.96
000977.SZ,20191220,32.56,32.58,31.2,31.41,32.72,-1.31,-4.0037,448206.1,1422411.418
000977.SZ,20191219,32.65,33.13,32.24,32.72,32.78,-0.06,-0.183,315385.46,1032286.637
000977.SZ,20191218,32.8,33.67,32.38,32.78,32.8,-0.02,-0.061,492753.68,1626399.903
000977.SZ,20191217,33.18,33.18,32.4,32.8,33.2,-0.4,-1.2048,491915.25,1609597.41
000977.SZ,20191216,31.76,33.2,31.45,33.2,31.77,1.43,4.5011,609872.75,1980158.169
000977.SZ,20191213,31.66,31.8,30.77,31.77,31.29,0.48,1.534,410043.61,1284159.263
000977.SZ,20191212,31.7,32.19,31.11,31.29,31.65,-0.36,-1.1374,347308.33,1097509.859
000977.SZ,20191211,32.0,32.14,31.02,31.65,32.18,-0.53,-1.647,363685.06,1149790.549
000977.SZ,20191210,31.55,32.44,31.29,32.18,31.85,0.33,1.0361,591056.61,1889348.805
000977.SZ,20191209,29.9,31.85,29.5,31.85,29.9,1.95,6.5217,678267.65,2090444.847
000977.SZ,20191206,31.0,31.09,29.29,29.9,31.09,-1.19,-3.8276,648475.11,1950080.236
000977.SZ,20191205,30.73,31.55,30.36,31.09,30.6,0.49,1.6013,432351.33,1341384.566
000977.SZ,20191204,30.55,31.1,30.28,30.6,30.83,-0.23,-0.746,280488.68,860161.947
000977.SZ,20191203,30.21,31.16,29.91,30.83,30.5,0.33,1.082,337478.11,1030295.191
000977.SZ,20191202,29.91,30.66,29.42,30.5,29.94,0.56,1.8704,311443.66,941028.144
000977.SZ,20191129,29.38,30.22,29.31,29.94,29.52,0.42,1.4228,252506.51,751690.957
000977.SZ,20191128,29.85,30.33,29.33,29.52,29.98,-0.46,-1.5344,279566.29,833056.755
000977.SZ,20191127,29.15,30.47,28.88,29.98,29.39,0.59,2.0075,428305.05,1278263.223
000977.SZ,20191126,29.67,29.8,29.05,29.39,29.55,-0.16,-0.5415,403134.06,1185757.878
000977.SZ,20191125,29.85,30.17,29.19,29.55,29.7,-0.15,-0.5051,504905.35,1496982.778
000977.SZ,20191122,31.2,31.47,29.17,29.7,31.2,-1.5,-4.8077,773503.05,2331384.038
000977.SZ,20191121,30.93,31.53,30.66,31.2,30.98,0.22,0.7101,390495.37,1215237.392
000977.SZ,20191120,32.4,32.92,30.93,30.98,32.5,-1.52,-4.6769,639566.41,2036646.247
000977.SZ,20191119,30.9,32.5,30.71,32.5,31.25,1.25,4.0,616361.34,1955949.952
000977.SZ,20191118,30.55,32.23,30.55,31.25,30.5,0.75,2.459,705506.45,2216293.118
000977.SZ,20191115,30.22,32.14,30.12,30.5,30.55,-0.05,-0.1637,824028.92,2574736.448
000977.SZ,20191114,30.3,30.58,29.91,30.55,30.36,0.19,0.6258,529983.66,1605023.349
000977.SZ,20191113,28.59,30.45,28.46,30.36,28.63,1.73,6.0426,806534.04,2412190.615
000977.SZ,20191112,28.83,28.83,27.93,28.63,28.95,-0.32,-1.1054,408766.23,1159214.567
000977.SZ,20191111,28.58,29.7,28.3,28.95,28.75,0.2,0.6957,554831.34,1615989.215
000977.SZ,20191108,29.24,29.39,28.55,28.75,28.97,-0.22,-0.7594,432014.59,1251108.438
000977.SZ,20191107,28.49,29.25,28.17,28.97,28.26,0.71,2.5124,528429.2,1518972.414
000977.SZ,20191106,28.86,29.28,28.17,28.26,29.03,-0.77,-2.6524,482993.92,1385316.046
000977.SZ,20191105,28.77,29.21,28.53,29.03,28.45,0.58,2.0387,637629.39,1842147.221
000977.SZ,20191104,26.79,29.38,26.77,28.45,26.71,1.74,6.5144,961286.9,2753356.609
000977.SZ,20191101,26.55,27.1,26.37,26.71,26.39,0.32,1.2126,347407.04,930041.774
000977.SZ,20191031,26.55,27.16,26.3,26.39,25.42,0.97,3.8159,617776.58,1653430.805
000977.SZ,20191030,26.0,26.08,25.25,25.42,25.88,-0.46,-1.7774,243996.33,624367.941
000977.SZ,20191029,26.26,26.58,25.78,25.88,25.9,-0.02,-0.0772,394524.06,1032539.111
000977.SZ,20191028,26.65,26.65,25.49,25.9,24.79,1.11,4.4776,589938.12,1536324.974
000977.SZ,20191025,24.19,24.88,23.9,24.79,24.1,0.69,2.8631,228777.97,558873.443
000977.SZ,20191024,24.45,24.45,23.68,24.1,24.56,-0.46,-1.873,263277.27,633099.956
000977.SZ,20191023,25.3,25.45,24.45,24.56,25.4,-0.84,-3.3071,237392.1,590648.718
000977.SZ,20191022,25.13,25.53,24.98,25.4,25.33,0.07,0.2764,239741.98,605005.479
000977.SZ,20191021,24.77,25.43,24.29,25.33,24.76,0.57,2.3021,232286.79,578556.838
000977.SZ,20191018,25.43,25.48,24.5,24.76,25.42,-0.66,-2.5964,297558.29,741234.303
000977.SZ,20191017,25.46,25.75,25.1,25.42,25.47,-0.05,-0.1963,207775.28,527790.3
000977.SZ,20191016,26.15,26.16,25.33,25.47,25.83,-0.36,-1.3937,269957.62,694038.946
000977.SZ,20191015,26.89,26.89,25.59,25.83,26.9,-1.07,-3.9777,333702.07,869345.058
000977.SZ,20191014,27.05,27.5,26.7,26.9,26.59,0.31,1.1659,368267.29,996395.524
000977.SZ,20191011,26.02,26.71,26.0,26.59,25.97,0.62,2.3874,371653.29,983653.627
000977.SZ,20191010,25.25,26.18,25.02,25.97,25.2,0.77,3.0556,349620.88,895437.851
000977.SZ,20191009,24.79,25.32,24.18,25.2,24.8,0.4,1.6129,283675.76,705956.662
000977.SZ,20191008,25.92,26.17,24.8,24.8,25.7,-0.9,-3.5019,323967.77,826116.284
