ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000886.SZ,20200110,4.37,4.42,4.32,4.38,4.37,0.01,0.2288,134799.0,58995.038
000886.SZ,20200109,4.43,4.44,4.32,4.37,4.33,0.04,0.9238,135912.06,59395.183
000886.SZ,20200108,4.37,4.52,4.32,4.33,4.42,-0.09,-2.0362,214760.42,94766.615
000886.SZ,20200107,4.32,4.43,4.3,4.42,4.27,0.15,3.5129,183751.09,80585.45
000886.SZ,20200106,4.23,4.38,4.2,4.27,4.27,0.0,0.0,204593.14,87968.347
000886.SZ,20200103,4.27,4.3,4.18,4.27,4.24,0.03,0.7075,170976.19,72475.25
000886.SZ,20200102,4.18,4.29,4.16,4.24,4.16,0.08,1.9231,191177.25,81011.418
000886.SZ,20191231,4.12,4.19,4.11,4.16,4.17,-0.01,-0.2398,129250.49,53613.037
000886.SZ,20191230,4.13,4.21,4.09,4.17,4.11,0.06,1.4599,171791.68,71418.212
000886.SZ,20191227,4.15,4.23,4.08,4.11,4.12,-0.01,-0.2427,205819.31,85605.192
000886.SZ,20191226,4.11,4.27,4.08,4.12,4.0,0.12,3.0,240019.17,99531.928
000886.SZ,20191225,4.15,4.18,4.0,4.0,4.21,-0.21,-4.9881,382351.74,157294.291
000886.SZ,20191224,3.85,4.21,3.84,4.21,3.83,0.38,9.9217,621286.64,255772.036
000886.SZ,20191223,3.85,3.96,3.82,3.83,3.86,-0.03,-0.7772,159643.64,62020.271
000886.SZ,20191220,3.76,3.96,3.76,3.86,3.76,0.1,2.6596,226337.11,87654.715
000886.SZ,20191219,3.77,3.78,3.73,3.76,3.76,0.0,0.0,69441.0,26060.362
000886.SZ,20191218,3.78,3.8,3.76,3.76,3.79,-0.03,-0.7916,94830.05,35854.079
000886.SZ,20191217,3.77,3.82,3.72,3.79,3.79,0.0,0.0,160814.26,60895.021
000886.SZ,20191216,3.66,3.81,3.63,3.79,3.64,0.15,4.1209,228428.18,85319.441
000886.SZ,20191213,3.64,3.65,3.62,3.64,3.63,0.01,0.2755,55774.09,20262.43
000886.SZ,20191212,3.62,3.64,3.6,3.63,3.63,0.0,0.0,37221.55,13460.606
000886.SZ,20191211,3.62,3.65,3.62,3.63,3.64,-0.01,-0.2747,29365.55,10666.59
000886.SZ,20191210,3.67,3.67,3.61,3.64,3.66,-0.02,-0.5464,52781.0,19161.114
000886.SZ,20191209,3.7,3.73,3.64,3.66,3.69,-0.03,-0.813,54342.81,19971.317
000886.SZ,20191206,3.66,3.71,3.64,3.69,3.65,0.04,1.0959,80097.48,29469.622
000886.SZ,20191205,3.65,3.67,3.63,3.65,3.64,0.01,0.2747,59735.0,21790.056
000886.SZ,20191204,3.59,3.65,3.58,3.64,3.62,0.02,0.5525,86340.6,31337.478
000886.SZ,20191203,3.57,3.65,3.54,3.62,3.57,0.05,1.4006,37535.95,13474.412
000886.SZ,20191202,3.57,3.59,3.55,3.57,3.57,0.0,0.0,18142.65,6484.225
000886.SZ,20191129,3.56,3.58,3.54,3.57,3.57,0.0,0.0,27840.0,9899.548
000886.SZ,20191128,3.6,3.6,3.55,3.57,3.6,-0.03,-0.8333,30796.35,11019.461
000886.SZ,20191127,3.63,3.64,3.59,3.6,3.63,-0.03,-0.8264,52474.96,18952.473
000886.SZ,20191126,3.55,3.63,3.54,3.63,3.56,0.07,1.9663,74786.09,26900.057
000886.SZ,20191125,3.53,3.58,3.53,3.56,3.55,0.01,0.2817,38741.89,13747.967
000886.SZ,20191122,3.56,3.58,3.53,3.55,3.56,-0.01,-0.2809,35507.7,12634.119
