ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002320.SZ,20200110,12.48,12.91,12.37,12.66,12.33,0.33,2.6764,184065.72,234305.343
002320.SZ,20200109,12.24,12.49,12.19,12.33,12.14,0.19,1.5651,110300.1,136067.177
002320.SZ,20200108,12.53,12.6,12.02,12.14,12.63,-0.49,-3.8797,197003.87,241699.73
002320.SZ,20200107,12.44,12.82,12.42,12.63,12.42,0.21,1.6908,137172.86,173130.934
002320.SZ,20200106,12.65,12.8,12.3,12.42,12.81,-0.39,-3.0445,180503.38,226090.172
002320.SZ,20200103,12.9,12.96,12.63,12.81,12.95,-0.14,-1.0811,135782.77,173727.82
002320.SZ,20200102,12.58,12.97,12.4,12.95,12.8,0.15,1.1719,172967.79,219095.833
002320.SZ,20191231,12.14,12.8,12.0,12.8,12.13,0.67,5.5235,171852.87,213543.042
002320.SZ,20191230,12.2,12.42,11.81,12.13,12.27,-0.14,-1.141,141509.4,171995.759
002320.SZ,20191227,12.4,12.43,12.05,12.27,12.3,-0.03,-0.2439,127093.45,155321.501
002320.SZ,20191226,12.38,12.59,12.14,12.3,12.35,-0.05,-0.4049,144897.77,178744.439
002320.SZ,20191225,12.03,12.44,11.8,12.35,12.19,0.16,1.3126,226681.06,275538.352
002320.SZ,20191224,11.27,12.25,11.2,12.19,11.18,1.01,9.034,286619.63,341117.511
002320.SZ,20191223,11.39,11.98,11.08,11.18,11.27,-0.09,-0.7986,205209.84,235643.902
002320.SZ,20191220,10.85,11.58,10.83,11.27,10.78,0.49,4.5455,232458.28,262430.374
002320.SZ,20191219,10.67,11.08,10.62,10.78,10.71,0.07,0.6536,105299.0,114055.418
002320.SZ,20191218,10.81,10.95,10.66,10.71,10.9,-0.19,-1.7431,121737.08,131237.919
002320.SZ,20191217,10.55,11.05,10.47,10.9,10.6,0.3,2.8302,176670.0,190894.647
002320.SZ,20191216,10.41,10.98,10.38,10.6,10.28,0.32,3.1128,182342.37,194042.333
002320.SZ,20191213,10.39,10.56,10.23,10.28,10.36,-0.08,-0.7722,113745.38,117890.635
002320.SZ,20191212,10.09,10.36,9.92,10.36,10.06,0.3,2.9821,135296.56,137458.943
002320.SZ,20191211,10.04,10.18,9.92,10.06,9.99,0.07,0.7007,70608.86,70835.713
002320.SZ,20191210,10.12,10.15,9.91,9.99,10.12,-0.13,-1.2846,98769.21,98835.98
002320.SZ,20191209,10.25,10.28,10.04,10.12,10.2,-0.08,-0.7843,89669.2,90993.92
002320.SZ,20191206,10.12,10.36,10.08,10.2,10.15,0.05,0.4926,103468.82,105576.618
002320.SZ,20191205,10.11,10.29,10.05,10.15,10.15,0.0,0.0,137943.56,140258.443
002320.SZ,20191204,9.38,10.38,9.32,10.15,9.46,0.69,7.2939,245877.73,244294.467
002320.SZ,20191203,9.31,9.68,9.15,9.46,9.19,0.27,2.938,68636.87,64206.496
002320.SZ,20191202,9.35,9.47,9.16,9.19,9.31,-0.12,-1.2889,45081.1,41938.007
002320.SZ,20191129,9.25,9.43,9.2,9.31,9.2,0.11,1.1957,52043.87,48530.231
002320.SZ,20191128,9.35,9.41,9.18,9.2,9.33,-0.13,-1.3934,59168.5,54850.915
002320.SZ,20191127,9.5,9.79,9.32,9.33,9.56,-0.23,-2.4059,84040.31,80077.824
002320.SZ,20191126,9.32,9.59,9.32,9.56,9.39,0.17,1.8104,81900.58,77496.188
002320.SZ,20191125,9.48,9.5,9.32,9.39,9.52,-0.13,-1.3655,54810.83,51476.351
