ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002929.SZ,20200110,28.65,28.88,28.31,28.55,28.57,-0.02,-0.07,27043.7,77220.998
002929.SZ,20200109,28.03,29.16,28.03,28.57,27.73,0.84,3.0292,50995.07,145852.58
002929.SZ,20200108,28.2,28.29,27.68,27.73,28.43,-0.7,-2.4622,31724.0,88789.47
002929.SZ,20200107,28.23,28.49,28.1,28.43,28.23,0.2,0.7085,27558.53,78029.652
002929.SZ,20200106,27.91,28.47,27.7,28.23,28.1,0.13,0.4626,30433.92,85916.746
002929.SZ,20200103,28.08,28.45,27.9,28.1,28.08,0.02,0.0712,29056.95,81788.856
002929.SZ,20200102,27.74,28.28,27.67,28.08,27.7,0.38,1.3718,35028.16,98033.468
002929.SZ,20191231,27.11,27.76,27.1,27.7,27.19,0.51,1.8757,23425.84,64557.7
002929.SZ,20191230,27.01,27.29,26.4,27.19,27.21,-0.02,-0.0735,18269.84,49206.619
002929.SZ,20191227,27.85,27.9,27.15,27.21,27.52,-0.31,-1.1265,27623.14,76154.134
002929.SZ,20191226,27.25,27.68,27.25,27.52,27.14,0.38,1.4001,23926.34,65742.581
002929.SZ,20191225,27.05,27.43,26.96,27.14,26.98,0.16,0.593,18310.05,49846.256
002929.SZ,20191224,26.66,27.04,26.66,26.98,26.66,0.32,1.2003,14712.0,39578.033
002929.SZ,20191223,27.49,27.49,26.65,26.66,27.47,-0.81,-2.9487,20423.05,55213.12
002929.SZ,20191220,27.63,28.08,27.47,27.47,27.59,-0.12,-0.4349,27062.92,75073.99
002929.SZ,20191219,27.65,27.7,27.42,27.59,27.73,-0.14,-0.5049,19658.0,54170.358
002929.SZ,20191218,27.2,27.88,27.2,27.73,27.35,0.38,1.3894,32357.02,89102.148
002929.SZ,20191217,27.14,27.62,27.03,27.35,27.2,0.15,0.5515,30188.51,82604.942
002929.SZ,20191216,26.94,27.2,26.72,27.2,26.74,0.46,1.7203,23337.95,63051.286
002929.SZ,20191213,26.81,26.85,26.52,26.74,26.61,0.13,0.4885,20167.0,53800.685
002929.SZ,20191212,26.42,26.85,26.29,26.61,26.45,0.16,0.6049,23239.08,61931.102
002929.SZ,20191211,26.38,26.53,26.17,26.45,26.39,0.06,0.2274,15199.58,40021.214
002929.SZ,20191210,26.3,26.4,26.11,26.39,26.35,0.04,0.1518,13693.84,35961.415
002929.SZ,20191209,26.26,26.49,26.22,26.35,26.29,0.06,0.2282,14219.25,37456.338
002929.SZ,20191206,26.39,26.39,26.01,26.29,26.23,0.06,0.2287,14806.04,38766.379
002929.SZ,20191205,26.03,26.33,26.02,26.23,25.97,0.26,1.0012,16771.36,43926.903
002929.SZ,20191204,25.92,26.1,25.83,25.97,26.13,-0.16,-0.6123,11937.68,30945.615
002929.SZ,20191203,26.56,26.65,25.91,26.13,26.84,-0.71,-2.6453,24571.5,64253.606
002929.SZ,20191202,27.04,27.24,26.75,26.84,27.02,-0.18,-0.6662,14705.0,39722.514
002929.SZ,20191129,26.95,27.15,26.7,27.02,27.0,0.02,0.0741,10318.0,27714.869
002929.SZ,20191128,27.19,27.47,26.95,27.0,27.19,-0.19,-0.6988,12480.0,33896.48
002929.SZ,20191127,26.73,27.4,26.62,27.19,26.72,0.47,1.759,16555.64,44958.499
002929.SZ,20191126,26.75,27.04,26.7,26.72,26.75,-0.03,-0.1121,8098.0,21724.997
