ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002483.SZ,20200110,4.31,4.31,4.16,4.24,4.31,-0.07,-1.6241,88824.32,37623.14
002483.SZ,20200109,4.35,4.37,4.28,4.31,4.32,-0.01,-0.2315,75712.56,32682.187
002483.SZ,20200108,4.34,4.42,4.29,4.32,4.35,-0.03,-0.6897,72795.96,31685.093
002483.SZ,20200107,4.3,4.36,4.27,4.35,4.3,0.05,1.1628,47803.32,20725.154
002483.SZ,20200106,4.33,4.4,4.26,4.3,4.36,-0.06,-1.3761,92360.01,40007.471
002483.SZ,20200103,4.25,4.38,4.22,4.36,4.27,0.09,2.1077,97271.7,41862.93
002483.SZ,20200102,4.27,4.3,4.23,4.27,4.24,0.03,0.7075,70015.71,29875.174
002483.SZ,20191231,4.19,4.26,4.18,4.24,4.2,0.04,0.9524,41098.2,17321.035
002483.SZ,20191230,4.17,4.23,4.11,4.2,4.18,0.02,0.4785,39876.53,16662.974
002483.SZ,20191227,4.24,4.25,4.17,4.18,4.23,-0.05,-1.182,45166.6,19019.898
002483.SZ,20191226,4.2,4.23,4.15,4.23,4.18,0.05,1.1962,59764.03,25139.618
002483.SZ,20191225,4.18,4.21,4.16,4.18,4.19,-0.01,-0.2387,30372.38,12720.542
002483.SZ,20191224,4.1,4.19,4.1,4.19,4.12,0.07,1.699,26733.88,11110.572
002483.SZ,20191223,4.22,4.23,4.11,4.12,4.22,-0.1,-2.3697,39803.22,16613.902
002483.SZ,20191220,4.2,4.28,4.19,4.22,4.2,0.02,0.4762,56806.2,24045.159
002483.SZ,20191219,4.22,4.24,4.19,4.2,4.2,0.0,0.0,38859.8,16343.765
002483.SZ,20191218,4.18,4.23,4.17,4.2,4.18,0.02,0.4785,44970.6,18890.237
002483.SZ,20191217,4.15,4.25,4.11,4.18,4.15,0.03,0.7229,57285.53,23981.212
002483.SZ,20191216,4.07,4.16,4.05,4.15,4.06,0.09,2.2167,51628.24,21313.763
002483.SZ,20191213,4.06,4.08,4.04,4.06,4.04,0.02,0.495,21548.76,8748.126
002483.SZ,20191212,4.1,4.1,4.02,4.04,4.12,-0.08,-1.9417,33850.36,13707.291
002483.SZ,20191211,4.14,4.16,4.08,4.12,4.12,0.0,0.0,44821.21,18456.356
002483.SZ,20191209,4.07,4.21,4.03,4.12,4.05,0.07,1.7284,78682.68,32432.528
002483.SZ,20191206,4.02,4.07,4.01,4.05,4.03,0.02,0.4963,32231.73,13009.574
002483.SZ,20191205,4.05,4.07,4.0,4.03,4.04,-0.01,-0.2475,49350.4,19850.489
002483.SZ,20191204,3.97,4.06,3.97,4.04,3.97,0.07,1.7632,52797.4,21257.267
002483.SZ,20191203,3.97,3.98,3.92,3.97,3.97,0.0,0.0,31779.0,12568.773
002483.SZ,20191202,4.06,4.08,3.97,3.97,4.05,-0.08,-1.9753,45381.2,18229.454
002483.SZ,20191129,4.04,4.08,3.97,4.05,4.02,0.03,0.7463,84425.0,34047.824
002483.SZ,20191128,4.07,4.12,4.01,4.02,4.08,-0.06,-1.4706,105864.0,43043.88
002483.SZ,20191127,4.18,4.25,4.06,4.08,4.17,-0.09,-2.1583,102627.53,42567.754
002483.SZ,20191126,4.15,4.25,4.12,4.17,4.16,0.01,0.2404,76403.2,31954.764
002483.SZ,20191125,4.11,4.22,4.04,4.16,4.14,0.02,0.4831,117078.8,48529.685
002483.SZ,20191122,4.03,4.3,4.01,4.14,4.04,0.1,2.4752,172824.08,71533.313
002483.SZ,20191121,4.0,4.04,3.98,4.04,4.01,0.03,0.7481,18463.2,7409.059
002483.SZ,20191120,4.01,4.06,3.94,4.01,4.01,0.0,0.0,26100.28,10454.745
002483.SZ,20191119,3.85,4.09,3.84,4.01,3.84,0.17,4.4271,38416.16,15274.592
002483.SZ,20191118,3.82,3.86,3.78,3.84,3.78,0.06,1.5873,11986.0,4580.705
002483.SZ,20191115,3.84,3.85,3.77,3.78,3.85,-0.07,-1.8182,17100.8,6496.0
002483.SZ,20191114,3.84,3.88,3.83,3.85,3.84,0.01,0.2604,14115.87,5446.321
002483.SZ,20191113,3.92,3.94,3.82,3.84,3.94,-0.1,-2.5381,25981.81,10081.125
002483.SZ,20191112,3.93,3.96,3.9,3.94,3.93,0.01,0.2545,13755.32,5400.647
002483.SZ,20191111,4.06,4.1,3.93,3.93,4.06,-0.13,-3.202,24238.0,9638.158
002483.SZ,20191108,4.1,4.17,4.04,4.06,4.07,-0.01,-0.2457,57828.0,23663.303
002483.SZ,20191107,3.97,4.1,3.97,4.07,4.0,0.07,1.75,68889.44,27982.91
002483.SZ,20191106,4.01,4.04,3.98,4.0,4.02,-0.02,-0.4975,22019.2,8822.018
