ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002916.SZ,20200110,151.37,155.74,151.0,154.62,150.89,3.73,2.472,48577.12,747012.716
002916.SZ,20200109,146.71,151.2,146.31,150.89,145.6,5.29,3.6332,44108.92,657982.636
002916.SZ,20200108,147.99,147.99,144.91,145.6,148.71,-3.11,-2.0913,27980.03,408884.409
002916.SZ,20200107,146.3,149.01,146.3,148.71,147.04,1.67,1.1357,28237.28,417697.17
002916.SZ,20200106,145.5,148.2,144.0,147.04,146.07,0.97,0.6641,35418.43,520394.683
002916.SZ,20200103,150.0,150.12,145.65,146.07,148.65,-2.58,-1.7356,38433.99,566989.811
002916.SZ,20200102,144.1,149.3,141.3,148.65,142.1,6.55,4.6094,56045.9,818270.46
002916.SZ,20191231,142.0,143.88,141.55,142.1,142.37,-0.27,-0.1896,17045.45,242520.767
002916.SZ,20191230,140.2,142.87,136.17,142.37,140.13,2.24,1.5985,33004.4,463481.216
002916.SZ,20191227,143.52,144.12,139.67,140.13,143.13,-3.0,-2.096,35365.33,499448.399
002916.SZ,20191226,143.15,144.98,142.0,143.13,142.78,0.35,0.2451,19873.63,284591.735
002916.SZ,20191225,141.91,144.85,141.8,142.78,141.67,1.11,0.7835,27459.81,393262.632
002916.SZ,20191224,141.21,142.79,140.82,141.67,140.67,1.0,0.7109,19675.69,278454.687
002916.SZ,20191223,145.95,145.97,140.0,140.67,148.18,-7.51,-5.0682,51979.26,738756.055
002916.SZ,20191220,148.83,150.62,147.46,148.18,148.8,-0.62,-0.4167,26184.41,389283.79
002916.SZ,20191219,151.5,151.5,148.2,148.8,151.15,-2.35,-1.5547,27658.64,412787.82
002916.SZ,20191218,154.99,154.99,150.9,151.15,154.96,-3.81,-2.4587,41992.67,641500.403
002916.SZ,20191217,154.13,156.8,152.45,154.96,153.14,1.82,1.1885,56843.46,877398.698
002916.SZ,20191216,148.66,153.16,147.86,153.14,147.8,5.34,3.613,59715.63,897969.757
002916.SZ,20191213,150.0,150.35,145.91,147.8,148.01,-0.21,-0.1419,50228.27,746341.241
002916.SZ,20191212,149.61,151.5,147.8,148.01,150.72,-2.71,-1.798,55355.69,825160.772
002916.SZ,20191211,147.2,151.95,147.2,150.72,147.0,3.72,2.5306,62246.24,936114.452
002916.SZ,20191210,146.45,147.78,144.0,147.0,146.88,0.12,0.0817,34735.43,506584.337
002916.SZ,20191209,146.12,148.5,146.0,146.88,144.95,1.93,1.3315,48142.67,709366.161
002916.SZ,20191206,145.35,145.69,142.72,144.95,145.83,-0.88,-0.6034,39551.78,569752.896
002916.SZ,20191205,144.0,146.89,142.68,145.83,143.1,2.73,1.9078,47291.19,687130.425
002916.SZ,20191204,144.9,145.98,142.8,143.1,146.58,-3.48,-2.3741,39666.03,570688.308
002916.SZ,20191203,145.0,147.0,141.4,146.58,145.85,0.73,0.5005,35359.99,511838.184
002916.SZ,20191202,145.8,148.5,144.2,145.85,146.09,-0.24,-0.1643,31995.44,468794.335
002916.SZ,20191129,143.99,148.58,143.56,146.09,144.69,1.4,0.9676,41584.56,607072.494
002916.SZ,20191128,144.85,145.88,143.55,144.69,144.84,-0.15,-0.1036,28736.86,415576.93
002916.SZ,20191127,144.2,146.8,141.82,144.84,144.88,-0.04,-0.0276,43183.42,621714.998
002916.SZ,20191126,144.6,144.98,140.58,144.88,142.48,2.4,1.6844,50206.49,720727.42
002916.SZ,20191125,152.91,152.91,140.0,142.48,153.08,-10.6,-6.9245,77928.89,1116418.376
002916.SZ,20191122,161.29,162.56,151.2,153.08,160.3,-7.22,-4.5041,65110.73,1014033.701
002916.SZ,20191121,159.0,162.8,158.76,160.3,161.0,-0.7,-0.4348,31747.24,509024.252
002916.SZ,20191120,162.24,166.8,159.78,161.0,162.3,-1.3,-0.801,48188.04,786340.478
002916.SZ,20191119,160.91,163.0,158.18,162.3,160.63,1.67,1.0397,40250.65,647830.579
002916.SZ,20191118,162.7,165.99,160.01,160.63,164.91,-4.28,-2.5954,53765.92,869284.971
002916.SZ,20191115,163.77,169.57,163.21,164.91,163.19,1.72,1.054,74170.1,1234569.475
002916.SZ,20191114,155.17,164.96,154.39,163.19,154.98,8.21,5.2975,85268.9,1371956.038
002916.SZ,20191113,151.9,155.83,150.38,154.98,152.7,2.28,1.4931,40203.23,619451.423
002916.SZ,20191112,152.74,153.39,147.0,152.7,152.74,-0.04,-0.0262,43538.54,655610.236
002916.SZ,20191111,153.0,155.87,152.18,152.74,155.88,-3.14,-2.0144,30629.13,470442.887
002916.SZ,20191108,157.25,159.36,155.55,155.88,155.9,-0.02,-0.0128,45304.94,714001.767
002916.SZ,20191107,153.62,155.9,150.3,155.9,155.91,-0.01,-0.0064,35216.25,542094.045
002916.SZ,20191106,153.99,159.4,153.3,155.91,154.2,1.71,1.1089,59258.53,927010.463
002916.SZ,20191105,154.0,154.8,151.2,154.2,152.6,1.6,1.0485,40925.79,628556.92
002916.SZ,20191104,148.88,155.0,148.88,152.6,148.46,4.14,2.7886,57182.24,874886.428
002916.SZ,20191101,149.0,150.4,147.1,148.46,148.84,-0.38,-0.2553,32887.37,488411.43
002916.SZ,20191031,149.4,151.98,148.0,148.84,150.22,-1.38,-0.9187,33992.45,509365.686
002916.SZ,20191030,151.44,152.41,147.6,150.22,149.94,0.28,0.1867,40926.99,615232.51
002916.SZ,20191029,158.0,158.0,148.96,149.94,157.44,-7.5,-4.7637,66379.38,1008167.979
002916.SZ,20191028,153.31,159.58,151.02,157.44,152.88,4.56,2.9827,60140.75,939458.667
002916.SZ,20191025,149.68,153.39,148.67,152.88,149.48,3.4,2.2746,37354.65,564090.503
002916.SZ,20191024,150.69,152.5,148.18,149.48,151.7,-2.22,-1.4634,27972.89,418497.564
002916.SZ,20191023,152.9,154.93,150.1,151.7,152.31,-0.61,-0.4005,37360.32,571581.633
002916.SZ,20191022,151.97,155.25,151.0,152.31,151.0,1.31,0.8675,35795.32,546828.593
002916.SZ,20191021,152.6,152.68,146.0,151.0,152.32,-1.32,-0.8666,34983.87,521789.56
