ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002573.SZ,20200110,6.71,6.72,6.65,6.71,6.69,0.02,0.299,57943.53,38800.539
002573.SZ,20200109,6.61,6.75,6.6,6.69,6.57,0.12,1.8265,70113.17,46825.685
002573.SZ,20200108,6.67,6.71,6.53,6.57,6.71,-0.14,-2.0864,75003.6,49699.42
002573.SZ,20200107,6.6,6.78,6.6,6.71,6.59,0.12,1.8209,101260.94,67652.11
002573.SZ,20200106,6.56,6.69,6.52,6.59,6.6,-0.01,-0.1515,86390.6,57129.313
002573.SZ,20200103,6.57,6.62,6.52,6.6,6.55,0.05,0.7634,59905.68,39412.884
002573.SZ,20200102,6.49,6.57,6.46,6.55,6.45,0.1,1.5504,62987.04,41146.875
002573.SZ,20191231,6.44,6.48,6.4,6.45,6.45,0.0,0.0,38363.71,24697.353
002573.SZ,20191230,6.41,6.47,6.31,6.45,6.41,0.04,0.624,54259.51,34651.599
002573.SZ,20191227,6.35,6.5,6.33,6.41,6.33,0.08,1.2638,79652.83,51256.85
002573.SZ,20191226,6.31,6.35,6.28,6.33,6.31,0.02,0.317,32464.0,20503.86
002573.SZ,20191225,6.35,6.36,6.27,6.31,6.37,-0.06,-0.9419,47231.75,29863.615
002573.SZ,20191224,6.38,6.39,6.31,6.37,6.33,0.04,0.6319,44485.0,28219.691
002573.SZ,20191223,6.54,6.58,6.32,6.33,6.57,-0.24,-3.653,59970.32,38631.726
002573.SZ,20191220,6.49,6.67,6.48,6.57,6.49,0.08,1.2327,108060.05,71188.393
002573.SZ,20191219,6.46,6.51,6.43,6.49,6.46,0.03,0.4644,40604.27,26246.5
002573.SZ,20191218,6.45,6.52,6.4,6.46,6.44,0.02,0.3106,54625.94,35268.221
002573.SZ,20191217,6.36,6.45,6.34,6.44,6.35,0.09,1.4173,66811.13,42823.721
002573.SZ,20191216,6.31,6.37,6.28,6.35,6.29,0.06,0.9539,51757.0,32796.867
002573.SZ,20191213,6.26,6.31,6.23,6.29,6.22,0.07,1.1254,36254.52,22752.764
002573.SZ,20191212,6.27,6.29,6.22,6.22,6.25,-0.03,-0.48,20024.52,12499.074
002573.SZ,20191211,6.3,6.32,6.22,6.25,6.3,-0.05,-0.7937,24527.16,15329.452
002573.SZ,20191210,6.35,6.35,6.26,6.3,6.32,-0.02,-0.3165,26348.0,16574.5
