ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300381.SZ,20200110,9.98,10.27,9.92,10.16,9.96,0.2,2.008,84943.55,85986.359
300381.SZ,20200109,9.7,10.06,9.68,9.96,9.64,0.32,3.3195,69417.84,68565.81
300381.SZ,20200108,9.78,9.78,9.48,9.64,9.79,-0.15,-1.5322,55922.63,53854.669
300381.SZ,20200107,9.68,9.83,9.66,9.79,9.71,0.08,0.8239,40954.64,39929.946
300381.SZ,20200106,9.81,9.81,9.64,9.71,9.8,-0.09,-0.9184,48384.55,47002.448
300381.SZ,20200103,9.96,9.96,9.76,9.8,9.91,-0.11,-1.11,51224.64,50381.266
300381.SZ,20200102,9.96,10.01,9.83,9.91,9.91,0.0,0.0,51674.97,51191.506
300381.SZ,20191231,10.08,10.14,9.86,9.91,10.12,-0.21,-2.0751,42432.48,42265.227
300381.SZ,20191230,9.97,10.15,9.88,10.12,9.98,0.14,1.4028,57748.48,57910.782
300381.SZ,20191227,10.22,10.26,9.97,9.98,10.2,-0.22,-2.1569,74429.45,75041.231
300381.SZ,20191226,10.2,10.5,10.08,10.2,10.19,0.01,0.0981,72005.97,73710.477
300381.SZ,20191225,10.27,10.44,10.06,10.19,10.36,-0.17,-1.6409,75280.53,76823.872
300381.SZ,20191224,10.0,10.4,9.87,10.36,10.03,0.33,3.2901,95679.49,98121.805
300381.SZ,20191223,9.7,10.33,9.69,10.03,9.86,0.17,1.7241,137690.86,138210.745
300381.SZ,20191220,10.33,10.73,9.83,9.86,9.75,0.11,1.1282,189538.12,194441.106
300381.SZ,20191219,9.59,9.76,9.45,9.75,9.57,0.18,1.8809,52205.49,50145.293
300381.SZ,20191218,9.35,9.71,9.35,9.57,9.37,0.2,2.1345,40805.92,38973.634
300381.SZ,20191217,9.1,9.45,9.03,9.37,9.08,0.29,3.1938,55717.5,52033.33
300381.SZ,20191216,8.85,9.15,8.79,9.08,8.85,0.23,2.5989,42385.17,38233.411
300381.SZ,20191213,8.82,8.9,8.78,8.85,8.77,0.08,0.9122,21051.95,18652.707
300381.SZ,20191212,8.77,8.81,8.71,8.77,8.76,0.01,0.1142,18030.0,15784.361
