ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603678.SH,20200110,23.91,24.08,23.56,23.58,23.94,-0.36,-1.5038,90475.81,215198.229
603678.SH,20200109,23.97,24.19,23.68,23.94,23.8,0.14,0.5882,108676.41,259753.886
603678.SH,20200108,23.75,24.39,23.62,23.8,24.04,-0.24,-0.9983,139237.85,334104.776
603678.SH,20200107,24.47,24.6,23.85,24.04,24.11,-0.07,-0.2903,148353.74,358532.035
603678.SH,20200106,24.03,24.47,23.86,24.11,24.01,0.1,0.4165,179881.4,433312.105
603678.SH,20200103,23.4,24.38,23.23,24.01,23.1,0.91,3.9394,191015.66,456846.143
603678.SH,20200102,23.08,23.42,22.78,23.1,22.94,0.16,0.6975,138910.09,321420.375
603678.SH,20191231,22.91,23.22,22.63,22.94,22.98,-0.04,-0.1741,65514.71,149800.218
603678.SH,20191230,23.2,23.27,22.56,22.98,22.95,0.03,0.1307,113618.29,260007.435
603678.SH,20191227,23.58,23.9,22.95,22.95,23.6,-0.65,-2.7542,89370.51,208936.979
603678.SH,20191226,23.1,23.92,23.1,23.6,23.1,0.5,2.1645,121651.12,286255.335
603678.SH,20191225,22.0,23.3,21.98,23.1,21.9,1.2,5.4795,166318.72,380595.13
603678.SH,20191224,21.58,21.91,21.4,21.9,21.46,0.44,2.0503,41752.85,90634.644
603678.SH,20191223,22.21,22.31,21.42,21.46,22.32,-0.86,-3.853,65537.19,143067.102
603678.SH,20191220,22.92,22.95,22.27,22.32,22.89,-0.57,-2.4902,64827.05,146212.497
603678.SH,20191219,23.1,23.34,22.71,22.89,22.92,-0.03,-0.1309,70550.0,161848.647
603678.SH,20191218,22.66,23.39,22.66,22.92,22.84,0.08,0.3503,112699.85,260714.169
603678.SH,20191217,22.65,22.97,22.46,22.84,22.66,0.18,0.7944,94715.5,214780.347
603678.SH,20191216,22.09,22.76,21.92,22.66,21.89,0.77,3.5176,101270.56,226741.307
603678.SH,20191213,21.98,22.05,21.56,21.89,21.88,0.01,0.0457,54650.0,118967.713
603678.SH,20191212,21.67,22.14,21.55,21.88,21.65,0.23,1.0624,79865.97,174961.036
603678.SH,20191211,22.13,22.28,21.61,21.65,22.26,-0.61,-2.7403,61360.49,134098.499
603678.SH,20191210,22.0,22.35,21.88,22.26,22.13,0.13,0.5874,66723.02,147478.419
603678.SH,20191209,22.5,22.5,21.83,22.13,22.12,0.01,0.0452,72942.5,161273.294
603678.SH,20191206,21.82,22.18,21.73,22.12,21.73,0.39,1.7948,86392.51,189643.1
603678.SH,20191205,21.23,21.75,21.23,21.73,21.22,0.51,2.4034,72499.01,155689.806
603678.SH,20191204,21.5,21.5,21.1,21.22,21.58,-0.36,-1.6682,59491.0,126427.444
603678.SH,20191203,21.64,21.64,21.29,21.58,21.68,-0.1,-0.4613,66899.79,143254.963
603678.SH,20191202,20.53,22.64,20.53,21.68,20.68,1.0,4.8356,158814.34,345985.829
603678.SH,20191129,20.38,20.72,20.3,20.68,20.37,0.31,1.5218,26329.82,54049.995
603678.SH,20191128,20.57,20.8,20.35,20.37,20.74,-0.37,-1.784,22661.0,46529.533
603678.SH,20191127,20.34,20.95,20.26,20.74,20.4,0.34,1.6667,39298.39,81327.484
603678.SH,20191126,20.38,20.47,20.1,20.4,20.4,0.0,0.0,24775.39,50269.619
603678.SH,20191125,20.62,20.62,20.12,20.4,20.45,-0.05,-0.2445,31922.0,64881.717
603678.SH,20191122,20.7,21.05,20.36,20.45,20.77,-0.32,-1.5407,44914.0,93080.016
603678.SH,20191121,20.63,20.77,20.3,20.77,20.76,0.01,0.0482,29242.63,60141.197
603678.SH,20191120,20.69,20.79,20.56,20.76,20.81,-0.05,-0.2403,29633.5,61210.574
603678.SH,20191119,20.81,21.11,20.53,20.81,20.81,0.0,0.0,51421.5,106545.493
603678.SH,20191118,20.48,21.02,20.32,20.81,20.41,0.4,1.9598,43960.62,91158.72
603678.SH,20191115,20.1,20.83,19.8,20.41,20.15,0.26,1.2903,46761.3,96017.064
603678.SH,20191114,20.01,20.28,19.92,20.15,20.08,0.07,0.3486,40035.0,80567.024
603678.SH,20191113,20.33,20.38,19.95,20.08,20.32,-0.24,-1.1811,24176.29,48743.943
603678.SH,20191112,20.77,20.84,20.16,20.32,20.66,-0.34,-1.6457,34876.54,71046.429
603678.SH,20191111,21.19,21.19,20.64,20.66,21.29,-0.63,-2.9591,38760.67,80938.783
603678.SH,20191108,21.38,21.58,21.27,21.29,21.29,0.0,0.0,31514.0,67457.922
603678.SH,20191107,21.57,21.57,21.17,21.29,21.68,-0.39,-1.7989,52576.0,112081.247
603678.SH,20191106,22.07,22.18,21.1,21.68,22.0,-0.32,-1.4545,85064.29,183035.417
603678.SH,20191105,21.91,22.13,21.66,22.0,21.94,0.06,0.2735,45218.47,98885.005
