ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603908.SH,20200110,25.68,25.95,25.65,25.94,25.75,0.19,0.7379,5108.0,13175.458
603908.SH,20200109,25.47,25.88,25.47,25.75,25.39,0.36,1.4179,5551.0,14261.904
603908.SH,20200108,25.75,25.91,25.31,25.39,25.9,-0.51,-1.9691,6559.28,16768.609
603908.SH,20200107,25.52,25.99,25.52,25.9,25.5,0.4,1.5686,6605.0,16995.669
603908.SH,20200106,25.07,25.64,25.07,25.5,25.33,0.17,0.6711,4971.0,12646.831
603908.SH,20200103,25.7,25.7,25.27,25.33,25.59,-0.26,-1.016,6900.46,17538.779
603908.SH,20200102,24.98,25.81,24.85,25.59,24.96,0.63,2.524,10162.43,25858.926
603908.SH,20191231,24.7,25.18,24.53,24.96,24.73,0.23,0.93,5706.28,14212.092
603908.SH,20191230,24.79,24.95,24.28,24.73,24.95,-0.22,-0.8818,8423.0,20742.799
603908.SH,20191227,25.05,26.78,24.9,24.95,25.05,-0.1,-0.3992,12821.18,32678.43
603908.SH,20191226,24.38,25.09,24.38,25.05,24.38,0.67,2.7482,7804.0,19381.267
603908.SH,20191225,24.27,24.46,24.11,24.38,24.33,0.05,0.2055,4940.97,12029.41
603908.SH,20191224,24.16,24.49,24.1,24.33,24.17,0.16,0.662,10710.97,25975.362
603908.SH,20191223,24.97,24.98,24.15,24.17,25.1,-0.93,-3.7052,5875.0,14461.876
603908.SH,20191220,25.36,25.7,24.86,25.1,25.18,-0.08,-0.3177,7601.46,19167.997
603908.SH,20191219,24.85,25.24,24.72,25.18,24.88,0.3,1.2058,5572.0,13959.937
603908.SH,20191218,24.83,25.06,24.68,24.88,24.88,0.0,0.0,5724.28,14257.35
603908.SH,20191217,24.8,24.95,24.6,24.88,24.7,0.18,0.7287,6228.28,15443.852
603908.SH,20191216,24.41,24.83,24.22,24.7,24.31,0.39,1.6043,6579.0,16136.829
603908.SH,20191213,24.07,24.44,24.07,24.31,24.04,0.27,1.1231,6647.46,16131.696
603908.SH,20191212,24.31,24.37,24.04,24.04,24.34,-0.3,-1.2325,4038.18,9789.855
603908.SH,20191211,24.36,24.47,24.26,24.34,24.55,-0.21,-0.8554,2869.0,6979.128
603908.SH,20191210,24.38,24.55,24.14,24.55,24.41,0.14,0.5735,4153.0,10102.374
603908.SH,20191209,24.49,24.57,24.38,24.41,24.5,-0.09,-0.3673,2973.0,7278.021
603908.SH,20191206,24.37,24.64,24.3,24.5,24.44,0.06,0.2455,3709.0,9057.886
603908.SH,20191205,24.2,24.62,24.1,24.44,24.14,0.3,1.2428,5586.0,13629.144
603908.SH,20191204,23.98,24.18,23.83,24.14,24.03,0.11,0.4578,3807.0,9135.318
603908.SH,20191203,23.85,24.03,23.5,24.03,23.86,0.17,0.7125,2828.0,6742.489
603908.SH,20191202,23.94,24.05,23.8,23.86,23.95,-0.09,-0.3758,2932.0,7010.402
603908.SH,20191129,23.7,24.5,23.47,23.95,23.69,0.26,1.0975,6355.0,15233.684
603908.SH,20191128,23.9,23.91,23.5,23.69,23.6,0.09,0.3814,5101.0,12080.245
603908.SH,20191127,23.79,24.0,23.57,23.6,23.88,-0.28,-1.1725,6445.0,15358.124
603908.SH,20191126,23.98,24.05,23.77,23.88,23.9,-0.02,-0.0837,2702.0,6456.033
603908.SH,20191125,24.24,24.24,23.75,23.9,24.13,-0.23,-0.9532,5286.0,12650.958
603908.SH,20191122,24.5,24.72,23.98,24.13,24.51,-0.38,-1.5504,7203.0,17532.549
603908.SH,20191121,24.63,24.66,24.34,24.51,24.7,-0.19,-0.7692,5358.0,13094.198
603908.SH,20191120,25.5,25.5,24.7,24.7,25.6,-0.9,-3.5156,16914.0,42376.509
603908.SH,20191119,25.53,26.22,24.98,25.6,25.6,0.0,0.0,14114.0,35918.836
603908.SH,20191118,25.36,25.99,25.21,25.6,25.36,0.24,0.9464,7138.04,18319.615
603908.SH,20191115,25.67,25.78,25.25,25.36,25.7,-0.34,-1.323,5803.0,14828.474
603908.SH,20191114,25.56,25.98,25.2,25.7,25.79,-0.09,-0.349,15222.0,39003.685
603908.SH,20191113,26.02,26.02,25.4,25.79,25.98,-0.19,-0.7313,10652.04,27386.047
603908.SH,20191112,26.0,26.19,25.81,25.98,26.0,-0.02,-0.0769,6783.0,17598.877
603908.SH,20191111,26.64,26.74,25.8,26.0,26.73,-0.73,-2.731,6407.0,16755.396
603908.SH,20191108,26.62,26.88,26.59,26.73,26.77,-0.04,-0.1494,4297.0,11472.466
603908.SH,20191107,26.78,26.88,26.3,26.77,26.76,0.01,0.0374,10439.0,27761.567
603908.SH,20191106,27.2,27.44,26.54,26.76,27.27,-0.51,-1.8702,9605.0,25795.645
603908.SH,20191105,27.4,27.49,27.17,27.27,27.28,-0.01,-0.0367,6265.0,17104.679
603908.SH,20191104,27.76,28.15,26.8,27.28,27.69,-0.41,-1.4807,13882.4,37961.047
603908.SH,20191101,26.98,27.99,26.61,27.69,26.8,0.89,3.3209,17564.09,48069.869
603908.SH,20191031,26.89,27.0,26.38,26.8,26.88,-0.08,-0.2976,12992.0,34680.14
603908.SH,20191030,27.29,27.38,26.51,26.88,27.02,-0.14,-0.5181,7207.0,19425.131
603908.SH,20191029,27.86,27.98,27.02,27.02,27.88,-0.86,-3.0846,8189.0,22391.299
603908.SH,20191028,27.71,27.99,27.38,27.88,27.73,0.15,0.5409,8440.0,23393.691
603908.SH,20191025,27.8,27.94,27.14,27.73,27.95,-0.22,-0.7871,9933.0,27315.868
603908.SH,20191024,28.45,28.55,27.61,27.95,28.5,-0.55,-1.9298,12568.0,35143.578
603908.SH,20191023,28.8,29.0,28.01,28.5,28.8,-0.3,-1.0417,23131.49,65963.68
603908.SH,20191022,27.64,29.4,27.6,28.8,27.59,1.21,4.3856,22587.17,64722.836
603908.SH,20191021,28.53,28.59,27.25,27.59,28.51,-0.92,-3.2269,15557.88,43173.415
603908.SH,20191018,28.44,28.71,28.18,28.51,28.5,0.01,0.0351,10846.52,30834.513
603908.SH,20191017,28.63,28.77,28.2,28.5,28.7,-0.2,-0.6969,9656.0,27428.172
603908.SH,20191016,28.5,29.17,28.19,28.7,28.74,-0.04,-0.1392,10020.99,28577.057
603908.SH,20191015,29.15,29.35,28.39,28.74,29.1,-0.36,-1.2371,11130.0,32052.962
603908.SH,20191014,29.08,29.45,28.71,29.1,29.09,0.01,0.0344,11790.4,34249.858
603908.SH,20191011,29.89,29.98,28.85,29.09,29.86,-0.77,-2.5787,15550.0,45472.711
603908.SH,20191010,30.7,30.7,29.66,29.86,30.6,-0.74,-2.4183,15428.2,46302.903
603908.SH,20191009,28.25,30.8,28.19,30.6,28.55,2.05,7.1804,26423.59,79122.053
603908.SH,20191008,29.4,29.53,28.41,28.55,29.58,-1.03,-3.4821,10442.0,30116.577
603908.SH,20190930,29.26,29.72,28.75,29.58,29.27,0.31,1.0591,10649.0,31331.466
603908.SH,20190927,28.98,29.4,28.13,29.27,29.27,0.0,0.0,17248.46,49491.205
603908.SH,20190926,29.43,29.83,28.7,29.27,29.45,-0.18,-0.6112,13068.32,38214.199
