ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000659.SZ,20200110,2.81,2.82,2.77,2.79,2.82,-0.03,-1.0638,47995.91,13397.035
000659.SZ,20200109,2.8,2.84,2.76,2.82,2.8,0.02,0.7143,102498.64,28778.736
000659.SZ,20200108,2.84,2.86,2.8,2.8,2.85,-0.05,-1.7544,77434.3,21896.192
000659.SZ,20200107,2.79,2.87,2.78,2.85,2.8,0.05,1.7857,79679.53,22602.472
000659.SZ,20200106,2.78,2.82,2.75,2.8,2.79,0.01,0.3584,68422.71,19136.035
000659.SZ,20200103,2.81,2.81,2.77,2.79,2.79,0.0,0.0,65419.0,18226.42
000659.SZ,20200102,2.74,2.8,2.73,2.79,2.72,0.07,2.5735,78191.41,21641.742
000659.SZ,20191231,2.73,2.74,2.7,2.72,2.71,0.01,0.369,64552.8,17545.254
000659.SZ,20191230,2.73,2.74,2.68,2.71,2.73,-0.02,-0.7326,78819.19,21390.717
000659.SZ,20191227,2.74,2.76,2.72,2.73,2.74,-0.01,-0.365,57511.0,15804.165
000659.SZ,20191226,2.75,2.75,2.73,2.74,2.75,-0.01,-0.3636,44765.0,12268.27
000659.SZ,20191225,2.75,2.76,2.73,2.75,2.75,0.0,0.0,54955.0,15082.17
000659.SZ,20191224,2.73,2.76,2.7,2.75,2.71,0.04,1.476,55278.02,15121.931
000659.SZ,20191223,2.81,2.84,2.7,2.71,2.81,-0.1,-3.5587,131638.61,36312.959
000659.SZ,20191220,2.99,3.0,2.66,2.81,2.95,-0.14,-4.7458,258633.15,74568.09
000659.SZ,20191219,2.99,3.03,2.94,2.95,3.02,-0.07,-2.3179,156865.1,46716.818
000659.SZ,20191218,2.93,3.03,2.9,3.02,2.94,0.08,2.7211,211719.69,62705.374
000659.SZ,20191217,2.96,2.97,2.89,2.94,2.97,-0.03,-1.0101,198288.0,58348.72
000659.SZ,20191216,2.95,2.98,2.89,2.97,2.95,0.02,0.678,203462.54,59904.361
000659.SZ,20191213,2.88,2.98,2.84,2.95,2.84,0.11,3.8732,265556.48,77949.456
000659.SZ,20191212,2.81,2.91,2.77,2.84,2.81,0.03,1.0676,141206.78,39978.985
000659.SZ,20191211,2.79,2.81,2.76,2.81,2.8,0.01,0.3571,69635.22,19361.788
000659.SZ,20191210,2.82,2.84,2.78,2.8,2.78,0.02,0.7194,71986.34,20165.513
000659.SZ,20191209,2.75,2.9,2.7,2.78,2.73,0.05,1.8315,154613.52,43462.109
000659.SZ,20191206,2.73,2.75,2.7,2.73,2.73,0.0,0.0,81511.62,22185.997
000659.SZ,20191205,2.76,2.78,2.71,2.73,2.77,-0.04,-1.444,96419.0,26384.754
000659.SZ,20191204,2.7,2.78,2.7,2.77,2.72,0.05,1.8382,88751.93,24471.798
000659.SZ,20191203,2.64,2.72,2.62,2.72,2.64,0.08,3.0303,124591.08,33467.425
000659.SZ,20191202,2.63,2.66,2.6,2.64,2.62,0.02,0.7634,53872.18,14159.904
000659.SZ,20191129,2.62,2.64,2.6,2.62,2.63,-0.01,-0.3802,62183.5,16256.326
000659.SZ,20191128,2.63,2.65,2.61,2.63,2.63,0.0,0.0,46305.0,12181.945
000659.SZ,20191127,2.68,2.69,2.62,2.63,2.67,-0.04,-1.4981,46127.17,12251.655
000659.SZ,20191126,2.67,2.69,2.65,2.67,2.66,0.01,0.3759,35430.57,9466.908
000659.SZ,20191125,2.71,2.71,2.63,2.66,2.71,-0.05,-1.845,89025.1,23716.428
000659.SZ,20191122,2.71,2.76,2.7,2.71,2.73,-0.02,-0.7326,58926.18,16059.361
000659.SZ,20191121,2.71,2.76,2.7,2.73,2.71,0.02,0.738,42594.51,11606.7
000659.SZ,20191120,2.74,2.75,2.7,2.71,2.75,-0.04,-1.4545,51538.18,14029.589
000659.SZ,20191119,2.73,2.79,2.72,2.75,2.73,0.02,0.7326,44309.3,12170.235
000659.SZ,20191118,2.71,2.75,2.7,2.73,2.74,-0.01,-0.365,37400.91,10183.566
000659.SZ,20191115,2.75,2.83,2.7,2.74,2.76,-0.02,-0.7246,67380.08,18640.046
000659.SZ,20191114,2.82,2.82,2.71,2.76,2.82,-0.06,-2.1277,74080.7,20387.783
000659.SZ,20191113,2.75,2.86,2.71,2.82,2.74,0.08,2.9197,91280.07,25464.926
000659.SZ,20191112,2.71,2.74,2.63,2.74,2.7,0.04,1.4815,69220.7,18702.842
000659.SZ,20191111,2.79,2.79,2.68,2.7,2.81,-0.11,-3.9146,74422.01,20232.693
000659.SZ,20191108,2.82,2.85,2.81,2.81,2.83,-0.02,-0.7067,41420.22,11722.664
000659.SZ,20191107,2.85,2.89,2.82,2.83,2.86,-0.03,-1.049,47218.0,13413.446
000659.SZ,20191106,2.86,2.92,2.84,2.86,2.83,0.03,1.0601,95204.96,27371.464
000659.SZ,20191105,2.81,2.88,2.79,2.83,2.82,0.01,0.3546,76377.21,21605.509
000659.SZ,20191104,2.81,2.83,2.79,2.82,2.82,0.0,0.0,54496.51,15311.578
000659.SZ,20191101,2.83,2.85,2.79,2.82,2.83,-0.01,-0.3534,83065.53,23390.724
000659.SZ,20191031,2.91,2.92,2.81,2.83,2.89,-0.06,-2.0761,88848.0,25432.411
000659.SZ,20191030,2.92,2.96,2.88,2.89,2.93,-0.04,-1.3652,91686.59,26697.221
000659.SZ,20191029,2.95,3.01,2.86,2.93,2.95,-0.02,-0.678,161677.46,47573.097
000659.SZ,20191028,2.9,3.04,2.84,2.95,2.92,0.03,1.0274,206129.09,60481.62
000659.SZ,20191025,2.94,2.95,2.9,2.92,2.95,-0.03,-1.0169,116697.97,34085.182
000659.SZ,20191024,2.96,3.02,2.93,2.95,2.96,-0.01,-0.3378,146773.78,43741.58
000659.SZ,20191023,3.05,3.06,2.96,2.96,3.1,-0.14,-4.5161,253638.48,75879.192
000659.SZ,20191022,3.05,3.12,2.99,3.1,3.06,0.04,1.3072,354986.38,108102.296
000659.SZ,20191021,3.13,3.34,3.04,3.06,3.16,-0.1,-3.1646,647180.5,205735.593
000659.SZ,20191018,2.84,3.16,2.82,3.16,2.87,0.29,10.1045,557439.78,173438.671
000659.SZ,20191017,3.0,3.01,2.81,2.87,3.12,-0.25,-8.0128,321418.39,93492.351
000659.SZ,20191016,3.05,3.25,2.98,3.12,3.05,0.07,2.2951,594904.01,185078.508
000659.SZ,20191015,2.75,3.05,2.75,3.05,2.77,0.28,10.1083,241999.86,71548.94
000659.SZ,20191014,2.72,2.8,2.7,2.77,2.69,0.08,2.974,119781.92,32971.284
000659.SZ,20191011,2.66,2.7,2.65,2.69,2.65,0.04,1.5094,39900.0,10682.103
000659.SZ,20191010,2.67,2.67,2.62,2.65,2.65,0.0,0.0,38933.4,10298.442
000659.SZ,20191009,2.65,2.68,2.61,2.65,2.63,0.02,0.7605,35736.7,9472.586
000659.SZ,20191008,2.67,2.72,2.61,2.63,2.67,-0.04,-1.4981,47952.89,12811.649
000659.SZ,20190930,2.66,2.73,2.65,2.67,2.66,0.01,0.3759,58551.86,15718.434
000659.SZ,20190927,2.69,2.7,2.63,2.66,2.6,0.06,2.3077,52105.06,13813.22
000659.SZ,20190926,2.7,2.7,2.6,2.6,2.7,-0.1,-3.7037,58308.9,15388.358
000659.SZ,20190925,2.76,2.78,2.68,2.7,2.75,-0.05,-1.8182,57588.56,15645.944
000659.SZ,20190924,2.79,2.8,2.75,2.75,2.79,-0.04,-1.4337,42913.91,11885.61
000659.SZ,20190923,2.8,2.81,2.76,2.79,2.78,0.01,0.3597,60612.5,16867.068
000659.SZ,20190920,2.77,2.82,2.77,2.78,2.78,0.0,0.0,67714.03,18950.273
000659.SZ,20190919,2.74,2.79,2.73,2.78,2.75,0.03,1.0909,52105.2,14394.438
000659.SZ,20190918,2.73,2.79,2.73,2.75,2.76,-0.01,-0.3623,60058.7,16529.161
000659.SZ,20190917,2.84,2.84,2.73,2.76,2.85,-0.09,-3.1579,78922.02,21970.847
000659.SZ,20190916,2.87,2.87,2.83,2.85,2.86,-0.01,-0.3497,47604.92,13548.3
