ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603659.SH,20200110,85.73,87.7,84.66,86.5,86.2,0.3,0.348,24776.39,212728.833
603659.SH,20200109,87.58,87.82,85.01,86.2,84.99,1.21,1.4237,26851.21,231474.697
603659.SH,20200108,87.8,89.87,84.39,84.99,86.95,-1.96,-2.2542,40164.86,348612.501
603659.SH,20200107,89.5,89.65,85.77,86.95,89.85,-2.9,-3.2276,35833.76,313141.257
603659.SH,20200106,87.17,94.5,87.17,89.85,87.06,2.79,3.2047,45525.08,411702.765
603659.SH,20200103,85.3,87.2,81.6,87.06,85.51,1.55,1.8127,48564.51,406696.915
603659.SH,20200102,84.5,85.89,82.9,85.51,85.15,0.36,0.4228,41138.44,346569.654
603659.SH,20191231,85.6,87.64,84.11,85.15,85.9,-0.75,-0.8731,29480.28,252750.382
603659.SH,20191230,82.5,88.0,81.5,85.9,82.02,3.88,4.7306,44630.14,378920.775
603659.SH,20191227,84.36,85.3,81.07,82.02,84.25,-2.23,-2.6469,35423.73,294646.752
603659.SH,20191226,86.07,86.33,82.89,84.25,86.3,-2.05,-2.3754,26495.65,223789.95
603659.SH,20191225,83.17,86.39,82.05,86.3,83.1,3.2,3.8508,40421.03,340142.273
603659.SH,20191224,79.0,83.65,78.6,83.1,78.55,4.55,5.7925,37917.47,308623.188
603659.SH,20191223,75.9,80.97,75.52,78.55,77.48,1.07,1.381,37572.27,297174.841
603659.SH,20191220,77.8,80.59,76.81,77.48,77.59,-0.11,-0.1418,35645.28,278190.219
603659.SH,20191219,77.0,77.6,74.05,77.59,76.6,0.99,1.2924,34388.47,261494.925
603659.SH,20191218,78.47,79.0,75.66,76.6,78.0,-1.4,-1.7949,34636.12,267028.246
603659.SH,20191217,77.13,82.69,77.0,78.0,76.8,1.2,1.5625,54416.4,431275.389
603659.SH,20191216,76.44,78.37,73.78,76.8,75.17,1.63,2.1684,39560.28,299519.174
603659.SH,20191213,69.0,75.17,68.4,75.17,68.34,6.83,9.9941,44215.98,318787.427
603659.SH,20191212,69.12,69.8,67.92,68.34,68.71,-0.37,-0.5385,17048.44,117076.705
603659.SH,20191211,69.24,70.7,67.95,68.71,69.16,-0.45,-0.6507,24736.41,170744.856
603659.SH,20191210,67.3,70.78,66.83,69.16,69.75,-0.59,-0.8459,51955.31,357239.397
603659.SH,20191209,71.0,72.28,69.71,69.75,72.17,-2.42,-3.3532,35643.51,251531.761
603659.SH,20191206,73.5,73.5,69.99,72.17,72.56,-0.39,-0.5375,36770.17,262580.885
603659.SH,20191205,68.5,74.73,67.54,72.56,68.58,3.98,5.8034,47045.42,335997.604
603659.SH,20191204,68.16,69.69,67.5,68.58,67.6,0.98,1.4497,31274.88,214470.385
603659.SH,20191203,68.86,68.88,65.76,67.6,68.69,-1.09,-1.5868,30388.91,203825.343
603659.SH,20191202,70.9,71.0,67.17,68.69,70.1,-1.41,-2.0114,40361.94,276356.006
603659.SH,20191129,70.09,70.47,67.8,70.1,69.4,0.7,1.0086,28265.72,195594.489
603659.SH,20191128,69.9,70.79,68.9,69.4,70.9,-1.5,-2.1157,28688.06,200279.795
603659.SH,20191127,69.2,71.4,69.2,70.9,69.69,1.21,1.7363,38091.94,268082.35
603659.SH,20191126,68.36,72.66,68.02,69.69,70.49,-0.8,-1.1349,47495.17,330862.157
603659.SH,20191125,70.0,73.65,68.87,70.49,68.72,1.77,2.5757,47031.93,334282.819
603659.SH,20191122,68.5,73.62,66.51,68.72,66.93,1.79,2.6744,48098.5,335439.118
603659.SH,20191121,64.0,67.18,63.21,66.93,64.11,2.82,4.3987,38835.38,255585.634
603659.SH,20191120,63.0,65.64,62.5,64.11,64.1,0.01,0.0156,37944.03,242048.715
603659.SH,20191119,59.0,64.2,59.0,64.1,58.62,5.48,9.3483,44450.55,274741.23
603659.SH,20191118,56.84,59.7,56.1,58.62,56.53,2.09,3.6972,21111.1,122617.617
603659.SH,20191115,57.8,57.86,55.21,56.53,57.9,-1.37,-2.3661,19840.15,112531.435
603659.SH,20191114,56.69,58.25,56.3,57.9,56.19,1.71,3.0432,24519.36,140885.383
603659.SH,20191113,55.19,57.45,55.19,56.19,55.8,0.39,0.6989,24150.65,136594.61
603659.SH,20191112,57.45,57.49,55.3,55.8,57.3,-1.5,-2.6178,23424.14,131434.495
603659.SH,20191111,58.47,58.86,56.71,57.3,58.08,-0.78,-1.343,26073.65,150035.147
603659.SH,20191108,59.25,59.93,57.64,58.08,59.4,-1.32,-2.2222,43899.44,257871.39
603659.SH,20191107,60.84,61.5,58.0,59.4,62.0,-2.6,-4.1935,75871.06,450923.221
603659.SH,20191106,60.7,64.53,60.65,62.0,58.66,3.34,5.6938,105903.97,672732.201
603659.SH,20191105,54.48,59.79,54.21,58.66,54.48,4.18,7.6725,37002.39,212925.088
603659.SH,20191104,54.6,55.0,53.72,54.48,54.14,0.34,0.628,22132.24,120832.433
603659.SH,20191101,54.9,54.97,52.8,54.14,53.82,0.32,0.5946,26853.23,145152.745
603659.SH,20191031,54.0,54.78,53.2,53.82,53.19,0.63,1.1844,16311.11,88441.513
603659.SH,20191030,50.68,55.1,50.68,53.19,51.75,1.44,2.7826,37652.45,201483.203
603659.SH,20191029,51.31,51.96,50.61,51.75,51.3,0.45,0.8772,9580.79,49371.531
603659.SH,20191028,49.05,52.0,49.05,51.3,49.62,1.68,3.3857,19277.11,98340.732
603659.SH,20191025,49.71,49.87,49.0,49.62,49.64,-0.02,-0.0403,6044.05,29970.537
603659.SH,20191024,48.9,49.7,48.36,49.64,48.8,0.84,1.7213,7895.98,38891.527
603659.SH,20191023,47.88,49.25,47.87,48.8,48.04,0.76,1.582,8289.98,40446.634
603659.SH,20191022,46.92,48.52,46.91,48.04,46.91,1.13,2.4089,8400.59,40316.423
603659.SH,20191021,47.45,47.87,46.33,46.91,47.64,-0.73,-1.5323,8069.14,37768.224
603659.SH,20191018,48.06,48.7,47.35,47.64,48.02,-0.38,-0.7913,7357.47,35271.789
603659.SH,20191017,49.21,49.54,47.7,48.02,49.35,-1.33,-2.695,14149.94,68491.211
603659.SH,20191016,50.03,50.5,49.35,49.35,49.81,-0.46,-0.9235,8218.45,40989.595
603659.SH,20191015,50.46,51.14,49.6,49.81,50.72,-0.91,-1.7942,10819.14,54096.228
603659.SH,20191014,50.36,52.1,50.35,50.72,50.36,0.36,0.7149,12227.69,62464.579
603659.SH,20191011,50.74,51.06,49.91,50.36,50.81,-0.45,-0.8857,8186.43,41138.404
603659.SH,20191010,50.5,51.08,49.98,50.81,50.14,0.67,1.3363,7439.13,37519.513
603659.SH,20191009,51.09,51.12,49.59,50.14,51.08,-0.94,-1.8403,8965.8,44979.835
603659.SH,20191008,50.99,52.33,50.4,51.08,51.2,-0.12,-0.2344,8824.94,45151.275
603659.SH,20190930,50.7,52.1,50.02,51.2,50.7,0.5,0.9862,10315.47,52763.702
603659.SH,20190927,51.03,51.86,50.51,50.7,51.0,-0.3,-0.5882,17802.49,91128.758
603659.SH,20190926,52.77,53.98,51.0,51.0,52.82,-1.82,-3.4457,19800.32,103240.529
603659.SH,20190925,52.85,53.27,52.23,52.82,52.77,0.05,0.0948,19648.27,103910.466
603659.SH,20190924,51.08,53.38,50.3,52.77,50.85,1.92,3.7758,35315.73,185630.458
