ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300697.SZ,20200110,15.26,15.45,15.1,15.18,15.24,-0.06,-0.3937,26569.76,40476.749
300697.SZ,20200109,14.89,15.25,14.89,15.24,14.75,0.49,3.322,35691.71,53917.713
300697.SZ,20200108,15.14,15.14,14.72,14.75,15.18,-0.43,-2.8327,26653.06,39825.26
300697.SZ,20200107,14.91,15.18,14.91,15.18,14.98,0.2,1.3351,27327.32,41254.634
300697.SZ,20200106,14.85,15.18,14.81,14.98,15.06,-0.08,-0.5312,28539.95,42860.744
300697.SZ,20200103,15.21,15.26,14.92,15.06,15.17,-0.11,-0.7251,30487.26,45916.348
300697.SZ,20200102,15.16,15.2,15.01,15.17,15.05,0.12,0.7973,40341.01,60867.175
300697.SZ,20191231,15.06,15.19,14.8,15.05,15.2,-0.15,-0.9868,37289.38,55777.695
300697.SZ,20191230,14.52,16.02,14.33,15.2,14.56,0.64,4.3956,59489.03,89942.382
300697.SZ,20191227,14.71,15.1,14.54,14.56,14.72,-0.16,-1.087,43731.9,64577.442
300697.SZ,20191226,14.42,14.78,14.41,14.72,14.51,0.21,1.4473,37995.68,55572.97
300697.SZ,20191225,14.41,14.52,14.26,14.51,14.41,0.1,0.694,22545.71,32424.3
300697.SZ,20191224,13.97,14.54,13.9,14.41,13.89,0.52,3.7437,29863.02,42648.509
300697.SZ,20191223,14.29,14.29,13.88,13.89,14.29,-0.4,-2.7992,16812.43,23683.619
300697.SZ,20191220,14.43,14.51,14.28,14.29,14.45,-0.16,-1.1073,13579.99,19530.342
300697.SZ,20191219,14.44,14.49,14.32,14.45,14.46,-0.01,-0.0692,17761.15,25579.254
300697.SZ,20191218,14.5,14.54,14.4,14.46,14.5,-0.04,-0.2759,20587.2,29775.679
300697.SZ,20191217,14.4,14.57,14.38,14.5,14.45,0.05,0.346,27474.0,39769.936
300697.SZ,20191216,14.18,14.51,14.14,14.45,14.14,0.31,2.1924,25691.45,36858.056
300697.SZ,20191213,14.08,14.15,14.02,14.14,14.02,0.12,0.8559,13908.0,19616.613
300697.SZ,20191212,14.01,14.09,13.92,14.02,13.97,0.05,0.3579,12932.3,18128.583
300697.SZ,20191211,14.04,14.14,13.95,13.97,14.14,-0.17,-1.2023,14819.88,20783.269
300697.SZ,20191210,14.12,14.24,13.97,14.14,14.11,0.03,0.2126,15210.9,21439.3
300697.SZ,20191209,13.97,14.19,13.9,14.11,14.0,0.11,0.7857,17555.3,24714.449
300697.SZ,20191206,13.96,14.0,13.86,14.0,13.94,0.06,0.4304,16743.0,23349.766
300697.SZ,20191205,13.85,13.96,13.78,13.94,13.85,0.09,0.6498,15722.7,21821.351
300697.SZ,20191204,13.74,13.96,13.65,13.85,13.74,0.11,0.8006,15130.7,20907.525
300697.SZ,20191203,13.57,13.82,13.45,13.74,13.68,0.06,0.4386,13609.6,18544.19
300697.SZ,20191202,13.47,13.74,13.42,13.68,13.4,0.28,2.0896,18829.26,25616.368
300697.SZ,20191129,13.73,13.83,13.34,13.4,13.83,-0.43,-3.1092,24200.1,32672.624
300697.SZ,20191128,13.83,13.93,13.77,13.83,13.83,0.0,0.0,7997.3,11072.618
300697.SZ,20191127,13.97,14.06,13.75,13.83,13.97,-0.14,-1.0021,13470.55,18642.899
300697.SZ,20191126,13.84,14.04,13.81,13.97,13.86,0.11,0.7937,13520.6,18889.361
300697.SZ,20191125,13.81,13.99,13.65,13.86,13.72,0.14,1.0204,16740.5,23216.479
300697.SZ,20191122,13.82,14.13,13.62,13.72,13.91,-0.19,-1.3659,16097.4,22327.314
300697.SZ,20191121,13.7,14.06,13.7,13.91,13.94,-0.03,-0.2152,10867.64,15128.679
300697.SZ,20191120,14.1,14.15,13.94,13.94,14.06,-0.12,-0.8535,15246.2,21401.159
300697.SZ,20191119,13.75,14.09,13.7,14.06,13.85,0.21,1.5162,17233.49,24124.132
300697.SZ,20191118,13.96,13.96,13.58,13.85,13.95,-0.1,-0.7168,20869.08,28697.804
300697.SZ,20191115,15.2,15.2,13.95,13.95,13.95,0.0,0.0,29711.85,42370.211
300697.SZ,20191114,13.93,14.14,13.91,13.95,14.04,-0.09,-0.641,19159.83,26876.124
300697.SZ,20191113,14.38,14.38,13.82,14.04,14.33,-0.29,-2.0237,32692.23,45749.044
300697.SZ,20191112,14.18,14.42,14.02,14.33,14.16,0.17,1.2006,26343.4,37526.944
300697.SZ,20191111,14.85,14.9,14.16,14.16,15.01,-0.85,-5.6629,40941.3,59252.665
300697.SZ,20191108,15.45,15.53,14.91,15.01,15.36,-0.35,-2.2786,36099.11,54876.281
300697.SZ,20191107,15.28,15.42,15.21,15.36,15.28,0.08,0.5236,16463.41,25219.161
300697.SZ,20191106,15.25,15.52,15.15,15.28,15.39,-0.11,-0.7147,22235.75,34087.487
300697.SZ,20191105,15.58,15.7,15.25,15.39,15.58,-0.19,-1.2195,30876.68,47552.703
300697.SZ,20191104,15.56,15.8,15.54,15.58,15.73,-0.15,-0.9536,29808.52,46655.216
300697.SZ,20191101,15.48,15.73,15.15,15.73,15.6,0.13,0.8333,35719.96,55215.469
300697.SZ,20191031,15.45,15.62,15.3,15.6,15.42,0.18,1.1673,28123.95,43572.16
300697.SZ,20191030,15.92,15.93,15.3,15.42,15.94,-0.52,-3.2622,51320.7,79750.209
300697.SZ,20191029,16.49,16.66,15.92,15.94,16.49,-0.55,-3.3354,57251.86,93222.65
300697.SZ,20191028,15.94,16.78,15.8,16.49,15.94,0.55,3.4504,74280.85,122044.175
300697.SZ,20191025,16.1,16.19,15.78,15.94,16.3,-0.36,-2.2086,38141.93,60873.922
300697.SZ,20191024,16.02,16.45,15.72,16.3,16.05,0.25,1.5576,44044.46,70565.301
300697.SZ,20191023,16.3,16.47,16.03,16.05,16.54,-0.49,-2.9625,54847.53,89066.538
300697.SZ,20191022,15.89,16.56,15.81,16.54,15.89,0.65,4.0906,81395.11,132908.046
300697.SZ,20191021,15.7,15.97,15.19,15.89,15.84,0.05,0.3157,31455.72,49055.532
300697.SZ,20191018,15.69,16.14,15.62,15.84,15.8,0.04,0.2532,41792.9,66298.002
300697.SZ,20191017,16.15,16.15,15.63,15.8,16.23,-0.43,-2.6494,44534.96,70234.226
300697.SZ,20191016,16.09,16.33,15.7,16.23,16.04,0.19,1.1845,50119.46,80203.482
300697.SZ,20191015,15.66,16.39,15.53,16.04,16.02,0.02,0.1248,72063.36,115512.941
300697.SZ,20191014,15.75,16.12,15.71,16.02,15.68,0.34,2.1684,53855.03,85938.275
300697.SZ,20191011,15.36,15.88,15.31,15.68,15.37,0.31,2.0169,38789.54,60704.103
300697.SZ,20191010,15.28,15.39,15.16,15.37,15.3,0.07,0.4575,22425.2,34320.702
300697.SZ,20191009,14.78,15.3,14.54,15.3,14.83,0.47,3.1693,24248.5,36279.927
300697.SZ,20191008,14.8,15.09,14.8,14.83,14.88,-0.05,-0.336,17521.1,26208.942
300697.SZ,20190930,15.32,15.32,14.82,14.88,15.24,-0.36,-2.3622,23188.1,34860.278
300697.SZ,20190927,15.26,15.45,15.03,15.24,15.1,0.14,0.9272,31512.71,48015.828
300697.SZ,20190926,15.85,16.02,15.1,15.1,15.88,-0.78,-4.9118,52442.32,80950.72
300697.SZ,20190925,15.95,16.16,15.67,15.88,15.8,0.08,0.5063,68566.89,109504.338
300697.SZ,20190924,15.45,16.1,15.4,15.8,15.47,0.33,2.1332,57412.01,90653.292
300697.SZ,20190923,15.64,15.67,15.1,15.47,15.86,-0.39,-2.459,43681.85,67152.463
300697.SZ,20190920,15.49,16.25,15.41,15.86,15.31,0.55,3.5924,71985.91,114454.597
300697.SZ,20190919,15.3,15.32,15.02,15.31,15.18,0.13,0.8564,22406.8,34079.851
300697.SZ,20190918,15.12,15.44,15.12,15.18,15.11,0.07,0.4633,25282.89,38645.926
300697.SZ,20190917,15.55,15.59,15.01,15.11,15.65,-0.54,-3.4505,37132.95,56465.497
300697.SZ,20190916,15.84,15.95,15.56,15.65,15.78,-0.13,-0.8238,34032.31,53374.484
300697.SZ,20190912,15.97,15.98,15.71,15.78,16.04,-0.26,-1.6209,35923.99,56942.951
300697.SZ,20190911,15.68,16.04,15.53,16.04,15.7,0.34,2.1656,52031.67,82288.836
300697.SZ,20190910,15.93,15.94,15.5,15.7,16.0,-0.3,-1.875,42717.65,67023.809
300697.SZ,20190909,15.85,16.05,15.61,16.0,15.85,0.15,0.9464,53746.92,85026.767
300697.SZ,20190906,15.4,16.07,15.35,15.85,15.42,0.43,2.7886,66806.6,105292.435
300697.SZ,20190905,15.35,15.65,15.29,15.42,15.29,0.13,0.8502,55029.51,85118.671
300697.SZ,20190904,15.35,15.42,15.0,15.29,15.29,0.0,0.0,38547.34,58537.054
300697.SZ,20190903,15.45,15.58,15.18,15.29,15.31,-0.02,-0.1306,41924.63,64307.103
300697.SZ,20190902,14.82,15.41,14.82,15.31,14.82,0.49,3.3063,46612.76,71026.64
300697.SZ,20190830,15.55,15.55,14.55,14.82,15.38,-0.56,-3.6411,57128.68,85667.55
300697.SZ,20190829,15.35,15.65,15.31,15.38,15.43,-0.05,-0.324,33240.01,51390.03
300697.SZ,20190828,15.76,15.76,15.25,15.43,15.82,-0.39,-2.4652,54416.03,83907.774
300697.SZ,20190827,15.86,16.09,15.62,15.82,15.81,0.01,0.0633,61180.4,96985.015
300697.SZ,20190826,15.83,15.94,15.57,15.81,16.11,-0.3,-1.8622,53075.24,83607.762
300697.SZ,20190823,16.24,16.6,15.93,16.11,16.32,-0.21,-1.2868,69577.69,112796.945
300697.SZ,20190822,15.89,16.41,15.59,16.32,15.89,0.43,2.7061,79102.47,126483.277
300697.SZ,20190821,15.34,16.18,15.27,15.89,15.4,0.49,3.1818,94450.63,149570.805
300697.SZ,20190820,15.78,15.78,15.2,15.4,15.61,-0.21,-1.3453,81386.06,125368.366
300697.SZ,20190819,15.0,15.78,14.96,15.61,14.95,0.66,4.4147,90795.88,139861.16
300697.SZ,20190816,15.23,15.23,14.86,14.95,15.25,-0.3,-1.9672,62745.36,94346.082
300697.SZ,20190815,14.89,15.28,14.76,15.25,15.35,-0.1,-0.6515,61497.42,92676.131
300697.SZ,20190814,14.92,15.49,14.92,15.35,14.79,0.56,3.7863,92782.75,140908.516
300697.SZ,20190813,15.04,15.28,14.73,14.79,15.33,-0.54,-3.5225,82891.6,124150.147
300697.SZ,20190812,14.92,15.38,14.86,15.33,14.84,0.49,3.3019,96589.87,146368.838
300697.SZ,20190809,14.8,15.24,14.7,14.84,14.76,0.08,0.542,115591.0,172926.505
300697.SZ,20190808,14.69,14.93,14.39,14.76,14.77,-0.01,-0.0677,113416.56,166681.181
300697.SZ,20190807,13.9,15.15,13.77,14.77,13.77,1.0,7.2622,152763.63,225488.109
300697.SZ,20190806,14.0,14.0,13.2,13.77,14.36,-0.59,-4.1086,63483.7,86857.834
300697.SZ,20190805,14.61,14.8,14.21,14.36,14.78,-0.42,-2.8417,54832.73,79220.355
300697.SZ,20190802,14.63,14.97,14.4,14.78,15.04,-0.26,-1.7287,88888.22,130848.178
