ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000917.SZ,20200110,7.29,7.31,7.05,7.1,7.26,-0.16,-2.2039,272278.26,194258.093
000917.SZ,20200109,7.37,7.45,7.14,7.26,7.25,0.01,0.1379,354603.12,257578.749
000917.SZ,20200108,7.24,7.51,7.18,7.25,7.33,-0.08,-1.0914,596757.54,438353.608
000917.SZ,20200107,6.93,7.43,6.9,7.33,6.9,0.43,6.2319,668738.74,482593.18
000917.SZ,20200106,6.8,7.0,6.71,6.9,6.86,0.04,0.5831,364252.75,250626.235
000917.SZ,20200103,6.86,6.95,6.78,6.86,6.87,-0.01,-0.1456,308711.3,211960.121
000917.SZ,20200102,6.83,6.95,6.81,6.87,6.74,0.13,1.9288,372312.52,256087.255
000917.SZ,20191231,6.79,6.95,6.71,6.74,6.75,-0.01,-0.1481,334350.16,227945.415
000917.SZ,20191230,6.7,6.83,6.59,6.75,6.46,0.29,4.4892,476207.38,319444.967
000917.SZ,20191227,6.56,6.65,6.43,6.46,6.57,-0.11,-1.6743,214647.61,140921.057
000917.SZ,20191226,6.4,6.59,6.36,6.57,6.41,0.16,2.4961,234967.73,152627.01
000917.SZ,20191225,6.44,6.48,6.37,6.41,6.44,-0.03,-0.4658,132154.45,84947.625
000917.SZ,20191224,6.41,6.45,6.31,6.44,6.41,0.03,0.468,175187.98,111869.575
000917.SZ,20191223,6.63,6.75,6.4,6.41,6.64,-0.23,-3.4639,235820.49,154080.205
000917.SZ,20191220,6.6,6.83,6.52,6.64,6.62,0.02,0.3021,309905.98,206814.452
000917.SZ,20191219,6.58,6.72,6.53,6.62,6.52,0.1,1.5337,244803.25,162094.892
000917.SZ,20191218,6.55,6.65,6.47,6.52,6.55,-0.03,-0.458,202642.1,132792.304
000917.SZ,20191217,6.41,6.6,6.39,6.55,6.43,0.12,1.8663,248710.8,162494.232
000917.SZ,20191216,6.33,6.43,6.28,6.43,6.31,0.12,1.9017,169796.32,108307.985
000917.SZ,20191213,6.25,6.42,6.23,6.31,6.17,0.14,2.269,183744.16,116215.157
000917.SZ,20191212,6.31,6.31,6.17,6.17,6.3,-0.13,-2.0635,107621.7,67058.994
000917.SZ,20191211,6.27,6.34,6.22,6.3,6.29,0.01,0.159,127828.12,80150.233
000917.SZ,20191210,6.11,6.36,6.09,6.29,6.11,0.18,2.946,215592.33,134618.618
000917.SZ,20191209,6.11,6.15,6.07,6.11,6.11,0.0,0.0,75811.03,46333.711
000917.SZ,20191206,6.09,6.12,6.04,6.11,6.1,0.01,0.1639,78890.23,48025.674
000917.SZ,20191205,6.02,6.13,6.01,6.1,6.02,0.08,1.3289,83667.84,50915.711
000917.SZ,20191204,5.98,6.04,5.97,6.02,6.02,0.0,0.0,47073.06,28264.713
000917.SZ,20191203,5.96,6.02,5.9,6.02,5.98,0.04,0.6689,63040.7,37456.306
000917.SZ,20191202,6.0,6.03,5.97,5.98,5.97,0.01,0.1675,52128.13,31269.818
