ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002715.SZ,20200110,19.42,20.5,19.42,19.47,19.34,0.13,0.6722,25780.5,51121.33
002715.SZ,20200109,18.94,19.47,18.8,19.34,18.97,0.37,1.9504,20087.71,38541.28
002715.SZ,20200108,18.36,19.17,18.36,18.97,18.52,0.45,2.4298,21951.6,41560.385
002715.SZ,20200107,18.7,18.78,18.39,18.52,18.7,-0.18,-0.9626,12093.0,22447.643
002715.SZ,20200106,18.42,18.9,18.2,18.7,18.59,0.11,0.5917,12169.0,22645.995
002715.SZ,20200103,18.73,19.03,18.52,18.59,18.69,-0.1,-0.535,10075.54,18872.591
002715.SZ,20200102,18.2,18.76,18.17,18.69,18.2,0.49,2.6923,16288.03,30203.777
002715.SZ,20191231,18.54,18.54,18.04,18.2,18.32,-0.12,-0.655,9888.76,18027.706
002715.SZ,20191230,18.22,18.33,17.62,18.32,18.42,-0.1,-0.5429,15070.06,27134.932
002715.SZ,20191227,18.42,18.55,18.24,18.42,18.42,0.0,0.0,15249.57,28058.938
002715.SZ,20191226,18.52,18.68,18.2,18.42,18.13,0.29,1.5996,15595.61,28707.696
002715.SZ,20191225,17.91,18.63,17.65,18.13,17.75,0.38,2.1408,16910.98,30844.494
002715.SZ,20191224,17.7,18.8,17.4,17.75,17.1,0.65,3.8012,21556.92,38601.45
002715.SZ,20191223,17.3,17.42,17.07,17.1,17.37,-0.27,-1.5544,9528.16,16388.664
002715.SZ,20191220,17.43,17.75,17.29,17.37,17.4,-0.03,-0.1724,11698.3,20484.109
002715.SZ,20191219,17.23,17.46,16.99,17.4,17.2,0.2,1.1628,11648.98,20093.021
002715.SZ,20191218,16.52,17.65,16.42,17.2,16.53,0.67,4.0532,23689.03,40815.736
002715.SZ,20191217,16.45,16.59,16.21,16.53,16.31,0.22,1.3489,10025.15,16455.466
002715.SZ,20191216,15.8,16.43,15.72,16.31,15.85,0.46,2.9022,8239.23,13335.865
002715.SZ,20191213,15.6,15.86,15.6,15.85,15.5,0.35,2.2581,6610.0,10404.937
002715.SZ,20191212,15.83,15.83,15.45,15.5,15.75,-0.25,-1.5873,4801.0,7493.812
002715.SZ,20191211,15.72,15.85,15.64,15.75,15.71,0.04,0.2546,2372.01,3738.741
002715.SZ,20191210,15.96,15.96,15.61,15.71,15.8,-0.09,-0.5696,2070.0,3258.754
002715.SZ,20191209,15.76,15.97,15.72,15.8,15.76,0.04,0.2538,2613.0,4127.135
002715.SZ,20191206,15.75,15.88,15.68,15.76,15.74,0.02,0.1271,2257.0,3548.212
002715.SZ,20191205,15.76,15.91,15.65,15.74,15.76,-0.02,-0.1269,1904.0,2999.75
002715.SZ,20191204,15.57,15.9,15.46,15.76,15.57,0.19,1.2203,4025.84,6330.856
002715.SZ,20191203,15.37,15.58,15.1,15.57,15.49,0.08,0.5165,2429.0,3760.58
002715.SZ,20191202,15.33,15.57,15.33,15.49,15.34,0.15,0.9778,2495.0,3849.905
002715.SZ,20191129,15.29,15.48,15.14,15.34,15.28,0.06,0.3927,1695.0,2596.334
002715.SZ,20191128,15.44,15.44,15.21,15.28,15.39,-0.11,-0.7147,1377.0,2107.937
002715.SZ,20191127,15.12,15.4,15.09,15.39,15.42,-0.03,-0.1946,1421.0,2173.324
002715.SZ,20191126,15.4,15.5,15.31,15.42,15.41,0.01,0.0649,1959.46,3019.678
002715.SZ,20191125,15.4,15.47,15.1,15.41,15.31,0.1,0.6532,2542.01,3896.357
002715.SZ,20191122,15.39,15.52,15.23,15.31,15.31,0.0,0.0,2958.0,4548.423
002715.SZ,20191121,15.44,15.44,15.15,15.31,15.29,0.02,0.1308,1722.0,2639.024
002715.SZ,20191120,15.48,15.56,15.21,15.29,15.56,-0.27,-1.7352,2637.01,4054.184
002715.SZ,20191119,15.35,15.64,15.32,15.56,15.4,0.16,1.039,3851.0,5973.047
002715.SZ,20191118,15.13,15.48,15.09,15.4,15.2,0.2,1.3158,2928.26,4493.04
002715.SZ,20191115,15.12,15.3,15.03,15.2,15.13,0.07,0.4627,5586.02,8473.699
002715.SZ,20191114,15.07,15.15,14.93,15.13,15.0,0.13,0.8667,1802.0,2716.967
002715.SZ,20191113,15.09,15.09,14.9,15.0,15.07,-0.07,-0.4645,2373.02,3549.63
002715.SZ,20191112,15.1,15.38,14.92,15.07,15.28,-0.21,-1.3743,3665.0,5517.309
002715.SZ,20191111,15.53,15.53,15.09,15.28,15.6,-0.32,-2.0513,8075.27,12303.202
002715.SZ,20191108,15.49,15.65,15.23,15.6,15.34,0.26,1.6949,5520.25,8524.238
002715.SZ,20191107,15.03,15.58,15.03,15.34,15.32,0.02,0.1305,6992.02,10774.15
002715.SZ,20191106,15.38,15.43,15.2,15.32,15.38,-0.06,-0.3901,3287.01,5022.396
002715.SZ,20191105,15.42,15.59,15.3,15.38,15.5,-0.12,-0.7742,3812.25,5867.478
002715.SZ,20191104,15.66,15.95,15.5,15.5,15.67,-0.17,-1.0849,3648.0,5690.051
002715.SZ,20191101,15.3,15.79,15.3,15.67,15.39,0.28,1.8194,4691.0,7330.832
002715.SZ,20191031,15.62,15.67,15.26,15.39,15.54,-0.15,-0.9653,4002.0,6186.543
002715.SZ,20191030,15.76,15.76,15.43,15.54,15.65,-0.11,-0.7029,4227.0,6596.278
002715.SZ,20191029,16.2,16.26,15.65,15.65,15.94,-0.29,-1.8193,4303.0,6823.85
002715.SZ,20191028,15.97,16.06,15.75,15.94,15.72,0.22,1.3995,6075.0,9682.523
002715.SZ,20191025,15.66,15.75,15.3,15.72,15.53,0.19,1.2234,5347.1,8301.299
002715.SZ,20191024,15.95,15.95,15.26,15.53,15.55,-0.02,-0.1286,3010.12,4680.467
002715.SZ,20191023,15.87,15.87,15.43,15.55,15.88,-0.33,-2.0781,5802.27,9062.695
002715.SZ,20191022,15.24,15.95,15.24,15.88,15.25,0.63,4.1311,5205.06,8152.763
002715.SZ,20191021,15.25,15.5,15.14,15.25,15.22,0.03,0.1971,3544.12,5413.457
002715.SZ,20191018,15.57,15.68,15.19,15.22,15.57,-0.35,-2.2479,4410.0,6779.583
002715.SZ,20191017,15.58,15.75,15.52,15.57,15.69,-0.12,-0.7648,3957.26,6172.91
002715.SZ,20191016,16.13,16.13,15.6,15.69,16.04,-0.35,-2.182,4390.01,6973.066
002715.SZ,20191015,16.0,16.35,15.74,16.04,16.17,-0.13,-0.804,9451.0,15158.516
002715.SZ,20191014,15.95,16.21,15.75,16.17,15.88,0.29,1.8262,9367.06,14976.343
002715.SZ,20191011,15.65,15.96,15.59,15.88,15.67,0.21,1.3401,5096.05,8021.13
002715.SZ,20191010,15.58,15.78,15.51,15.67,15.58,0.09,0.5777,3105.0,4854.83
002715.SZ,20191009,15.44,15.7,15.26,15.58,15.44,0.14,0.9067,4447.02,6892.758
002715.SZ,20191008,15.21,15.56,15.21,15.44,15.25,0.19,1.2459,2900.0,4473.155
002715.SZ,20190930,15.48,15.65,15.21,15.25,15.47,-0.22,-1.4221,2960.0,4541.677
002715.SZ,20190927,15.39,15.82,15.31,15.47,15.46,0.01,0.0647,3588.05,5570.227
002715.SZ,20190926,16.01,16.01,15.38,15.46,15.82,-0.36,-2.2756,4246.85,6620.341
002715.SZ,20190925,16.46,16.46,15.7,15.82,16.4,-0.58,-3.5366,8013.86,12822.88
002715.SZ,20190924,16.23,16.49,16.23,16.4,16.23,0.17,1.0474,6029.0,9859.868
002715.SZ,20190923,16.31,16.47,16.05,16.23,16.44,-0.21,-1.2774,6370.01,10311.917
002715.SZ,20190920,16.2,16.58,16.2,16.44,16.2,0.24,1.4815,8960.85,14741.777
002715.SZ,20190919,15.6,16.26,15.6,16.2,15.75,0.45,2.8571,7826.89,12527.553
002715.SZ,20190918,15.71,15.98,15.5,15.75,15.95,-0.2,-1.2539,7811.26,12262.047
002715.SZ,20190917,17.07,17.07,15.85,15.95,16.33,-0.38,-2.327,10488.19,17230.464
002715.SZ,20190916,16.21,16.37,16.07,16.33,16.2,0.13,0.8025,6188.19,10041.231
002715.SZ,20190912,16.52,16.67,16.16,16.2,16.64,-0.44,-2.6442,12346.01,20183.964
002715.SZ,20190911,16.18,16.73,15.97,16.64,16.16,0.48,2.9703,13281.72,21897.72
002715.SZ,20190910,16.2,16.35,16.01,16.16,16.08,0.08,0.4975,5111.01,8254.875
002715.SZ,20190909,16.34,16.34,15.83,16.08,15.87,0.21,1.3233,6081.28,9752.857
002715.SZ,20190906,16.0,16.07,15.8,15.87,15.88,-0.01,-0.063,4634.0,7371.45
002715.SZ,20190905,15.8,16.1,15.78,15.88,15.77,0.11,0.6975,5092.0,8128.036
002715.SZ,20190904,15.84,15.84,15.54,15.77,15.71,0.06,0.3819,3890.61,6114.187
002715.SZ,20190903,15.93,15.98,15.65,15.71,15.93,-0.22,-1.381,4644.0,7316.408
002715.SZ,20190902,15.28,16.0,15.28,15.93,15.33,0.6,3.9139,6103.25,9660.403
002715.SZ,20190830,15.75,15.98,15.25,15.33,15.67,-0.34,-2.1698,4107.0,6412.176
002715.SZ,20190829,15.9,15.99,15.6,15.67,15.89,-0.22,-1.3845,3315.0,5213.324
002715.SZ,20190828,15.65,15.99,15.43,15.89,15.65,0.24,1.5335,5002.0,7920.345
002715.SZ,20190827,15.4,15.74,15.38,15.65,15.5,0.15,0.9677,3878.0,6067.86
002715.SZ,20190826,14.81,15.72,14.75,15.5,15.25,0.25,1.6393,6170.0,9498.022
002715.SZ,20190823,15.45,15.58,15.21,15.25,15.6,-0.35,-2.2436,6203.0,9524.072
002715.SZ,20190822,15.38,15.6,15.35,15.6,15.41,0.19,1.233,5317.01,8229.201
002715.SZ,20190821,15.57,15.64,15.31,15.41,15.58,-0.17,-1.0911,3803.14,5895.875
002715.SZ,20190820,15.45,15.65,15.17,15.58,15.36,0.22,1.4323,4088.0,6338.794
002715.SZ,20190819,14.81,15.47,14.8,15.36,14.92,0.44,2.9491,5776.24,8804.857
002715.SZ,20190816,14.8,15.06,14.77,14.92,14.89,0.03,0.2015,2608.37,3894.512
002715.SZ,20190815,14.84,14.9,14.51,14.89,14.94,-0.05,-0.3347,3693.0,5437.495
002715.SZ,20190814,15.1,15.35,14.91,14.94,14.96,-0.02,-0.1337,3219.0,4847.183
002715.SZ,20190813,14.97,14.97,14.75,14.96,15.05,-0.09,-0.598,2095.0,3111.087
002715.SZ,20190812,14.41,15.05,14.41,15.05,14.7,0.35,2.381,2982.0,4437.895
002715.SZ,20190809,15.08,15.18,14.57,14.7,14.93,-0.23,-1.5405,3369.25,4987.811
002715.SZ,20190808,15.18,15.18,14.38,14.93,14.98,-0.05,-0.3338,2716.0,4040.257
002715.SZ,20190807,15.1,15.44,14.97,14.98,15.16,-0.18,-1.1873,3687.0,5564.852
002715.SZ,20190806,15.8,15.8,15.0,15.16,15.9,-0.74,-4.6541,5206.0,7937.597
002715.SZ,20190805,15.94,16.13,15.8,15.9,15.97,-0.07,-0.4383,3933.25,6288.573
