ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603861.SH,20200110,8.99,9.06,8.84,8.95,8.94,0.01,0.1119,9660.49,8631.696
603861.SH,20200109,8.91,8.98,8.89,8.94,8.85,0.09,1.0169,10251.62,9162.085
603861.SH,20200108,9.0,9.0,8.82,8.85,9.02,-0.17,-1.8847,11973.57,10673.965
603861.SH,20200107,8.88,9.02,8.85,9.02,8.91,0.11,1.2346,16058.69,14351.516
603861.SH,20200106,8.8,8.91,8.75,8.91,8.86,0.05,0.5643,17449.39,15434.026
603861.SH,20200103,8.87,8.87,8.75,8.86,8.79,0.07,0.7964,10942.33,9644.602
603861.SH,20200102,8.79,8.81,8.71,8.79,8.73,0.06,0.6873,12183.86,10697.11
603861.SH,20191231,8.67,8.82,8.67,8.73,8.69,0.04,0.4603,4879.0,4255.012
603861.SH,20191230,8.9,8.9,8.6,8.69,8.64,0.05,0.5787,10515.9,9158.013
603861.SH,20191227,8.7,8.77,8.62,8.64,8.7,-0.06,-0.6897,8384.0,7304.055
603861.SH,20191226,8.67,8.72,8.67,8.7,8.67,0.03,0.346,6661.23,5793.128
603861.SH,20191225,8.67,8.7,8.61,8.67,8.67,0.0,0.0,7135.0,6182.521
603861.SH,20191224,8.62,8.69,8.55,8.67,8.57,0.1,1.1669,8727.0,7510.472
603861.SH,20191223,8.55,8.67,8.55,8.57,8.67,-0.1,-1.1534,8431.0,7254.756
603861.SH,20191220,8.67,8.78,8.65,8.67,8.67,0.0,0.0,13877.21,12099.149
603861.SH,20191219,8.66,8.76,8.6,8.67,8.68,-0.01,-0.1152,11088.61,9606.34
603861.SH,20191218,8.76,8.95,8.67,8.68,8.58,0.1,1.1655,23037.19,20233.227
603861.SH,20191217,8.51,8.59,8.48,8.58,8.51,0.07,0.8226,10261.83,8773.608
603861.SH,20191216,8.49,8.52,8.41,8.51,8.45,0.06,0.7101,10441.0,8843.753
603861.SH,20191213,8.34,8.46,8.33,8.45,8.34,0.11,1.3189,8255.0,6940.756
603861.SH,20191212,8.39,8.47,8.32,8.34,8.42,-0.08,-0.9501,4888.02,4087.237
603861.SH,20191211,8.44,8.5,8.39,8.42,8.43,-0.01,-0.1186,4428.0,3742.005
603861.SH,20191210,8.46,8.47,8.32,8.43,8.48,-0.05,-0.5896,4971.0,4180.717
603861.SH,20191209,8.49,8.51,8.43,8.48,8.49,-0.01,-0.1178,5497.0,4659.251
603861.SH,20191206,8.47,8.49,8.45,8.49,8.47,0.02,0.2361,4622.0,3916.011
603861.SH,20191205,8.48,8.51,8.44,8.47,8.46,0.01,0.1182,4629.0,3918.964
603861.SH,20191204,8.46,8.5,8.4,8.46,8.47,-0.01,-0.1181,5732.0,4843.716
603861.SH,20191203,8.41,8.48,8.3,8.47,8.41,0.06,0.7134,7071.0,5955.134
603861.SH,20191202,8.28,8.44,8.28,8.41,8.32,0.09,1.0817,5550.0,4643.031
603861.SH,20191129,8.26,8.34,8.25,8.32,8.28,0.04,0.4831,5405.5,4490.635
603861.SH,20191128,8.23,8.4,8.23,8.28,8.29,-0.01,-0.1206,5475.5,4559.419
603861.SH,20191127,8.22,8.31,8.22,8.29,8.27,0.02,0.2418,4069.02,3367.87
603861.SH,20191126,8.25,8.28,8.18,8.27,8.27,0.0,0.0,5094.0,4196.38
