ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002568.SZ,20200110,25.29,26.5,25.29,26.27,25.23,1.04,4.1221,55957.94,145661.912
002568.SZ,20200109,25.11,25.48,24.99,25.23,24.99,0.24,0.9604,38955.4,98299.591
002568.SZ,20200108,26.28,26.29,24.86,24.99,26.39,-1.4,-5.305,60640.72,154166.271
002568.SZ,20200107,25.58,26.57,25.46,26.39,25.49,0.9,3.5308,36138.63,94779.562
002568.SZ,20200106,25.51,25.66,25.28,25.49,25.7,-0.21,-0.8171,24696.95,62914.305
002568.SZ,20200103,25.91,25.92,25.45,25.7,25.92,-0.22,-0.8488,33990.28,87196.846
002568.SZ,20200102,26.6,26.6,25.75,25.92,26.27,-0.35,-1.3323,40327.24,104855.158
002568.SZ,20191231,25.93,26.58,25.93,26.27,25.92,0.35,1.3503,26104.08,68518.3
002568.SZ,20191230,25.35,25.96,25.15,25.92,25.52,0.4,1.5674,23297.07,59903.743
002568.SZ,20191227,25.28,26.13,25.23,25.52,25.55,-0.03,-0.1174,32979.34,84825.458
002568.SZ,20191226,26.0,26.12,25.4,25.55,26.0,-0.45,-1.7308,33794.92,86549.168
002568.SZ,20191225,27.31,27.31,25.83,26.0,26.98,-0.98,-3.6323,44409.39,117288.618
002568.SZ,20191224,26.43,27.22,26.25,26.98,26.3,0.68,2.5856,52252.31,140165.153
002568.SZ,20191223,25.32,26.89,25.32,26.3,25.64,0.66,2.5741,67972.22,178795.886
002568.SZ,20191220,25.45,25.8,25.1,25.64,25.48,0.16,0.6279,29414.07,74814.406
002568.SZ,20191219,25.77,25.95,25.25,25.48,26.04,-0.56,-2.1505,43900.76,111835.119
002568.SZ,20191218,24.67,26.18,24.63,26.04,24.58,1.46,5.9398,73624.31,188454.743
002568.SZ,20191217,24.73,24.84,24.24,24.58,24.67,-0.09,-0.3648,30862.16,75564.796
002568.SZ,20191216,24.98,25.3,24.45,24.67,24.82,-0.15,-0.6044,27939.32,69001.303
002568.SZ,20191213,24.5,24.99,24.43,24.82,24.3,0.52,2.1399,28381.52,70118.294
002568.SZ,20191212,24.38,24.52,24.1,24.3,24.29,0.01,0.0412,20155.9,48992.456
002568.SZ,20191211,24.54,24.63,24.14,24.29,24.38,-0.09,-0.3692,25944.75,63245.265
002568.SZ,20191210,25.0,25.03,24.2,24.38,25.04,-0.66,-2.6358,48830.54,119595.048
002568.SZ,20191209,25.65,27.18,24.84,25.04,25.52,-0.48,-1.8809,58877.23,152201.29
002568.SZ,20191206,25.34,25.84,25.1,25.52,25.29,0.23,0.9095,34968.26,89292.866
002568.SZ,20191205,25.3,25.58,25.11,25.29,25.3,-0.01,-0.0395,28167.65,71323.827
002568.SZ,20191204,25.29,25.65,25.02,25.3,25.38,-0.08,-0.3152,25564.05,64642.861
002568.SZ,20191203,25.5,26.07,25.01,25.38,25.75,-0.37,-1.4369,47533.55,120898.612
002568.SZ,20191202,26.77,26.77,25.7,25.75,26.51,-0.76,-2.8668,43458.81,112947.938
002568.SZ,20191129,27.05,27.36,25.87,26.51,27.05,-0.54,-1.9963,68230.59,181135.781
002568.SZ,20191128,25.11,27.27,25.11,27.05,25.11,1.94,7.726,80713.97,214759.761
002568.SZ,20191127,24.66,25.59,24.51,25.11,24.45,0.66,2.6994,49444.65,124121.694
002568.SZ,20191126,24.95,25.58,24.35,24.45,24.65,-0.2,-0.8114,51768.25,128715.641
002568.SZ,20191125,24.84,25.44,24.3,24.65,24.86,-0.21,-0.8447,37445.68,92868.68
002568.SZ,20191122,25.91,26.4,24.06,24.86,25.67,-0.81,-3.1554,53355.44,135299.82
002568.SZ,20191121,26.09,26.09,25.44,25.67,26.05,-0.38,-1.4587,35668.48,91807.378
002568.SZ,20191120,26.49,26.69,25.68,26.05,26.39,-0.34,-1.2884,37898.45,98779.443
002568.SZ,20191119,26.22,26.56,26.05,26.39,26.18,0.21,0.8021,44732.85,117730.804
002568.SZ,20191118,26.17,26.47,25.51,26.18,26.17,0.01,0.0382,45472.95,118873.066
002568.SZ,20191115,27.02,27.02,26.17,26.17,26.88,-0.71,-2.6414,37833.65,100652.614
