ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300189.SZ,20200110,3.89,3.89,3.77,3.79,3.89,-0.1,-2.5707,153896.0,58677.703
300189.SZ,20200109,3.85,3.91,3.82,3.89,3.85,0.04,1.039,196734.5,76000.459
300189.SZ,20200108,3.97,4.07,3.82,3.85,4.06,-0.21,-5.1724,373872.8,146415.069
300189.SZ,20200107,4.11,4.2,3.95,4.06,4.31,-0.25,-5.8005,610464.09,247222.405
300189.SZ,20200106,4.1,4.38,4.06,4.31,4.05,0.26,6.4198,910476.5,384789.148
300189.SZ,20200103,3.7,4.05,3.7,4.05,3.68,0.37,10.0543,447573.01,180087.55
300189.SZ,20200102,3.57,3.72,3.53,3.68,3.61,0.07,1.9391,130105.8,47202.405
300189.SZ,20191231,3.7,3.8,3.61,3.61,3.61,0.0,0.0,106141.36,39141.947
300189.SZ,20191230,3.53,3.64,3.4,3.61,3.54,0.07,1.9774,87374.06,30600.664
300189.SZ,20191227,3.54,3.58,3.53,3.54,3.54,0.0,0.0,47133.0,16738.054
300189.SZ,20191226,3.56,3.59,3.52,3.54,3.58,-0.04,-1.1173,47741.0,16920.634
300189.SZ,20191225,3.66,3.67,3.58,3.58,3.65,-0.07,-1.9178,50439.5,18157.911
300189.SZ,20191224,3.61,3.66,3.59,3.65,3.6,0.05,1.3889,53105.95,19255.157
300189.SZ,20191223,3.75,3.77,3.6,3.6,3.75,-0.15,-4.0,93064.0,34053.827
300189.SZ,20191220,3.79,3.82,3.74,3.75,3.78,-0.03,-0.7937,56254.8,21253.143
300189.SZ,20191219,3.8,3.85,3.78,3.78,3.84,-0.06,-1.5625,62395.5,23699.402
300189.SZ,20191218,3.81,3.89,3.81,3.84,3.86,-0.02,-0.5181,66940.5,25728.501
300189.SZ,20191217,3.89,3.89,3.81,3.86,3.88,-0.02,-0.5155,69674.02,26756.781
300189.SZ,20191216,3.85,3.92,3.83,3.88,3.89,-0.01,-0.2571,57159.9,22117.538
300189.SZ,20191213,3.76,3.92,3.76,3.89,3.76,0.13,3.4574,82504.24,31800.044
300189.SZ,20191212,3.77,3.8,3.75,3.76,3.77,-0.01,-0.2653,43282.8,16357.663
300189.SZ,20191211,3.81,3.85,3.76,3.77,3.81,-0.04,-1.0499,40612.0,15340.031
300189.SZ,20191210,3.86,3.86,3.73,3.81,3.86,-0.05,-1.2953,83657.26,31649.703
300189.SZ,20191209,3.92,3.96,3.82,3.86,3.95,-0.09,-2.2785,98598.6,38305.352
300189.SZ,20191206,4.01,4.03,3.94,3.95,4.01,-0.06,-1.4963,61413.0,24360.586
