ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300156.SZ,20200110,1.82,1.82,1.76,1.77,1.82,-0.05,-2.7473,187330.0,33406.121
300156.SZ,20200109,1.79,1.83,1.78,1.82,1.79,0.03,1.676,212281.5,38439.411
300156.SZ,20200108,1.8,1.87,1.79,1.79,1.83,-0.04,-2.1858,319677.77,58464.74
300156.SZ,20200107,1.82,1.87,1.79,1.83,1.82,0.01,0.5495,308655.11,56222.413
300156.SZ,20200106,1.78,1.85,1.74,1.82,1.8,0.02,1.1111,418938.84,75480.972
300156.SZ,20200103,1.73,1.84,1.73,1.8,1.74,0.06,3.4483,424485.44,76107.032
300156.SZ,20200102,1.73,1.75,1.7,1.74,1.68,0.06,3.5714,246982.46,42610.786
300156.SZ,20191231,1.65,1.71,1.65,1.68,1.67,0.01,0.5988,190543.5,32025.668
300156.SZ,20191230,1.66,1.68,1.63,1.67,1.67,0.0,0.0,161721.25,26803.127
300156.SZ,20191227,1.71,1.73,1.67,1.67,1.71,-0.04,-2.3392,183706.0,31323.396
300156.SZ,20191226,1.69,1.72,1.68,1.71,1.71,0.0,0.0,170554.44,28989.016
300156.SZ,20191225,1.73,1.76,1.69,1.71,1.72,-0.01,-0.5814,235658.13,40700.936
300156.SZ,20191224,1.66,1.73,1.65,1.72,1.68,0.04,2.381,271400.67,46420.592
300156.SZ,20191223,1.7,1.72,1.66,1.68,1.74,-0.06,-3.4483,296408.65,49963.211
300156.SZ,20191220,1.8,1.8,1.72,1.74,1.8,-0.06,-3.3333,332000.98,58452.599
300156.SZ,20191219,1.78,1.85,1.73,1.8,1.77,0.03,1.6949,502451.96,89800.002
300156.SZ,20191218,1.71,1.77,1.68,1.77,1.72,0.05,2.907,389525.53,67149.921
300156.SZ,20191217,1.66,1.75,1.64,1.72,1.66,0.06,3.6145,365676.98,61929.564
300156.SZ,20191216,1.65,1.66,1.62,1.66,1.64,0.02,1.2195,151409.75,24868.377
300156.SZ,20191213,1.63,1.65,1.62,1.64,1.62,0.02,1.2346,108873.0,17850.832
300156.SZ,20191212,1.65,1.65,1.62,1.62,1.66,-0.04,-2.4096,113095.0,18483.132
300156.SZ,20191211,1.63,1.68,1.63,1.66,1.65,0.01,0.6061,162352.0,26894.946
300156.SZ,20191210,1.67,1.68,1.63,1.65,1.67,-0.02,-1.1976,134636.5,22160.936
300156.SZ,20191209,1.69,1.7,1.66,1.67,1.68,-0.01,-0.5952,117068.56,19605.209
300156.SZ,20191206,1.67,1.69,1.65,1.68,1.66,0.02,1.2048,125445.0,21006.513
300156.SZ,20191205,1.66,1.67,1.63,1.66,1.65,0.01,0.6061,138032.0,22811.244
300156.SZ,20191204,1.62,1.69,1.61,1.65,1.62,0.03,1.8519,203362.03,33646.13
300156.SZ,20191203,1.58,1.64,1.57,1.62,1.59,0.03,1.8868,143184.0,23070.351
300156.SZ,20191202,1.65,1.65,1.59,1.59,1.64,-0.05,-3.0488,168225.01,27166.201
