ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600576.SH,20200110,5.23,5.23,5.05,5.12,5.2,-0.08,-1.5385,110872.62,56681.884
600576.SH,20200109,5.17,5.3,5.16,5.2,5.2,0.0,0.0,161417.28,84154.377
600576.SH,20200108,5.16,5.35,5.1,5.2,5.23,-0.03,-0.5736,210111.38,109267.178
600576.SH,20200107,5.02,5.34,5.02,5.23,5.0,0.23,4.6,277687.99,145314.345
600576.SH,20200106,4.95,5.06,4.89,5.0,4.99,0.01,0.2004,147448.79,73519.63
600576.SH,20200103,5.04,5.09,4.94,4.99,5.04,-0.05,-0.9921,162664.67,81525.922
600576.SH,20200102,4.88,5.11,4.86,5.04,4.89,0.15,3.0675,196493.4,98372.151
600576.SH,20191231,4.85,4.95,4.84,4.89,4.9,-0.01,-0.2041,88363.97,43141.131
600576.SH,20191230,4.74,4.9,4.71,4.9,4.85,0.05,1.0309,105931.72,50870.612
600576.SH,20191227,5.01,5.03,4.84,4.85,5.0,-0.15,-3.0,136760.8,67528.455
600576.SH,20191226,4.88,5.02,4.84,5.0,4.88,0.12,2.459,152624.24,75564.663
600576.SH,20191225,4.94,4.97,4.84,4.88,4.93,-0.05,-1.0142,113868.41,55801.41
600576.SH,20191224,4.83,4.94,4.83,4.93,4.86,0.07,1.4403,86391.18,42378.655
600576.SH,20191223,4.98,4.98,4.85,4.86,5.06,-0.2,-3.9526,166003.48,81337.501
600576.SH,20191220,5.2,5.25,5.06,5.06,5.39,-0.33,-6.1224,317701.96,163061.43
600576.SH,20191219,5.45,5.76,5.36,5.39,5.5,-0.11,-2.0,439100.42,243902.785
600576.SH,20191218,5.29,5.52,5.22,5.5,5.32,0.18,3.3835,416343.26,223501.206
600576.SH,20191217,5.21,5.42,5.17,5.32,5.29,0.03,0.5671,346076.87,183123.615
600576.SH,20191216,5.1,5.32,5.07,5.29,5.17,0.12,2.3211,320245.94,167596.833
600576.SH,20191213,5.29,5.43,5.12,5.17,5.33,-0.16,-3.0019,377293.84,197019.54
600576.SH,20191212,5.2,5.49,5.2,5.33,5.68,-0.35,-6.162,620038.04,328713.872
600576.SH,20191211,6.1,6.27,5.61,5.68,5.7,-0.02,-0.3509,891638.57,536590.214
600576.SH,20191210,5.22,5.7,5.06,5.7,5.18,0.52,10.0386,689723.61,374363.72
600576.SH,20191209,5.1,5.18,4.99,5.18,4.71,0.47,9.9788,294577.5,151886.7
600576.SH,20191206,4.27,4.71,4.26,4.71,4.28,0.43,10.0467,106134.12,48430.565
600576.SH,20191205,4.29,4.32,4.26,4.28,4.28,0.0,0.0,17503.4,7495.989
600576.SH,20191204,4.24,4.34,4.24,4.28,4.27,0.01,0.2342,20989.53,8991.169
600576.SH,20191203,4.25,4.27,4.21,4.27,4.26,0.01,0.2347,14436.31,6120.407
600576.SH,20191202,4.26,4.28,4.22,4.26,4.26,0.0,0.0,9410.6,4001.025
600576.SH,20191129,4.27,4.3,4.23,4.26,4.27,-0.01,-0.2342,8145.0,3467.792
600576.SH,20191128,4.3,4.3,4.25,4.27,4.31,-0.04,-0.9281,10165.83,4339.291
600576.SH,20191127,4.32,4.35,4.27,4.31,4.32,-0.01,-0.2315,17020.61,7325.308
600576.SH,20191126,4.46,4.46,4.29,4.32,4.42,-0.1,-2.2624,28375.79,12335.73
600576.SH,20191125,4.33,4.42,4.32,4.42,4.38,0.04,0.9132,21006.59,9195.92
600576.SH,20191122,4.4,4.48,4.33,4.38,4.43,-0.05,-1.1287,43353.78,19057.952
600576.SH,20191121,4.39,4.44,4.31,4.43,4.43,0.0,0.0,48551.82,21249.914
600576.SH,20191120,4.46,4.52,4.4,4.43,4.5,-0.07,-1.5556,67225.5,29913.066
600576.SH,20191119,4.33,4.57,4.32,4.5,4.38,0.12,2.7397,81977.58,36712.238
600576.SH,20191118,4.17,4.61,4.16,4.38,4.19,0.19,4.5346,53292.07,23330.814
600576.SH,20191115,4.12,4.23,4.09,4.19,4.13,0.06,1.4528,18374.45,7671.406
600576.SH,20191114,4.1,4.13,4.09,4.13,4.13,0.0,0.0,7801.82,3210.512
600576.SH,20191113,4.1,4.14,4.09,4.13,4.12,0.01,0.2427,9420.02,3871.995
600576.SH,20191112,4.13,4.16,4.1,4.12,4.15,-0.03,-0.7229,7796.02,3219.954
600576.SH,20191111,4.24,4.27,4.13,4.15,4.24,-0.09,-2.1226,15901.02,6639.26
600576.SH,20191108,4.26,4.28,4.23,4.24,4.26,-0.02,-0.4695,9243.61,3927.577
600576.SH,20191107,4.23,4.27,4.21,4.26,4.23,0.03,0.7092,6893.82,2928.304
600576.SH,20191106,4.34,4.34,4.23,4.23,4.34,-0.11,-2.5346,16980.66,7245.784
600576.SH,20191105,4.34,4.35,4.3,4.34,4.36,-0.02,-0.4587,15224.0,6577.462
600576.SH,20191104,4.37,4.39,4.32,4.36,4.35,0.01,0.2299,15181.0,6621.505
600576.SH,20191101,4.28,4.35,4.26,4.35,4.29,0.06,1.3986,14653.13,6333.422
600576.SH,20191031,4.32,4.36,4.27,4.29,4.34,-0.05,-1.1521,12886.0,5556.003
600576.SH,20191030,4.37,4.39,4.29,4.34,4.39,-0.05,-1.139,17137.22,7422.889
600576.SH,20191029,4.45,4.45,4.35,4.39,4.43,-0.04,-0.9029,15130.62,6641.79
600576.SH,20191028,4.38,4.44,4.35,4.43,4.37,0.06,1.373,21794.22,9615.352
600576.SH,20191025,4.26,4.37,4.26,4.37,4.27,0.1,2.3419,21691.4,9406.83
600576.SH,20191024,4.27,4.29,4.24,4.27,4.28,-0.01,-0.2336,8890.2,3787.505
