ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300194.SZ,20200110,5.64,5.65,5.47,5.54,5.6,-0.06,-1.0714,233788.39,129731.741
300194.SZ,20200109,5.6,5.73,5.55,5.6,5.58,0.02,0.3584,369697.18,207622.174
300194.SZ,20200108,5.56,5.82,5.45,5.58,5.6,-0.02,-0.3571,485366.95,272959.13
300194.SZ,20200107,5.55,5.63,5.52,5.6,5.56,0.04,0.7194,256502.93,143046.417
300194.SZ,20200106,5.44,5.65,5.41,5.56,5.48,0.08,1.4599,301902.55,167441.549
300194.SZ,20200103,5.53,5.57,5.41,5.48,5.56,-0.08,-1.4388,237072.45,130422.455
300194.SZ,20200102,5.54,5.6,5.48,5.56,5.54,0.02,0.361,313979.8,174409.645
300194.SZ,20191231,5.4,5.66,5.37,5.54,5.41,0.13,2.403,377279.22,208501.059
300194.SZ,20191230,5.34,5.41,5.18,5.41,5.35,0.06,1.1215,205330.99,109454.887
300194.SZ,20191227,5.48,5.56,5.34,5.35,5.5,-0.15,-2.7273,290775.61,158446.148
300194.SZ,20191226,5.77,5.77,5.41,5.5,5.54,-0.04,-0.722,362949.21,201349.231
300194.SZ,20191225,5.4,5.8,5.4,5.54,5.32,0.22,4.1353,399290.18,221301.123
300194.SZ,20191224,5.31,5.38,5.29,5.32,5.28,0.04,0.7576,251146.01,133976.709
300194.SZ,20191223,5.53,5.59,5.24,5.28,5.56,-0.28,-5.036,408778.63,219848.959
300194.SZ,20191220,5.98,6.08,5.55,5.56,5.81,-0.25,-4.3029,884429.09,514288.234
300194.SZ,20191219,5.3,5.81,5.27,5.81,5.28,0.53,10.0379,669179.71,373215.691
300194.SZ,20191218,5.27,5.39,5.25,5.28,5.28,0.0,0.0,308527.85,163925.41
300194.SZ,20191217,5.2,5.36,5.16,5.28,5.16,0.12,2.3256,378907.62,199633.169
300194.SZ,20191216,4.88,5.27,4.84,5.16,4.87,0.29,5.9548,388054.49,196848.408
300194.SZ,20191213,4.86,4.88,4.82,4.87,4.84,0.03,0.6198,113515.91,55077.612
300194.SZ,20191212,4.86,4.89,4.83,4.84,4.84,0.0,0.0,100458.0,48817.594
300194.SZ,20191211,4.86,4.9,4.82,4.84,4.89,-0.05,-1.0225,107111.5,51961.253
300194.SZ,20191210,4.9,4.92,4.8,4.89,4.92,-0.03,-0.6098,130820.95,63531.146
300194.SZ,20191209,4.87,4.95,4.8,4.92,4.85,0.07,1.4433,177330.78,86710.348
300194.SZ,20191206,4.88,4.9,4.82,4.85,4.89,-0.04,-0.818,85786.28,41619.39
300194.SZ,20191205,4.88,4.93,4.85,4.89,4.86,0.03,0.6173,110490.23,53907.674
300194.SZ,20191204,4.82,4.91,4.77,4.86,4.84,0.02,0.4132,99241.25,48098.778
300194.SZ,20191203,4.78,4.84,4.72,4.84,4.82,0.02,0.4149,116677.69,55807.681
300194.SZ,20191202,4.98,5.0,4.81,4.82,4.95,-0.13,-2.6263,141615.56,69167.646
300194.SZ,20191129,4.92,5.02,4.92,4.95,4.97,-0.02,-0.4024,61828.0,30682.742
300194.SZ,20191128,5.0,5.05,4.96,4.97,5.05,-0.08,-1.5842,89076.0,44517.296
300194.SZ,20191127,5.07,5.11,5.0,5.05,5.07,-0.02,-0.3945,82546.66,41695.801
300194.SZ,20191126,5.09,5.13,5.04,5.07,5.09,-0.02,-0.3929,76829.1,39072.646
300194.SZ,20191125,5.15,5.22,5.05,5.09,5.21,-0.12,-2.3033,113247.03,57836.76
300194.SZ,20191122,5.33,5.36,5.16,5.21,5.37,-0.16,-2.9795,226578.43,119051.683
300194.SZ,20191121,5.13,5.48,5.02,5.37,5.22,0.15,2.8736,380324.44,200673.554
300194.SZ,20191120,5.33,5.35,5.21,5.22,5.26,-0.04,-0.7605,244515.67,129019.219
300194.SZ,20191119,5.17,5.27,5.17,5.26,5.16,0.1,1.938,188150.49,98483.17
300194.SZ,20191118,5.13,5.21,5.09,5.16,5.18,-0.02,-0.3861,158353.71,81753.56
300194.SZ,20191115,5.09,5.29,4.99,5.18,5.08,0.1,1.9685,267080.6,137350.669
300194.SZ,20191114,5.0,5.14,5.0,5.08,5.03,0.05,0.994,121217.87,61612.354
300194.SZ,20191113,5.04,5.11,5.02,5.03,5.09,-0.06,-1.1788,129320.65,65449.201
300194.SZ,20191112,4.97,5.14,4.89,5.09,4.97,0.12,2.4145,217485.23,109336.901
300194.SZ,20191111,5.13,5.13,4.96,4.97,5.18,-0.21,-4.0541,177758.0,89125.387
300194.SZ,20191108,5.29,5.33,5.15,5.18,5.26,-0.08,-1.5209,151300.94,78865.734
300194.SZ,20191107,5.25,5.3,5.15,5.26,5.25,0.01,0.1905,101137.52,53046.451
300194.SZ,20191106,5.32,5.4,5.22,5.25,5.36,-0.11,-2.0522,182144.42,96260.036
300194.SZ,20191105,5.31,5.48,5.3,5.36,5.26,0.1,1.9011,215762.4,116181.993
300194.SZ,20191104,5.35,5.43,5.24,5.26,5.31,-0.05,-0.9416,197751.98,105298.596
300194.SZ,20191101,5.35,5.38,5.13,5.31,5.35,-0.04,-0.7477,215200.36,113168.028
300194.SZ,20191031,5.35,5.47,5.33,5.35,5.34,0.01,0.1873,176549.56,95355.471
300194.SZ,20191030,5.45,5.48,5.32,5.34,5.5,-0.16,-2.9091,187205.41,100795.202
300194.SZ,20191029,5.66,5.7,5.48,5.5,5.67,-0.17,-2.9982,279441.3,155416.948
300194.SZ,20191028,5.44,5.72,5.42,5.67,5.5,0.17,3.0909,453279.62,254073.163
300194.SZ,20191025,5.49,5.55,5.36,5.5,5.47,0.03,0.5484,210215.65,114599.499
300194.SZ,20191024,5.61,5.61,5.35,5.47,5.64,-0.17,-3.0142,247546.64,135892.659
300194.SZ,20191023,5.52,5.71,5.51,5.64,5.57,0.07,1.2567,381276.31,214164.725
300194.SZ,20191022,5.42,5.66,5.37,5.57,5.44,0.13,2.3897,318067.44,175078.692
300194.SZ,20191021,5.37,5.45,5.21,5.44,5.38,0.06,1.1152,236402.85,126460.098
300194.SZ,20191018,5.51,5.64,5.34,5.38,5.51,-0.13,-2.3593,279850.22,153265.399
300194.SZ,20191017,5.52,5.66,5.5,5.51,5.54,-0.03,-0.5415,215510.01,119966.351
300194.SZ,20191016,5.77,5.77,5.52,5.54,5.78,-0.24,-4.1522,360262.08,202605.926
300194.SZ,20191015,5.7,5.93,5.55,5.78,5.71,0.07,1.2259,539817.93,309838.096
300194.SZ,20191014,5.68,5.82,5.6,5.71,5.66,0.05,0.8834,473722.06,271007.375
300194.SZ,20191011,5.44,5.98,5.41,5.66,5.45,0.21,3.8532,641829.27,368051.063
300194.SZ,20191010,5.44,5.55,5.35,5.45,5.51,-0.06,-1.0889,436440.07,237581.368
300194.SZ,20191009,5.48,5.67,5.25,5.51,5.48,0.03,0.5474,694947.87,378697.469
300194.SZ,20191008,5.04,5.48,5.04,5.48,4.98,0.5,10.0402,445305.91,240573.894
300194.SZ,20190930,5.05,5.13,4.95,4.98,5.07,-0.09,-1.7751,198552.23,99797.199
300194.SZ,20190927,5.06,5.19,5.01,5.07,5.01,0.06,1.1976,285520.86,145646.488
300194.SZ,20190926,5.33,5.38,5.01,5.01,5.3,-0.29,-5.4717,341949.13,175948.634
300194.SZ,20190925,5.56,5.63,5.29,5.3,5.72,-0.42,-7.3427,505829.94,274680.023
300194.SZ,20190924,6.13,6.24,5.6,5.72,6.12,-0.4,-6.5359,688385.25,405008.127
300194.SZ,20190923,6.3,6.3,6.09,6.12,6.4,-0.28,-4.375,323577.89,199875.368
300194.SZ,20190920,6.22,6.44,6.12,6.4,6.23,0.17,2.7287,499642.05,313199.826
300194.SZ,20190919,6.24,6.28,6.07,6.23,6.23,0.0,0.0,365076.38,226563.876
300194.SZ,20190918,6.23,6.38,6.12,6.23,6.22,0.01,0.1608,448079.77,280465.864
300194.SZ,20190917,6.45,6.54,6.15,6.22,6.59,-0.37,-5.6146,640078.38,405624.436
300194.SZ,20190916,6.37,6.85,6.32,6.59,6.41,0.18,2.8081,990507.99,652479.196
