ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002679.SZ,20200110,18.7,19.57,18.45,19.5,18.7,0.8,4.2781,59895.09,114618.312
002679.SZ,20200109,17.43,18.8,17.43,18.7,17.53,1.17,6.6743,54877.99,100843.641
002679.SZ,20200108,17.18,17.75,17.17,17.53,17.28,0.25,1.4468,39556.1,69466.46
002679.SZ,20200107,16.95,17.52,16.72,17.28,16.97,0.31,1.8268,36961.6,63280.002
002679.SZ,20200106,16.14,17.03,16.01,16.97,16.05,0.92,5.7321,64634.74,108057.283
002679.SZ,20200103,16.16,16.29,15.85,16.05,16.14,-0.09,-0.5576,33693.5,54161.638
002679.SZ,20200102,16.19,16.3,16.03,16.14,16.12,0.02,0.1241,20082.6,32449.248
002679.SZ,20191231,16.3,16.39,16.12,16.12,16.29,-0.17,-1.0436,13858.12,22460.462
002679.SZ,20191230,16.16,16.48,15.95,16.29,16.15,0.14,0.8669,27659.62,44914.207
002679.SZ,20191227,15.8,16.68,15.7,16.15,15.87,0.28,1.7643,38827.78,63457.482
002679.SZ,20191226,15.06,15.9,15.06,15.87,15.22,0.65,4.2707,36842.72,57451.546
002679.SZ,20191225,15.63,15.63,15.12,15.22,15.42,-0.2,-1.297,27955.22,42656.576
002679.SZ,20191224,15.84,15.84,15.18,15.42,15.82,-0.4,-2.5284,26061.92,40258.592
002679.SZ,20191223,16.15,16.15,15.62,15.82,16.16,-0.34,-2.104,28770.0,45531.987
002679.SZ,20191220,16.19,16.34,16.11,16.16,16.15,0.01,0.0619,18662.06,30286.473
002679.SZ,20191219,16.25,16.28,15.91,16.15,16.2,-0.05,-0.3086,21873.1,35238.662
002679.SZ,20191218,16.5,16.55,16.15,16.2,16.46,-0.26,-1.5796,27956.5,45613.832
002679.SZ,20191217,16.58,16.77,16.4,16.46,16.66,-0.2,-1.2005,27756.64,45808.27
002679.SZ,20191216,17.06,17.07,16.36,16.66,17.01,-0.35,-2.0576,30116.03,49947.481
002679.SZ,20191213,16.5,17.33,14.79,17.01,16.43,0.58,3.5301,40458.23,68256.31
002679.SZ,20191212,16.97,16.98,16.41,16.43,16.99,-0.56,-3.2961,27278.06,45370.931
002679.SZ,20191211,17.39,17.39,16.72,16.99,17.01,-0.02,-0.1176,21164.58,35945.891
002679.SZ,20191210,17.1,17.18,16.97,17.01,17.13,-0.12,-0.7005,21023.4,35837.427
002679.SZ,20191209,16.95,17.15,16.7,17.13,16.86,0.27,1.6014,17945.0,30559.628
002679.SZ,20191206,17.0,17.12,16.64,16.86,17.0,-0.14,-0.8235,24063.86,40413.722
002679.SZ,20191205,17.15,17.23,16.88,17.0,17.09,-0.09,-0.5266,21529.4,36689.83
002679.SZ,20191204,17.21,17.36,16.97,17.09,17.21,-0.12,-0.6973,15448.6,26425.592
002679.SZ,20191203,17.63,17.97,16.91,17.21,17.63,-0.42,-2.3823,25090.4,43332.712
002679.SZ,20191202,17.41,17.75,17.4,17.63,17.4,0.23,1.3218,14352.8,25227.474
002679.SZ,20191129,17.61,17.75,17.32,17.4,17.4,0.0,0.0,14219.8,24834.859
002679.SZ,20191128,17.64,18.09,17.39,17.4,17.75,-0.35,-1.9718,28915.3,50907.757
002679.SZ,20191127,17.99,18.49,17.63,17.75,17.99,-0.24,-1.3341,18108.07,32505.614
002679.SZ,20191126,18.02,18.23,17.85,17.99,17.98,0.01,0.0556,17291.7,31219.947
002679.SZ,20191125,17.92,18.1,17.4,17.98,17.83,0.15,0.8413,26111.18,46380.228
002679.SZ,20191122,18.45,18.45,17.77,17.83,18.32,-0.49,-2.6747,28766.8,51928.218
002679.SZ,20191121,18.2,18.54,17.95,18.32,18.23,0.09,0.4937,24854.5,45514.192
002679.SZ,20191120,18.18,18.44,18.05,18.23,18.34,-0.11,-0.5998,35224.3,64174.021
002679.SZ,20191119,17.84,19.28,17.61,18.34,17.84,0.5,2.8027,69576.79,128136.826
002679.SZ,20191118,17.8,18.08,17.14,17.84,17.82,0.02,0.1122,39585.14,69359.668
002679.SZ,20191115,17.31,18.38,17.22,17.82,17.15,0.67,3.9067,57022.2,101499.085
002679.SZ,20191114,18.0,18.2,16.8,17.15,17.9,-0.75,-4.1899,54104.82,94011.829
002679.SZ,20191113,18.11,18.44,17.71,17.9,18.11,-0.21,-1.1596,28516.96,51486.21
002679.SZ,20191112,17.98,18.4,17.63,18.11,17.9,0.21,1.1732,29617.6,53398.066
002679.SZ,20191111,17.75,18.13,17.61,17.9,17.7,0.2,1.1299,39298.2,70384.284
002679.SZ,20191108,18.84,19.07,17.7,17.7,18.86,-1.16,-6.1506,79174.5,144909.888
002679.SZ,20191107,19.13,19.13,18.39,18.86,19.06,-0.2,-1.0493,55716.52,104458.991
002679.SZ,20191106,18.69,19.28,18.58,19.06,18.93,0.13,0.6867,58083.82,110032.389
002679.SZ,20191105,18.01,19.05,17.69,18.93,17.71,1.22,6.8888,72692.34,134332.507
002679.SZ,20191104,17.12,17.94,17.12,17.71,17.19,0.52,3.025,54416.3,95990.958
002679.SZ,20191101,17.11,17.33,17.01,17.19,17.1,0.09,0.5263,18974.49,32639.661
002679.SZ,20191031,17.48,17.48,16.95,17.1,17.37,-0.27,-1.5544,24113.19,41345.48
002679.SZ,20191030,17.27,17.5,17.05,17.37,17.35,0.02,0.1153,25716.76,44377.636
002679.SZ,20191029,17.55,17.66,17.26,17.35,17.44,-0.09,-0.5161,27482.46,47913.514
