ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603315.SH,20200110,12.95,13.3,12.84,13.25,12.98,0.27,2.0801,41744.83,54644.475
603315.SH,20200109,12.84,12.99,12.6,12.98,12.72,0.26,2.044,40279.71,51687.211
603315.SH,20200108,12.55,13.13,12.36,12.72,12.53,0.19,1.5164,49723.25,63714.148
603315.SH,20200107,12.35,12.65,12.34,12.53,12.27,0.26,2.119,27849.0,34818.497
603315.SH,20200106,12.08,12.5,12.08,12.27,12.27,0.0,0.0,29368.27,36161.907
603315.SH,20200103,12.19,12.44,12.12,12.27,12.26,0.01,0.0816,29215.25,35798.124
603315.SH,20200102,12.19,12.5,12.19,12.26,12.15,0.11,0.9053,24830.27,30524.35
603315.SH,20191231,11.86,12.15,11.79,12.15,11.8,0.35,2.9661,26182.71,31563.397
603315.SH,20191230,11.83,11.86,11.56,11.8,11.74,0.06,0.5111,12844.7,15041.044
603315.SH,20191227,11.9,11.94,11.74,11.74,11.87,-0.13,-1.0952,16567.0,19599.844
603315.SH,20191226,11.82,11.93,11.78,11.87,11.84,0.03,0.2534,14231.0,16884.596
603315.SH,20191225,12.01,12.01,11.78,11.84,11.9,-0.06,-0.5042,14739.12,17489.154
603315.SH,20191224,11.86,12.13,11.72,11.9,11.95,-0.05,-0.4184,22260.12,26387.297
603315.SH,20191223,11.84,12.24,11.76,11.95,11.73,0.22,1.8755,31100.91,37429.781
603315.SH,20191220,11.89,12.09,11.72,11.73,11.89,-0.16,-1.3457,15738.0,18705.623
603315.SH,20191219,11.8,11.98,11.75,11.89,11.77,0.12,1.0195,16485.15,19543.933
603315.SH,20191218,11.58,11.89,11.55,11.77,11.57,0.2,1.7286,18051.74,21172.925
603315.SH,20191217,11.33,11.63,11.32,11.57,11.34,0.23,2.0282,18440.49,21245.232
603315.SH,20191216,11.44,11.44,11.26,11.34,11.25,0.09,0.8,12286.38,13915.654
603315.SH,20191213,11.18,11.31,11.18,11.25,11.15,0.1,0.8969,10419.0,11708.614
603315.SH,20191212,11.13,11.24,11.02,11.15,11.07,0.08,0.7227,9313.0,10385.779
603315.SH,20191211,11.14,11.19,11.06,11.07,11.14,-0.07,-0.6284,6981.0,7759.275
603315.SH,20191210,11.07,11.14,11.04,11.14,11.08,0.06,0.5415,7818.0,8662.343
603315.SH,20191209,11.25,11.36,11.08,11.08,11.19,-0.11,-0.983,9378.0,10457.753
603315.SH,20191206,11.16,11.24,11.11,11.19,11.14,0.05,0.4488,7428.0,8305.921
603315.SH,20191205,11.04,11.17,11.04,11.14,11.04,0.1,0.9058,7821.0,8694.321
603315.SH,20191204,11.0,11.06,10.93,11.04,11.04,0.0,0.0,5164.0,5676.294
603315.SH,20191203,11.1,11.1,10.88,11.04,11.05,-0.01,-0.0905,6570.0,7218.021
603315.SH,20191202,10.92,11.18,10.92,11.05,10.92,0.13,1.1905,7634.27,8456.594
603315.SH,20191129,11.04,11.04,10.85,10.92,10.99,-0.07,-0.6369,6748.0,7378.674
603315.SH,20191128,11.19,11.19,10.94,10.99,11.08,-0.09,-0.8123,7380.0,8157.382
603315.SH,20191127,11.13,11.29,11.08,11.08,11.2,-0.12,-1.0714,9056.0,10098.075
603315.SH,20191126,11.38,11.38,11.17,11.2,11.31,-0.11,-0.9726,7022.0,7895.617
603315.SH,20191125,11.24,11.39,11.11,11.31,11.17,0.14,1.2534,8862.0,9974.779
603315.SH,20191122,11.42,11.49,11.11,11.17,11.4,-0.23,-2.0175,9890.0,11159.342
603315.SH,20191121,11.26,11.48,11.18,11.4,11.34,0.06,0.5291,5808.0,6602.092
603315.SH,20191120,11.55,11.58,11.32,11.34,11.49,-0.15,-1.3055,11383.0,13055.204
603315.SH,20191119,11.17,11.55,11.17,11.49,11.29,0.2,1.7715,12671.0,14460.087
603315.SH,20191118,11.43,11.54,11.1,11.29,11.45,-0.16,-1.3974,14350.0,16163.024
603315.SH,20191115,11.8,11.88,11.43,11.45,11.77,-0.32,-2.7188,22512.01,26101.746
603315.SH,20191114,11.26,12.0,11.13,11.77,11.08,0.69,6.2274,26910.11,31513.274
603315.SH,20191113,11.28,11.48,11.03,11.08,11.29,-0.21,-1.8601,12070.11,13538.067
603315.SH,20191112,11.39,11.6,10.78,11.29,11.5,-0.21,-1.8261,21561.0,24143.869
603315.SH,20191111,11.87,11.87,11.42,11.5,11.87,-0.37,-3.1171,11010.0,12779.678
603315.SH,20191108,12.04,12.19,11.86,11.87,12.03,-0.16,-1.33,12272.0,14743.724
603315.SH,20191107,11.89,12.08,11.68,12.03,11.81,0.22,1.8628,12966.0,15474.216
603315.SH,20191106,11.85,11.91,11.7,11.81,11.75,0.06,0.5106,10407.3,12252.35
603315.SH,20191105,11.66,11.78,11.63,11.75,11.62,0.13,1.1188,10598.0,12417.391
603315.SH,20191104,11.79,11.79,11.57,11.62,11.61,0.01,0.0861,9018.0,10520.427
603315.SH,20191101,11.47,11.74,11.47,11.61,11.53,0.08,0.6938,12542.0,14580.888
603315.SH,20191031,11.7,12.15,11.45,11.53,11.92,-0.39,-3.2718,19685.0,23193.497
603315.SH,20191030,12.1,12.15,11.72,11.92,11.91,0.01,0.084,14324.0,17069.479
