ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002422.SZ,20200110,24.08,24.17,23.7,23.74,24.0,-0.26,-1.0833,85243.95,203215.74
002422.SZ,20200109,23.99,24.18,23.8,24.0,23.79,0.21,0.8827,72673.32,174195.624
002422.SZ,20200108,24.0,24.1,23.74,23.79,24.2,-0.41,-1.6942,113314.01,270549.442
002422.SZ,20200107,24.17,24.35,24.0,24.2,24.17,0.03,0.1241,126981.52,306755.219
002422.SZ,20200106,24.1,24.33,23.9,24.17,24.16,0.01,0.0414,114368.7,276180.879
002422.SZ,20200103,24.1,24.38,23.91,24.16,24.14,0.02,0.0829,101889.05,245850.289
002422.SZ,20200102,23.65,24.35,23.36,24.14,23.49,0.65,2.7671,147115.4,351166.7
002422.SZ,20191231,23.1,23.8,23.09,23.49,23.22,0.27,1.1628,110249.19,259144.756
002422.SZ,20191230,23.34,23.5,22.8,23.22,23.48,-0.26,-1.1073,103174.07,238923.338
002422.SZ,20191227,23.04,23.66,23.03,23.48,23.09,0.39,1.689,112481.65,264056.427
002422.SZ,20191226,23.14,23.17,23.0,23.09,23.14,-0.05,-0.2161,44347.13,102226.965
002422.SZ,20191225,23.1,23.2,22.9,23.14,23.06,0.08,0.3469,47920.12,110491.464
002422.SZ,20191224,22.95,23.2,22.92,23.06,22.92,0.14,0.6108,67982.64,156545.083
002422.SZ,20191223,23.33,23.4,22.89,22.92,23.47,-0.55,-2.3434,86927.21,200317.329
002422.SZ,20191220,23.7,23.93,23.38,23.47,23.6,-0.13,-0.5508,73354.48,172965.585
002422.SZ,20191219,23.4,23.81,23.26,23.6,23.35,0.25,1.0707,110891.89,261678.682
002422.SZ,20191218,23.35,23.68,23.21,23.35,23.35,0.0,0.0,109145.14,255973.887
002422.SZ,20191217,22.52,23.4,22.41,23.35,22.5,0.85,3.7778,162407.8,373108.967
002422.SZ,20191216,22.47,22.59,22.25,22.5,22.35,0.15,0.6711,125742.38,281579.337
002422.SZ,20191213,22.08,22.55,21.92,22.35,21.73,0.62,2.8532,156889.85,349657.525
002422.SZ,20191212,21.9,22.05,21.63,21.73,21.88,-0.15,-0.6856,79957.95,174013.25
002422.SZ,20191211,22.2,22.29,21.76,21.88,22.09,-0.21,-0.9507,89953.2,196978.551
002422.SZ,20191210,22.14,22.36,22.02,22.09,22.07,0.02,0.0906,96242.42,213337.4
002422.SZ,20191209,22.08,22.25,21.78,22.07,21.88,0.19,0.8684,128667.95,283811.162
002422.SZ,20191206,22.0,22.11,21.51,21.88,21.99,-0.11,-0.5002,119599.78,260153.155
002422.SZ,20191205,21.73,22.09,21.61,21.99,21.55,0.44,2.0418,120362.47,263789.553
002422.SZ,20191204,21.74,21.85,21.42,21.55,21.75,-0.2,-0.9195,93417.32,201837.922
002422.SZ,20191203,21.95,22.05,21.52,21.75,22.05,-0.3,-1.3605,179076.7,389413.36
002422.SZ,20191202,23.12,23.2,21.92,22.05,23.22,-1.17,-5.0388,203538.96,455924.761
002422.SZ,20191129,23.73,23.87,22.89,23.22,23.78,-0.56,-2.3549,119655.95,276962.879
002422.SZ,20191128,24.1,24.1,23.63,23.78,24.09,-0.31,-1.2868,66298.28,157702.672
002422.SZ,20191127,24.19,24.42,24.0,24.09,24.09,0.0,0.0,60804.13,146717.555
002422.SZ,20191126,23.81,24.45,23.69,24.09,23.82,0.27,1.1335,121171.18,291055.223
002422.SZ,20191125,24.06,24.07,23.58,23.82,24.25,-0.43,-1.7732,97241.53,231357.086
002422.SZ,20191122,24.44,24.86,23.8,24.25,24.44,-0.19,-0.7774,109084.95,265420.303
002422.SZ,20191121,24.45,24.6,24.24,24.44,24.43,0.01,0.0409,65928.81,161187.671
002422.SZ,20191120,24.29,24.77,24.13,24.43,24.28,0.15,0.6178,128248.24,314273.563
002422.SZ,20191119,23.7,24.39,23.51,24.28,23.75,0.53,2.2316,90906.36,219607.832
002422.SZ,20191118,24.1,24.1,23.58,23.75,24.15,-0.4,-1.6563,97671.46,232065.355
002422.SZ,20191115,24.32,24.57,24.07,24.15,24.32,-0.17,-0.699,69921.09,169933.31
002422.SZ,20191114,23.43,24.49,23.36,24.32,23.4,0.92,3.9316,131241.63,316207.017
002422.SZ,20191113,23.72,23.72,22.94,23.4,23.6,-0.2,-0.8475,104600.71,243319.092
002422.SZ,20191112,24.0,24.09,23.39,23.6,24.06,-0.46,-1.9119,92023.89,218063.38
002422.SZ,20191111,24.38,24.38,23.8,24.06,24.59,-0.53,-2.1553,66243.68,159314.639
002422.SZ,20191108,24.69,24.97,24.38,24.59,24.56,0.03,0.1221,75316.07,185523.028
002422.SZ,20191107,24.26,24.66,24.0,24.56,24.09,0.47,1.951,84755.89,207278.015
002422.SZ,20191106,24.29,24.38,24.02,24.09,24.23,-0.14,-0.5778,63192.93,152817.918
002422.SZ,20191105,24.06,24.29,23.8,24.23,23.94,0.29,1.2114,73337.6,176886.118
002422.SZ,20191104,23.71,24.45,23.57,23.94,23.77,0.17,0.7152,127360.73,306322.043
002422.SZ,20191101,24.0,24.01,22.76,23.77,23.9,-0.13,-0.5439,228803.88,533819.298
002422.SZ,20191031,23.88,24.5,23.86,23.9,24.06,-0.16,-0.665,99131.44,239448.032
002422.SZ,20191030,24.72,24.78,23.96,24.06,24.86,-0.8,-3.218,115696.73,281167.083
002422.SZ,20191029,24.57,25.16,24.32,24.86,24.61,0.25,1.0158,81066.04,201836.595
002422.SZ,20191028,24.55,24.72,24.34,24.61,24.7,-0.09,-0.3644,92565.77,226953.384
002422.SZ,20191025,24.85,24.89,24.42,24.7,24.75,-0.05,-0.202,55865.41,137724.862
002422.SZ,20191024,24.9,25.0,23.93,24.75,24.99,-0.24,-0.9604,106403.96,260581.134
002422.SZ,20191023,25.21,25.39,24.87,24.99,25.18,-0.19,-0.7546,57200.37,143142.554
002422.SZ,20191022,24.48,25.36,24.43,25.18,24.3,0.88,3.6214,112277.28,281392.206
002422.SZ,20191021,24.45,24.65,24.23,24.3,24.44,-0.14,-0.5728,62400.46,152068.253
002422.SZ,20191018,24.95,25.15,24.44,24.44,24.84,-0.4,-1.6103,104203.89,258137.11
002422.SZ,20191017,25.52,25.65,24.51,24.84,25.43,-0.59,-2.3201,162866.17,405350.691
002422.SZ,20191016,25.79,26.07,25.42,25.43,25.78,-0.35,-1.3576,97125.9,249913.243
002422.SZ,20191015,25.64,26.22,25.46,25.78,26.17,-0.39,-1.4903,134626.17,347678.06
002422.SZ,20191014,26.52,26.66,26.15,26.17,26.24,-0.07,-0.2668,86283.91,227567.604
002422.SZ,20191011,26.29,26.35,26.04,26.24,26.27,-0.03,-0.1142,53417.85,140061.139
002422.SZ,20191010,25.84,26.33,25.72,26.27,25.8,0.47,1.8217,80840.42,210679.59
002422.SZ,20191009,25.81,25.99,25.32,25.8,25.89,-0.09,-0.3476,89979.65,230258.166
002422.SZ,20191008,25.85,26.25,25.77,25.89,25.86,0.03,0.116,78055.77,203209.319
002422.SZ,20190930,26.29,26.54,25.8,25.86,26.3,-0.44,-1.673,99331.42,258248.733
002422.SZ,20190927,26.8,26.88,26.23,26.3,26.75,-0.45,-1.6822,98180.65,260196.152
002422.SZ,20190926,27.28,27.45,26.7,26.75,27.33,-0.58,-2.1222,159284.35,429519.757
002422.SZ,20190925,27.6,27.73,27.15,27.33,27.7,-0.37,-1.3357,84170.06,230510.843
002422.SZ,20190924,27.14,28.08,27.0,27.7,27.0,0.7,2.5926,164710.89,456065.139
002422.SZ,20190923,27.45,27.45,26.75,27.0,27.5,-0.5,-1.8182,130989.36,354470.041
002422.SZ,20190920,27.58,27.67,27.2,27.5,27.45,0.05,0.1821,121372.74,333101.777
002422.SZ,20190919,27.9,27.95,26.85,27.45,27.9,-0.45,-1.6129,178363.9,486980.488
002422.SZ,20190918,28.11,28.29,27.75,27.9,28.11,-0.21,-0.7471,104960.24,294087.867
002422.SZ,20190917,28.2,28.36,28.01,28.11,28.08,0.03,0.1068,101033.33,284764.875
002422.SZ,20190916,28.48,28.5,27.89,28.08,28.2,-0.12,-0.4255,107568.69,302485.444
002422.SZ,20190912,28.53,28.69,28.09,28.2,28.53,-0.33,-1.1567,94598.83,266902.394
002422.SZ,20190911,28.97,29.03,28.49,28.53,28.98,-0.45,-1.5528,83427.31,238993.436
002422.SZ,20190910,28.82,29.06,28.48,28.98,28.77,0.21,0.7299,103127.84,297301.194
002422.SZ,20190909,28.7,28.88,28.37,28.77,28.63,0.14,0.489,114068.32,326303.228
002422.SZ,20190906,28.45,28.65,28.31,28.63,28.57,0.06,0.21,87976.93,250473.167
002422.SZ,20190905,28.28,28.69,28.2,28.57,28.28,0.29,1.0255,142168.48,405481.947
002422.SZ,20190904,28.18,28.5,28.06,28.28,28.46,-0.18,-0.6325,95112.5,267963.781
002422.SZ,20190903,28.49,28.5,28.06,28.46,28.48,-0.02,-0.0702,121265.06,342694.093
002422.SZ,20190902,27.96,28.64,27.76,28.48,27.7,0.78,2.8159,168188.68,476563.112
002422.SZ,20190830,27.6,28.24,27.5,27.7,27.46,0.24,0.874,215216.47,598857.974
002422.SZ,20190829,28.16,28.16,27.45,27.46,28.02,-0.56,-1.9986,178893.63,493104.786
002422.SZ,20190828,28.6,28.73,27.85,28.02,28.48,-0.46,-1.6152,152118.73,427785.231
002422.SZ,20190827,28.49,29.0,28.43,28.48,28.29,0.19,0.6716,194105.52,556895.856
002422.SZ,20190826,27.46,28.48,27.32,28.29,27.87,0.42,1.507,189273.25,533202.856
002422.SZ,20190823,28.05,28.5,27.8,27.87,28.08,-0.21,-0.7479,202641.05,568141.02
002422.SZ,20190822,27.43,28.17,27.28,28.08,27.5,0.58,2.1091,264885.77,734641.805
002422.SZ,20190821,26.84,27.95,26.72,27.5,27.59,-0.09,-0.3262,501820.81,1369885.243
002422.SZ,20190820,30.34,30.34,27.59,27.59,30.65,-3.06,-9.9837,775418.32,2201249.449
002422.SZ,20190819,31.15,31.33,29.91,30.65,31.09,-0.44,-1.4152,384131.16,1170365.931
002422.SZ,20190816,32.01,32.39,30.88,31.09,32.15,-1.06,-3.297,259308.16,811438.868
002422.SZ,20190815,32.21,32.47,31.55,32.15,32.77,-0.62,-1.892,154987.6,495280.06
002422.SZ,20190814,33.0,33.5,32.44,32.77,33.0,-0.23,-0.697,140180.61,461475.436
002422.SZ,20190813,31.99,33.22,31.81,33.0,32.09,0.91,2.8358,104345.53,342675.3
002422.SZ,20190812,32.11,32.29,31.7,32.09,32.0,0.09,0.2813,70151.72,224606.155
002422.SZ,20190809,32.3,32.48,31.77,32.0,32.03,-0.03,-0.0937,77625.66,248376.344
002422.SZ,20190808,31.8,32.3,31.46,32.03,31.8,0.23,0.7233,104652.42,334981.517
002422.SZ,20190807,30.45,32.08,30.4,31.8,30.18,1.62,5.3678,133406.19,420098.37
002422.SZ,20190806,30.0,30.41,29.65,30.18,30.39,-0.21,-0.691,101022.62,303872.855
002422.SZ,20190805,31.3,31.32,30.22,30.39,31.4,-1.01,-3.2166,114439.33,351707.412
002422.SZ,20190802,30.82,31.55,30.57,31.4,31.38,0.02,0.0637,88605.02,276104.05
002422.SZ,20190801,31.25,31.64,31.05,31.38,31.38,0.0,0.0,81543.64,255648.09
002422.SZ,20190731,31.82,31.98,31.23,31.38,31.96,-0.58,-1.8148,98655.44,309995.273
002422.SZ,20190730,32.19,32.19,31.65,31.96,31.95,0.01,0.0313,58539.8,186794.957
002422.SZ,20190729,31.96,32.35,31.61,31.95,31.94,0.01,0.0313,75356.04,241320.093
002422.SZ,20190726,31.99,32.45,31.69,31.94,31.99,-0.05,-0.1563,131214.97,420446.478
002422.SZ,20190725,30.98,32.13,30.84,31.99,30.81,1.18,3.8299,188419.69,599521.447
002422.SZ,20190724,30.65,31.29,30.57,30.81,31.08,-0.27,-0.8687,141485.92,437610.54
002422.SZ,20190723,30.75,31.45,30.5,31.08,30.72,0.36,1.1719,111200.03,345701.195
002422.SZ,20190722,29.79,31.15,29.43,30.72,29.9,0.82,2.7425,135349.01,412993.747
002422.SZ,20190719,30.0,30.14,29.35,29.9,29.74,0.16,0.538,105975.87,316808.55
002422.SZ,20190718,30.84,31.15,29.54,29.74,30.66,-0.92,-3.0007,151887.97,456361.03
002422.SZ,20190717,30.25,31.16,30.02,30.66,30.0,0.66,2.2,223203.6,686955.594
002422.SZ,20190716,29.6,30.49,29.1,30.0,29.38,0.62,2.1103,217278.59,652956.309
002422.SZ,20190715,28.3,30.06,28.3,29.38,27.75,1.63,5.8739,223658.78,650397.874
002422.SZ,20190712,27.92,28.75,27.63,27.75,27.91,-0.16,-0.5733,103162.82,289201.634
002422.SZ,20190711,28.53,28.88,27.82,27.91,28.21,-0.3,-1.0635,80655.68,228066.178
002422.SZ,20190710,27.76,28.77,27.68,28.21,27.67,0.54,1.9516,103286.79,293051.34
002422.SZ,20190709,28.15,28.15,27.2,27.67,28.78,-1.11,-3.8568,189888.06,523672.69
002422.SZ,20190708,29.39,29.92,28.78,28.78,29.39,-0.61,-2.0755,108014.02,315010.31
002422.SZ,20190705,29.66,30.28,29.3,29.39,29.31,0.08,0.2729,130343.64,386066.655
002422.SZ,20190704,29.96,30.1,29.21,29.31,29.65,-0.34,-1.1467,115533.41,343387.299
002422.SZ,20190703,30.01,30.23,29.65,29.65,29.88,-0.23,-0.7697,90064.07,269611.819
002422.SZ,20190702,29.6,30.37,29.53,29.88,29.56,0.32,1.0825,138160.01,416280.42
002422.SZ,20190701,30.01,30.38,29.41,29.56,29.73,-0.17,-0.5718,118619.95,354524.106
002422.SZ,20190628,29.64,30.09,29.35,29.73,29.7,0.03,0.101,56539.57,168087.698
002422.SZ,20190627,29.26,30.0,29.26,29.7,29.15,0.55,1.8868,108079.84,321119.649
002422.SZ,20190626,28.5,29.24,28.5,29.15,28.76,0.39,1.3561,52246.69,151671.496
