ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002335.SZ,20200110,18.9,19.1,18.16,18.21,19.0,-0.79,-4.1579,107284.99,198855.018
002335.SZ,20200109,17.37,19.0,17.12,19.0,17.27,1.73,10.0174,120260.61,221174.028
002335.SZ,20200108,16.99,17.56,16.9,17.27,16.98,0.29,1.7079,66188.04,114440.781
002335.SZ,20200107,16.86,17.18,16.78,16.98,16.85,0.13,0.7715,35041.56,59422.802
002335.SZ,20200106,16.61,16.94,16.51,16.85,16.63,0.22,1.3229,37750.04,63418.837
002335.SZ,20200103,16.66,16.72,16.5,16.63,16.62,0.01,0.0602,21232.1,35263.68
002335.SZ,20200102,16.4,16.65,16.35,16.62,16.27,0.35,2.1512,26154.52,43303.527
002335.SZ,20191231,16.36,16.42,16.13,16.27,16.35,-0.08,-0.4893,18259.47,29673.071
002335.SZ,20191230,16.34,16.38,15.95,16.35,16.35,0.0,0.0,18674.42,30247.981
002335.SZ,20191227,16.63,16.77,16.34,16.35,16.6,-0.25,-1.506,28111.36,46514.586
002335.SZ,20191226,16.71,16.88,16.42,16.6,16.72,-0.12,-0.7177,27601.84,45796.872
002335.SZ,20191225,16.24,16.91,16.21,16.72,16.25,0.47,2.8923,35423.52,59131.435
002335.SZ,20191224,15.98,16.25,15.98,16.25,15.96,0.29,1.817,13013.72,20992.992
002335.SZ,20191223,16.28,16.38,15.9,15.96,16.27,-0.31,-1.9053,18518.0,29814.862
002335.SZ,20191220,16.71,16.76,16.24,16.27,16.7,-0.43,-2.5749,21445.74,35320.626
002335.SZ,20191219,16.5,16.79,16.44,16.7,16.41,0.29,1.7672,31955.25,53266.45
002335.SZ,20191218,16.54,16.64,16.39,16.41,16.6,-0.19,-1.1446,25108.34,41450.591
002335.SZ,20191217,16.38,16.66,16.28,16.6,16.42,0.18,1.0962,33333.51,55039.078
002335.SZ,20191216,16.38,16.47,16.11,16.42,16.41,0.01,0.0609,39303.67,64111.044
002335.SZ,20191213,15.95,16.43,15.93,16.41,15.91,0.5,3.1427,53053.37,86022.06
002335.SZ,20191212,15.52,16.15,15.52,15.91,15.45,0.46,2.9773,46900.74,74630.249
002335.SZ,20191211,15.79,15.79,15.36,15.45,15.73,-0.28,-1.78,21730.01,33748.189
002335.SZ,20191210,15.62,15.77,15.49,15.73,15.6,0.13,0.8333,16297.93,25474.493
002335.SZ,20191209,15.71,15.75,15.54,15.6,15.65,-0.05,-0.3195,18033.0,28179.346
002335.SZ,20191206,15.75,15.75,15.47,15.65,15.69,-0.04,-0.2549,10018.67,15647.541
