ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300222.SZ,20200110,10.11,10.16,9.72,9.82,10.08,-0.26,-2.5794,109663.89,108500.141
300222.SZ,20200109,9.95,10.1,9.88,10.08,9.86,0.22,2.2312,116427.79,116601.111
300222.SZ,20200108,9.8,10.06,9.77,9.86,9.89,-0.03,-0.3033,108730.08,107785.495
300222.SZ,20200107,9.84,9.94,9.75,9.89,9.85,0.04,0.4061,90825.6,89400.214
300222.SZ,20200106,9.59,10.08,9.53,9.85,9.6,0.25,2.6042,166052.26,164320.422
300222.SZ,20200103,9.53,9.65,9.5,9.6,9.53,0.07,0.7345,62386.24,59736.777
300222.SZ,20200102,9.35,9.57,9.35,9.53,9.33,0.2,2.1436,82227.23,78128.517
300222.SZ,20191231,9.49,9.54,8.4,9.33,9.33,0.0,0.0,64269.97,60345.355
300222.SZ,20191230,9.29,9.35,9.12,9.33,9.35,-0.02,-0.2139,45674.59,42278.619
300222.SZ,20191227,9.49,9.56,9.3,9.35,9.51,-0.16,-1.6824,60902.95,57418.89
300222.SZ,20191226,9.27,9.53,9.23,9.51,9.27,0.24,2.589,71833.02,67522.927
300222.SZ,20191225,9.29,9.34,9.18,9.27,9.29,-0.02,-0.2153,43255.8,40074.603
300222.SZ,20191224,9.17,9.31,9.15,9.29,9.17,0.12,1.3086,43226.67,39903.856
300222.SZ,20191223,9.45,9.56,9.14,9.17,9.5,-0.33,-3.4737,60391.98,56580.177
300222.SZ,20191220,9.71,9.85,9.47,9.5,9.72,-0.22,-2.2634,87957.92,84456.872
300222.SZ,20191219,9.62,9.83,9.55,9.72,9.7,0.02,0.2062,82738.07,80320.382
300222.SZ,20191218,9.43,10.2,9.39,9.7,9.42,0.28,2.9724,180147.63,176339.092
300222.SZ,20191217,9.3,9.53,9.3,9.42,9.31,0.11,1.1815,82257.13,77264.517
300222.SZ,20191216,9.2,9.33,9.14,9.31,9.17,0.14,1.5267,65877.01,61031.698
300222.SZ,20191213,8.97,9.2,8.96,9.17,8.93,0.24,2.6876,87386.48,79525.1
300222.SZ,20191212,8.88,9.03,8.88,8.93,8.9,0.03,0.3371,36237.32,32392.212
300222.SZ,20191211,9.11,9.11,8.9,8.9,9.1,-0.2,-2.1978,43223.0,38820.172
300222.SZ,20191210,8.95,9.1,8.86,9.1,9.0,0.1,1.1111,53134.69,47711.205
300222.SZ,20191209,9.09,9.11,8.98,9.0,9.04,-0.04,-0.4425,42230.32,38099.218
300222.SZ,20191206,8.9,9.07,8.87,9.04,8.91,0.13,1.459,66150.59,59533.176
300222.SZ,20191205,8.86,8.95,8.84,8.91,8.87,0.04,0.451,44079.28,39237.259
300222.SZ,20191204,8.78,8.89,8.73,8.87,8.83,0.04,0.453,41631.88,36722.425
300222.SZ,20191203,8.68,8.83,8.65,8.83,8.71,0.12,1.3777,51715.11,45260.384
300222.SZ,20191202,8.7,8.77,8.64,8.71,8.67,0.04,0.4614,30925.2,26901.895
