ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300192.SZ,20200110,15.19,15.35,14.97,15.27,15.21,0.06,0.3945,80086.81,121482.907
300192.SZ,20200109,14.16,15.26,14.16,15.21,14.17,1.04,7.3394,147987.0,219708.986
300192.SZ,20200108,14.55,14.82,14.1,14.17,14.45,-0.28,-1.9377,78202.18,112880.897
300192.SZ,20200107,14.3,14.75,14.18,14.45,14.2,0.25,1.7606,89004.65,128828.779
300192.SZ,20200106,14.13,14.29,13.9,14.2,14.13,0.07,0.4954,66641.0,94066.189
300192.SZ,20200103,14.28,14.36,14.0,14.13,14.32,-0.19,-1.3268,64413.0,91170.126
300192.SZ,20200102,14.08,14.43,13.98,14.32,14.02,0.3,2.1398,65110.85,92753.344
300192.SZ,20191231,14.19,14.45,13.91,14.02,14.08,-0.06,-0.4261,65252.45,92354.289
300192.SZ,20191230,14.16,14.16,13.58,14.08,14.28,-0.2,-1.4006,69811.83,97270.736
300192.SZ,20191227,14.41,14.48,14.11,14.28,14.33,-0.05,-0.3489,71684.37,102105.748
300192.SZ,20191226,14.39,14.59,14.09,14.33,14.38,-0.05,-0.3477,81927.77,117417.985
300192.SZ,20191225,14.66,14.75,14.01,14.38,14.66,-0.28,-1.91,112212.0,161430.288
300192.SZ,20191224,14.57,14.74,14.3,14.66,14.5,0.16,1.1034,54960.99,80060.989
300192.SZ,20191223,14.9,14.97,14.48,14.5,14.98,-0.48,-3.2043,95682.77,141128.277
300192.SZ,20191220,15.58,15.67,14.82,14.98,15.72,-0.74,-4.7074,131478.01,200218.031
300192.SZ,20191219,15.84,15.91,15.55,15.72,15.91,-0.19,-1.1942,79683.71,125058.303
300192.SZ,20191218,15.98,16.17,15.74,15.91,16.07,-0.16,-0.9956,76054.49,121159.857
300192.SZ,20191217,16.26,16.4,15.86,16.07,16.28,-0.21,-1.2899,106979.36,171768.166
300192.SZ,20191216,15.88,16.47,15.8,16.28,16.04,0.24,1.4963,130345.89,210770.732
300192.SZ,20191213,15.0,16.2,14.81,16.04,14.88,1.16,7.7957,150077.74,233207.727
300192.SZ,20191212,14.77,15.09,14.4,14.88,14.73,0.15,1.0183,96277.54,142857.571
300192.SZ,20191211,14.88,15.08,14.65,14.73,14.87,-0.14,-0.9415,65419.94,96956.128
300192.SZ,20191210,14.74,14.94,14.51,14.87,14.8,0.07,0.473,68031.49,100236.407
300192.SZ,20191209,14.88,15.3,14.68,14.8,14.87,-0.07,-0.4707,86133.64,128595.888
300192.SZ,20191206,14.88,15.06,14.57,14.87,14.9,-0.03,-0.2013,61466.88,91024.62
300192.SZ,20191205,14.68,15.06,14.57,14.9,14.63,0.27,1.8455,85734.48,127551.041
300192.SZ,20191204,14.51,15.06,14.46,14.63,14.59,0.04,0.2742,91728.23,134867.722
300192.SZ,20191203,14.68,14.68,14.3,14.59,14.7,-0.11,-0.7483,79386.2,115146.763
300192.SZ,20191202,15.13,15.28,14.55,14.7,14.94,-0.24,-1.6064,80782.1,120004.139
300192.SZ,20191129,15.32,15.42,14.7,14.94,15.4,-0.46,-2.987,106761.05,160100.709
300192.SZ,20191128,15.49,15.57,15.03,15.4,15.5,-0.1,-0.6452,95106.59,145611.626
300192.SZ,20191127,15.63,16.15,15.5,15.5,15.72,-0.22,-1.3995,77793.71,122152.109
300192.SZ,20191126,15.18,15.88,15.18,15.72,15.24,0.48,3.1496,91226.07,142492.784
300192.SZ,20191125,15.6,15.75,15.04,15.24,15.33,-0.09,-0.5871,100621.08,155202.961
300192.SZ,20191122,16.45,16.45,15.23,15.33,16.42,-1.09,-6.6382,136662.03,216475.06
300192.SZ,20191121,15.72,16.79,15.59,16.42,15.66,0.76,4.8531,132014.5,215077.06
300192.SZ,20191120,15.99,16.34,15.6,15.66,15.97,-0.31,-1.9411,91876.0,146225.554
300192.SZ,20191119,15.73,16.22,15.66,15.97,15.83,0.14,0.8844,90815.95,145300.521
300192.SZ,20191118,15.3,15.9,15.1,15.83,15.37,0.46,2.9928,98983.66,154085.048
300192.SZ,20191115,15.86,16.2,15.34,15.37,16.15,-0.78,-4.8297,120281.53,189456.01
300192.SZ,20191114,15.91,16.27,15.81,16.15,16.04,0.11,0.6858,127976.56,205084.063
300192.SZ,20191113,16.82,17.26,15.9,16.04,17.06,-1.02,-5.9789,201118.66,329776.349
300192.SZ,20191112,16.84,17.27,16.41,17.06,17.45,-0.39,-2.235,213422.39,359904.744
300192.SZ,20191111,16.0,17.45,15.68,17.45,15.86,1.59,10.0252,294727.71,496215.93
300192.SZ,20191108,16.11,16.9,15.47,15.86,15.44,0.42,2.7202,261633.47,423787.152
300192.SZ,20191107,14.79,15.44,14.32,15.44,14.04,1.4,9.9715,84997.44,127588.795
300192.SZ,20191105,14.0,14.16,13.83,14.04,14.18,-0.14,-0.9873,133837.64,187050.666
300192.SZ,20191104,14.18,14.27,13.8,14.18,14.21,-0.03,-0.2111,165055.5,230805.051
300192.SZ,20191101,13.5,14.49,13.5,14.21,13.54,0.67,4.9483,169352.93,238282.794
300192.SZ,20191031,13.35,13.97,13.23,13.54,13.19,0.35,2.6535,156495.41,213972.048
300192.SZ,20191030,13.2,13.7,13.0,13.19,13.08,0.11,0.841,123142.21,163951.966
300192.SZ,20191029,13.88,14.24,13.02,13.08,14.04,-0.96,-6.8376,199811.12,268656.298
300192.SZ,20191028,13.05,14.28,13.05,14.04,13.68,0.36,2.6316,156903.89,217326.999
300192.SZ,20191025,13.49,14.14,13.49,13.68,13.69,-0.01,-0.073,136469.68,188249.807
