ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300092.SZ,20200110,7.5,7.58,7.4,7.46,7.51,-0.05,-0.6658,23341.94,17457.902
300092.SZ,20200109,7.45,7.53,7.42,7.51,7.4,0.11,1.4865,26097.2,19529.183
300092.SZ,20200108,7.48,7.52,7.33,7.4,7.47,-0.07,-0.9371,26704.09,19864.618
300092.SZ,20200107,7.35,7.49,7.35,7.47,7.4,0.07,0.9459,25294.52,18878.681
300092.SZ,20200106,7.35,7.47,7.32,7.4,7.37,0.03,0.4071,26480.8,19608.634
300092.SZ,20200103,7.37,7.4,7.31,7.37,7.37,0.0,0.0,18324.22,13472.643
300092.SZ,20200102,7.29,7.4,7.26,7.37,7.29,0.08,1.0974,30444.5,22376.773
300092.SZ,20191231,7.16,7.34,7.16,7.29,7.23,0.06,0.8299,22848.0,16558.1
300092.SZ,20191230,7.15,7.26,7.03,7.23,7.15,0.08,1.1189,18089.22,12973.638
300092.SZ,20191227,7.26,7.32,7.13,7.15,7.26,-0.11,-1.5152,23688.91,17114.686
300092.SZ,20191226,7.2,7.27,7.15,7.26,7.2,0.06,0.8333,15144.0,10931.84
300092.SZ,20191225,7.19,7.24,7.16,7.2,7.16,0.04,0.5587,15126.87,10888.505
300092.SZ,20191224,7.09,7.2,7.08,7.16,7.09,0.07,0.9873,15390.37,11001.046
300092.SZ,20191223,7.11,7.28,7.07,7.09,7.15,-0.06,-0.8392,19426.26,13903.312
300092.SZ,20191220,7.29,7.45,7.13,7.15,7.3,-0.15,-2.0548,26837.4,19445.524
300092.SZ,20191219,7.22,7.31,7.17,7.3,7.2,0.1,1.3889,23922.05,17334.43
300092.SZ,20191218,7.13,7.22,7.12,7.2,7.14,0.06,0.8403,23199.49,16656.741
300092.SZ,20191217,7.14,7.15,7.08,7.14,7.13,0.01,0.1403,22576.96,16087.753
300092.SZ,20191216,7.0,7.15,6.97,7.13,6.97,0.16,2.2956,27232.59,19296.28
300092.SZ,20191213,6.96,7.02,6.94,6.97,6.96,0.01,0.1437,15040.38,10489.562
300092.SZ,20191212,6.93,7.02,6.91,6.96,6.93,0.03,0.4329,19128.22,13312.227
300092.SZ,20191211,6.89,6.94,6.86,6.93,6.89,0.04,0.5806,12457.29,8603.47
300092.SZ,20191210,6.85,6.91,6.82,6.89,6.89,0.0,0.0,9529.0,6551.625
300092.SZ,20191209,6.88,6.9,6.84,6.89,6.88,0.01,0.1453,13529.9,9299.236
300092.SZ,20191206,6.85,6.88,6.79,6.88,6.85,0.03,0.438,13176.0,9012.916
300092.SZ,20191205,6.79,6.89,6.79,6.85,6.81,0.04,0.5874,17281.0,11825.733
300092.SZ,20191204,6.75,6.84,6.75,6.81,6.79,0.02,0.2946,8175.0,5556.12
300092.SZ,20191203,6.78,6.82,6.68,6.79,6.83,-0.04,-0.5857,13190.56,8887.119
300092.SZ,20191202,6.7,6.85,6.7,6.83,6.74,0.09,1.3353,19159.23,13087.947
300092.SZ,20191129,6.74,6.79,6.7,6.74,6.77,-0.03,-0.4431,7544.0,5086.898
300092.SZ,20191128,6.74,6.82,6.64,6.77,6.75,0.02,0.2963,8296.0,5585.125
300092.SZ,20191127,6.82,6.82,6.73,6.75,6.8,-0.05,-0.7353,8852.43,5986.511
300092.SZ,20191126,6.85,6.85,6.77,6.8,6.84,-0.04,-0.5848,8162.0,5547.707
300092.SZ,20191125,6.72,6.85,6.67,6.84,6.75,0.09,1.3333,14553.05,9862.071
300092.SZ,20191122,6.77,6.88,6.69,6.75,6.77,-0.02,-0.2954,11947.94,8095.853
