ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002957.SZ,20200110,34.28,34.28,33.62,33.68,33.9,-0.22,-0.649,20077.26,67984.195
002957.SZ,20200109,33.76,34.11,33.52,33.9,33.42,0.48,1.4363,25149.38,85185.169
002957.SZ,20200108,34.1,34.6,33.2,33.42,34.6,-1.18,-3.4104,37737.89,128029.96
002957.SZ,20200107,34.7,34.97,34.2,34.6,34.88,-0.28,-0.8028,33388.51,115210.91
002957.SZ,20200106,33.61,35.3,33.25,34.88,33.93,0.95,2.7999,53706.72,185653.155
002957.SZ,20200103,34.05,34.39,33.45,33.93,33.89,0.04,0.118,40558.83,137610.992
002957.SZ,20200102,32.97,34.06,32.9,33.89,32.77,1.12,3.4178,37977.52,127257.03
002957.SZ,20191231,33.0,33.42,32.23,32.77,33.1,-0.33,-0.997,30587.56,100158.674
002957.SZ,20191230,34.38,34.38,32.13,33.1,34.47,-1.37,-3.9745,39830.28,132659.438
002957.SZ,20191227,33.93,34.65,33.75,34.47,33.88,0.59,1.7414,58383.55,199818.881
002957.SZ,20191226,34.13,34.19,33.36,33.88,33.78,0.1,0.296,40261.91,136027.5
002957.SZ,20191225,34.0,34.4,33.61,33.78,34.03,-0.25,-0.7346,40813.11,138556.878
002957.SZ,20191224,33.13,34.03,32.88,34.03,32.71,1.32,4.0355,36653.68,123298.244
002957.SZ,20191223,33.69,33.98,32.62,32.71,33.69,-0.98,-2.9089,34035.68,113167.638
002957.SZ,20191220,34.28,34.45,33.68,33.69,34.3,-0.61,-1.7784,43837.74,149226.449
002957.SZ,20191219,33.8,34.54,33.37,34.3,34.08,0.22,0.6455,69900.93,237704.378
002957.SZ,20191218,33.2,34.99,33.0,34.08,32.91,1.17,3.5552,91782.09,311285.038
002957.SZ,20191217,32.7,33.44,32.26,32.91,32.62,0.29,0.889,58009.19,190176.391
002957.SZ,20191216,32.25,32.78,31.95,32.62,31.84,0.78,2.4497,46904.88,152386.563
002957.SZ,20191213,31.42,32.47,31.13,31.84,30.89,0.95,3.0754,55910.16,177738.146
002957.SZ,20191212,31.2,31.66,30.68,30.89,31.71,-0.82,-2.5859,48262.49,149961.269
002957.SZ,20191211,33.27,33.95,31.6,31.71,32.91,-1.2,-3.6463,64759.65,213170.041
