ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300663.SZ,20200110,27.51,27.68,26.8,27.0,27.49,-0.49,-1.7825,79659.65,216199.055
300663.SZ,20200109,27.12,27.99,27.12,27.49,26.69,0.8,2.9974,112519.53,310612.974
300663.SZ,20200108,27.0,27.9,26.66,26.69,27.35,-0.66,-2.4132,107395.2,291756.165
300663.SZ,20200107,26.79,27.49,26.51,27.35,26.39,0.96,3.6377,124468.05,336950.698
300663.SZ,20200106,25.86,26.72,25.75,26.39,26.29,0.1,0.3804,81570.5,214591.264
300663.SZ,20200103,26.3,26.45,25.8,26.29,26.31,-0.02,-0.076,71035.45,185835.018
300663.SZ,20200102,25.85,26.32,25.66,26.31,25.49,0.82,3.2169,81889.74,213595.463
300663.SZ,20191231,25.61,26.08,25.46,25.49,25.59,-0.1,-0.3908,49289.22,126575.997
300663.SZ,20191230,24.9,25.9,24.35,25.59,25.32,0.27,1.0664,60842.65,153949.698
300663.SZ,20191227,26.04,26.04,25.3,25.32,25.89,-0.57,-2.2016,58317.12,149595.238
300663.SZ,20191226,26.09,26.13,25.51,25.89,26.14,-0.25,-0.9564,61711.26,158851.87
300663.SZ,20191225,25.78,26.24,25.63,26.14,25.68,0.46,1.7913,62431.85,162154.238
300663.SZ,20191224,25.48,25.88,25.38,25.68,25.43,0.25,0.9831,52372.68,133719.584
300663.SZ,20191223,26.67,26.71,25.31,25.43,26.71,-1.28,-4.7922,78130.98,203194.468
300663.SZ,20191220,27.8,27.8,26.7,26.71,27.61,-0.9,-3.2597,80302.56,218443.479
300663.SZ,20191219,27.89,28.26,27.5,27.61,27.8,-0.19,-0.6835,67925.87,188895.365
300663.SZ,20191218,28.06,28.5,27.7,27.8,28.17,-0.37,-1.3135,98253.55,275571.214
300663.SZ,20191217,27.82,29.3,27.76,28.17,27.93,0.24,0.8593,145475.92,413319.328
300663.SZ,20191216,27.8,28.28,27.18,27.93,27.67,0.26,0.9396,116743.43,323645.422
300663.SZ,20191213,27.0,28.18,26.66,27.67,26.47,1.2,4.5334,144971.67,397158.558
300663.SZ,20191212,26.95,27.01,26.41,26.47,26.58,-0.11,-0.4138,66151.22,176699.865
300663.SZ,20191211,26.45,27.13,26.32,26.58,26.43,0.15,0.5675,70588.9,188944.928
300663.SZ,20191210,26.15,26.58,25.95,26.43,26.27,0.16,0.6091,63253.7,166087.395
300663.SZ,20191209,25.86,26.64,25.71,26.27,25.81,0.46,1.7823,75485.1,198140.285
300663.SZ,20191206,25.8,25.93,25.4,25.81,25.71,0.1,0.389,52908.95,136039.012
300663.SZ,20191205,25.49,25.96,25.46,25.71,25.41,0.3,1.1806,61099.12,156976.171
300663.SZ,20191204,25.59,25.65,25.22,25.41,25.67,-0.26,-1.0129,35135.68,89201.581
300663.SZ,20191203,25.19,25.72,24.91,25.67,25.35,0.32,1.2623,51366.46,130699.989
300663.SZ,20191202,25.15,25.89,24.93,25.35,24.94,0.41,1.6439,59472.54,151486.56
