ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300662.SZ,20200110,35.61,35.99,35.31,35.62,35.59,0.03,0.0843,12983.81,46349.125
300662.SZ,20200109,35.65,36.5,34.85,35.59,34.92,0.67,1.9187,21105.42,74926.485
300662.SZ,20200108,34.5,35.86,34.45,34.92,35.86,-0.94,-2.6213,27678.74,97251.193
300662.SZ,20200107,32.3,35.86,32.21,35.86,32.6,3.26,10.0,76007.97,264446.123
300662.SZ,20200106,30.97,32.74,30.71,32.6,30.98,1.62,5.2292,27731.41,88393.961
300662.SZ,20200103,31.19,31.5,30.85,30.98,31.19,-0.21,-0.6733,12967.0,40399.56
300662.SZ,20200102,31.74,31.85,31.1,31.19,31.79,-0.6,-1.8874,28296.0,88636.063
300662.SZ,20191231,31.4,31.88,31.1,31.79,31.13,0.66,2.1201,17883.94,56519.868
300662.SZ,20191230,31.11,31.63,30.66,31.13,31.06,0.07,0.2254,14912.31,46544.427
300662.SZ,20191227,30.35,31.66,30.34,31.06,30.3,0.76,2.5083,23667.49,73341.129
300662.SZ,20191226,29.95,30.3,29.77,30.3,30.0,0.3,1.0,12010.71,36030.882
300662.SZ,20191225,30.33,30.56,29.9,30.0,30.28,-0.28,-0.9247,13739.4,41270.844
300662.SZ,20191224,30.42,30.57,29.92,30.28,30.04,0.24,0.7989,14262.0,43131.459
300662.SZ,20191223,31.09,31.32,29.71,30.04,30.91,-0.87,-2.8146,19564.0,59681.462
300662.SZ,20191220,31.6,32.0,30.8,30.91,31.75,-0.84,-2.6457,18511.0,57820.847
300662.SZ,20191219,32.0,32.0,31.36,31.75,31.51,0.24,0.7617,20808.95,65851.007
300662.SZ,20191218,31.3,31.88,31.1,31.51,31.08,0.43,1.3835,19250.73,60647.03
300662.SZ,20191217,29.81,31.33,29.81,31.08,30.12,0.96,3.1873,32631.94,100891.946
300662.SZ,20191216,28.6,30.4,28.5,30.12,28.54,1.58,5.5361,19871.06,58515.607
300662.SZ,20191213,28.31,28.55,28.13,28.54,28.11,0.43,1.5297,10641.0,30232.588
300662.SZ,20191212,28.58,28.58,28.04,28.11,28.6,-0.49,-1.7133,12510.98,35262.508
300662.SZ,20191211,29.07,29.17,28.59,28.6,29.07,-0.47,-1.6168,9798.12,28127.273
300662.SZ,20191210,28.68,29.16,28.55,29.07,28.69,0.38,1.3245,10633.28,30676.175
300662.SZ,20191209,28.92,29.05,28.57,28.69,28.85,-0.16,-0.5546,10405.8,29900.598
300662.SZ,20191206,29.0,29.12,28.61,28.85,29.0,-0.15,-0.5172,6527.82,18782.508
300662.SZ,20191205,28.71,29.16,28.55,29.0,28.65,0.35,1.2216,8572.15,24772.337
300662.SZ,20191204,28.73,28.97,28.62,28.65,28.86,-0.21,-0.7277,4979.82,14316.802
300662.SZ,20191203,28.91,29.03,28.45,28.86,28.9,-0.04,-0.1384,3024.0,8691.177
300662.SZ,20191202,29.15,29.25,28.7,28.9,29.12,-0.22,-0.7555,5532.0,15995.668
300662.SZ,20191129,28.88,29.26,28.72,29.12,29.11,0.01,0.0344,6439.41,18637.564
300662.SZ,20191128,29.01,29.36,28.73,29.11,29.19,-0.08,-0.2741,10541.21,30682.094
300662.SZ,20191127,29.35,29.35,28.6,29.19,29.18,0.01,0.0343,6321.53,18382.077
300662.SZ,20191126,28.93,29.39,28.78,29.18,28.83,0.35,1.214,7838.0,22828.657
300662.SZ,20191125,29.19,29.55,28.7,28.83,29.49,-0.66,-2.238,9556.0,27701.98
300662.SZ,20191122,30.2,30.75,29.19,29.49,30.55,-1.06,-3.4697,17249.67,51234.411
300662.SZ,20191121,30.34,31.0,30.11,30.55,30.58,-0.03,-0.0981,12457.18,38150.661
300662.SZ,20191120,30.22,31.38,30.22,30.58,30.38,0.2,0.6583,19503.27,60117.13
300662.SZ,20191119,28.95,30.52,28.58,30.38,28.95,1.43,4.9396,23943.0,71802.713
300662.SZ,20191118,29.77,29.77,28.43,28.95,29.77,-0.82,-2.7545,16376.36,47348.229
300662.SZ,20191115,29.65,30.13,29.18,29.77,29.59,0.18,0.6083,9770.0,29042.291
300662.SZ,20191114,29.31,30.01,29.02,29.59,28.95,0.64,2.2107,10455.61,30905.667
300662.SZ,20191113,29.46,29.5,28.71,28.95,29.48,-0.53,-1.7978,12472.31,36141.701
300662.SZ,20191112,28.34,29.59,28.3,29.48,28.29,1.19,4.2064,14018.75,40738.77
300662.SZ,20191111,29.65,29.87,28.07,28.29,29.82,-1.53,-5.1308,21501.0,61631.742
300662.SZ,20191108,29.85,30.45,29.67,29.82,29.73,0.09,0.3027,11876.11,35736.863
300662.SZ,20191107,29.22,30.05,29.1,29.73,29.22,0.51,1.7454,10949.0,32529.476
300662.SZ,20191106,29.79,30.21,29.05,29.22,29.81,-0.59,-1.9792,8024.0,23678.122
300662.SZ,20191105,29.7,30.3,29.5,29.81,29.77,0.04,0.1344,9941.0,29752.48
300662.SZ,20191104,30.08,30.25,29.12,29.77,30.08,-0.31,-1.0306,10799.0,32148.45
300662.SZ,20191101,30.8,30.8,29.89,30.08,30.43,-0.35,-1.1502,15854.56,47792.808
300662.SZ,20191031,31.29,31.79,30.15,30.43,31.67,-1.24,-3.9154,17551.32,54223.168
300662.SZ,20191030,30.06,32.1,30.03,31.67,30.07,1.6,5.3209,25393.48,79895.099
300662.SZ,20191029,30.86,30.87,30.03,30.07,30.65,-0.58,-1.8923,11777.38,35764.017
300662.SZ,20191028,30.81,31.23,30.48,30.65,30.64,0.01,0.0326,13313.27,40957.574
300662.SZ,20191025,31.18,31.18,30.18,30.64,31.02,-0.38,-1.225,12569.62,38455.181
300662.SZ,20191024,30.61,31.26,30.3,31.02,30.61,0.41,1.3394,10993.98,34010.338
300662.SZ,20191023,30.91,31.14,30.51,30.61,30.77,-0.16,-0.52,11059.72,34043.517
300662.SZ,20191022,30.03,30.85,29.8,30.77,29.8,0.97,3.255,14013.75,42910.328
300662.SZ,20191021,29.77,29.93,28.68,29.8,29.95,-0.15,-0.5008,12748.12,37485.492
300662.SZ,20191018,30.17,30.96,29.87,29.95,30.13,-0.18,-0.5974,18266.18,55506.637
300662.SZ,20191017,29.57,31.08,29.56,30.13,29.3,0.83,2.8328,27526.69,83972.257
300662.SZ,20191016,29.47,29.86,29.18,29.3,29.72,-0.42,-1.4132,10498.05,30963.15
300662.SZ,20191015,29.16,29.73,29.0,29.72,29.33,0.39,1.3297,11168.87,32850.014
300662.SZ,20191014,29.82,30.48,29.16,29.33,29.75,-0.42,-1.4118,18152.04,53711.868
