ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300761.SZ,20200110,59.52,59.65,58.72,59.17,59.79,-0.62,-1.037,17628.09,104092.774
300761.SZ,20200109,59.66,59.9,59.11,59.79,59.02,0.77,1.3046,18273.23,108679.79
300761.SZ,20200108,60.63,60.63,59.0,59.02,61.3,-2.28,-3.7194,33751.53,201974.14
300761.SZ,20200107,59.28,62.0,59.08,61.3,59.02,2.28,3.8631,46724.27,284425.315
300761.SZ,20200106,58.55,59.5,58.23,59.02,58.95,0.07,0.1187,23088.56,136001.135
300761.SZ,20200103,59.8,60.02,58.41,58.95,59.91,-0.96,-1.6024,25351.71,149750.737
300761.SZ,20200102,59.3,60.39,59.3,59.91,59.4,0.51,0.8586,26361.37,157815.842
300761.SZ,20191231,58.82,59.87,58.42,59.4,58.89,0.51,0.866,25413.18,150714.291
300761.SZ,20191230,57.5,59.08,57.0,58.89,57.39,1.5,2.6137,32337.87,187993.563
300761.SZ,20191227,56.8,58.25,56.8,57.39,56.8,0.59,1.0387,23305.39,133942.627
300761.SZ,20191226,57.27,57.27,56.07,56.8,56.96,-0.16,-0.2809,13328.61,75217.796
300761.SZ,20191225,57.43,57.49,56.8,56.96,57.05,-0.09,-0.1578,11313.79,64582.68
300761.SZ,20191224,56.6,57.33,56.59,57.05,56.43,0.62,1.0987,11680.31,66457.837
300761.SZ,20191223,58.7,58.7,56.38,56.43,59.24,-2.81,-4.7434,19036.17,109329.336
300761.SZ,20191220,59.68,59.87,58.8,59.24,59.49,-0.25,-0.4202,14449.08,85869.634
300761.SZ,20191219,59.6,59.6,58.73,59.49,59.6,-0.11,-0.1846,10721.92,63454.779
300761.SZ,20191218,59.71,60.1,58.88,59.6,59.79,-0.19,-0.3178,14983.06,89094.349
300761.SZ,20191217,58.82,60.38,58.5,59.79,58.81,0.98,1.6664,21084.42,126153.129
300761.SZ,20191216,58.6,58.94,57.53,58.81,57.96,0.85,1.4665,21039.06,122544.91
300761.SZ,20191213,56.1,58.05,55.6,57.96,56.09,1.87,3.3339,29633.46,169938.256
300761.SZ,20191212,55.25,56.2,55.2,56.09,55.25,0.84,1.5204,13264.75,74035.747
300761.SZ,20191211,57.0,57.1,55.17,55.25,57.0,-1.75,-3.0702,21407.52,119337.56
300761.SZ,20191210,57.68,58.27,56.7,57.0,57.89,-0.89,-1.5374,18006.0,102984.803
300761.SZ,20191209,58.26,58.48,57.52,57.89,57.5,0.39,0.6783,11575.41,66955.205
300761.SZ,20191206,56.9,57.9,56.9,57.5,56.8,0.7,1.2324,15892.0,91424.132
300761.SZ,20191205,56.11,56.87,55.56,56.8,55.9,0.9,1.61,14487.75,81553.499
300761.SZ,20191204,57.26,57.26,55.55,55.9,57.39,-1.49,-2.5963,15025.91,84370.158
300761.SZ,20191203,57.44,58.58,56.93,57.39,57.8,-0.41,-0.7093,13391.96,77001.647
300761.SZ,20191202,57.69,58.94,57.22,57.8,57.19,0.61,1.0666,16936.56,98457.101
300761.SZ,20191129,58.19,58.31,57.02,57.19,58.37,-1.18,-2.0216,8145.39,46827.456
300761.SZ,20191128,58.36,59.48,58.01,58.37,58.2,0.17,0.2921,10565.09,62059.784
300761.SZ,20191127,59.0,59.25,58.02,58.2,59.71,-1.51,-2.5289,11082.84,64976.776
300761.SZ,20191126,57.96,59.78,57.34,59.71,57.64,2.07,3.5913,17152.33,100848.868
300761.SZ,20191125,58.85,59.21,57.6,57.64,58.6,-0.96,-1.6382,14094.47,82008.777
300761.SZ,20191122,60.66,60.84,58.28,58.6,60.31,-1.71,-2.8354,17785.24,105707.013
300761.SZ,20191121,60.91,61.35,60.08,60.31,60.91,-0.6,-0.9851,9196.7,55846.077
300761.SZ,20191120,61.88,62.05,60.54,60.91,61.73,-0.82,-1.3284,11797.31,72195.949
300761.SZ,20191119,61.07,62.38,60.88,61.73,60.81,0.92,1.5129,14113.96,86991.157
300761.SZ,20191118,60.43,61.69,59.52,60.81,61.18,-0.37,-0.6048,15811.06,96317.038
300761.SZ,20191115,64.39,64.39,60.6,61.18,65.53,-4.35,-6.6382,36585.55,227007.071
300761.SZ,20191114,66.27,66.27,65.37,65.53,65.99,-0.46,-0.6971,10611.86,69610.866
300761.SZ,20191113,66.26,66.37,65.34,65.99,66.15,-0.16,-0.2419,11972.0,78768.423
300761.SZ,20191112,65.12,66.49,65.01,66.15,65.58,0.57,0.8692,17017.01,111857.792
300761.SZ,20191111,66.8,67.3,65.08,65.58,67.9,-2.32,-3.4168,33401.91,220402.394
300761.SZ,20191108,69.78,69.78,67.59,67.9,70.43,-2.53,-3.5922,31488.41,214726.108
300761.SZ,20191107,69.66,71.5,69.01,70.43,69.5,0.93,1.3381,21353.78,150919.631
300761.SZ,20191106,72.9,72.97,69.0,69.5,72.96,-3.46,-4.7423,32094.42,227027.898
300761.SZ,20191105,72.44,74.5,72.3,72.96,72.17,0.79,1.0946,40921.89,301656.873
300761.SZ,20191104,70.85,72.43,70.0,72.17,72.0,0.17,0.2361,26800.61,191498.59
300761.SZ,20191101,70.08,72.88,69.13,72.0,70.68,1.32,1.8676,28156.5,200268.95
300761.SZ,20191031,72.5,73.48,70.0,70.68,73.1,-2.42,-3.3105,28851.46,205947.58
300761.SZ,20191030,74.45,74.93,69.93,73.1,74.59,-1.49,-1.9976,42097.48,305632.102
300761.SZ,20191029,73.88,78.58,73.58,74.59,75.3,-0.71,-0.9429,68566.38,523364.27
300761.SZ,20191028,73.0,75.8,72.49,75.3,76.36,-1.06,-1.3882,58329.6,434653.616
300761.SZ,20191025,70.5,77.0,70.5,76.36,70.0,6.36,9.0857,95006.55,710026.699
300761.SZ,20191024,67.09,70.7,65.8,70.0,67.59,2.41,3.5656,34327.38,235765.633
300761.SZ,20191023,67.97,69.96,65.8,67.59,67.97,-0.38,-0.5591,34171.66,232500.744
300761.SZ,20191022,68.7,68.7,66.55,67.97,68.51,-0.54,-0.7882,16635.13,112205.012
300761.SZ,20191021,65.9,69.48,65.7,68.51,65.78,2.73,4.1502,25145.78,170810.336
300761.SZ,20191018,66.77,67.38,65.55,65.78,66.4,-0.62,-0.9337,15523.37,102811.727
300761.SZ,20191017,67.5,67.89,66.07,66.4,67.24,-0.84,-1.2493,14149.9,94493.95
300761.SZ,20191016,68.0,68.2,67.0,67.24,67.94,-0.7,-1.0303,10357.0,69872.465
300761.SZ,20191015,69.0,70.27,67.09,67.94,68.98,-1.04,-1.5077,19707.0,134641.073
300761.SZ,20191014,71.6,71.9,68.15,68.98,71.24,-2.26,-3.1724,39103.67,270250.664
300761.SZ,20191011,72.85,72.88,70.86,71.24,73.4,-2.16,-2.9428,29274.25,209266.731
300761.SZ,20191010,72.0,74.2,71.33,73.4,71.96,1.44,2.0011,27988.95,205104.509
300761.SZ,20191009,71.75,72.57,70.12,71.96,71.4,0.56,0.7843,20549.39,147090.814
300761.SZ,20191008,69.02,72.85,69.02,71.4,67.33,4.07,6.0449,27170.27,192390.151
300761.SZ,20190930,66.81,68.96,66.21,67.33,66.78,0.55,0.8236,11751.46,79815.545
300761.SZ,20190927,65.68,67.58,65.68,66.78,66.0,0.78,1.1818,17810.46,119040.492
300761.SZ,20190926,68.21,68.88,65.01,66.0,68.13,-2.13,-3.1264,23626.56,156893.452
300761.SZ,20190925,67.94,69.11,67.33,68.13,68.1,0.03,0.0441,15273.09,104314.513
300761.SZ,20190924,70.16,70.85,66.7,68.1,70.61,-2.51,-3.5547,29748.78,202761.732
300761.SZ,20190923,72.63,74.87,70.03,70.61,73.45,-2.84,-3.8666,21694.99,155277.091
300761.SZ,20190920,71.8,74.27,71.11,73.45,72.45,1.0,1.3803,21003.69,153140.538
300761.SZ,20190919,72.54,72.8,70.0,72.45,72.45,0.0,0.0,20859.56,148525.907
300761.SZ,20190918,70.82,72.88,70.77,72.45,71.17,1.28,1.7985,18932.94,136541.558
300761.SZ,20190917,70.81,72.1,70.68,71.17,71.68,-0.51,-0.7115,17985.52,128013.089
300761.SZ,20190916,72.0,72.49,70.88,71.68,71.56,0.12,0.1677,18600.84,132805.757
300761.SZ,20190912,71.27,72.86,70.83,71.56,70.76,0.8,1.1306,23084.5,166111.798
300761.SZ,20190911,74.11,74.11,70.69,70.76,74.33,-3.57,-4.8029,37378.94,267962.607
300761.SZ,20190910,73.55,76.18,73.51,74.33,74.0,0.33,0.4459,24559.0,184061.873
300761.SZ,20190909,73.07,74.11,70.59,74.0,73.0,1.0,1.3699,29983.38,218742.353
300761.SZ,20190906,77.05,77.65,72.35,73.0,76.94,-3.94,-5.1209,35221.09,260478.956
300761.SZ,20190905,78.12,78.12,76.01,76.94,78.12,-1.18,-1.5105,27715.14,212716.851
300761.SZ,20190904,77.0,78.88,74.4,78.12,77.0,1.12,1.4545,33324.61,254888.727
300761.SZ,20190903,74.4,80.0,74.4,77.0,74.33,2.67,3.5921,32170.92,248659.184
