ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300099.SZ,20200110,6.93,6.99,6.73,6.81,6.96,-0.15,-2.1552,142189.03,97174.177
300099.SZ,20200109,6.76,7.05,6.68,6.96,6.92,0.04,0.578,216568.85,149721.028
300099.SZ,20200108,7.1,7.38,6.92,6.92,6.81,0.11,1.6153,419089.47,298411.228
300099.SZ,20200107,6.7,6.92,6.65,6.81,6.63,0.18,2.7149,212221.47,144368.688
300099.SZ,20200106,6.75,6.77,6.59,6.63,6.61,0.02,0.3026,189395.18,126127.736
300099.SZ,20200103,6.61,6.69,6.46,6.61,6.54,0.07,1.0703,192716.41,126909.04
300099.SZ,20200102,6.29,6.67,6.21,6.54,6.19,0.35,5.6543,214887.99,140174.571
300099.SZ,20191231,6.19,6.28,6.15,6.19,6.17,0.02,0.3241,57023.76,35421.877
300099.SZ,20191230,6.19,6.19,5.9,6.17,6.22,-0.05,-0.8039,98239.4,59753.996
300099.SZ,20191227,6.33,6.38,6.22,6.22,6.33,-0.11,-1.7378,85108.0,53749.313
300099.SZ,20191226,6.32,6.38,6.25,6.33,6.35,-0.02,-0.315,88916.0,55997.543
300099.SZ,20191225,6.36,6.43,6.28,6.35,6.33,0.02,0.316,59399.03,37816.84
300099.SZ,20191224,6.24,6.35,6.16,6.33,6.17,0.16,2.5932,68528.91,42967.356
300099.SZ,20191223,6.42,6.43,6.17,6.17,6.41,-0.24,-3.7441,95693.79,60257.166
300099.SZ,20191220,6.6,6.61,6.4,6.41,6.54,-0.13,-1.9878,97443.5,63290.042
300099.SZ,20191219,6.5,6.59,6.47,6.54,6.47,0.07,1.0819,101967.25,66598.417
300099.SZ,20191218,6.61,6.61,6.46,6.47,6.63,-0.16,-2.4133,155558.38,101453.721
300099.SZ,20191217,6.54,6.71,6.5,6.63,6.53,0.1,1.5314,162432.36,107662.272
300099.SZ,20191216,6.5,6.56,6.42,6.53,6.51,0.02,0.3072,148025.66,96081.64
300099.SZ,20191213,6.58,6.65,6.4,6.51,6.69,-0.18,-2.6906,218742.8,142145.028
300099.SZ,20191212,6.4,6.8,6.23,6.69,6.28,0.41,6.5287,405150.57,267096.412
300099.SZ,20191211,6.04,6.29,5.99,6.28,6.03,0.25,4.1459,217429.24,134684.787
300099.SZ,20191210,6.0,6.06,5.92,6.03,6.02,0.01,0.1661,69836.84,41862.919
300099.SZ,20191209,5.93,6.05,5.93,6.02,5.93,0.09,1.5177,96803.66,58112.913
300099.SZ,20191206,5.86,5.94,5.86,5.93,5.87,0.06,1.0221,71850.3,42427.995
300099.SZ,20191205,5.78,5.89,5.78,5.87,5.79,0.08,1.3817,82359.61,48172.064
300099.SZ,20191204,5.8,5.85,5.77,5.79,5.85,-0.06,-1.0256,48448.4,28113.886
300099.SZ,20191203,5.78,5.85,5.71,5.85,5.77,0.08,1.3865,55188.6,31870.539
300099.SZ,20191202,5.85,5.85,5.74,5.77,5.86,-0.09,-1.5358,63733.36,36880.882
300099.SZ,20191129,5.73,5.86,5.7,5.86,5.74,0.12,2.0906,72430.15,41993.513
300099.SZ,20191128,5.85,5.85,5.72,5.74,5.82,-0.08,-1.3746,59231.43,34172.857
300099.SZ,20191127,5.89,5.9,5.79,5.82,5.88,-0.06,-1.0204,76465.31,44572.214
300099.SZ,20191126,5.85,6.01,5.85,5.88,5.86,0.02,0.3413,56382.73,33435.014
300099.SZ,20191125,6.07,6.08,5.79,5.86,6.04,-0.18,-2.9801,93277.94,55004.41
300099.SZ,20191122,6.12,6.18,6.03,6.04,6.12,-0.08,-1.3072,77269.58,47060.649
300099.SZ,20191121,6.01,6.14,6.01,6.12,6.06,0.06,0.9901,68805.95,41963.495
300099.SZ,20191120,6.17,6.23,6.04,6.06,6.16,-0.1,-1.6234,93332.63,57189.428
300099.SZ,20191119,6.05,6.16,6.04,6.16,6.04,0.12,1.9868,79626.62,48797.242
300099.SZ,20191118,6.01,6.07,5.98,6.04,6.0,0.04,0.6667,53085.57,32008.652
300099.SZ,20191115,6.15,6.15,5.99,6.0,6.09,-0.09,-1.4778,66338.49,40008.942
300099.SZ,20191114,6.05,6.17,6.0,6.09,5.99,0.1,1.6694,92016.11,56055.415
300099.SZ,20191113,6.14,6.17,5.96,5.99,6.17,-0.18,-2.9173,92363.46,55751.631
300099.SZ,20191112,6.07,6.39,5.98,6.17,6.06,0.11,1.8152,141966.63,87439.828
300099.SZ,20191111,6.34,6.35,6.06,6.06,6.34,-0.28,-4.4164,127968.19,78794.299
300099.SZ,20191108,6.54,6.56,6.34,6.34,6.52,-0.18,-2.7607,123013.0,79132.148
300099.SZ,20191107,6.41,6.57,6.41,6.52,6.44,0.08,1.2422,100711.01,65571.018
300099.SZ,20191106,6.61,6.65,6.39,6.44,6.65,-0.21,-3.1579,152504.64,98727.185
300099.SZ,20191105,6.6,6.75,6.43,6.65,6.63,0.02,0.3017,149264.84,98230.881
300099.SZ,20191104,6.7,6.83,6.6,6.63,6.71,-0.08,-1.1923,149275.85,100419.199
300099.SZ,20191101,6.52,6.76,6.5,6.71,6.53,0.18,2.7565,188221.1,125643.667
300099.SZ,20191031,6.81,6.85,6.46,6.53,6.81,-0.28,-4.1116,251904.69,167402.067
300099.SZ,20191030,7.15,7.27,6.8,6.81,7.42,-0.61,-8.221,469527.44,329036.754
300099.SZ,20191029,8.47,8.47,7.38,7.42,7.7,-0.28,-3.6364,869497.76,703363.231
300099.SZ,20191028,7.7,7.7,7.7,7.7,7.0,0.7,10.0,44416.09,34200.389
300099.SZ,20191025,7.06,7.06,6.88,7.0,7.06,-0.06,-0.8499,137411.66,95735.831
300099.SZ,20191024,6.91,7.15,6.89,7.06,6.92,0.14,2.0231,206651.33,145541.381
300099.SZ,20191023,6.85,7.05,6.78,6.92,6.88,0.04,0.5814,153501.78,106847.211
300099.SZ,20191022,6.73,6.95,6.67,6.88,6.74,0.14,2.0772,154602.38,105326.827
300099.SZ,20191021,6.51,6.83,6.41,6.74,6.47,0.27,4.1731,165266.24,110022.84
300099.SZ,20191018,6.72,6.76,6.44,6.47,6.72,-0.25,-3.7202,125306.07,82184.466
300099.SZ,20191017,6.8,6.87,6.68,6.72,6.8,-0.08,-1.1765,82477.84,55895.82
300099.SZ,20191016,6.87,6.98,6.69,6.8,6.86,-0.06,-0.8746,134554.38,91895.184
300099.SZ,20191015,7.06,7.07,6.82,6.86,7.1,-0.24,-3.3803,165697.62,114906.97
300099.SZ,20191014,6.91,7.11,6.8,7.1,6.85,0.25,3.6496,214564.31,149870.27
300099.SZ,20191011,6.82,6.92,6.78,6.85,6.81,0.04,0.5874,146944.54,100772.165
300099.SZ,20191010,6.75,6.84,6.71,6.81,6.73,0.08,1.1887,104101.88,70819.834
300099.SZ,20191009,6.61,6.8,6.54,6.73,6.63,0.1,1.5083,95465.68,63750.089
300099.SZ,20191008,6.67,6.84,6.6,6.63,6.63,0.0,0.0,100278.2,67247.058
300099.SZ,20190930,6.78,6.88,6.61,6.63,6.77,-0.14,-2.0679,121934.41,82018.98
300099.SZ,20190927,6.81,6.95,6.53,6.77,6.91,-0.14,-2.026,181618.36,123043.973
300099.SZ,20190926,7.66,7.7,6.91,6.91,7.68,-0.77,-10.026,305556.79,218871.012
300099.SZ,20190925,7.6,7.85,7.48,7.68,7.71,-0.03,-0.3891,226226.14,173818.54
300099.SZ,20190924,7.57,7.87,7.53,7.71,7.57,0.14,1.8494,200806.76,155334.574
300099.SZ,20190923,7.67,7.69,7.44,7.57,7.74,-0.17,-2.1964,142330.62,107672.676
300099.SZ,20190920,7.77,7.96,7.71,7.74,7.8,-0.06,-0.7692,173475.44,135521.997
300099.SZ,20190919,7.85,7.88,7.5,7.8,7.81,-0.01,-0.128,218959.59,168371.343
300099.SZ,20190918,8.02,8.13,7.77,7.81,8.04,-0.23,-2.8607,235960.87,186144.605
300099.SZ,20190917,8.21,8.25,7.92,8.04,8.36,-0.32,-3.8278,323211.71,261135.643
300099.SZ,20190916,8.15,8.45,8.06,8.36,8.03,0.33,4.1096,532702.37,442401.249
300099.SZ,20190912,7.97,8.18,7.87,8.03,7.97,0.06,0.7528,270986.04,217858.35
300099.SZ,20190911,8.22,8.22,7.97,7.97,8.32,-0.35,-4.2067,354588.54,286954.087
300099.SZ,20190910,8.05,8.6,7.84,8.32,8.09,0.23,2.843,628901.45,512033.319
300099.SZ,20190909,8.0,8.18,7.84,8.09,7.98,0.11,1.3784,452073.26,363489.694
300099.SZ,20190906,8.32,8.45,7.88,7.98,8.19,-0.21,-2.5641,482719.93,390938.204
300099.SZ,20190905,7.83,8.22,7.74,8.19,7.78,0.41,5.2699,637608.67,507692.953
300099.SZ,20190904,7.96,7.96,7.71,7.78,8.08,-0.3,-3.7129,381367.85,297352.456
