ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600577.SH,20200110,2.89,2.9,2.84,2.86,2.88,-0.02,-0.6944,165229.47,47268.539
600577.SH,20200109,2.84,2.92,2.83,2.88,2.8,0.08,2.8571,300837.45,86394.505
600577.SH,20200108,2.82,2.88,2.8,2.8,2.82,-0.02,-0.7092,279063.0,79193.508
600577.SH,20200107,2.81,2.83,2.79,2.82,2.81,0.01,0.3559,186182.0,52380.756
600577.SH,20200106,2.75,2.83,2.74,2.81,2.77,0.04,1.444,246466.9,68846.84
600577.SH,20200103,2.78,2.79,2.75,2.77,2.77,0.0,0.0,131920.32,36549.346
600577.SH,20200102,2.75,2.8,2.74,2.77,2.73,0.04,1.4652,211614.4,58514.717
600577.SH,20191231,2.72,2.74,2.7,2.73,2.72,0.01,0.3676,106010.79,28843.342
600577.SH,20191230,2.67,2.72,2.65,2.72,2.68,0.04,1.4925,128915.97,34748.852
600577.SH,20191227,2.69,2.74,2.68,2.68,2.69,-0.01,-0.3717,143138.0,38708.522
600577.SH,20191226,2.67,2.69,2.66,2.69,2.66,0.03,1.1278,93704.0,25048.448
600577.SH,20191225,2.67,2.68,2.65,2.66,2.66,0.0,0.0,85531.02,22767.714
600577.SH,20191224,2.63,2.67,2.63,2.66,2.64,0.02,0.7576,108956.01,28888.62
600577.SH,20191223,2.72,2.72,2.62,2.64,2.71,-0.07,-2.583,184124.08,49167.549
600577.SH,20191220,2.73,2.75,2.7,2.71,2.74,-0.03,-1.0949,119913.29,32715.952
600577.SH,20191219,2.72,2.78,2.71,2.74,2.71,0.03,1.107,220896.95,60489.829
600577.SH,20191218,2.73,2.76,2.7,2.71,2.74,-0.03,-1.0949,227332.51,62078.301
600577.SH,20191217,2.69,2.74,2.67,2.74,2.68,0.06,2.2388,307893.8,83461.215
600577.SH,20191216,2.63,2.68,2.62,2.68,2.62,0.06,2.2901,223627.89,59422.179
600577.SH,20191213,2.62,2.63,2.6,2.62,2.6,0.02,0.7692,194298.0,50766.497
600577.SH,20191212,2.63,2.64,2.6,2.6,2.63,-0.03,-1.1407,132794.0,34656.118
600577.SH,20191211,2.65,2.66,2.62,2.63,2.65,-0.02,-0.7547,128995.04,34010.663
600577.SH,20191210,2.67,2.67,2.64,2.65,2.67,-0.02,-0.7491,140223.04,37157.797
600577.SH,20191209,2.67,2.69,2.65,2.67,2.68,-0.01,-0.3731,87456.0,23351.842
600577.SH,20191206,2.68,2.69,2.66,2.68,2.69,-0.01,-0.3717,87245.68,23302.968
600577.SH,20191205,2.71,2.71,2.67,2.69,2.7,-0.01,-0.3704,101092.0,27181.773
600577.SH,20191204,2.69,2.72,2.68,2.7,2.72,-0.02,-0.7353,97293.06,26265.453
600577.SH,20191203,2.69,2.72,2.67,2.72,2.71,0.01,0.369,101904.47,27506.068
600577.SH,20191202,2.66,2.73,2.66,2.71,2.67,0.04,1.4981,128433.81,34571.669
600577.SH,20191129,2.66,2.68,2.64,2.67,2.67,0.0,0.0,66628.97,17736.588
600577.SH,20191128,2.67,2.69,2.64,2.67,2.67,0.0,0.0,94064.28,25118.052
600577.SH,20191127,2.63,2.69,2.63,2.67,2.63,0.04,1.5209,143831.04,38347.508
600577.SH,20191126,2.66,2.66,2.61,2.63,2.65,-0.02,-0.7547,70045.09,18447.016
600577.SH,20191125,2.61,2.66,2.59,2.65,2.61,0.04,1.5326,111496.3,29384.314
600577.SH,20191122,2.62,2.65,2.59,2.61,2.63,-0.02,-0.7605,75242.4,19732.366
600577.SH,20191121,2.61,2.64,2.59,2.63,2.61,0.02,0.7663,53221.4,13915.178
600577.SH,20191120,2.62,2.62,2.6,2.61,2.62,-0.01,-0.3817,45659.4,11921.47
600577.SH,20191119,2.58,2.62,2.58,2.62,2.59,0.03,1.1583,59803.06,15605.358
600577.SH,20191118,2.58,2.6,2.57,2.59,2.58,0.01,0.3876,47252.81,12227.436
600577.SH,20191115,2.6,2.61,2.58,2.58,2.6,-0.02,-0.7692,52517.97,13600.109
600577.SH,20191114,2.59,2.61,2.59,2.6,2.6,0.0,0.0,41645.69,10836.301
600577.SH,20191113,2.62,2.63,2.59,2.6,2.62,-0.02,-0.7634,45479.66,11829.371
600577.SH,20191112,2.61,2.62,2.58,2.62,2.61,0.01,0.3831,61150.81,15895.587
600577.SH,20191111,2.65,2.66,2.6,2.61,2.65,-0.04,-1.5094,76483.39,20055.779
600577.SH,20191108,2.64,2.66,2.63,2.65,2.62,0.03,1.145,79851.39,21172.787
600577.SH,20191107,2.62,2.64,2.62,2.62,2.62,0.0,0.0,53485.0,14071.065
600577.SH,20191106,2.64,2.65,2.62,2.62,2.64,-0.02,-0.7576,48044.0,12652.127
600577.SH,20191105,2.66,2.66,2.62,2.64,2.65,-0.01,-0.3774,72166.39,19054.742
600577.SH,20191104,2.67,2.69,2.64,2.65,2.67,-0.02,-0.7491,74124.04,19744.327
600577.SH,20191101,2.66,2.68,2.63,2.67,2.66,0.01,0.3759,63480.04,16900.776
600577.SH,20191031,2.67,2.69,2.65,2.66,2.67,-0.01,-0.3745,65220.59,17431.036
600577.SH,20191030,2.68,2.7,2.65,2.67,2.69,-0.02,-0.7435,74056.0,19790.696
600577.SH,20191029,2.72,2.73,2.68,2.69,2.73,-0.04,-1.4652,97836.23,26475.607
600577.SH,20191028,2.73,2.75,2.7,2.73,2.73,0.0,0.0,141309.33,38439.69
600577.SH,20191025,2.69,2.74,2.67,2.73,2.7,0.03,1.1111,109522.37,29658.954
600577.SH,20191024,2.67,2.7,2.66,2.7,2.69,0.01,0.3717,80664.02,21608.991
600577.SH,20191023,2.65,2.76,2.64,2.69,2.64,0.05,1.8939,174379.21,47210.991
600577.SH,20191022,2.61,2.65,2.59,2.64,2.61,0.03,1.1494,60550.0,15915.801
600577.SH,20191021,2.63,2.64,2.58,2.61,2.62,-0.01,-0.3817,57374.92,14938.004
600577.SH,20191018,2.67,2.68,2.61,2.62,2.68,-0.06,-2.2388,80148.62,21161.232
600577.SH,20191017,2.68,2.69,2.66,2.68,2.68,0.0,0.0,46736.2,12489.565
