ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601899.SH,20200110,4.5,4.55,4.46,4.54,4.51,0.03,0.6652,2357123.36,1063149.765
601899.SH,20200109,4.53,4.62,4.48,4.51,4.7,-0.19,-4.0426,3875508.82,1758105.776
601899.SH,20200108,4.79,4.83,4.61,4.7,4.67,0.03,0.6424,4403377.71,2072072.563
601899.SH,20200107,4.73,4.73,4.62,4.67,4.86,-0.19,-3.9095,4024024.86,1877777.118
601899.SH,20200106,4.94,5.02,4.65,4.86,4.8,0.06,1.25,5776023.37,2780549.169
601899.SH,20200103,4.78,4.9,4.71,4.8,4.75,0.05,1.0526,2740998.77,1319798.516
601899.SH,20200102,4.62,4.85,4.6,4.75,4.59,0.16,3.4858,3508567.66,1667226.632
601899.SH,20191231,4.53,4.64,4.45,4.59,4.49,0.1,2.2272,2922164.95,1330267.05
601899.SH,20191230,4.48,4.6,4.37,4.49,4.46,0.03,0.6726,2934266.75,1312175.63
601899.SH,20191227,4.19,4.61,4.19,4.46,4.19,0.27,6.4439,4768126.87,2114576.087
601899.SH,20191226,4.12,4.24,4.1,4.19,4.14,0.05,1.2077,1887370.81,789315.92
601899.SH,20191225,4.15,4.2,4.09,4.14,4.12,0.02,0.4854,1694167.25,701708.414
601899.SH,20191224,3.98,4.14,3.93,4.12,3.97,0.15,3.7783,2100252.02,853742.897
601899.SH,20191223,3.99,4.04,3.96,3.97,4.02,-0.05,-1.2438,1164771.93,465728.636
601899.SH,20191220,4.1,4.11,3.99,4.02,4.1,-0.08,-1.9512,2064325.67,832142.083
601899.SH,20191219,3.96,4.13,3.94,4.1,3.97,0.13,3.2746,3105690.67,1261566.07
601899.SH,20191218,3.98,3.99,3.95,3.97,3.99,-0.02,-0.5013,1300682.6,516003.37
601899.SH,20191217,3.96,4.03,3.93,3.99,3.95,0.04,1.0127,2097329.26,834670.36
601899.SH,20191216,3.96,3.97,3.87,3.95,3.96,-0.01,-0.2525,1659286.76,649806.268
601899.SH,20191213,3.95,3.99,3.91,3.96,3.93,0.03,0.7634,1257012.26,495294.901
601899.SH,20191212,4.02,4.05,3.93,3.93,3.95,-0.02,-0.5063,1384608.15,550252.445
601899.SH,20191211,3.96,4.02,3.93,3.95,3.96,-0.01,-0.2525,1590720.47,630518.218
601899.SH,20191210,3.85,4.0,3.83,3.96,3.85,0.11,2.8571,3627109.77,1435690.091
601899.SH,20191209,3.66,3.85,3.66,3.85,3.68,0.17,4.6196,3044646.17,1154219.269
601899.SH,20191206,3.69,3.72,3.65,3.68,3.7,-0.02,-0.5405,1091720.21,401696.745
601899.SH,20191205,3.76,3.77,3.67,3.7,3.77,-0.07,-1.8568,1570134.78,582175.224
601899.SH,20191204,3.77,3.8,3.73,3.77,3.73,0.04,1.0724,2074605.04,782589.734
601899.SH,20191203,3.77,3.8,3.71,3.73,3.7,0.03,0.8108,1662420.3,623537.933
601899.SH,20191202,3.6,3.78,3.58,3.7,3.56,0.14,3.9326,2818176.55,1047378.755
601899.SH,20191129,3.54,3.6,3.49,3.56,3.64,-0.08,-2.1978,2557943.15,908602.84
601899.SH,20191128,3.66,3.71,3.63,3.64,3.68,-0.04,-1.087,800129.24,293512.373
601899.SH,20191127,3.75,3.75,3.63,3.68,3.77,-0.09,-2.3873,1279166.78,471747.132
601899.SH,20191126,3.74,3.77,3.69,3.77,3.77,0.0,0.0,1494570.75,556600.985
601899.SH,20191125,3.67,3.8,3.63,3.77,3.62,0.15,4.1436,2984474.99,1111055.352
601899.SH,20191122,3.52,3.64,3.5,3.62,3.53,0.09,2.5496,2029636.41,727914.211
601899.SH,20191121,3.46,3.55,3.46,3.53,3.44,0.09,2.6163,2080162.11,728901.282
601899.SH,20191114,3.49,3.5,3.42,3.44,3.49,-0.05,-1.4327,1593947.84,549665.936
601899.SH,20191113,3.51,3.62,3.47,3.49,3.44,0.05,1.4535,2186833.87,769966.877
601899.SH,20191112,3.49,3.5,3.41,3.44,3.5,-0.06,-1.7143,1130341.13,389494.847
601899.SH,20191111,3.56,3.57,3.48,3.5,3.59,-0.09,-2.507,1604082.54,562936.815
601899.SH,20191108,3.57,3.61,3.54,3.59,3.59,0.0,0.0,1321266.17,472742.107
601899.SH,20191107,3.58,3.61,3.53,3.59,3.59,0.0,0.0,1265468.5,452763.577
601899.SH,20191106,3.44,3.63,3.44,3.59,3.47,0.12,3.4582,3040668.51,1084341.781
601899.SH,20191105,3.47,3.5,3.44,3.47,3.47,0.0,0.0,1056773.08,366458.65
601899.SH,20191104,3.37,3.49,3.36,3.47,3.37,0.1,2.9674,2014670.36,694381.282
601899.SH,20191101,3.4,3.43,3.35,3.37,3.38,-0.01,-0.2959,1409778.12,477409.469
