ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300427.SZ,20200110,14.78,15.34,14.75,15.12,14.76,0.36,2.439,85563.5,128971.079
300427.SZ,20200109,14.62,14.9,14.62,14.76,14.62,0.14,0.9576,47886.63,70652.401
300427.SZ,20200108,14.73,14.86,14.47,14.62,14.73,-0.11,-0.7468,59759.3,87710.225
300427.SZ,20200107,14.65,14.75,14.5,14.73,14.62,0.11,0.7524,43980.0,64354.675
300427.SZ,20200106,14.65,14.97,14.41,14.62,14.57,0.05,0.3432,52107.2,76704.185
300427.SZ,20200103,14.69,14.75,14.34,14.57,14.65,-0.08,-0.5461,46779.39,68017.562
300427.SZ,20200102,14.19,14.9,14.06,14.65,14.08,0.57,4.0483,56703.78,82397.685
300427.SZ,20191231,14.02,14.26,13.96,14.08,14.19,-0.11,-0.7752,29406.15,41358.638
300427.SZ,20191230,13.81,14.28,13.51,14.19,13.95,0.24,1.7204,50129.2,69913.176
300427.SZ,20191227,14.3,14.32,13.93,13.95,14.22,-0.27,-1.8987,42156.91,59511.891
300427.SZ,20191226,14.2,14.34,14.1,14.22,14.3,-0.08,-0.5594,36707.0,52113.876
300427.SZ,20191225,14.3,14.42,14.1,14.3,14.35,-0.05,-0.3484,42565.06,60562.63
300427.SZ,20191224,13.8,14.43,13.8,14.35,13.74,0.61,4.4396,44317.0,62872.545
300427.SZ,20191223,13.91,14.31,13.56,13.74,13.98,-0.24,-1.7167,55073.97,76743.168
300427.SZ,20191220,14.46,14.46,13.98,13.98,14.33,-0.35,-2.4424,48085.36,68323.034
300427.SZ,20191219,14.18,14.83,14.05,14.33,14.09,0.24,1.7033,77289.82,111720.405
300427.SZ,20191218,13.85,14.11,13.76,14.09,13.86,0.23,1.6595,47212.71,65873.547
300427.SZ,20191217,13.71,13.93,13.65,13.86,13.72,0.14,1.0204,48533.0,67011.605
300427.SZ,20191216,13.63,13.76,13.45,13.72,13.5,0.22,1.6296,38541.0,52656.078
300427.SZ,20191213,13.3,13.58,13.28,13.5,13.26,0.24,1.81,40140.25,53998.787
300427.SZ,20191212,13.4,13.49,13.22,13.26,13.38,-0.12,-0.8969,47961.81,63939.239
300427.SZ,20191211,13.0,13.62,12.94,13.38,13.05,0.33,2.5287,69887.6,93287.255
300427.SZ,20191210,12.88,13.08,12.76,13.05,12.88,0.17,1.3199,30802.2,39938.458
300427.SZ,20191209,12.84,12.97,12.76,12.88,12.76,0.12,0.9404,24089.43,31034.864
300427.SZ,20191206,12.72,12.82,12.63,12.76,12.71,0.05,0.3934,31912.71,40587.015
300427.SZ,20191205,12.53,12.93,12.44,12.71,12.5,0.21,1.68,49052.39,62319.837
300427.SZ,20191204,12.36,12.55,12.26,12.5,12.43,0.07,0.5632,29522.8,36669.365
300427.SZ,20191203,12.25,12.48,12.16,12.43,12.18,0.25,2.0525,32583.0,40239.089
300427.SZ,20191202,12.02,12.29,11.93,12.18,12.06,0.12,0.995,28191.83,34318.736
300427.SZ,20191129,12.02,12.07,11.91,12.06,11.92,0.14,1.1745,21316.0,25567.646
300427.SZ,20191128,11.9,12.03,11.9,11.92,11.92,0.0,0.0,20621.55,24675.957
300427.SZ,20191127,11.87,12.07,11.82,11.92,11.92,0.0,0.0,23588.0,28133.248
300427.SZ,20191126,11.8,11.98,11.8,11.92,11.85,0.07,0.5907,25858.1,30791.937
300427.SZ,20191125,11.96,11.96,11.7,11.85,12.13,-0.28,-2.3083,45498.94,53729.294
300427.SZ,20191122,12.39,12.48,12.1,12.13,12.36,-0.23,-1.8608,32536.63,39847.324
300427.SZ,20191121,12.37,12.53,12.26,12.36,12.42,-0.06,-0.4831,24099.23,29792.6
300427.SZ,20191120,12.58,12.75,12.39,12.42,12.67,-0.25,-1.9732,36724.64,46013.458
300427.SZ,20191119,12.45,12.67,12.35,12.67,12.45,0.22,1.7671,35281.58,44282.195
300427.SZ,20191118,12.63,12.74,12.35,12.45,12.66,-0.21,-1.6588,46309.64,57676.246
300427.SZ,20191115,13.05,13.05,12.65,12.66,13.05,-0.39,-2.9885,29291.02,37550.544
300427.SZ,20191114,13.0,13.13,12.96,13.05,13.04,0.01,0.0767,32709.36,42625.862
300427.SZ,20191113,12.85,13.13,12.79,13.04,12.88,0.16,1.2422,35291.02,45919.414
300427.SZ,20191112,12.76,12.95,12.7,12.88,12.79,0.09,0.7037,28519.6,36516.18
300427.SZ,20191111,12.98,12.98,12.68,12.79,13.08,-0.29,-2.2171,47169.0,60433.303
300427.SZ,20191108,13.26,13.35,13.05,13.08,13.26,-0.18,-1.3575,50838.66,67095.036
300427.SZ,20191107,13.1,13.35,13.03,13.26,13.06,0.2,1.5314,52803.01,69877.827
300427.SZ,20191106,13.33,13.36,13.01,13.06,13.33,-0.27,-2.0255,61552.5,81110.242
300427.SZ,20191105,13.4,13.4,13.1,13.33,13.48,-0.15,-1.1128,90860.51,120418.948
300427.SZ,20191104,13.57,13.79,13.42,13.48,13.51,-0.03,-0.2221,91183.72,123997.775
300427.SZ,20191101,13.4,13.69,13.35,13.51,13.6,-0.09,-0.6618,109355.05,148380.98
300427.SZ,20191031,14.12,14.3,13.31,13.6,14.56,-0.96,-6.5934,195171.46,269751.291
300427.SZ,20191030,15.0,15.46,14.56,14.56,16.18,-1.62,-10.0124,207046.52,304799.683
300427.SZ,20191029,17.97,17.97,16.06,16.18,16.34,-0.16,-0.9792,462436.72,807725.698
300427.SZ,20191028,16.34,16.34,16.34,16.34,14.85,1.49,10.0337,38776.39,63360.621
300427.SZ,20191025,15.78,16.0,14.66,14.85,15.16,-0.31,-2.0449,183583.46,278607.857
300427.SZ,20191024,13.83,15.16,13.72,15.16,13.78,1.38,10.0145,147562.08,222005.052
300427.SZ,20191023,13.66,13.89,13.65,13.78,13.64,0.14,1.0264,25813.0,35643.112
300427.SZ,20191022,13.24,13.76,13.24,13.64,13.23,0.41,3.099,25617.4,34565.923
300427.SZ,20191021,13.61,13.61,13.08,13.23,13.61,-0.38,-2.7921,19871.0,26266.888
300427.SZ,20191018,13.64,13.74,13.37,13.61,13.67,-0.06,-0.4389,17606.53,23915.011
300427.SZ,20191017,13.81,13.81,13.48,13.67,13.8,-0.13,-0.942,26123.7,35525.29
300427.SZ,20191016,13.9,13.97,13.74,13.8,13.89,-0.09,-0.6479,24699.7,34170.293
300427.SZ,20191015,13.76,14.08,13.65,13.89,13.71,0.18,1.3129,37835.44,52537.752
300427.SZ,20191014,13.69,13.77,13.56,13.71,13.51,0.2,1.4804,20945.0,28670.453
300427.SZ,20191011,13.62,13.72,13.5,13.51,13.67,-0.16,-1.1704,16014.24,21756.871
300427.SZ,20191010,13.62,13.78,13.56,13.67,13.64,0.03,0.2199,16577.94,22645.439
300427.SZ,20191009,13.49,13.73,13.26,13.64,13.54,0.1,0.7386,15322.1,20760.916
300427.SZ,20191008,13.64,13.8,13.44,13.54,13.57,-0.03,-0.2211,13401.0,18257.087
300427.SZ,20190930,13.85,13.93,13.44,13.57,13.78,-0.21,-1.5239,21746.52,29624.839
300427.SZ,20190927,13.33,13.88,13.33,13.78,13.32,0.46,3.4535,33182.0,45583.041
300427.SZ,20190926,14.0,14.08,13.25,13.32,14.01,-0.69,-4.9251,28750.0,38885.129
300427.SZ,20190925,14.4,14.51,13.82,14.01,14.46,-0.45,-3.112,33127.39,46508.871
300427.SZ,20190924,14.66,14.73,14.36,14.46,14.65,-0.19,-1.2969,33082.59,48016.865
300427.SZ,20190923,14.6,14.77,14.36,14.65,14.67,-0.02,-0.1363,22249.36,32424.206
300427.SZ,20190920,14.7,15.09,14.64,14.67,14.69,-0.02,-0.1361,29613.72,43954.124
300427.SZ,20190919,14.48,14.72,14.41,14.69,14.47,0.22,1.5204,21956.6,32011.519
300427.SZ,20190918,14.56,14.72,14.42,14.47,14.58,-0.11,-0.7545,25897.02,37697.789
300427.SZ,20190917,15.2,15.2,14.27,14.58,15.09,-0.51,-3.3797,38390.8,56226.066
300427.SZ,20190916,15.09,15.34,15.03,15.09,15.09,0.0,0.0,32244.66,48959.464
300427.SZ,20190912,15.15,15.28,14.9,15.09,15.15,-0.06,-0.396,34794.62,52452.597
300427.SZ,20190911,15.33,15.54,15.09,15.15,15.31,-0.16,-1.0451,44101.42,67368.413
300427.SZ,20190910,15.3,15.66,15.2,15.31,15.23,0.08,0.5253,66874.85,103128.804
300427.SZ,20190909,14.83,15.25,14.83,15.23,14.78,0.45,3.0447,62914.31,94738.258
300427.SZ,20190906,14.78,14.87,14.63,14.78,14.69,0.09,0.6127,45593.59,67120.998
300427.SZ,20190905,14.65,14.88,14.42,14.69,14.53,0.16,1.1012,73411.49,107413.491
300427.SZ,20190904,14.31,14.59,14.31,14.53,14.41,0.12,0.8328,45329.93,65517.377
300427.SZ,20190903,14.46,14.7,14.31,14.41,14.5,-0.09,-0.6207,50617.2,73075.371
300427.SZ,20190902,13.94,14.5,13.9,14.5,13.9,0.6,4.3165,57798.79,82732.917
300427.SZ,20190830,14.17,14.35,13.8,13.9,14.18,-0.28,-1.9746,41214.79,57886.182
300427.SZ,20190829,14.19,14.45,14.17,14.18,14.16,0.02,0.1412,39595.05,56545.541
300427.SZ,20190828,14.05,14.47,13.95,14.16,14.06,0.1,0.7112,58097.25,82812.006
300427.SZ,20190827,13.47,14.16,13.46,14.06,13.37,0.69,5.1608,48744.58,67776.355
300427.SZ,20190826,13.42,13.57,13.31,13.37,13.65,-0.28,-2.0513,22070.45,29590.357
300427.SZ,20190823,13.79,13.95,13.59,13.65,13.82,-0.17,-1.2301,18262.0,25012.886
300427.SZ,20190822,13.79,13.9,13.53,13.82,13.72,0.1,0.7289,23245.21,31978.082
300427.SZ,20190821,13.87,13.92,13.65,13.72,13.85,-0.13,-0.9386,24605.03,33798.012
300427.SZ,20190820,13.87,14.18,13.71,13.85,13.85,0.0,0.0,33281.21,46365.557
