ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600400.SH,20200110,3.39,3.41,3.36,3.37,3.39,-0.02,-0.59,34874.79,11773.388
600400.SH,20200109,3.36,3.42,3.35,3.39,3.35,0.04,1.194,49563.73,16799.788
600400.SH,20200108,3.39,3.4,3.34,3.35,3.4,-0.05,-1.4706,48130.96,16237.758
600400.SH,20200107,3.39,3.42,3.38,3.4,3.39,0.01,0.295,44007.13,14949.869
600400.SH,20200106,3.39,3.41,3.37,3.39,3.41,-0.02,-0.5865,52709.44,17877.013
600400.SH,20200103,3.39,3.46,3.38,3.41,3.4,0.01,0.2941,60889.15,20796.255
600400.SH,20200102,3.36,3.43,3.34,3.4,3.36,0.04,1.1905,79468.78,26930.234
600400.SH,20191231,3.31,3.38,3.29,3.36,3.32,0.04,1.2048,93756.68,31310.338
600400.SH,20191230,3.28,3.32,3.27,3.32,3.31,0.01,0.3021,42131.8,13909.888
600400.SH,20191227,3.3,3.34,3.3,3.31,3.31,0.0,0.0,65221.4,21664.843
600400.SH,20191226,3.29,3.31,3.28,3.31,3.3,0.01,0.303,41088.98,13520.032
600400.SH,20191225,3.3,3.33,3.28,3.3,3.3,0.0,0.0,36567.66,12067.18
600400.SH,20191224,3.3,3.31,3.27,3.3,3.29,0.01,0.304,30404.93,9993.339
600400.SH,20191223,3.28,3.38,3.27,3.29,3.27,0.02,0.6116,70065.94,23172.336
600400.SH,20191220,3.3,3.31,3.27,3.27,3.3,-0.03,-0.9091,37311.8,12287.332
600400.SH,20191219,3.3,3.3,3.28,3.3,3.3,0.0,0.0,38730.96,12742.747
600400.SH,20191218,3.28,3.32,3.28,3.3,3.3,0.0,0.0,50338.43,16618.111
600400.SH,20191217,3.26,3.35,3.25,3.3,3.26,0.04,1.227,124646.5,41006.424
600400.SH,20191216,3.26,3.26,3.24,3.26,3.26,0.0,0.0,39684.23,12912.625
600400.SH,20191213,3.25,3.27,3.22,3.26,3.24,0.02,0.6173,51194.47,16628.903
600400.SH,20191212,3.24,3.28,3.24,3.24,3.25,-0.01,-0.3077,24016.56,7804.75
600400.SH,20191211,3.24,3.29,3.23,3.25,3.25,0.0,0.0,26789.57,8728.486
600400.SH,20191210,3.22,3.28,3.22,3.25,3.22,0.03,0.9317,50577.22,16444.374
600400.SH,20191209,3.22,3.24,3.22,3.22,3.23,-0.01,-0.3096,24620.22,7943.073
600400.SH,20191206,3.24,3.24,3.23,3.23,3.23,0.0,0.0,19589.9,6336.378
600400.SH,20191205,3.23,3.24,3.22,3.23,3.22,0.01,0.3106,19438.94,6281.053
600400.SH,20191204,3.23,3.25,3.21,3.22,3.25,-0.03,-0.9231,27895.45,9001.844
600400.SH,20191203,3.25,3.25,3.22,3.25,3.25,0.0,0.0,22950.32,7427.98
600400.SH,20191202,3.24,3.27,3.23,3.25,3.25,0.0,0.0,18816.98,6112.501
600400.SH,20191129,3.25,3.26,3.24,3.25,3.25,0.0,0.0,18023.6,5852.638
600400.SH,20191128,3.27,3.27,3.25,3.25,3.28,-0.03,-0.9146,20819.0,6786.775
600400.SH,20191127,3.27,3.28,3.26,3.28,3.29,-0.01,-0.304,20230.56,6617.518
