ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002293.SZ,20200110,9.15,9.36,9.13,9.2,9.08,0.12,1.3216,38421.76,35489.821
002293.SZ,20200109,9.1,9.11,9.02,9.08,9.04,0.04,0.4425,19357.95,17560.164
002293.SZ,20200108,9.13,9.16,8.94,9.04,9.14,-0.1,-1.0941,28076.85,25410.858
002293.SZ,20200107,9.16,9.2,9.08,9.14,9.09,0.05,0.5501,16818.35,15344.206
002293.SZ,20200106,9.13,9.19,9.05,9.09,9.18,-0.09,-0.9804,26089.48,23760.321
002293.SZ,20200103,9.18,9.23,9.1,9.18,9.18,0.0,0.0,20833.0,19102.054
002293.SZ,20200102,9.09,9.22,9.05,9.18,9.08,0.1,1.1013,38834.2,35517.881
002293.SZ,20191231,9.1,9.16,9.02,9.08,9.11,-0.03,-0.3293,24453.85,22171.263
002293.SZ,20191230,9.04,9.12,8.95,9.11,9.04,0.07,0.7743,26097.71,23650.971
002293.SZ,20191227,9.07,9.12,9.0,9.04,9.05,-0.01,-0.1105,14449.8,13089.626
002293.SZ,20191226,9.04,9.09,9.01,9.05,9.07,-0.02,-0.2205,11040.77,9989.51
002293.SZ,20191225,8.93,9.1,8.89,9.07,8.93,0.14,1.5677,22314.88,20172.465
002293.SZ,20191224,8.86,8.96,8.8,8.93,8.88,0.05,0.5631,20876.45,18545.291
002293.SZ,20191223,8.91,8.95,8.86,8.88,8.88,0.0,0.0,21524.55,19189.37
002293.SZ,20191220,8.94,9.0,8.85,8.88,8.9,-0.02,-0.2247,15968.99,14244.672
002293.SZ,20191219,8.8,8.93,8.76,8.9,8.8,0.1,1.1364,27597.18,24484.952
002293.SZ,20191218,8.89,8.9,8.71,8.8,8.91,-0.11,-1.2346,51859.37,45778.285
002293.SZ,20191217,8.94,8.99,8.84,8.91,8.94,-0.03,-0.3356,29495.98,26266.453
002293.SZ,20191216,8.94,8.99,8.87,8.94,8.88,0.06,0.6757,21129.36,18867.75
002293.SZ,20191213,8.9,8.94,8.86,8.88,8.85,0.03,0.339,20467.98,18215.165
002293.SZ,20191212,8.89,8.94,8.82,8.85,8.9,-0.05,-0.5618,21942.92,19487.329
002293.SZ,20191211,8.7,8.9,8.7,8.9,8.79,0.11,1.2514,25800.43,22786.973
002293.SZ,20191210,8.57,8.79,8.51,8.79,8.55,0.24,2.807,29196.62,25261.024
002293.SZ,20191209,8.57,8.67,8.47,8.55,8.59,-0.04,-0.4657,22649.47,19370.5
002293.SZ,20191206,8.58,8.59,8.46,8.59,8.59,0.0,0.0,24708.8,21057.451
002293.SZ,20191205,8.63,8.66,8.46,8.59,8.59,0.0,0.0,31736.71,27077.409
002293.SZ,20191204,8.64,8.68,8.53,8.59,8.63,-0.04,-0.4635,11863.52,10207.322
002293.SZ,20191203,8.6,8.66,8.6,8.63,8.63,0.0,0.0,5733.9,4941.402
002293.SZ,20191202,8.63,8.76,8.56,8.63,8.62,0.01,0.116,8800.24,7626.509
002293.SZ,20191129,8.58,8.7,8.54,8.62,8.64,-0.02,-0.2315,13001.62,11168.13
002293.SZ,20191128,8.71,8.78,8.63,8.64,8.74,-0.1,-1.1442,8728.9,7573.529
002293.SZ,20191127,8.77,8.79,8.7,8.74,8.76,-0.02,-0.2283,6003.82,5255.813
002293.SZ,20191126,8.74,8.77,8.69,8.76,8.69,0.07,0.8055,9406.42,8223.683
002293.SZ,20191125,8.73,8.75,8.51,8.69,8.65,0.04,0.4624,14191.51,12280.7
002293.SZ,20191122,8.72,8.81,8.58,8.65,8.75,-0.1,-1.1429,20734.61,17989.216
002293.SZ,20191121,8.8,8.81,8.68,8.75,8.81,-0.06,-0.681,12395.52,10835.37
002293.SZ,20191120,8.92,8.95,8.8,8.81,8.94,-0.13,-1.4541,16026.61,14160.925
002293.SZ,20191119,8.92,8.95,8.8,8.94,8.95,-0.01,-0.1117,13368.05,11892.108
002293.SZ,20191118,8.96,8.97,8.89,8.95,8.96,-0.01,-0.1116,8569.43,7648.039
002293.SZ,20191115,8.95,9.07,8.93,8.96,8.99,-0.03,-0.3337,10699.35,9611.237
002293.SZ,20191114,8.93,9.04,8.93,8.99,8.96,0.03,0.3348,6544.32,5883.763
002293.SZ,20191113,9.0,9.09,8.9,8.96,9.06,-0.1,-1.1038,12193.67,10939.753
002293.SZ,20191112,9.01,9.08,8.98,9.06,9.0,0.06,0.6667,11730.9,10592.706
002293.SZ,20191111,9.17,9.21,8.95,9.0,9.17,-0.17,-1.8539,21489.22,19435.758
002293.SZ,20191108,9.22,9.25,9.17,9.17,9.19,-0.02,-0.2176,15693.93,14465.477
002293.SZ,20191107,9.25,9.25,9.12,9.19,9.2,-0.01,-0.1087,15973.98,14661.367
002293.SZ,20191106,9.15,9.24,9.15,9.2,9.18,0.02,0.2179,13962.65,12845.776
002293.SZ,20191105,9.09,9.23,9.08,9.18,9.09,0.09,0.9901,25852.37,23727.645
002293.SZ,20191104,9.03,9.12,9.03,9.09,9.04,0.05,0.5531,11593.68,10532.614
002293.SZ,20191101,8.95,9.06,8.93,9.04,9.03,0.01,0.1107,17305.52,15575.533
002293.SZ,20191031,9.06,9.09,8.96,9.03,9.07,-0.04,-0.441,13622.78,12273.813
002293.SZ,20191030,9.05,9.12,9.02,9.07,9.05,0.02,0.221,10255.13,9303.213
002293.SZ,20191029,9.16,9.16,9.05,9.05,9.13,-0.08,-0.8762,8942.35,8115.159
002293.SZ,20191028,9.16,9.17,9.1,9.13,9.11,0.02,0.2195,13043.35,11905.107
002293.SZ,20191025,9.0,9.15,8.98,9.11,9.08,0.03,0.3304,15506.84,14034.537
002293.SZ,20191024,9.16,9.2,9.02,9.08,9.15,-0.07,-0.765,12536.38,11394.419
002293.SZ,20191023,9.02,9.15,8.98,9.15,9.03,0.12,1.3289,12644.7,11475.451
002293.SZ,20191022,9.02,9.07,8.88,9.03,9.02,0.01,0.1109,13702.8,12295.759
002293.SZ,20191021,9.12,9.12,8.95,9.02,9.02,0.0,0.0,11327.49,10210.529
002293.SZ,20191018,9.11,9.2,9.0,9.02,9.13,-0.11,-1.2048,14507.13,13144.783
002293.SZ,20191017,9.27,9.27,9.13,9.13,9.2,-0.07,-0.7609,8005.25,7336.889
002293.SZ,20191016,9.17,9.29,9.14,9.2,9.15,0.05,0.5464,12617.29,11635.785
002293.SZ,20191015,9.18,9.21,9.1,9.15,9.19,-0.04,-0.4353,12548.96,11479.082
002293.SZ,20191014,9.28,9.29,9.13,9.19,9.21,-0.02,-0.2172,19263.56,17749.864
002293.SZ,20191011,9.2,9.22,9.1,9.21,9.15,0.06,0.6557,12424.34,11403.72
002293.SZ,20191010,9.11,9.17,9.06,9.15,9.08,0.07,0.7709,10538.49,9630.555
002293.SZ,20191009,9.02,9.1,9.01,9.08,9.05,0.03,0.3315,8021.5,7274.707
002293.SZ,20191008,9.04,9.09,9.0,9.05,9.04,0.01,0.1106,9962.21,9019.325
002293.SZ,20190930,9.02,9.07,9.0,9.04,9.02,0.02,0.2217,6965.48,6291.731
002293.SZ,20190927,9.03,9.1,8.99,9.02,9.03,-0.01,-0.1107,12378.4,11176.007
002293.SZ,20190926,9.09,9.16,9.02,9.03,9.06,-0.03,-0.3311,17121.45,15528.431
002293.SZ,20190925,9.16,9.16,9.05,9.06,9.13,-0.07,-0.7667,12446.52,11308.529
002293.SZ,20190924,9.09,9.21,9.07,9.13,9.12,0.01,0.1096,13450.63,12296.296
002293.SZ,20190923,9.22,9.23,9.09,9.12,9.22,-0.1,-1.0846,12985.69,11860.79
002293.SZ,20190920,9.2,9.24,9.16,9.22,9.2,0.02,0.2174,11132.9,10249.218
002293.SZ,20190919,9.24,9.26,9.15,9.2,9.2,0.0,0.0,20166.59,18509.719
002293.SZ,20190918,9.16,9.22,9.13,9.2,9.18,0.02,0.2179,10884.0,9999.63
