ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300586.SZ,20200110,21.96,23.45,21.62,22.56,21.88,0.68,3.1079,280189.35,634817.923
300586.SZ,20200109,22.0,22.12,21.33,21.88,21.71,0.17,0.783,153791.01,334375.739
300586.SZ,20200108,21.3,22.42,21.3,21.71,21.7,0.01,0.0461,198038.99,432572.444
300586.SZ,20200107,22.67,22.88,21.45,21.7,22.67,-0.97,-4.2788,217458.3,476730.608
300586.SZ,20200106,21.73,22.8,21.0,22.67,22.59,0.08,0.3541,238459.24,522334.092
300586.SZ,20200103,21.39,23.2,21.25,22.59,21.75,0.84,3.8621,336706.32,749111.197
300586.SZ,20200102,20.88,21.97,20.7,21.75,21.25,0.5,2.3529,282475.49,603662.225
300586.SZ,20191231,21.1,22.18,20.94,21.25,23.27,-2.02,-8.6807,342062.46,732705.846
300586.SZ,20191230,24.8,24.8,23.27,23.27,25.85,-2.58,-9.9807,49378.0,117460.778
300586.SZ,20191227,24.3,26.74,23.77,25.85,24.5,1.35,5.5102,408051.8,1023972.97
300586.SZ,20191226,23.66,25.44,22.99,24.5,24.04,0.46,1.9135,337313.79,811950.612
300586.SZ,20191225,23.75,24.35,22.99,24.04,24.7,-0.66,-2.6721,320299.77,759996.074
300586.SZ,20191224,22.7,24.7,22.35,24.7,23.27,1.43,6.1453,411562.08,970322.926
300586.SZ,20191223,23.0,24.39,22.39,23.27,22.25,1.02,4.5843,508235.12,1184413.476
300586.SZ,20191220,22.25,22.25,22.25,22.25,20.23,2.02,9.9852,122508.23,272580.811
300586.SZ,20191219,20.23,20.23,20.23,20.23,18.39,1.84,10.0054,30349.01,61396.047
300586.SZ,20191218,18.39,18.39,18.39,18.39,16.72,1.67,9.988,26413.59,48574.592
300586.SZ,20191217,16.72,16.72,16.72,16.72,15.2,1.52,10.0,24717.1,41326.991
300586.SZ,20191216,15.2,15.2,15.2,15.2,13.82,1.38,9.9855,11431.97,17376.594
300586.SZ,20191213,13.47,13.85,13.44,13.82,13.44,0.38,2.8274,28871.65,39408.691
300586.SZ,20191212,13.54,13.67,13.38,13.44,13.42,0.02,0.149,15899.01,21474.203
300586.SZ,20191211,13.56,13.9,13.41,13.42,13.53,-0.11,-0.813,23902.83,32598.965
300586.SZ,20191210,13.35,13.59,13.29,13.53,13.29,0.24,1.8059,19899.67,26798.699
300586.SZ,20191209,13.25,13.38,13.24,13.29,13.24,0.05,0.3776,17371.5,23133.378
300586.SZ,20191206,13.01,13.32,12.93,13.24,13.01,0.23,1.7679,17506.4,23015.062
300586.SZ,20191205,12.97,13.09,12.93,13.01,12.97,0.04,0.3084,10506.83,13657.388
300586.SZ,20191204,12.68,13.0,12.68,12.97,12.85,0.12,0.9339,14187.0,18254.562
300586.SZ,20191203,12.84,12.92,12.59,12.85,13.0,-0.15,-1.1538,16692.08,21255.771
300586.SZ,20191202,13.11,13.11,12.84,13.0,13.02,-0.02,-0.1536,9119.5,11810.496
300586.SZ,20191129,12.96,13.05,12.8,13.02,12.96,0.06,0.463,12062.32,15574.877
300586.SZ,20191128,12.95,13.04,12.8,12.96,12.86,0.1,0.7776,12913.53,16748.498
300586.SZ,20191127,13.16,13.18,12.8,12.86,13.29,-0.43,-3.2355,24929.48,32378.123
300586.SZ,20191126,13.48,13.5,13.25,13.29,13.4,-0.11,-0.8209,12070.65,16134.671
300586.SZ,20191125,13.8,13.8,13.33,13.4,13.83,-0.43,-3.1092,25689.5,34806.693
300586.SZ,20191122,13.75,14.1,13.61,13.83,13.86,-0.03,-0.2165,25835.5,35648.511
300586.SZ,20191121,13.4,13.95,13.4,13.86,13.53,0.33,2.439,29875.18,41141.157
300586.SZ,20191120,13.4,13.71,13.38,13.53,13.49,0.04,0.2965,19880.5,27022.347
300586.SZ,20191119,13.26,13.52,13.16,13.49,13.15,0.34,2.5856,21866.7,29231.122
300586.SZ,20191118,12.9,13.26,12.81,13.15,12.9,0.25,1.938,16072.26,21138.356
300586.SZ,20191115,13.08,13.12,12.82,12.9,13.1,-0.2,-1.5267,11392.0,14776.422
300586.SZ,20191114,13.08,13.18,13.08,13.1,13.15,-0.05,-0.3802,10449.56,13718.411
300586.SZ,20191113,12.81,13.25,12.81,13.15,13.01,0.14,1.0761,11554.51,15028.796
300586.SZ,20191112,13.22,13.22,12.92,13.01,13.08,-0.07,-0.5352,9152.0,11904.854
300586.SZ,20191111,13.29,13.47,12.92,13.08,13.37,-0.29,-2.169,16321.83,21537.552
300586.SZ,20191108,13.62,13.71,13.31,13.37,13.63,-0.26,-1.9076,18149.0,24515.049
300586.SZ,20191107,13.42,13.68,12.88,13.63,13.45,0.18,1.3383,28550.88,38033.771
300586.SZ,20191106,13.61,13.77,13.4,13.45,13.68,-0.23,-1.6813,20725.79,28124.622
300586.SZ,20191105,13.3,13.7,13.3,13.68,13.29,0.39,2.9345,27844.97,37615.687
300586.SZ,20191104,13.58,13.67,13.23,13.29,13.58,-0.29,-2.1355,25182.5,33929.26
300586.SZ,20191101,13.5,13.73,13.43,13.58,13.64,-0.06,-0.4399,23818.5,32246.42
