ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002842.SZ,20200110,12.59,12.61,12.22,12.33,12.55,-0.22,-1.753,38912.0,48188.663
002842.SZ,20200109,12.43,12.74,12.4,12.55,12.43,0.12,0.9654,39961.04,50187.806
002842.SZ,20200108,12.81,12.83,12.37,12.43,12.82,-0.39,-3.0421,67543.96,84848.328
002842.SZ,20200107,12.88,12.97,12.7,12.82,12.89,-0.07,-0.5431,64297.72,82342.19
002842.SZ,20200106,12.8,13.09,12.73,12.89,12.9,-0.01,-0.0775,71775.36,92648.462
002842.SZ,20200103,13.09,13.19,12.88,12.9,13.2,-0.3,-2.2727,71687.44,93226.656
002842.SZ,20200102,12.92,13.38,12.74,13.2,12.82,0.38,2.9641,107117.97,139051.713
002842.SZ,20191231,13.19,13.19,12.66,12.82,13.24,-0.42,-3.1722,102272.6,131585.45
002842.SZ,20191230,13.1,13.47,12.9,13.24,12.97,0.27,2.0817,133247.49,176449.106
002842.SZ,20191227,12.62,13.54,12.46,12.97,12.63,0.34,2.692,178476.6,232591.245
002842.SZ,20191226,12.26,12.72,12.13,12.63,12.25,0.38,3.102,130604.75,163598.795
002842.SZ,20191225,12.32,12.36,12.16,12.25,12.34,-0.09,-0.7293,43625.41,53327.393
002842.SZ,20191224,11.8,12.47,11.8,12.34,11.83,0.51,4.3111,84771.14,103859.175
002842.SZ,20191223,12.0,12.08,11.77,11.83,12.09,-0.26,-2.1505,43903.68,52390.053
002842.SZ,20191220,12.08,12.27,12.02,12.09,12.09,0.0,0.0,45877.36,55654.565
002842.SZ,20191219,11.89,12.3,11.85,12.09,11.87,0.22,1.8534,67116.32,81304.878
002842.SZ,20191218,12.05,12.09,11.86,11.87,12.07,-0.2,-1.657,62152.36,74492.624
002842.SZ,20191217,11.58,12.08,11.57,12.07,11.61,0.46,3.9621,85833.7,102127.801
002842.SZ,20191216,11.48,11.61,11.38,11.61,11.46,0.15,1.3089,30398.72,34942.354
002842.SZ,20191213,11.46,11.51,11.37,11.46,11.4,0.06,0.5263,21247.4,24305.358
002842.SZ,20191212,11.49,11.54,11.36,11.4,11.46,-0.06,-0.5236,24813.88,28409.935
002842.SZ,20191211,11.65,11.66,11.44,11.46,11.66,-0.2,-1.7153,36010.89,41457.703
002842.SZ,20191210,11.75,11.83,11.57,11.66,11.66,0.0,0.0,33159.97,38764.234
002842.SZ,20191209,11.67,11.78,11.6,11.66,11.7,-0.04,-0.3419,26987.68,31551.132
002842.SZ,20191206,11.66,11.76,11.5,11.7,11.61,0.09,0.7752,32389.24,37771.363
002842.SZ,20191205,11.53,11.63,11.41,11.61,11.51,0.1,0.8688,37625.36,43422.693
002842.SZ,20191204,11.18,11.63,11.1,11.51,11.18,0.33,2.9517,53633.14,61212.127
002842.SZ,20191203,11.01,11.18,10.97,11.18,10.96,0.22,2.0073,26844.99,29804.182
002842.SZ,20191202,11.18,11.26,10.95,10.96,11.18,-0.22,-1.9678,24042.24,26699.324
002842.SZ,20191129,11.44,11.44,11.12,11.18,11.45,-0.27,-2.3581,29046.88,32573.794
002842.SZ,20191128,11.55,11.71,11.12,11.45,11.72,-0.27,-2.3038,35074.72,40275.15
002842.SZ,20191127,11.65,12.06,11.58,11.72,11.54,0.18,1.5598,44673.7,52722.975
002842.SZ,20191126,11.7,11.7,11.37,11.54,11.67,-0.13,-1.114,23117.56,26723.731
002842.SZ,20191125,11.56,11.74,11.41,11.67,11.57,0.1,0.8643,33118.21,38482.363
002842.SZ,20191122,11.7,11.83,11.48,11.57,11.68,-0.11,-0.9418,24865.29,28974.882
002842.SZ,20191121,11.87,11.98,11.64,11.68,12.01,-0.33,-2.7477,34574.03,40643.315
002842.SZ,20191120,11.78,12.16,11.63,12.01,11.76,0.25,2.1259,52299.49,62178.749
002842.SZ,20191119,11.48,11.85,11.43,11.76,11.47,0.29,2.5283,32046.89,37445.791
002842.SZ,20191118,11.65,11.65,11.3,11.47,11.69,-0.22,-1.882,29500.44,33744.937
002842.SZ,20191115,11.72,11.97,11.61,11.69,11.67,0.02,0.1714,40567.93,47973.868
002842.SZ,20191114,11.63,11.78,11.56,11.67,11.66,0.01,0.0858,23881.8,27832.592
002842.SZ,20191113,11.97,11.99,11.6,11.66,11.9,-0.24,-2.0168,28149.0,33078.071
002842.SZ,20191112,11.8,11.95,11.55,11.9,11.88,0.02,0.1684,32083.36,37701.816
002842.SZ,20191111,12.27,12.27,11.86,11.88,12.09,-0.21,-1.737,30839.52,37037.493
