ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600513.SH,20200110,8.06,8.21,8.05,8.07,8.17,-0.1,-1.224,102444.7,83174.256
600513.SH,20200109,8.29,8.33,8.03,8.17,8.16,0.01,0.1225,177268.04,144565.473
600513.SH,20200108,8.4,8.42,8.12,8.16,8.64,-0.48,-5.5556,241756.81,199496.909
600513.SH,20200107,8.6,8.82,8.34,8.64,8.93,-0.29,-3.2475,325761.69,278420.645
600513.SH,20200106,8.2,8.93,8.2,8.93,8.12,0.81,9.9754,480390.89,419337.497
600513.SH,20200103,8.69,8.72,8.1,8.12,8.57,-0.45,-5.2509,370166.44,311200.402
600513.SH,20200102,7.89,8.57,7.8,8.57,7.79,0.78,10.0128,397973.9,323890.409
600513.SH,20191231,7.18,7.79,7.16,7.79,7.08,0.71,10.0282,197839.86,151756.633
600513.SH,20191230,7.02,7.09,6.95,7.08,7.04,0.04,0.5682,21781.0,15304.543
600513.SH,20191227,7.07,7.11,7.01,7.04,7.03,0.01,0.1422,28703.59,20253.452
600513.SH,20191226,6.98,7.04,6.94,7.03,6.97,0.06,0.8608,14797.55,10344.464
600513.SH,20191225,6.98,7.03,6.93,6.97,7.01,-0.04,-0.5706,14728.62,10276.87
600513.SH,20191224,6.93,7.01,6.89,7.01,6.94,0.07,1.0086,13279.33,9252.948
600513.SH,20191223,7.04,7.04,6.91,6.94,7.02,-0.08,-1.1396,17484.32,12184.599
600513.SH,20191220,7.08,7.13,7.01,7.02,7.07,-0.05,-0.7072,23499.47,16624.044
600513.SH,20191219,7.0,7.08,6.99,7.07,7.01,0.06,0.8559,16417.51,11554.413
600513.SH,20191218,7.03,7.05,6.97,7.01,7.01,0.0,0.0,19294.41,13531.338
600513.SH,20191217,6.93,7.02,6.9,7.01,6.91,0.1,1.4472,22035.55,15364.405
600513.SH,20191216,6.86,6.92,6.83,6.91,6.83,0.08,1.1713,17845.7,12285.518
600513.SH,20191213,6.77,6.84,6.77,6.83,6.75,0.08,1.1852,16448.18,11212.967
600513.SH,20191212,6.76,6.78,6.73,6.75,6.77,-0.02,-0.2954,11524.92,7781.916
600513.SH,20191211,6.83,6.83,6.76,6.77,6.83,-0.06,-0.8785,16328.37,11077.091
600513.SH,20191210,6.81,6.84,6.78,6.83,6.84,-0.01,-0.1462,12184.49,8297.513
600513.SH,20191209,6.9,6.92,6.81,6.84,6.89,-0.05,-0.7257,13903.98,9509.773
600513.SH,20191206,6.82,6.89,6.81,6.89,6.84,0.05,0.731,10517.56,7205.392
600513.SH,20191205,6.85,6.87,6.8,6.84,6.8,0.04,0.5882,11191.99,7643.774
600513.SH,20191204,6.78,6.84,6.76,6.8,6.81,-0.01,-0.1468,9159.84,6234.733
600513.SH,20191203,6.77,6.81,6.72,6.81,6.79,0.02,0.2946,9796.6,6621.837
600513.SH,20191202,6.77,6.86,6.74,6.79,6.79,0.0,0.0,10015.42,6803.892
600513.SH,20191129,6.82,6.85,6.73,6.79,6.81,-0.02,-0.2937,12167.88,8241.69
600513.SH,20191128,6.86,6.89,6.81,6.81,6.85,-0.04,-0.5839,10181.53,6953.981
600513.SH,20191127,6.87,6.9,6.82,6.85,6.86,-0.01,-0.1458,9687.78,6648.834
600513.SH,20191126,6.87,6.92,6.84,6.86,6.89,-0.03,-0.4354,10911.42,7511.145
600513.SH,20191125,6.93,6.98,6.85,6.89,6.97,-0.08,-1.1478,21192.97,14612.196
600513.SH,20191122,7.05,7.15,6.91,6.97,7.07,-0.1,-1.4144,24249.71,17062.824
600513.SH,20191121,7.11,7.12,7.04,7.07,7.11,-0.04,-0.5626,12989.71,9186.407
600513.SH,20191120,7.08,7.15,7.03,7.11,7.08,0.03,0.4237,18882.1,13395.077
600513.SH,20191119,7.01,7.08,7.01,7.08,7.02,0.06,0.8547,12338.41,8691.697
600513.SH,20191118,6.99,7.08,6.96,7.02,6.96,0.06,0.8621,14719.61,10324.738
600513.SH,20191115,7.02,7.12,6.96,6.96,7.03,-0.07,-0.9957,23096.88,16288.312
600513.SH,20191114,6.91,7.08,6.87,7.03,6.9,0.13,1.8841,29147.35,20373.339
600513.SH,20191113,6.98,7.08,6.89,6.9,6.88,0.02,0.2907,26144.96,18231.929
600513.SH,20191112,6.87,6.93,6.79,6.88,6.86,0.02,0.2915,16201.67,11107.383
600513.SH,20191111,7.16,7.18,6.83,6.86,7.19,-0.33,-4.5897,31568.99,21971.78
600513.SH,20191108,7.29,7.33,7.19,7.19,7.27,-0.08,-1.1004,22320.15,16202.268
600513.SH,20191107,7.23,7.28,7.16,7.27,7.23,0.04,0.5533,17692.94,12803.981
600513.SH,20191106,7.25,7.31,7.19,7.23,7.28,-0.05,-0.6868,29995.7,21729.387
600513.SH,20191105,7.16,7.3,7.13,7.28,7.15,0.13,1.8182,37601.59,27220.774
600513.SH,20191104,7.27,7.27,7.15,7.15,7.19,-0.04,-0.5563,26728.42,19259.766
600513.SH,20191101,7.12,7.23,7.03,7.19,7.12,0.07,0.9831,26243.36,18781.624
600513.SH,20191031,7.06,7.18,7.02,7.12,7.06,0.06,0.8499,24154.06,17225.993
600513.SH,20191030,7.12,7.14,7.02,7.06,7.13,-0.07,-0.9818,16010.73,11314.642
600513.SH,20191029,7.18,7.23,7.11,7.13,7.21,-0.08,-1.1096,27148.74,19495.344
600513.SH,20191028,7.1,7.22,7.06,7.21,7.09,0.12,1.6925,31766.35,22752.027
600513.SH,20191025,7.11,7.19,7.01,7.09,6.99,0.1,1.4306,28177.77,19958.224
600513.SH,20191024,7.01,7.03,6.94,6.99,6.97,0.02,0.2869,18232.0,12741.75
600513.SH,20191023,7.05,7.22,6.91,6.97,7.03,-0.06,-0.8535,29958.38,21189.111
600513.SH,20191022,6.82,7.07,6.8,7.03,6.8,0.23,3.3824,28288.21,19655.636
600513.SH,20191021,6.89,6.9,6.73,6.8,6.86,-0.06,-0.8746,17665.59,11991.238
600513.SH,20191018,6.99,7.06,6.85,6.86,6.99,-0.13,-1.8598,16987.49,11783.341
600513.SH,20191017,7.0,7.04,6.96,6.99,6.99,0.0,0.0,10393.31,7274.418
600513.SH,20191016,7.07,7.09,6.96,6.99,7.04,-0.05,-0.7102,11681.54,8198.701
600513.SH,20191015,7.05,7.1,6.98,7.04,7.08,-0.04,-0.565,12550.65,8841.815
600513.SH,20191014,7.11,7.13,7.02,7.08,6.98,0.1,1.4327,17064.53,12078.999
600513.SH,20191011,7.02,7.04,6.94,6.98,7.01,-0.03,-0.428,14795.63,10335.416
600513.SH,20191010,6.85,7.06,6.81,7.01,6.86,0.15,2.1866,19034.14,13190.501
600513.SH,20191009,6.79,6.87,6.74,6.86,6.79,0.07,1.0309,12791.59,8697.424
600513.SH,20191008,6.84,6.92,6.65,6.79,6.83,-0.04,-0.5857,14411.63,9883.329
600513.SH,20190930,6.88,6.95,6.82,6.83,6.9,-0.07,-1.0145,11357.96,7795.262
600513.SH,20190927,6.88,6.95,6.82,6.9,6.91,-0.01,-0.1447,16382.32,11299.283
600513.SH,20190926,7.01,7.06,6.9,6.91,7.0,-0.09,-1.2857,20582.74,14340.027
600513.SH,20190925,7.25,7.25,6.97,7.0,7.27,-0.27,-3.7139,38390.99,27090.501
600513.SH,20190924,7.15,7.27,7.15,7.27,7.19,0.08,1.1127,18150.52,13127.172
600513.SH,20190923,7.28,7.29,7.1,7.19,7.27,-0.08,-1.1004,16409.99,11748.508
600513.SH,20190920,7.23,7.34,7.21,7.27,7.25,0.02,0.2759,17171.16,12527.287
600513.SH,20190919,7.18,7.27,7.16,7.25,7.17,0.08,1.1158,14639.72,10550.393
600513.SH,20190918,7.15,7.25,7.15,7.17,7.14,0.03,0.4202,18991.07,13690.274
600513.SH,20190917,7.33,7.34,7.11,7.14,7.36,-0.22,-2.9891,23689.44,17057.686
600513.SH,20190916,7.36,7.42,7.3,7.36,7.33,0.03,0.4093,21479.14,15811.394
600513.SH,20190912,7.28,7.34,7.24,7.33,7.28,0.05,0.6868,17790.11,12972.964
600513.SH,20190911,7.69,7.7,7.26,7.28,7.41,-0.13,-1.7544,37240.64,27518.106
600513.SH,20190910,7.31,7.46,7.22,7.41,7.3,0.11,1.5068,36925.24,27125.424
600513.SH,20190909,7.28,7.31,7.22,7.3,7.25,0.05,0.6897,25319.77,18396.629
600513.SH,20190906,7.32,7.32,7.17,7.25,7.24,0.01,0.1381,21848.54,15802.914
600513.SH,20190905,7.21,7.31,7.17,7.24,7.21,0.03,0.4161,23532.48,17098.374
600513.SH,20190904,7.15,7.23,7.12,7.21,7.18,0.03,0.4178,15574.68,11189.593
600513.SH,20190903,7.21,7.21,7.14,7.18,7.18,0.0,0.0,14938.09,10713.221
600513.SH,20190902,7.06,7.2,7.04,7.18,7.02,0.16,2.2792,22332.53,15945.086
600513.SH,20190830,7.2,7.23,6.95,7.02,7.17,-0.15,-2.0921,28365.7,20101.641
600513.SH,20190829,7.25,7.25,7.14,7.17,7.2,-0.03,-0.4167,21908.6,15747.932
600513.SH,20190828,7.24,7.37,7.17,7.2,7.3,-0.1,-1.3699,36199.18,26133.18
600513.SH,20190827,7.11,7.3,7.09,7.3,7.08,0.22,3.1073,48629.75,35290.7
600513.SH,20190826,6.99,7.22,6.97,7.08,7.15,-0.07,-0.979,27880.69,19783.587
600513.SH,20190823,6.98,7.15,6.92,7.15,6.98,0.17,2.4355,39598.96,27970.982
600513.SH,20190822,7.05,7.07,6.93,6.98,7.12,-0.14,-1.9663,34331.42,23971.327
600513.SH,20190821,6.82,7.19,6.82,7.12,6.85,0.27,3.9416,52389.12,36858.409
600513.SH,20190820,6.87,6.93,6.84,6.85,6.9,-0.05,-0.7246,21583.56,14862.812
600513.SH,20190819,6.74,6.9,6.73,6.9,6.73,0.17,2.526,21296.88,14571.466
600513.SH,20190816,6.58,6.81,6.53,6.73,6.59,0.14,2.1244,25657.95,17273.304
600513.SH,20190815,6.38,6.6,6.32,6.59,6.52,0.07,1.0736,16300.61,10547.125
600513.SH,20190814,6.5,6.58,6.5,6.52,6.46,0.06,0.9288,10585.96,6918.984
600513.SH,20190813,6.47,6.51,6.44,6.46,6.53,-0.07,-1.072,7265.46,4698.047
600513.SH,20190812,6.44,6.54,6.43,6.53,6.43,0.1,1.5552,10635.8,6890.317
600513.SH,20190809,6.53,6.58,6.41,6.43,6.52,-0.09,-1.3804,10886.6,7077.843
600513.SH,20190808,6.53,6.61,6.5,6.52,6.51,0.01,0.1536,14352.63,9402.423
600513.SH,20190807,6.55,6.58,6.47,6.51,6.54,-0.03,-0.4587,11945.2,7793.546
600513.SH,20190806,6.78,6.78,6.38,6.54,6.89,-0.35,-5.0798,30057.86,19724.463
600513.SH,20190805,6.97,7.02,6.89,6.89,6.99,-0.1,-1.4306,11089.47,7685.478
600513.SH,20190802,7.03,7.03,6.9,6.99,7.04,-0.05,-0.7102,15905.17,11067.158
600513.SH,20190801,7.07,7.09,7.0,7.04,7.07,-0.03,-0.4243,8469.02,5966.244
600513.SH,20190731,7.17,7.17,7.05,7.07,7.13,-0.06,-0.8415,10102.69,7150.237
600513.SH,20190730,7.13,7.18,7.06,7.13,7.11,0.02,0.2813,9462.2,6753.368
