ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603158.SH,20200110,17.66,17.86,16.82,17.3,17.76,-0.46,-2.5901,35120.0,60801.436
603158.SH,20200109,17.52,17.89,17.1,17.76,17.49,0.27,1.5437,25137.89,44008.392
603158.SH,20200108,16.5,17.92,16.5,17.49,16.96,0.53,3.125,27245.71,47354.987
603158.SH,20200107,17.7,17.7,16.76,16.96,16.77,0.19,1.133,33867.26,57736.016
603158.SH,20200106,16.55,18.11,16.22,16.77,16.46,0.31,1.8834,37624.0,64916.881
603158.SH,20200103,16.35,16.86,16.09,16.46,16.17,0.29,1.7934,23306.03,38156.839
603158.SH,20200102,15.44,16.33,15.3,16.17,15.44,0.73,4.728,21260.9,33764.442
603158.SH,20191231,15.32,15.48,15.13,15.44,15.24,0.2,1.3123,10165.0,15590.762
603158.SH,20191230,15.2,15.28,14.8,15.24,15.1,0.14,0.9272,8486.0,12799.772
603158.SH,20191227,15.33,15.5,15.1,15.1,15.3,-0.2,-1.3072,7104.03,10841.518
603158.SH,20191226,14.97,15.34,14.91,15.3,15.01,0.29,1.932,9097.0,13788.652
603158.SH,20191225,14.83,15.06,14.83,15.01,15.03,-0.02,-0.1331,5460.0,8176.751
603158.SH,20191224,14.94,15.06,14.65,15.03,14.72,0.31,2.106,9966.0,14822.31
603158.SH,20191223,15.12,15.12,14.72,14.72,14.95,-0.23,-1.5385,8776.17,13065.672
603158.SH,20191220,15.3,15.3,14.92,14.95,15.35,-0.4,-2.6059,14101.64,21254.207
603158.SH,20191219,15.57,15.57,15.25,15.35,15.29,0.06,0.3924,9113.0,14002.275
603158.SH,20191218,15.38,15.48,15.19,15.29,15.3,-0.01,-0.0654,14151.17,21748.024
603158.SH,20191217,15.07,15.53,15.01,15.3,15.08,0.22,1.4589,20653.22,31675.31
603158.SH,20191216,14.46,15.25,14.32,15.08,14.38,0.7,4.8679,19405.18,28896.101
603158.SH,20191213,14.01,14.46,14.0,14.38,14.04,0.34,2.4217,16838.17,24025.976
603158.SH,20191212,13.92,14.07,13.75,14.04,13.85,0.19,1.3718,9790.0,13642.098
603158.SH,20191211,13.98,14.05,13.84,13.85,14.02,-0.17,-1.2126,7497.26,10435.593
603158.SH,20191210,14.07,14.09,13.83,14.02,14.09,-0.07,-0.4968,7673.0,10692.572
603158.SH,20191209,14.02,14.15,13.75,14.09,14.05,0.04,0.2847,10841.0,15091.915
603158.SH,20191206,14.23,14.32,13.96,14.05,14.31,-0.26,-1.8169,6948.17,9794.4
603158.SH,20191205,14.46,14.5,14.25,14.31,14.46,-0.15,-1.0373,8627.0,12379.764
603158.SH,20191204,14.11,14.49,13.97,14.46,14.13,0.33,2.3355,11102.17,15870.831
603158.SH,20191203,14.01,14.2,13.9,14.13,14.15,-0.02,-0.1413,4264.0,5999.25
603158.SH,20191202,14.11,14.18,14.0,14.15,14.11,0.04,0.2835,4266.24,6019.938
603158.SH,20191129,14.22,14.22,13.88,14.11,14.17,-0.06,-0.4234,4707.73,6603.165
603158.SH,20191128,14.25,14.25,14.13,14.17,14.17,0.0,0.0,2537.0,3592.299
603158.SH,20191127,14.24,14.29,14.11,14.17,14.16,0.01,0.0706,4599.0,6534.259
603158.SH,20191126,14.29,14.3,14.06,14.16,14.11,0.05,0.3544,3840.3,5428.278
603158.SH,20191125,14.28,14.37,14.02,14.11,14.24,-0.13,-0.9129,5652.0,8018.298
603158.SH,20191122,14.25,14.3,14.07,14.24,14.12,0.12,0.8499,9583.0,13605.513
603158.SH,20191121,14.0,14.36,14.0,14.12,14.21,-0.09,-0.6334,7320.0,10404.158
603158.SH,20191120,14.39,14.39,14.09,14.21,14.15,0.06,0.424,9601.0,13692.915
603158.SH,20191119,14.13,14.25,13.99,14.15,14.13,0.02,0.1415,12850.0,18134.603
603158.SH,20191118,13.96,14.22,13.0,14.13,13.96,0.17,1.2178,16646.73,23084.674
603158.SH,20191115,13.62,14.06,13.56,13.96,13.62,0.34,2.4963,15777.18,21917.316
603158.SH,20191114,13.36,13.7,13.25,13.62,13.3,0.32,2.406,9263.54,12528.417
603158.SH,20191113,13.44,13.44,13.25,13.3,13.35,-0.05,-0.3745,3996.73,5328.464
603158.SH,20191112,13.53,13.59,13.32,13.35,13.53,-0.18,-1.3304,11805.0,15882.871
603158.SH,20191111,13.55,13.6,13.35,13.53,13.55,-0.02,-0.1476,10891.5,14666.943
603158.SH,20191108,13.45,14.1,13.3,13.55,13.38,0.17,1.2706,19513.88,26566.959
603158.SH,20191107,13.26,13.46,13.22,13.38,13.39,-0.01,-0.0747,7874.0,10541.649
603158.SH,20191106,13.6,13.6,13.26,13.39,13.6,-0.21,-1.5441,10135.0,13586.625
603158.SH,20191105,13.49,13.7,13.35,13.6,13.5,0.1,0.7407,11418.0,15444.426
603158.SH,20191104,13.4,13.67,13.31,13.5,13.4,0.1,0.7463,6128.0,8294.08
603158.SH,20191101,13.44,13.51,13.22,13.4,13.44,-0.04,-0.2976,6847.07,9173.105
603158.SH,20191031,13.48,13.7,13.36,13.44,13.68,-0.24,-1.7544,8090.2,10888.468
603158.SH,20191030,13.69,13.73,13.25,13.68,13.57,0.11,0.8106,12189.0,16618.395
603158.SH,20191029,13.7,13.75,13.55,13.57,13.72,-0.15,-1.0933,8799.0,12021.868
603158.SH,20191028,13.54,13.75,13.4,13.72,13.54,0.18,1.3294,8280.52,11297.569
603158.SH,20191025,13.53,13.6,13.2,13.54,13.55,-0.01,-0.0738,6200.21,8351.302
603158.SH,20191024,13.42,13.69,13.34,13.55,13.37,0.18,1.3463,8711.42,11803.167
603158.SH,20191023,13.72,13.79,13.3,13.37,13.7,-0.33,-2.4088,8687.39,11728.866
603158.SH,20191022,13.37,13.77,13.28,13.7,13.48,0.22,1.632,10785.0,14680.634
603158.SH,20191021,13.24,13.56,13.23,13.48,13.57,-0.09,-0.6632,7318.84,9788.126
603158.SH,20191018,13.7,13.85,13.52,13.57,13.71,-0.14,-1.0212,9025.59,12317.334
603158.SH,20191017,13.75,13.88,13.6,13.71,13.73,-0.02,-0.1457,6988.1,9585.866
603158.SH,20191016,13.76,13.91,13.67,13.73,13.8,-0.07,-0.5072,9594.44,13208.257
603158.SH,20191015,13.94,13.99,13.63,13.8,13.68,0.12,0.8772,18458.86,25520.005
603158.SH,20191014,13.51,14.13,13.51,13.68,13.4,0.28,2.0896,44034.96,60816.725
603158.SH,20191011,13.5,13.62,13.26,13.4,13.5,-0.1,-0.7407,16177.0,21666.494
603158.SH,20191010,13.08,13.84,13.03,13.5,13.11,0.39,2.9748,34653.46,46806.066
603158.SH,20191009,13.24,13.27,12.63,13.11,13.24,-0.13,-0.9819,20585.0,26941.77
603158.SH,20191008,13.8,13.8,13.13,13.24,13.0,0.24,1.8462,16972.46,22709.944
603158.SH,20190930,13.42,13.67,13.0,13.0,13.4,-0.4,-2.9851,11376.0,15105.785
603158.SH,20190927,13.39,13.64,13.39,13.4,13.4,0.0,0.0,6898.29,9299.788
603158.SH,20190926,13.84,13.95,13.33,13.4,13.82,-0.42,-3.0391,14025.0,19069.116
603158.SH,20190925,14.15,14.21,13.8,13.82,14.23,-0.41,-2.8812,14350.0,19953.15
603158.SH,20190924,14.2,14.34,14.1,14.23,14.28,-0.05,-0.3501,7745.36,11031.96
603158.SH,20190923,14.14,14.5,14.07,14.28,14.29,-0.01,-0.07,15247.43,21704.423
603158.SH,20190920,14.08,14.4,13.96,14.29,14.0,0.29,2.0714,16367.64,23155.491
