ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002170.SZ,20200110,3.64,3.65,3.55,3.57,3.66,-0.09,-2.459,215893.6,77378.154
002170.SZ,20200109,3.65,3.73,3.62,3.66,3.62,0.04,1.105,279362.19,102138.223
002170.SZ,20200108,3.8,3.89,3.62,3.62,3.89,-0.27,-6.9409,508000.03,190404.222
002170.SZ,20200107,3.81,3.95,3.71,3.89,4.0,-0.11,-2.75,836752.92,319335.375
002170.SZ,20200106,3.98,4.07,3.8,4.0,3.7,0.3,8.1081,1117567.78,448459.185
002170.SZ,20200103,3.4,3.7,3.4,3.7,3.36,0.34,10.119,525408.9,187539.87
002170.SZ,20200102,3.3,3.44,3.27,3.36,3.29,0.07,2.1277,219577.18,73320.997
002170.SZ,20191231,3.23,3.33,3.2,3.29,3.23,0.06,1.8576,148735.14,48681.778
002170.SZ,20191230,3.23,3.23,3.16,3.23,3.23,0.0,0.0,73041.56,23355.835
002170.SZ,20191227,3.25,3.27,3.21,3.23,3.24,-0.01,-0.3086,70606.54,22870.859
002170.SZ,20191226,3.22,3.25,3.2,3.24,3.22,0.02,0.6211,51682.4,16674.577
002170.SZ,20191225,3.22,3.24,3.2,3.22,3.21,0.01,0.3115,52794.0,17005.264
002170.SZ,20191224,3.18,3.22,3.17,3.21,3.17,0.04,1.2618,55034.01,17577.524
002170.SZ,20191223,3.27,3.27,3.16,3.17,3.25,-0.08,-2.4615,85200.0,27382.484
002170.SZ,20191220,3.25,3.3,3.24,3.25,3.25,0.0,0.0,86957.0,28370.251
002170.SZ,20191219,3.22,3.25,3.22,3.25,3.23,0.02,0.6192,66418.21,21486.375
002170.SZ,20191218,3.23,3.27,3.22,3.23,3.23,0.0,0.0,84584.0,27403.214
002170.SZ,20191217,3.19,3.24,3.17,3.23,3.22,0.01,0.3106,123651.27,39794.045
002170.SZ,20191216,3.19,3.23,3.09,3.22,3.19,0.03,0.9404,135054.04,42604.206
002170.SZ,20191213,3.17,3.2,3.15,3.19,3.18,0.01,0.3145,68851.8,21862.168
002170.SZ,20191212,3.16,3.26,3.15,3.18,3.13,0.05,1.5974,116008.1,37128.491
002170.SZ,20191211,3.15,3.16,3.12,3.13,3.14,-0.01,-0.3185,32927.31,10311.294
002170.SZ,20191210,3.13,3.15,3.11,3.14,3.13,0.01,0.3195,44709.33,14015.463
002170.SZ,20191209,3.14,3.15,3.11,3.13,3.13,0.0,0.0,37791.0,11810.066
002170.SZ,20191206,3.12,3.14,3.11,3.13,3.13,0.0,0.0,33144.73,10337.441
002170.SZ,20191205,3.11,3.13,3.1,3.13,3.1,0.03,0.9677,42848.06,13356.244
002170.SZ,20191204,3.06,3.14,3.05,3.1,3.08,0.02,0.6494,45928.88,14259.122
002170.SZ,20191203,3.05,3.08,3.03,3.08,3.07,0.01,0.3257,28295.01,8634.792
002170.SZ,20191202,3.11,3.11,3.05,3.07,3.09,-0.02,-0.6472,40407.0,12430.513
002170.SZ,20191129,3.07,3.12,3.05,3.09,3.07,0.02,0.6515,48838.0,15061.102
002170.SZ,20191128,3.06,3.1,3.03,3.07,3.1,-0.03,-0.9677,97096.42,29778.74
002170.SZ,20191127,3.08,3.3,3.07,3.1,3.01,0.09,2.99,154610.97,48642.613
002170.SZ,20191126,3.03,3.05,3.01,3.01,3.05,-0.04,-1.3115,47681.0,14406.964
