ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
688037.SH,20200110,78.08,81.44,76.91,78.1,77.55,0.55,0.7092,30864.75,244094.74
688037.SH,20200109,75.5,83.7,75.23,77.55,75.5,2.05,2.7152,45568.42,361168.585
688037.SH,20200108,74.51,77.77,72.09,75.5,75.4,0.1,0.1326,43404.89,325317.932
688037.SH,20200107,72.48,76.48,71.01,75.4,72.49,2.91,4.0143,38244.93,281788.08
688037.SH,20200106,73.0,74.45,71.1,72.49,75.7,-3.21,-4.2404,30441.6,221901.099
688037.SH,20200103,76.0,78.66,74.06,75.7,76.18,-0.48,-0.6301,36459.3,278794.624
688037.SH,20200102,73.0,78.0,72.34,76.18,73.29,2.89,3.9432,33507.33,252814.68
688037.SH,20191231,76.8,77.97,72.66,73.29,77.51,-4.22,-5.4445,32995.65,247970.006
688037.SH,20191230,77.51,78.89,71.0,77.51,79.62,-2.11,-2.6501,47177.37,355731.996
688037.SH,20191227,78.2,86.0,76.2,79.62,78.71,0.91,1.1561,61572.19,495969.995
688037.SH,20191226,76.98,80.86,75.1,78.71,80.0,-1.29,-1.6125,59710.52,464385.476
688037.SH,20191225,67.23,81.6,66.66,80.0,68.0,12.0,17.6471,81189.91,592524.765
688037.SH,20191224,67.69,68.96,65.5,68.0,68.0,0.0,0.0,34536.44,233106.296
688037.SH,20191223,67.07,69.5,63.0,68.0,69.62,-1.62,-2.3269,49920.91,328546.402
688037.SH,20191220,73.15,77.0,69.6,69.62,75.6,-5.98,-7.9101,58909.7,429429.024
688037.SH,20191219,68.88,78.58,66.6,75.6,73.15,2.45,3.3493,84596.87,615376.217
688037.SH,20191218,59.06,82.0,59.06,73.15,59.0,14.15,23.9831,130544.59,907729.874
688037.SH,20191217,59.81,59.99,55.0,59.0,64.5,-5.5,-8.5271,119243.87,688081.955
688037.SH,20191216,53.0,65.7,50.0,64.5,26.97,37.53,139.1546,149132.26,798596.014
688037.SH,20191216,53.0,65.7,50.0,64.5,26.97,37.53,139.1546,149132.26,798596.014
