ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002966.SZ,20200110,10.13,10.16,9.94,9.99,10.09,-0.1,-0.9911,211783.11,212277.526
002966.SZ,20200109,10.01,10.18,9.97,10.09,9.91,0.18,1.8163,307915.58,309409.351
002966.SZ,20200108,10.15,10.15,9.91,9.91,10.24,-0.33,-3.2227,389041.44,390537.237
002966.SZ,20200107,10.11,10.24,10.01,10.24,10.07,0.17,1.6882,398748.95,403788.437
002966.SZ,20200106,10.03,10.23,9.98,10.07,10.18,-0.11,-1.0806,387159.47,390618.689
002966.SZ,20200103,10.18,10.36,10.16,10.18,10.34,-0.16,-1.5474,473328.16,484390.588
002966.SZ,20200102,10.68,10.77,10.32,10.34,10.18,0.16,1.5717,852396.61,897157.185
002966.SZ,20191231,9.98,10.29,9.93,10.18,10.05,0.13,1.2935,466428.57,474203.308
002966.SZ,20191230,9.8,10.22,9.5,10.05,10.15,-0.1,-0.9852,613347.87,605660.708
002966.SZ,20191227,10.35,10.84,10.07,10.15,10.53,-0.38,-3.6087,977270.07,1022628.677
002966.SZ,20191226,10.12,10.55,9.94,10.53,10.17,0.36,3.5398,866493.79,882196.636
002966.SZ,20191225,10.09,10.36,9.91,10.17,10.14,0.03,0.2959,650687.57,656670.321
002966.SZ,20191224,10.12,10.16,9.92,10.14,10.01,0.13,1.2987,568461.77,572041.491
002966.SZ,20191223,10.45,10.6,9.92,10.01,10.7,-0.69,-6.4486,983117.15,1001557.676
002966.SZ,20191220,10.85,11.67,10.7,10.7,11.08,-0.38,-3.4296,1501986.45,1676037.919
002966.SZ,20191219,11.5,11.99,10.94,11.08,10.9,0.18,1.6514,1959185.44,2250148.135
002966.SZ,20191218,10.28,10.9,10.13,10.9,9.91,0.99,9.9899,1422714.99,1508302.926
002966.SZ,20191217,9.0,9.91,8.97,9.91,9.01,0.9,9.9889,619363.18,595848.572
002966.SZ,20191216,8.94,9.03,8.86,9.01,8.99,0.02,0.2225,208827.94,186688.528
002966.SZ,20191213,8.8,9.04,8.76,8.99,8.72,0.27,3.0963,275738.87,245380.985
002966.SZ,20191212,8.81,8.81,8.71,8.72,8.82,-0.1,-1.1338,95627.68,83613.374
002966.SZ,20191211,8.74,8.82,8.71,8.82,8.72,0.1,1.1468,127226.11,111596.084
002966.SZ,20191210,8.8,8.82,8.69,8.72,8.79,-0.07,-0.7964,99089.35,86513.099
002966.SZ,20191209,8.77,8.81,8.75,8.79,8.8,-0.01,-0.1136,84657.0,74329.186
002966.SZ,20191206,8.83,8.83,8.74,8.8,8.82,-0.02,-0.2268,78834.96,69216.269
002966.SZ,20191205,8.73,8.82,8.73,8.82,8.72,0.1,1.1468,91772.1,80528.074
002966.SZ,20191204,8.72,8.78,8.7,8.72,8.76,-0.04,-0.4566,60020.76,52407.354
002966.SZ,20191203,8.77,8.77,8.69,8.76,8.8,-0.04,-0.4545,81175.78,70849.947
002966.SZ,20191202,8.85,8.89,8.79,8.8,8.85,-0.05,-0.565,70003.45,61830.319
002966.SZ,20191129,8.84,8.9,8.77,8.85,8.82,0.03,0.3401,73228.02,64736.901
002966.SZ,20191128,8.85,8.9,8.81,8.82,8.86,-0.04,-0.4515,65791.69,58131.236
002966.SZ,20191127,8.96,8.98,8.86,8.86,9.0,-0.14,-1.5556,106059.92,94371.69
002966.SZ,20191126,8.96,9.15,8.96,9.0,9.0,0.0,0.0,117107.33,105941.147
002966.SZ,20191125,8.89,9.02,8.86,9.0,8.88,0.12,1.3514,109483.55,98113.461
002966.SZ,20191122,8.95,9.02,8.85,8.88,8.93,-0.05,-0.5599,98852.33,88139.307
002966.SZ,20191121,8.97,8.99,8.91,8.93,9.01,-0.08,-0.8879,78171.37,69863.956
