ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603332.SH,20200110,27.86,28.15,27.48,28.06,27.88,0.18,0.6456,23292.34,64896.216
603332.SH,20200109,27.98,28.27,27.5,27.88,27.9,-0.02,-0.0717,28136.39,78728.82
603332.SH,20200108,28.04,28.58,27.8,27.9,27.95,-0.05,-0.1789,23164.73,65157.099
603332.SH,20200107,27.48,28.24,27.48,27.95,27.42,0.53,1.9329,27099.68,75874.96
603332.SH,20200106,27.35,27.66,27.08,27.42,27.5,-0.08,-0.2909,13544.04,37187.57
603332.SH,20200103,27.56,27.59,27.21,27.5,27.56,-0.06,-0.2177,11590.65,31812.856
603332.SH,20200102,27.26,27.65,27.12,27.56,27.04,0.52,1.9231,14144.53,38728.408
603332.SH,20191231,27.3,27.55,26.95,27.04,27.37,-0.33,-1.2057,11757.0,31927.325
603332.SH,20191230,27.41,27.43,26.8,27.37,27.45,-0.08,-0.2914,10061.25,27305.099
603332.SH,20191227,27.4,27.59,27.15,27.45,27.4,0.05,0.1825,13715.46,37486.381
603332.SH,20191226,27.61,27.63,27.2,27.4,27.6,-0.2,-0.7246,10829.71,29623.571
603332.SH,20191225,27.94,27.94,27.41,27.6,27.84,-0.24,-0.8621,14063.46,38735.108
603332.SH,20191224,27.59,28.0,27.36,27.84,27.67,0.17,0.6144,20866.77,57733.734
603332.SH,20191223,26.73,28.05,26.66,27.67,26.84,0.83,3.0924,30016.61,82392.133
603332.SH,20191220,26.98,27.15,26.76,26.84,26.95,-0.11,-0.4082,8530.0,22997.405
603332.SH,20191219,27.02,27.11,26.8,26.95,27.02,-0.07,-0.2591,13018.58,35071.874
603332.SH,20191218,26.8,27.2,26.61,27.02,26.8,0.22,0.8209,13317.58,35951.201
603332.SH,20191217,26.62,27.05,26.56,26.8,26.62,0.18,0.6762,18329.81,49258.992
603332.SH,20191216,26.02,26.69,25.86,26.62,25.83,0.79,3.0585,18995.68,50004.271
603332.SH,20191213,25.81,25.88,25.53,25.83,25.63,0.2,0.7803,8592.36,22101.279
603332.SH,20191212,26.19,26.19,25.63,25.63,26.17,-0.54,-2.0634,11386.79,29396.503
603332.SH,20191211,25.87,26.28,25.87,26.17,25.98,0.19,0.7313,11328.35,29513.907
603332.SH,20191210,25.86,26.11,25.63,25.98,25.9,0.08,0.3089,14980.63,38781.999
603332.SH,20191209,26.1,26.18,25.55,25.9,26.3,-0.4,-1.5209,21018.48,54171.334
603332.SH,20191206,27.2,27.39,26.02,26.3,27.4,-1.1,-4.0146,30684.98,81246.014
603332.SH,20191205,28.64,28.67,27.15,27.4,28.67,-1.27,-4.4297,40129.74,111508.007
603332.SH,20191204,28.74,28.84,28.32,28.67,28.83,-0.16,-0.555,19091.98,54468.412
603332.SH,20191203,27.91,29.06,27.64,28.83,27.85,0.98,3.5189,29581.16,84730.296
603332.SH,20191202,27.7,28.0,27.56,27.85,27.81,0.04,0.1438,7649.85,21238.552
603332.SH,20191129,28.29,28.36,27.78,27.81,28.26,-0.45,-1.5924,12985.99,36325.666
603332.SH,20191128,27.96,28.96,27.7,28.26,27.6,0.66,2.3913,17503.92,49589.362
603332.SH,20191127,28.18,28.3,27.52,27.6,28.31,-0.71,-2.5079,15682.13,43659.173
603332.SH,20191126,27.58,28.35,27.36,28.31,27.58,0.73,2.6468,16141.0,45074.737
603332.SH,20191125,27.74,27.74,27.05,27.58,27.7,-0.12,-0.4332,14043.68,38452.968
603332.SH,20191122,27.68,27.92,27.05,27.7,27.7,0.0,0.0,13991.69,38496.23
603332.SH,20191121,27.66,27.99,27.66,27.7,27.91,-0.21,-0.7524,10273.37,28546.998
603332.SH,20191120,28.11,28.32,27.86,27.91,28.27,-0.36,-1.2734,12698.98,35601.42
603332.SH,20191119,28.3,28.62,27.97,28.27,28.2,0.07,0.2482,14066.0,39621.289
603332.SH,20191118,28.65,28.65,27.71,28.2,28.66,-0.46,-1.605,13688.2,38502.242
603332.SH,20191115,28.19,29.18,28.03,28.66,28.34,0.32,1.1291,25570.11,73164.351
603332.SH,20191114,27.65,28.63,27.64,28.34,27.7,0.64,2.3105,18902.58,53329.902
603332.SH,20191113,27.38,28.1,27.11,27.7,27.58,0.12,0.4351,16549.46,45749.054
603332.SH,20191112,27.18,27.58,26.93,27.58,27.0,0.58,2.1481,12212.46,33293.474
603332.SH,20191111,27.02,27.55,26.68,27.0,26.92,0.08,0.2972,17121.58,46555.235
603332.SH,20191108,27.28,27.28,26.58,26.92,26.99,-0.07,-0.2594,20396.37,55037.157
603332.SH,20191107,26.1,27.09,25.94,26.99,26.1,0.89,3.41,23640.79,63268.575
603332.SH,20191106,25.91,26.35,25.9,26.1,25.8,0.3,1.1628,15906.0,41676.916
603332.SH,20191105,25.72,25.96,25.46,25.8,25.76,0.04,0.1553,11003.75,28333.882
603332.SH,20191104,25.24,25.78,25.24,25.76,25.14,0.62,2.4662,13336.33,34192.603
603332.SH,20191101,25.15,25.22,24.79,25.14,25.01,0.13,0.5198,4796.16,11999.629
603332.SH,20191031,25.14,25.23,24.96,25.01,25.05,-0.04,-0.1597,5047.58,12664.441
603332.SH,20191030,25.36,25.38,24.95,25.05,25.35,-0.3,-1.1834,5986.0,15020.31
603332.SH,20191029,25.58,25.96,25.34,25.35,25.49,-0.14,-0.5492,8987.0,23038.308
603332.SH,20191028,25.02,25.5,25.02,25.49,25.21,0.28,1.1107,6655.0,16891.471
603332.SH,20191025,25.13,25.32,25.06,25.21,25.13,0.08,0.3183,5562.0,14020.178
603332.SH,20191024,25.14,25.25,24.91,25.13,25.11,0.02,0.0796,5434.42,13638.725
603332.SH,20191023,25.57,25.58,25.04,25.11,25.55,-0.44,-1.7221,8359.58,21111.904
603332.SH,20191022,25.44,25.62,25.3,25.55,25.42,0.13,0.5114,5746.57,14639.8
603332.SH,20191021,26.28,26.28,25.15,25.42,26.31,-0.89,-3.3827,10960.99,27954.933
603332.SH,20191018,26.17,26.46,26.01,26.31,26.1,0.21,0.8046,9921.25,26063.442
603332.SH,20191017,26.1,26.28,26.03,26.1,26.1,0.0,0.0,5998.83,15687.225
603332.SH,20191016,26.24,26.45,26.06,26.1,26.19,-0.09,-0.3436,8106.88,21221.862
603332.SH,20191015,26.68,26.68,26.11,26.19,26.71,-0.52,-1.9468,12028.58,31616.594
603332.SH,20191014,26.39,26.74,26.29,26.71,26.28,0.43,1.6362,16285.31,43278.503
603332.SH,20191011,26.8,26.88,26.11,26.28,26.79,-0.51,-1.9037,13821.37,36490.245
603332.SH,20191010,26.48,26.86,26.39,26.79,26.37,0.42,1.5927,16556.39,44078.426
603332.SH,20191009,26.54,26.84,26.0,26.37,26.95,-0.58,-2.1521,19922.51,52290.728
603332.SH,20191008,27.55,27.91,26.55,26.95,27.51,-0.56,-2.0356,24267.0,65298.463
603332.SH,20190930,29.1,29.2,27.39,27.51,29.32,-1.81,-6.1733,36321.51,103563.866
603332.SH,20190927,28.26,29.78,28.05,29.32,28.45,0.87,3.058,52450.38,153229.674
603332.SH,20190926,28.3,28.5,27.53,28.45,28.27,0.18,0.6367,33264.26,93631.895
603332.SH,20190925,27.36,28.5,27.26,28.27,27.48,0.79,2.8748,29125.07,81743.35
603332.SH,20190924,27.12,27.97,27.12,27.48,27.28,0.2,0.7331,13825.9,38224.712
603332.SH,20190923,27.98,27.98,27.0,27.28,27.73,-0.45,-1.6228,11850.28,32406.563
603332.SH,20190920,28.09,28.27,27.55,27.73,27.69,0.04,0.1445,18219.26,50781.552
603332.SH,20190919,27.99,28.53,27.68,27.69,27.65,0.04,0.1447,40948.83,115092.96
603332.SH,20190918,26.66,27.82,26.66,27.65,26.56,1.09,4.1039,33190.18,91014.784
603332.SH,20190917,26.85,27.25,26.48,26.56,26.99,-0.43,-1.5932,14635.0,39336.237
