ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000517.SZ,20200110,2.74,2.75,2.72,2.73,2.75,-0.02,-0.7273,56521.0,15431.578
000517.SZ,20200109,2.74,2.76,2.72,2.75,2.72,0.03,1.1029,104027.93,28535.262
000517.SZ,20200108,2.76,2.76,2.71,2.72,2.78,-0.06,-2.1583,118876.0,32526.474
000517.SZ,20200107,2.76,2.78,2.74,2.78,2.76,0.02,0.7246,138903.0,38386.63
000517.SZ,20200106,2.75,2.78,2.73,2.76,2.77,-0.01,-0.361,136361.02,37526.955
000517.SZ,20200103,2.76,2.78,2.75,2.77,2.77,0.0,0.0,159262.9,44013.122
000517.SZ,20200102,2.83,2.89,2.75,2.77,2.76,0.01,0.3623,300246.49,83797.554
000517.SZ,20191231,2.71,2.79,2.7,2.76,2.71,0.05,1.845,224869.56,61816.629
000517.SZ,20191230,2.67,2.73,2.66,2.71,2.69,0.02,0.7435,182654.32,49304.212
000517.SZ,20191227,2.66,2.75,2.65,2.69,2.69,0.0,0.0,246874.02,66618.546
000517.SZ,20191226,2.65,2.76,2.64,2.69,2.63,0.06,2.2814,250755.5,67758.434
000517.SZ,20191225,2.64,2.65,2.62,2.63,2.64,-0.01,-0.3788,63026.8,16602.098
000517.SZ,20191224,2.62,2.65,2.6,2.64,2.62,0.02,0.7634,82003.34,21517.168
000517.SZ,20191223,2.67,2.69,2.62,2.62,2.68,-0.06,-2.2388,129192.0,34241.307
000517.SZ,20191220,2.68,2.74,2.66,2.68,2.68,0.0,0.0,173531.4,46949.668
000517.SZ,20191219,2.64,2.7,2.64,2.68,2.65,0.03,1.1321,114866.13,30686.942
000517.SZ,20191218,2.66,2.68,2.63,2.65,2.65,0.0,0.0,166485.76,44247.656
000517.SZ,20191217,2.61,2.71,2.6,2.65,2.62,0.03,1.145,249435.09,66370.759
000517.SZ,20191216,2.6,2.63,2.57,2.62,2.59,0.03,1.1583,100508.06,26124.759
000517.SZ,20191213,2.56,2.59,2.55,2.59,2.56,0.03,1.1719,86196.93,22191.667
000517.SZ,20191212,2.58,2.6,2.55,2.56,2.6,-0.04,-1.5385,89526.0,23007.711
000517.SZ,20191211,2.58,2.64,2.58,2.6,2.58,0.02,0.7752,130245.17,34014.699
000517.SZ,20191210,2.59,2.6,2.56,2.58,2.61,-0.03,-1.1494,73772.1,19004.27
000517.SZ,20191209,2.58,2.63,2.57,2.61,2.57,0.04,1.5564,122738.78,31902.251
000517.SZ,20191206,2.55,2.57,2.54,2.57,2.55,0.02,0.7843,41668.1,10644.287
000517.SZ,20191205,2.55,2.56,2.54,2.55,2.55,0.0,0.0,51999.2,13264.848
000517.SZ,20191204,2.56,2.58,2.53,2.55,2.58,-0.03,-1.1628,63555.07,16203.317
000517.SZ,20191203,2.55,2.61,2.53,2.58,2.57,0.01,0.3891,62518.0,16055.87
000517.SZ,20191202,2.53,2.59,2.52,2.57,2.53,0.04,1.581,88290.1,22628.498
000517.SZ,20191129,2.53,2.54,2.51,2.53,2.53,0.0,0.0,33614.73,8482.625
000517.SZ,20191128,2.55,2.56,2.51,2.53,2.55,-0.02,-0.7843,58649.0,14864.917
000517.SZ,20191127,2.58,2.59,2.55,2.55,2.58,-0.03,-1.1628,68280.0,17492.112
000517.SZ,20191126,2.63,2.65,2.57,2.58,2.65,-0.07,-2.6415,120312.0,31300.305
000517.SZ,20191125,2.57,2.77,2.56,2.65,2.58,0.07,2.7132,229788.09,61323.623
000517.SZ,20191122,2.55,2.59,2.52,2.58,2.55,0.03,1.1765,95359.64,24352.258
000517.SZ,20191121,2.56,2.56,2.51,2.55,2.55,0.0,0.0,53965.1,13689.901
000517.SZ,20191120,2.59,2.61,2.54,2.55,2.59,-0.04,-1.5444,77739.03,19944.538
000517.SZ,20191119,2.53,2.6,2.52,2.59,2.53,0.06,2.3715,57998.0,14947.353
000517.SZ,20191118,2.51,2.53,2.49,2.53,2.51,0.02,0.7968,25005.0,6281.008
000517.SZ,20191115,2.55,2.56,2.51,2.51,2.55,-0.04,-1.5686,35555.0,8985.669
000517.SZ,20191114,2.55,2.57,2.54,2.55,2.54,0.01,0.3937,27582.0,7037.821
000517.SZ,20191113,2.57,2.57,2.53,2.54,2.57,-0.03,-1.1673,31474.28,8011.948
000517.SZ,20191112,2.57,2.58,2.53,2.57,2.56,0.01,0.3906,47047.0,12018.358
000517.SZ,20191111,2.64,2.64,2.54,2.56,2.64,-0.08,-3.0303,68202.82,17558.004
000517.SZ,20191108,2.67,2.68,2.63,2.64,2.66,-0.02,-0.7519,42859.5,11360.829
000517.SZ,20191107,2.65,2.67,2.63,2.66,2.65,0.01,0.3774,51177.32,13555.511
000517.SZ,20191106,2.69,2.69,2.64,2.65,2.69,-0.04,-1.487,47961.8,12764.407
000517.SZ,20191105,2.67,2.7,2.65,2.69,2.66,0.03,1.1278,70392.32,18882.898
000517.SZ,20191104,2.67,2.69,2.65,2.66,2.67,-0.01,-0.3745,56762.0,15164.153
000517.SZ,20191101,2.65,2.68,2.62,2.67,2.64,0.03,1.1364,60889.28,16211.704
000517.SZ,20191031,2.71,2.72,2.63,2.64,2.72,-0.08,-2.9412,99480.0,26577.993
000517.SZ,20191030,2.76,2.78,2.68,2.72,2.75,-0.03,-1.0909,93261.0,25402.465
000517.SZ,20191029,2.78,2.84,2.75,2.75,2.79,-0.04,-1.4337,143171.43,39920.755
000517.SZ,20191028,2.75,2.8,2.73,2.79,2.76,0.03,1.087,104944.28,29055.463
000517.SZ,20191025,2.72,2.76,2.71,2.76,2.72,0.04,1.4706,72878.0,19977.39
000517.SZ,20191024,2.71,2.74,2.7,2.72,2.72,0.0,0.0,56286.14,15279.105
000517.SZ,20191023,2.75,2.77,2.71,2.72,2.77,-0.05,-1.8051,67173.0,18349.123
000517.SZ,20191022,2.77,2.78,2.73,2.77,2.75,0.02,0.7273,55891.0,15395.041
000517.SZ,20191021,2.71,2.76,2.7,2.75,2.71,0.04,1.476,80420.13,22013.331
000517.SZ,20191018,2.78,2.8,2.7,2.71,2.78,-0.07,-2.518,103720.83,28449.174
000517.SZ,20191017,2.81,2.82,2.78,2.78,2.81,-0.03,-1.0676,99260.83,27738.581
000517.SZ,20191016,2.8,2.92,2.8,2.81,2.8,0.01,0.3571,213778.93,60862.186
000517.SZ,20191015,2.81,2.82,2.78,2.8,2.83,-0.03,-1.0601,96647.17,27036.527
000517.SZ,20191014,2.8,2.84,2.78,2.83,2.78,0.05,1.7986,177668.23,50075.64
