ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300433.SZ,20200110,16.19,16.37,15.83,16.05,16.1,-0.05,-0.3106,511186.6,822097.107
300433.SZ,20200109,15.71,16.15,15.45,16.1,15.28,0.82,5.3665,758244.9,1198124.281
300433.SZ,20200108,15.7,15.91,15.21,15.28,15.88,-0.6,-3.7783,703777.49,1090259.136
300433.SZ,20200107,15.6,16.2,15.53,15.88,15.85,0.03,0.1893,707791.05,1122416.185
300433.SZ,20200106,15.1,16.16,15.05,15.85,15.16,0.69,4.5515,1010553.57,1581863.168
300433.SZ,20200103,14.8,15.25,14.66,15.16,14.82,0.34,2.2942,787072.62,1177569.89
300433.SZ,20200102,14.0,15.05,13.8,14.82,13.82,1.0,7.2359,870008.82,1272020.301
300433.SZ,20191231,13.8,13.96,13.57,13.82,13.79,0.03,0.2175,317300.36,437295.364
300433.SZ,20191230,13.52,13.99,13.12,13.79,13.64,0.15,1.0997,484199.8,662167.604
300433.SZ,20191227,14.13,14.38,13.64,13.64,14.11,-0.47,-3.331,523975.26,733691.621
300433.SZ,20191226,14.19,14.36,13.96,14.11,14.19,-0.08,-0.5638,383715.29,542346.969
300433.SZ,20191225,14.2,14.38,14.09,14.19,14.15,0.04,0.2827,353685.04,503917.376
300433.SZ,20191224,14.1,14.26,13.9,14.15,13.92,0.23,1.6523,355736.63,501870.444
300433.SZ,20191223,14.3,14.4,13.92,13.92,14.38,-0.46,-3.1989,477891.42,675564.917
300433.SZ,20191220,14.65,14.85,14.35,14.38,14.67,-0.29,-1.9768,445547.72,647701.348
300433.SZ,20191219,14.93,15.16,14.53,14.67,15.0,-0.33,-2.2,568867.01,838882.876
300433.SZ,20191218,14.6,15.3,14.57,15.0,14.64,0.36,2.459,876460.78,1318916.752
300433.SZ,20191217,14.68,14.87,14.45,14.64,14.7,-0.06,-0.4082,738443.91,1082569.278
300433.SZ,20191216,14.15,14.78,14.13,14.7,14.2,0.5,3.5211,946983.52,1370080.374
300433.SZ,20191213,14.01,14.24,13.7,14.2,13.77,0.43,3.1227,815747.57,1143980.643
300433.SZ,20191212,13.82,14.22,13.75,13.77,13.9,-0.13,-0.9353,637998.89,891180.821
300433.SZ,20191211,14.03,14.25,13.7,13.9,14.16,-0.26,-1.8362,576654.78,805015.251
300433.SZ,20191210,13.8,14.38,13.59,14.16,13.89,0.27,1.9438,687471.77,968519.935
300433.SZ,20191209,13.9,14.21,13.74,13.89,13.9,-0.01,-0.0719,513831.74,717513.798
300433.SZ,20191206,13.7,13.91,13.55,13.9,13.73,0.17,1.2382,626202.58,861370.832
300433.SZ,20191205,13.18,13.82,13.08,13.73,13.05,0.68,5.2107,817931.37,1111354.867
300433.SZ,20191204,12.95,13.34,12.9,13.05,13.11,-0.06,-0.4577,349753.52,459097.637
300433.SZ,20191203,12.9,13.17,12.9,13.11,13.02,0.09,0.6912,426346.95,556151.688
300433.SZ,20191202,12.8,13.15,12.65,13.02,12.83,0.19,1.4809,450878.22,584343.325
300433.SZ,20191129,12.76,12.95,12.54,12.83,12.75,0.08,0.6275,414572.41,529181.18
300433.SZ,20191128,12.75,12.95,12.62,12.75,12.54,0.21,1.6746,663673.56,847330.438
300433.SZ,20191127,12.23,12.69,12.1,12.54,12.38,0.16,1.2924,616240.54,769844.695
300433.SZ,20191126,12.37,12.52,12.09,12.38,12.22,0.16,1.3093,681943.45,839700.637
300433.SZ,20191125,12.51,12.61,12.07,12.22,12.54,-0.32,-2.5518,872607.23,1076057.844
300433.SZ,20191122,13.85,14.0,12.54,12.54,13.93,-1.39,-9.9785,1704903.57,2202787.986
300433.SZ,20191121,13.86,13.99,13.7,13.93,14.11,-0.18,-1.2757,519899.53,720369.083
300433.SZ,20191120,13.85,14.16,13.75,14.11,13.93,0.18,1.2922,815246.11,1140699.274
300433.SZ,20191119,13.89,13.93,13.63,13.93,13.9,0.03,0.2158,674487.34,931633.61
300433.SZ,20191118,13.58,14.03,13.58,13.9,13.55,0.35,2.583,634099.59,874734.606
300433.SZ,20191115,13.79,14.25,13.51,13.55,13.84,-0.29,-2.0954,1041473.85,1450211.355
300433.SZ,20191114,13.6,14.04,13.52,13.84,13.52,0.32,2.3669,863694.59,1192008.926
300433.SZ,20191113,13.29,13.67,13.2,13.52,13.4,0.12,0.8955,582656.27,783434.61
300433.SZ,20191112,13.77,13.81,13.02,13.4,13.7,-0.3,-2.1898,859269.53,1145267.094
300433.SZ,20191111,14.18,14.25,13.65,13.7,14.37,-0.67,-4.6625,953605.71,1328664.975
