ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000968.SZ,20200110,10.65,10.69,10.5,10.61,10.62,-0.01,-0.0942,29185.5,30872.588
000968.SZ,20200109,10.7,10.8,10.57,10.62,10.8,-0.18,-1.6667,50563.83,53725.506
000968.SZ,20200108,11.06,11.18,10.68,10.8,10.87,-0.07,-0.644,64694.99,70330.742
000968.SZ,20200107,10.65,11.08,10.6,10.87,10.75,0.12,1.1163,83544.71,91127.341
000968.SZ,20200106,10.5,10.82,10.46,10.75,10.4,0.35,3.3654,94803.76,101237.245
000968.SZ,20200103,10.35,10.45,10.3,10.4,10.35,0.05,0.4831,44678.39,46359.309
000968.SZ,20200102,10.3,10.41,10.24,10.35,10.26,0.09,0.8772,38810.8,40154.468
000968.SZ,20191231,10.17,10.26,10.12,10.26,10.2,0.06,0.5882,32436.62,33073.847
000968.SZ,20191230,10.12,10.23,9.92,10.2,10.11,0.09,0.8902,35808.11,36167.95
000968.SZ,20191227,10.09,10.19,10.05,10.11,10.1,0.01,0.099,26919.81,27250.449
000968.SZ,20191226,10.01,10.12,10.0,10.1,10.07,0.03,0.2979,25585.01,25740.211
000968.SZ,20191225,10.21,10.22,10.02,10.07,10.21,-0.14,-1.3712,30077.19,30378.446
000968.SZ,20191224,10.2,10.24,10.14,10.21,10.2,0.01,0.098,20700.15,21060.596
000968.SZ,20191223,10.33,10.39,10.16,10.2,10.37,-0.17,-1.6393,37061.41,38000.719
000968.SZ,20191220,10.44,10.56,10.37,10.37,10.45,-0.08,-0.7656,30564.85,31947.068
000968.SZ,20191219,10.3,10.47,10.24,10.45,10.3,0.15,1.4563,43387.53,44908.977
000968.SZ,20191218,10.37,10.39,10.29,10.3,10.4,-0.1,-0.9615,30864.9,31906.385
000968.SZ,20191217,10.32,10.41,10.26,10.4,10.33,0.07,0.6776,75884.8,78306.99
000968.SZ,20191216,10.34,10.36,10.24,10.33,10.33,0.0,0.0,47001.87,48392.1
000968.SZ,20191213,10.35,10.35,10.26,10.33,10.29,0.04,0.3887,27625.05,28448.917
000968.SZ,20191212,10.25,10.32,10.1,10.29,10.25,0.04,0.3902,31364.0,32155.391
000968.SZ,20191211,10.24,10.26,10.15,10.25,10.24,0.01,0.0977,17125.01,17479.189
000968.SZ,20191210,10.2,10.25,10.11,10.24,10.22,0.02,0.1957,20232.77,20626.706
000968.SZ,20191209,10.19,10.31,10.19,10.22,10.21,0.01,0.0979,19947.4,20430.235
000968.SZ,20191206,10.35,10.35,10.09,10.21,10.29,-0.08,-0.7775,24854.1,25252.697
000968.SZ,20191205,10.2,10.4,10.2,10.29,10.22,0.07,0.6849,28777.11,29666.373
000968.SZ,20191204,10.15,10.22,10.02,10.22,10.2,0.02,0.1961,22910.09,23198.782
000968.SZ,20191203,10.15,10.21,9.96,10.2,10.2,0.0,0.0,25637.74,25834.692
000968.SZ,20191202,10.15,10.2,9.98,10.2,10.2,0.0,0.0,30332.7,30513.346
000968.SZ,20191129,10.29,10.29,10.06,10.2,10.2,0.0,0.0,14945.01,15181.85
000968.SZ,20191128,10.33,10.35,10.15,10.2,10.27,-0.07,-0.6816,15513.69,15837.504
000968.SZ,20191127,10.38,10.38,10.25,10.27,10.38,-0.11,-1.0597,17204.19,17728.087
000968.SZ,20191126,10.32,10.45,10.22,10.38,10.32,0.06,0.5814,33677.0,34820.838
000968.SZ,20191125,10.13,10.47,10.08,10.32,10.07,0.25,2.4826,37446.66,38543.584
000968.SZ,20191122,10.07,10.24,10.0,10.07,10.14,-0.07,-0.6903,22957.37,23170.347
000968.SZ,20191121,10.07,10.18,10.0,10.14,10.11,0.03,0.2967,16872.46,17044.636
000968.SZ,20191120,10.17,10.19,10.05,10.11,10.15,-0.04,-0.3941,19896.03,20148.541
000968.SZ,20191119,10.05,10.17,10.01,10.15,10.05,0.1,0.995,19077.08,19308.93
000968.SZ,20191118,9.96,10.07,9.86,10.05,9.96,0.09,0.9036,14188.01,14202.193
000968.SZ,20191115,10.05,10.08,9.96,9.96,10.1,-0.14,-1.3861,18827.01,18819.282
000968.SZ,20191114,10.26,10.29,9.98,10.1,10.23,-0.13,-1.2708,37609.92,37945.956
000968.SZ,20191113,10.2,10.31,10.16,10.23,10.23,0.0,0.0,25399.02,25978.476
000968.SZ,20191112,10.3,10.42,10.12,10.23,10.34,-0.11,-1.0638,29889.15,30591.531
000968.SZ,20191111,10.55,10.55,10.3,10.34,10.54,-0.2,-1.8975,26018.26,27091.393
000968.SZ,20191108,10.79,10.87,10.51,10.54,10.76,-0.22,-2.0446,43913.67,46849.434
000968.SZ,20191107,10.87,10.95,10.66,10.76,10.9,-0.14,-1.2844,30223.92,32564.608
000968.SZ,20191106,11.02,11.14,10.88,10.9,11.08,-0.18,-1.6245,34472.33,37888.888
000968.SZ,20191105,11.29,11.34,11.01,11.08,11.28,-0.2,-1.773,58382.27,65105.111
000968.SZ,20191104,11.06,11.31,10.93,11.28,11.03,0.25,2.2665,65024.91,72456.539
000968.SZ,20191101,11.11,11.12,10.83,11.03,11.14,-0.11,-0.9874,31675.11,34748.606
000968.SZ,20191031,11.22,11.35,11.07,11.14,11.18,-0.04,-0.3578,33833.45,37875.916
000968.SZ,20191030,11.15,11.36,11.0,11.18,11.26,-0.08,-0.7105,35341.52,39456.701
000968.SZ,20191029,11.22,11.48,11.12,11.26,11.22,0.04,0.3565,50822.19,57418.278
