ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000721.SZ,20200110,4.32,4.39,4.28,4.34,4.34,0.0,0.0,96060.2,41648.488
000721.SZ,20200109,4.36,4.39,4.31,4.34,4.36,-0.02,-0.4587,108145.72,46983.388
000721.SZ,20200108,4.15,4.46,4.11,4.36,4.18,0.18,4.3062,339703.54,146433.734
000721.SZ,20200107,4.22,4.22,4.15,4.18,4.16,0.02,0.4808,53959.98,22539.742
000721.SZ,20200106,4.15,4.2,4.14,4.16,4.18,-0.02,-0.4785,60771.0,25307.518
000721.SZ,20200103,4.17,4.28,4.11,4.18,4.17,0.01,0.2398,91896.92,38439.997
000721.SZ,20200102,4.15,4.19,4.14,4.17,4.14,0.03,0.7246,76603.49,31943.47
000721.SZ,20191231,4.1,4.19,4.07,4.14,4.1,0.04,0.9756,43287.2,17873.91
000721.SZ,20191230,4.08,4.12,4.04,4.1,4.09,0.01,0.2445,39104.78,15972.725
000721.SZ,20191227,4.03,4.15,4.02,4.09,4.03,0.06,1.4888,89049.0,36493.401
000721.SZ,20191226,4.01,4.04,4.0,4.03,4.0,0.03,0.75,32556.02,13084.172
000721.SZ,20191225,3.99,4.01,3.97,4.0,3.99,0.01,0.2506,21190.46,8460.065
000721.SZ,20191224,3.95,4.01,3.95,3.99,3.95,0.04,1.0127,27808.85,11056.503
000721.SZ,20191223,4.05,4.06,3.94,3.95,4.06,-0.11,-2.7094,52012.08,20802.744
000721.SZ,20191220,4.11,4.12,4.05,4.06,4.12,-0.06,-1.4563,49798.9,20361.806
000721.SZ,20191219,4.12,4.18,4.07,4.12,4.12,0.0,0.0,72874.1,29991.599
000721.SZ,20191218,4.12,4.23,4.09,4.12,4.12,0.0,0.0,80689.28,33594.761
000721.SZ,20191217,4.08,4.16,4.07,4.12,4.1,0.02,0.4878,72890.86,30033.119
000721.SZ,20191216,4.09,4.15,4.05,4.1,4.08,0.02,0.4902,62091.21,25404.749
000721.SZ,20191213,4.08,4.11,4.04,4.08,4.1,-0.02,-0.4878,87526.23,35597.919
000721.SZ,20191212,3.97,4.28,3.91,4.1,3.95,0.15,3.7975,159657.72,65490.66
000721.SZ,20191211,3.93,3.98,3.91,3.95,3.95,0.0,0.0,40275.0,15871.761
000721.SZ,20191210,3.96,4.01,3.91,3.95,3.98,-0.03,-0.7538,60555.3,23953.548
000721.SZ,20191209,4.05,4.05,3.95,3.98,4.04,-0.06,-1.4851,74268.02,29584.209
000721.SZ,20191206,4.08,4.15,4.02,4.04,4.08,-0.04,-0.9804,76087.06,30985.328
000721.SZ,20191205,4.03,4.09,3.98,4.08,4.07,0.01,0.2457,101760.73,41128.091
000721.SZ,20191204,3.88,4.14,3.85,4.07,3.91,0.16,4.0921,165986.9,67241.721
000721.SZ,20191203,3.89,3.98,3.83,3.91,3.92,-0.01,-0.2551,50819.2,19818.314
