ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600326.SH,20200110,7.48,7.5,7.35,7.41,7.45,-0.04,-0.5369,154909.13,114761.151
600326.SH,20200109,7.45,7.54,7.42,7.45,7.44,0.01,0.1344,192833.47,143927.469
600326.SH,20200108,7.34,7.52,7.3,7.44,7.39,0.05,0.6766,256098.11,190127.076
600326.SH,20200107,7.38,7.45,7.34,7.39,7.34,0.05,0.6812,131309.27,96978.242
600326.SH,20200106,7.32,7.39,7.3,7.34,7.38,-0.04,-0.542,171274.79,125813.326
600326.SH,20200103,7.41,7.43,7.34,7.38,7.39,-0.01,-0.1353,153590.58,113428.629
600326.SH,20200102,7.35,7.49,7.34,7.39,7.33,0.06,0.8186,224032.1,166097.963
600326.SH,20191231,7.23,7.41,7.21,7.33,7.24,0.09,1.2431,248051.31,181318.078
600326.SH,20191230,7.14,7.26,7.11,7.24,7.14,0.1,1.4006,194421.02,140241.474
600326.SH,20191227,7.16,7.2,7.11,7.14,7.16,-0.02,-0.2793,121816.97,87206.137
600326.SH,20191226,7.12,7.17,7.1,7.16,7.13,0.03,0.4208,112551.03,80369.325
600326.SH,20191225,7.15,7.17,7.06,7.13,7.2,-0.07,-0.9722,132357.2,94133.38
600326.SH,20191224,6.98,7.2,6.97,7.2,6.98,0.22,3.1519,182118.21,129768.531
600326.SH,20191223,7.05,7.12,6.97,6.98,7.03,-0.05,-0.7112,90664.54,63980.249
600326.SH,20191220,7.17,7.19,7.03,7.03,7.15,-0.12,-1.6783,90416.65,64217.8
600326.SH,20191219,7.11,7.18,7.1,7.15,7.11,0.04,0.5626,94796.85,67657.345
600326.SH,20191218,7.17,7.19,7.1,7.11,7.16,-0.05,-0.6983,103769.85,74088.063
600326.SH,20191217,7.11,7.2,7.11,7.16,7.14,0.02,0.2801,134782.96,96440.866
600326.SH,20191216,7.06,7.15,7.03,7.14,7.05,0.09,1.2766,127998.09,90928.84
600326.SH,20191213,7.15,7.15,7.0,7.05,6.99,0.06,0.8584,161045.73,113628.714
600326.SH,20191212,6.92,7.05,6.88,6.99,6.91,0.08,1.1577,128869.02,89677.131
600326.SH,20191211,6.91,6.99,6.9,6.91,6.93,-0.02,-0.2886,86688.13,60097.66
600326.SH,20191210,6.9,6.95,6.89,6.93,6.95,-0.02,-0.2878,72528.57,50186.755
600326.SH,20191209,6.83,6.95,6.83,6.95,6.87,0.08,1.1645,110479.93,76333.979
600326.SH,20191206,6.83,6.87,6.83,6.87,6.83,0.04,0.5857,63561.13,43508.726
600326.SH,20191205,6.81,6.86,6.79,6.83,6.82,0.01,0.1466,60421.19,41246.734
600326.SH,20191204,6.77,6.82,6.77,6.82,6.83,-0.01,-0.1464,44913.67,30518.204
600326.SH,20191203,6.83,6.84,6.72,6.83,6.82,0.01,0.1466,55866.75,37928.482
600326.SH,20191202,6.79,6.86,6.76,6.82,6.75,0.07,1.037,57741.81,39366.63
600326.SH,20191129,6.85,6.85,6.7,6.75,6.85,-0.1,-1.4599,59069.37,39932.297
600326.SH,20191128,6.84,6.91,6.81,6.85,6.83,0.02,0.2928,82176.96,56410.418
600326.SH,20191127,6.83,6.91,6.79,6.83,6.82,0.01,0.1466,77843.47,53301.431
600326.SH,20191126,6.88,6.88,6.76,6.82,6.9,-0.08,-1.1594,105328.06,71709.401
600326.SH,20191125,6.67,6.94,6.65,6.9,6.66,0.24,3.6036,160920.38,110031.089
600326.SH,20191122,6.7,6.75,6.58,6.66,6.7,-0.04,-0.597,62729.34,41754.197
600326.SH,20191121,6.77,6.77,6.68,6.7,6.73,-0.03,-0.4458,44709.41,29997.272
600326.SH,20191120,6.81,6.81,6.69,6.73,6.82,-0.09,-1.3196,51385.85,34662.552
600326.SH,20191119,6.69,6.83,6.69,6.82,6.69,0.13,1.9432,64101.75,43489.022
600326.SH,20191118,6.67,6.71,6.64,6.69,6.66,0.03,0.4505,32577.75,21760.417
600326.SH,20191115,6.8,6.82,6.65,6.66,6.82,-0.16,-2.346,52710.52,35427.224
600326.SH,20191114,6.79,6.91,6.76,6.82,6.75,0.07,1.037,52330.94,35794.755
600326.SH,20191113,6.76,6.81,6.72,6.75,6.83,-0.08,-1.1713,34534.5,23320.272
600326.SH,20191112,6.77,6.84,6.67,6.83,6.77,0.06,0.8863,60192.83,40667.343
600326.SH,20191111,6.88,6.9,6.75,6.77,6.91,-0.14,-2.026,52206.33,35577.977
600326.SH,20191108,6.96,7.02,6.9,6.91,6.92,-0.01,-0.1445,47800.72,33245.517
600326.SH,20191107,6.93,6.96,6.89,6.92,6.9,0.02,0.2899,41527.74,28779.397
600326.SH,20191106,6.95,6.95,6.88,6.9,6.96,-0.06,-0.8621,49767.35,34376.07
600326.SH,20191105,6.93,7.0,6.87,6.96,6.89,0.07,1.016,64373.4,44694.054
600326.SH,20191104,6.87,6.94,6.86,6.89,6.84,0.05,0.731,56743.33,39146.245
600326.SH,20191101,6.76,6.85,6.74,6.84,6.75,0.09,1.3333,40413.47,27533.24
600326.SH,20191031,6.71,6.82,6.71,6.75,6.79,-0.04,-0.5891,44980.14,30487.834
600326.SH,20191030,6.93,6.95,6.76,6.79,6.94,-0.15,-2.1614,83097.69,56817.453
600326.SH,20191029,7.07,7.07,6.93,6.94,7.03,-0.09,-1.2802,80585.5,56371.414
600326.SH,20191028,6.99,7.04,6.95,7.03,7.1,-0.07,-0.9859,109381.71,76564.28
600326.SH,20191025,7.05,7.11,7.02,7.1,7.06,0.04,0.5666,57940.22,40970.521
600326.SH,20191024,7.1,7.11,7.01,7.06,7.01,0.05,0.7133,58411.57,41305.016
600326.SH,20191023,7.07,7.09,7.0,7.01,7.07,-0.06,-0.8487,48871.4,34396.937
600326.SH,20191022,7.06,7.09,7.03,7.07,7.01,0.06,0.8559,40548.41,28623.983
600326.SH,20191021,7.0,7.05,6.96,7.01,7.07,-0.06,-0.8487,61226.3,42862.205
600326.SH,20191018,7.16,7.18,7.03,7.07,7.15,-0.08,-1.1189,87779.4,62301.008
600326.SH,20191017,7.24,7.27,7.13,7.15,7.26,-0.11,-1.5152,99480.52,71474.763
600326.SH,20191016,7.35,7.39,7.25,7.26,7.35,-0.09,-1.2245,105216.79,76891.709
600326.SH,20191015,7.34,7.43,7.21,7.35,7.4,-0.05,-0.6757,174577.43,127528.598
600326.SH,20191014,7.38,7.42,7.3,7.4,7.47,-0.07,-0.9371,284099.64,208796.597
600326.SH,20191011,7.3,7.52,7.28,7.47,7.31,0.16,2.1888,351388.75,260749.224
600326.SH,20191010,7.37,7.5,7.25,7.31,7.18,0.13,1.8106,229238.74,168068.017
600326.SH,20191009,7.07,7.2,7.03,7.18,7.15,0.03,0.4196,118893.66,84783.19
600326.SH,20191008,6.99,7.15,6.87,7.15,7.02,0.13,1.8519,114563.4,80169.051
600326.SH,20190930,7.01,7.03,6.94,7.02,7.0,0.02,0.2857,43860.83,30634.052
600326.SH,20190927,7.0,7.06,6.95,7.0,6.95,0.05,0.7194,64073.2,44923.218
600326.SH,20190926,7.17,7.18,6.94,6.95,7.12,-0.17,-2.3876,93134.65,65595.146
600326.SH,20190925,7.21,7.21,7.12,7.12,7.25,-0.13,-1.7931,70623.58,50523.025
600326.SH,20190924,7.27,7.31,7.18,7.25,7.24,0.01,0.1381,91622.2,66256.355
600326.SH,20190923,7.22,7.27,7.12,7.24,7.26,-0.02,-0.2755,135463.52,97445.923
600326.SH,20190920,7.33,7.4,7.22,7.26,7.24,0.02,0.2762,203506.17,148991.525
600326.SH,20190919,7.27,7.28,7.15,7.24,7.23,0.01,0.1383,105576.98,76152.878
600326.SH,20190918,7.12,7.31,7.05,7.23,7.13,0.1,1.4025,152683.28,109967.724
600326.SH,20190917,7.3,7.33,7.06,7.13,7.2,-0.07,-0.9722,151948.4,109299.317
600326.SH,20190916,7.28,7.32,7.18,7.2,7.32,-0.12,-1.6393,141181.4,102239.037
600326.SH,20190912,7.26,7.43,7.21,7.32,7.25,0.07,0.9655,208052.06,152294.024
600326.SH,20190911,7.24,7.42,7.22,7.25,7.2,0.05,0.6944,232992.99,170424.145
600326.SH,20190910,7.18,7.24,7.15,7.2,7.18,0.02,0.2786,140161.28,100839.492
600326.SH,20190909,7.18,7.19,7.11,7.18,7.13,0.05,0.7013,131603.74,94081.507
600326.SH,20190906,7.14,7.22,7.05,7.13,7.12,0.01,0.1404,137542.3,97987.456
600326.SH,20190905,7.16,7.2,7.07,7.12,7.17,-0.05,-0.6974,227392.89,162416.886
600326.SH,20190904,7.0,7.19,6.95,7.17,6.98,0.19,2.7221,286512.59,203641.833
600326.SH,20190903,6.82,6.98,6.8,6.98,6.82,0.16,2.346,172258.24,119298.808
600326.SH,20190902,6.68,6.83,6.66,6.82,6.66,0.16,2.4024,79915.5,54164.973
600326.SH,20190830,6.8,6.8,6.62,6.66,6.75,-0.09,-1.3333,73533.85,49423.42
600326.SH,20190829,6.8,6.81,6.75,6.75,6.78,-0.03,-0.4425,50831.92,34422.216
600326.SH,20190828,6.83,6.84,6.77,6.78,6.83,-0.05,-0.7321,53854.58,36621.145
600326.SH,20190827,6.72,6.84,6.72,6.83,6.7,0.13,1.9403,78042.39,53108.645
600326.SH,20190826,6.58,6.74,6.58,6.7,6.8,-0.1,-1.4706,69450.46,46352.393
600326.SH,20190823,6.87,6.89,6.8,6.8,6.91,-0.11,-1.5919,65634.3,44804.442
600326.SH,20190822,6.86,6.91,6.8,6.91,6.83,0.08,1.1713,72965.68,50023.996
600326.SH,20190821,6.86,6.93,6.82,6.83,6.89,-0.06,-0.8708,72622.82,49860.398
600326.SH,20190820,6.82,6.97,6.78,6.89,6.82,0.07,1.0264,110070.0,75631.257
600326.SH,20190819,6.73,6.83,6.68,6.82,6.71,0.11,1.6393,112061.9,75937.586
600326.SH,20190816,6.66,6.75,6.64,6.71,6.68,0.03,0.4491,81430.49,54619.984
600326.SH,20190815,6.4,6.89,6.36,6.68,6.56,0.12,1.8293,102872.45,68350.357
600326.SH,20190814,6.64,6.66,6.56,6.56,6.57,-0.01,-0.1522,50310.31,33274.377
600326.SH,20190813,6.58,6.58,6.5,6.57,6.61,-0.04,-0.6051,38421.71,25097.811
