ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600338.SH,20200110,12.03,12.03,11.79,11.84,12.04,-0.2,-1.6611,115540.25,137231.276
600338.SH,20200109,12.22,12.38,11.96,12.04,12.29,-0.25,-2.0342,173011.44,209654.294
600338.SH,20200108,12.29,12.58,11.93,12.29,12.41,-0.12,-0.967,218610.16,267893.916
600338.SH,20200107,12.34,12.46,12.17,12.41,12.4,0.01,0.0806,166904.61,205823.975
600338.SH,20200106,12.42,12.71,12.27,12.4,12.56,-0.16,-1.2739,227842.93,283780.77
600338.SH,20200103,12.49,12.75,12.24,12.56,12.52,0.04,0.3195,236100.1,294129.693
600338.SH,20200102,12.58,12.7,12.39,12.52,12.5,0.02,0.16,230233.3,287993.959
600338.SH,20191231,12.43,13.02,12.18,12.5,12.5,0.0,0.0,343287.82,430484.911
600338.SH,20191230,11.6,12.55,11.58,12.5,11.79,0.71,6.0221,319440.64,387732.231
600338.SH,20191227,11.46,12.08,11.27,11.79,11.36,0.43,3.7852,340030.69,397573.717
600338.SH,20191226,11.45,11.47,11.21,11.36,11.38,-0.02,-0.1757,120605.16,136387.049
600338.SH,20191225,11.1,11.77,11.09,11.38,11.11,0.27,2.4302,267336.6,304805.253
600338.SH,20191224,10.52,11.14,10.49,11.11,10.52,0.59,5.6084,188350.79,206077.548
600338.SH,20191223,10.7,10.96,10.5,10.52,10.75,-0.23,-2.1395,116402.35,124767.288
600338.SH,20191220,11.08,11.18,10.73,10.75,11.08,-0.33,-2.9783,123277.04,134755.517
600338.SH,20191219,10.87,11.15,10.76,11.08,10.77,0.31,2.8784,153797.95,168911.553
600338.SH,20191218,10.91,10.96,10.76,10.77,10.91,-0.14,-1.2832,123762.59,134144.744
600338.SH,20191217,10.55,10.93,10.46,10.91,10.49,0.42,4.0038,186385.35,201121.623
600338.SH,20191216,10.27,10.49,10.26,10.49,10.26,0.23,2.2417,89223.92,92555.93
600338.SH,20191213,10.24,10.29,10.16,10.26,10.15,0.11,1.0837,59319.86,60685.486
600338.SH,20191212,10.3,10.34,10.15,10.15,10.26,-0.11,-1.0721,61587.8,63017.292
600338.SH,20191211,10.43,10.46,10.21,10.26,10.48,-0.22,-2.0992,98643.55,101642.937
600338.SH,20191210,10.4,10.6,10.33,10.48,10.39,0.09,0.8662,93122.8,97585.83
600338.SH,20191209,10.59,10.59,10.36,10.39,10.6,-0.21,-1.9811,103291.43,107861.488
600338.SH,20191206,10.49,10.75,10.43,10.6,10.49,0.11,1.0486,130391.81,138352.556
600338.SH,20191205,10.42,10.52,10.35,10.49,10.53,-0.04,-0.3799,100329.82,104600.804
600338.SH,20191204,10.19,10.7,10.17,10.53,10.28,0.25,2.4319,145832.32,151864.295
600338.SH,20191203,10.02,10.43,9.92,10.28,10.11,0.17,1.6815,116312.18,119020.89
600338.SH,20191202,10.3,10.32,10.04,10.11,10.25,-0.14,-1.3659,82957.94,84141.08
600338.SH,20191129,10.3,10.31,10.08,10.25,10.3,-0.05,-0.4854,97263.85,98923.613
600338.SH,20191128,10.59,10.6,10.22,10.3,10.67,-0.37,-3.4677,139028.33,144037.049
600338.SH,20191127,10.64,10.93,10.53,10.67,10.71,-0.04,-0.3735,141304.37,150970.107
600338.SH,20191126,11.0,11.11,10.5,10.71,11.21,-0.5,-4.4603,275460.08,296302.702
600338.SH,20191125,10.19,11.21,10.16,11.21,10.19,1.02,10.0098,390940.2,428697.695
600338.SH,20191122,9.86,10.37,9.8,10.19,9.88,0.31,3.1377,122299.39,122999.021
600338.SH,20191121,9.81,9.91,9.75,9.88,9.93,-0.05,-0.5035,45581.81,44858.206
600338.SH,20191120,9.8,10.03,9.76,9.93,9.8,0.13,1.3265,87901.52,87107.46
600338.SH,20191119,9.6,9.82,9.47,9.8,9.6,0.2,2.0833,88898.31,85800.413
600338.SH,20191118,9.67,9.75,9.53,9.6,9.77,-0.17,-1.74,85595.62,82241.381
600338.SH,20191115,9.58,10.15,9.54,9.77,9.55,0.22,2.3037,134978.94,133369.146
600338.SH,20191114,9.47,9.65,9.36,9.55,9.47,0.08,0.8448,57635.69,54855.302
600338.SH,20191113,9.61,9.61,9.42,9.47,9.6,-0.13,-1.3542,44209.91,42032.221
600338.SH,20191112,9.58,9.65,9.47,9.6,9.57,0.03,0.3135,43890.38,41948.171
600338.SH,20191111,9.89,9.89,9.51,9.57,10.01,-0.44,-4.3956,80640.73,78068.944
600338.SH,20191108,10.03,10.25,9.97,10.01,10.0,0.01,0.1,71541.61,72306.638
