ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603238.SH,20200110,17.65,17.75,17.58,17.62,17.65,-0.03,-0.17,4175.0,7376.46
603238.SH,20200109,17.6,17.74,17.5,17.65,17.49,0.16,0.9148,4652.0,8193.783
603238.SH,20200108,17.77,17.77,17.49,17.49,17.79,-0.3,-1.6863,6342.86,11138.107
603238.SH,20200107,17.77,17.8,17.51,17.79,17.63,0.16,0.9075,6750.52,11938.1
603238.SH,20200106,17.52,17.72,17.43,17.63,17.59,0.04,0.2274,6549.17,11548.079
603238.SH,20200103,17.75,17.75,17.4,17.59,17.47,0.12,0.6869,6596.34,11566.582
603238.SH,20200102,17.41,17.56,17.4,17.47,17.37,0.1,0.5757,8000.2,13983.006
603238.SH,20191231,17.3,17.43,17.28,17.37,17.38,-0.01,-0.0575,3233.0,5610.954
603238.SH,20191230,17.15,17.4,17.0,17.38,17.14,0.24,1.4002,7939.0,13662.501
603238.SH,20191227,17.45,17.51,17.14,17.14,17.45,-0.31,-1.7765,6469.0,11202.083
603238.SH,20191226,17.38,17.48,17.31,17.45,17.45,0.0,0.0,2983.27,5193.259
603238.SH,20191225,17.26,17.47,17.26,17.45,17.25,0.2,1.1594,8135.19,14143.113
603238.SH,20191224,17.17,17.31,17.11,17.25,17.11,0.14,0.8182,6647.39,11448.368
603238.SH,20191223,17.25,17.29,17.08,17.11,17.25,-0.14,-0.8116,5418.64,9305.145
603238.SH,20191220,17.37,17.37,17.2,17.25,17.3,-0.05,-0.289,3824.0,6614.481
603238.SH,20191219,17.2,17.36,17.18,17.3,17.12,0.18,1.0514,3549.29,6128.001
603238.SH,20191218,17.16,17.28,17.01,17.12,17.22,-0.1,-0.5807,3134.0,5381.716
603238.SH,20191217,17.35,17.35,17.08,17.22,17.15,0.07,0.4082,5460.92,9380.006
603238.SH,20191216,16.81,17.16,16.81,17.15,16.85,0.3,1.7804,5272.92,8981.922
603238.SH,20191213,16.66,16.87,16.66,16.85,16.66,0.19,1.1405,4377.52,7357.151
603238.SH,20191212,16.85,16.85,16.6,16.66,16.85,-0.19,-1.1276,4758.0,7949.411
603238.SH,20191211,16.93,17.18,16.84,16.85,17.05,-0.2,-1.173,4275.0,7224.763
603238.SH,20191210,17.02,17.1,16.92,17.05,17.02,0.03,0.1763,1643.0,2796.598
603238.SH,20191209,17.1,17.26,16.99,17.02,17.1,-0.08,-0.4678,4001.69,6839.456
603238.SH,20191206,16.94,17.17,16.94,17.1,17.0,0.1,0.5882,3168.12,5419.684
603238.SH,20191205,16.78,17.04,16.78,17.0,16.81,0.19,1.1303,3631.0,6151.119
603238.SH,20191204,16.7,16.86,16.69,16.81,16.74,0.07,0.4182,2390.95,4013.717
603238.SH,20191203,16.87,16.87,16.67,16.74,16.85,-0.11,-0.6528,2172.0,3632.529
603238.SH,20191202,16.75,16.89,16.7,16.85,16.75,0.1,0.597,3147.0,5288.424
603238.SH,20191129,16.74,16.85,16.69,16.75,16.77,-0.02,-0.1193,1937.26,3242.703
603238.SH,20191128,16.78,16.9,16.61,16.77,16.77,0.0,0.0,2065.01,3471.397
603238.SH,20191127,16.98,16.98,16.52,16.77,16.94,-0.17,-1.0035,2501.0,4199.215
603238.SH,20191126,16.94,16.97,16.8,16.94,16.93,0.01,0.0591,3648.0,6158.99
603238.SH,20191125,17.12,17.23,16.89,16.93,17.15,-0.22,-1.2828,4146.0,7034.713
603238.SH,20191122,17.3,17.5,17.05,17.15,17.32,-0.17,-0.9815,4386.5,7565.83
603238.SH,20191121,17.35,17.65,17.31,17.32,17.3,0.02,0.1156,3747.36,6531.254
603238.SH,20191120,17.46,17.7,17.1,17.3,17.49,-0.19,-1.0863,6102.59,10625.401
603238.SH,20191119,17.32,17.59,17.29,17.49,17.38,0.11,0.6329,3106.0,5425.014
603238.SH,20191118,17.52,17.66,17.32,17.38,17.51,-0.13,-0.7424,3137.0,5455.652
603238.SH,20191115,17.76,17.76,17.51,17.51,17.72,-0.21,-1.1851,2820.97,4980.408
603238.SH,20191114,17.67,17.8,17.58,17.72,17.68,0.04,0.2262,2818.54,4987.324
603238.SH,20191113,17.62,17.74,17.55,17.68,17.63,0.05,0.2836,3291.0,5809.092
603238.SH,20191112,17.89,17.89,17.29,17.63,17.66,-0.03,-0.1699,6548.97,11450.827
603238.SH,20191111,18.26,18.26,17.6,17.66,18.09,-0.43,-2.377,6775.0,12107.341
603238.SH,20191108,18.4,18.67,18.09,18.09,18.38,-0.29,-1.5778,10068.0,18597.58
603238.SH,20191107,18.15,18.44,18.04,18.38,18.22,0.16,0.8782,7280.53,13326.508
603238.SH,20191106,18.23,18.25,18.11,18.22,18.2,0.02,0.1099,5633.0,10246.613
603238.SH,20191105,18.18,18.28,17.93,18.2,18.18,0.02,0.11,7152.0,12979.699
603238.SH,20191104,18.03,18.26,17.98,18.18,18.03,0.15,0.8319,3901.0,7081.84
603238.SH,20191101,17.8,18.03,17.75,18.03,17.84,0.19,1.065,4030.5,7199.268
603238.SH,20191031,18.04,18.17,17.82,17.84,18.04,-0.2,-1.1086,5158.36,9290.8
603238.SH,20191030,18.17,18.24,18.0,18.04,18.17,-0.13,-0.7155,4786.04,8657.144
603238.SH,20191029,18.4,18.57,18.14,18.17,18.39,-0.22,-1.1963,6785.36,12397.065
603238.SH,20191028,18.19,18.39,18.1,18.39,18.17,0.22,1.2108,8362.04,15261.857
603238.SH,20191025,17.9,18.2,17.8,18.17,17.81,0.36,2.0213,9057.18,16312.938
603238.SH,20191024,17.6,17.98,17.5,17.81,17.6,0.21,1.1932,6679.0,11913.322
603238.SH,20191023,17.84,18.02,17.52,17.6,17.84,-0.24,-1.3453,5693.14,10137.767
603238.SH,20191022,17.53,17.85,17.38,17.84,17.66,0.18,1.0193,2870.5,5078.883
603238.SH,20191021,17.78,17.83,17.14,17.66,17.78,-0.12,-0.6749,4210.0,7376.268
603238.SH,20191018,18.0,18.01,17.69,17.78,17.93,-0.15,-0.8366,6560.0,11667.643
603238.SH,20191017,17.85,18.0,17.73,17.93,17.8,0.13,0.7303,4755.0,8521.376
603238.SH,20191016,17.78,17.91,17.66,17.8,17.78,0.02,0.1125,4188.0,7461.141
603238.SH,20191015,18.0,18.12,17.74,17.78,17.96,-0.18,-1.0022,3697.0,6595.019
603238.SH,20191014,17.83,18.01,17.78,17.96,17.77,0.19,1.0692,6509.5,11660.761
603238.SH,20191011,17.81,17.85,17.64,17.77,17.78,-0.01,-0.0562,5317.04,9441.993
603238.SH,20191010,17.46,17.79,17.34,17.78,17.47,0.31,1.7745,6029.0,10631.102
603238.SH,20191009,17.26,17.5,17.2,17.47,17.35,0.12,0.6916,3565.0,6192.674
603238.SH,20191008,17.38,17.56,17.1,17.35,17.35,0.0,0.0,2968.0,5168.925
603238.SH,20190930,17.35,17.54,17.2,17.35,17.4,-0.05,-0.2874,2701.6,4693.149
603238.SH,20190927,17.19,17.45,17.17,17.4,17.19,0.21,1.2216,3821.0,6632.935
603238.SH,20190926,17.71,17.74,17.13,17.19,17.68,-0.49,-2.7715,6869.0,11946.602
603238.SH,20190925,17.7,17.83,17.6,17.68,17.72,-0.04,-0.2257,7308.75,12923.736
