ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600459.SH,20200110,15.74,15.8,15.34,15.49,15.72,-0.23,-1.4631,93122.68,144453.259
600459.SH,20200109,15.75,15.93,15.61,15.72,15.82,-0.1,-0.6321,125031.04,196825.947
600459.SH,20200108,16.33,16.5,15.78,15.82,16.13,-0.31,-1.9219,162590.75,261100.988
600459.SH,20200107,16.11,16.2,15.88,16.13,16.33,-0.2,-1.2247,148146.06,237431.216
600459.SH,20200106,15.87,16.38,15.76,16.33,15.61,0.72,4.6124,257823.31,414817.206
600459.SH,20200103,15.39,15.74,15.27,15.61,15.33,0.28,1.8265,136892.05,213191.648
600459.SH,20200102,15.19,15.39,15.1,15.33,15.1,0.23,1.5232,102224.4,156282.582
600459.SH,20191231,15.26,15.37,14.9,15.1,15.4,-0.3,-1.9481,132995.76,200368.797
600459.SH,20191230,15.15,15.55,15.12,15.4,15.37,0.03,0.1952,104131.7,159229.694
600459.SH,20191227,15.2,16.06,15.14,15.37,15.2,0.17,1.1184,202729.7,315522.528
600459.SH,20191226,15.12,15.35,14.95,15.2,15.09,0.11,0.729,90397.7,136783.972
600459.SH,20191225,14.93,15.19,14.8,15.09,14.92,0.17,1.1394,106112.75,159449.292
600459.SH,20191224,14.28,15.07,14.2,14.92,14.2,0.72,5.0704,118174.86,173923.054
600459.SH,20191223,14.56,14.56,14.18,14.2,14.56,-0.36,-2.4725,59788.87,85980.367
600459.SH,20191220,14.85,14.92,14.56,14.56,14.85,-0.29,-1.9529,61038.03,90044.665
600459.SH,20191219,14.8,14.85,14.7,14.85,14.75,0.1,0.678,56110.69,82986.207
600459.SH,20191218,14.8,14.93,14.72,14.75,14.82,-0.07,-0.4723,86158.83,127563.827
600459.SH,20191217,14.6,14.88,14.58,14.82,14.6,0.22,1.5068,105901.99,156402.058
600459.SH,20191216,14.45,14.62,14.37,14.6,14.48,0.12,0.8287,80762.48,117069.073
600459.SH,20191213,14.48,14.54,14.38,14.48,14.41,0.07,0.4858,58026.57,83899.265
600459.SH,20191212,14.55,14.56,14.33,14.41,14.51,-0.1,-0.6892,68915.94,99583.301
600459.SH,20191211,14.38,14.66,14.29,14.51,14.28,0.23,1.6106,81683.74,117920.326
600459.SH,20191210,14.21,14.46,14.16,14.28,14.2,0.08,0.5634,54118.23,77298.892
600459.SH,20191209,14.09,14.26,14.04,14.2,14.11,0.09,0.6378,52951.28,75033.259
600459.SH,20191206,14.1,14.2,14.05,14.11,14.17,-0.06,-0.4234,40891.64,57702.671
600459.SH,20191205,14.0,14.2,13.92,14.17,14.08,0.09,0.6392,65149.06,91489.783
600459.SH,20191204,13.65,14.18,13.6,14.08,13.69,0.39,2.8488,99363.77,139551.655
600459.SH,20191203,13.52,13.75,13.41,13.69,13.56,0.13,0.9587,32496.25,44117.805
600459.SH,20191202,13.58,13.71,13.52,13.56,13.6,-0.04,-0.2941,22654.43,30857.519
600459.SH,20191129,13.49,13.66,13.4,13.6,13.5,0.1,0.7407,30558.25,41386.875
600459.SH,20191128,13.69,13.79,13.5,13.5,13.68,-0.18,-1.3158,36997.85,50379.967
600459.SH,20191127,13.75,13.83,13.63,13.68,13.75,-0.07,-0.5091,27661.62,37955.623
600459.SH,20191126,13.86,13.86,13.68,13.75,13.86,-0.11,-0.7937,30178.89,41455.134
600459.SH,20191125,13.48,13.87,13.4,13.86,13.51,0.35,2.5907,55055.72,75723.287
600459.SH,20191122,13.83,13.93,13.51,13.51,13.73,-0.22,-1.6023,44354.74,60793.24
600459.SH,20191121,13.79,13.83,13.68,13.73,13.9,-0.17,-1.223,33475.72,46031.249
600459.SH,20191120,13.85,13.96,13.71,13.9,13.84,0.06,0.4335,49798.84,68871.817
600459.SH,20191119,13.64,13.84,13.56,13.84,13.59,0.25,1.8396,37871.96,52026.379
600459.SH,20191118,13.51,13.64,13.31,13.59,13.55,0.04,0.2952,36118.07,48690.713
600459.SH,20191115,13.85,13.9,13.55,13.55,13.81,-0.26,-1.8827,41837.85,57357.576
600459.SH,20191114,13.88,13.89,13.69,13.81,13.92,-0.11,-0.7902,34434.05,47467.179
