ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600992.SH,20200110,7.09,7.11,6.98,7.01,7.06,-0.05,-0.7082,20978.3,14731.44
600992.SH,20200109,7.06,7.08,7.02,7.06,7.03,0.03,0.4267,21545.0,15183.577
600992.SH,20200108,7.11,7.11,6.95,7.03,7.11,-0.08,-1.1252,22778.11,16024.277
600992.SH,20200107,7.03,7.11,7.01,7.11,7.02,0.09,1.2821,23419.76,16521.825
600992.SH,20200106,6.97,7.09,6.95,7.02,7.03,-0.01,-0.1422,28435.0,19941.409
600992.SH,20200103,6.97,7.14,6.91,7.03,6.94,0.09,1.2968,36948.58,25940.756
600992.SH,20200102,6.89,6.95,6.87,6.94,6.86,0.08,1.1662,23994.1,16621.783
600992.SH,20191231,6.82,6.87,6.77,6.86,6.84,0.02,0.2924,17158.11,11714.987
600992.SH,20191230,6.79,6.85,6.68,6.84,6.83,0.01,0.1464,22529.01,15196.008
600992.SH,20191227,6.89,6.94,6.82,6.83,6.9,-0.07,-1.0145,16496.83,11342.604
600992.SH,20191226,6.78,6.91,6.74,6.9,6.77,0.13,1.9202,18160.47,12444.421
600992.SH,20191225,6.76,6.8,6.74,6.77,6.77,0.0,0.0,13379.72,9059.391
600992.SH,20191224,6.67,6.77,6.67,6.77,6.68,0.09,1.3473,9372.69,6301.679
600992.SH,20191223,6.87,6.92,6.66,6.68,6.87,-0.19,-2.7656,21220.0,14337.958
600992.SH,20191220,6.9,6.96,6.87,6.87,6.89,-0.02,-0.2903,21556.0,14932.396
600992.SH,20191219,6.86,6.91,6.84,6.89,6.87,0.02,0.2911,16041.89,11035.217
600992.SH,20191218,6.91,6.94,6.86,6.87,6.88,-0.01,-0.1453,20457.89,14104.753
600992.SH,20191217,6.85,6.96,6.83,6.88,6.85,0.03,0.438,25609.0,17611.98
600992.SH,20191216,6.78,6.86,6.74,6.85,6.77,0.08,1.1817,23309.27,15835.311
600992.SH,20191213,6.73,6.78,6.69,6.77,6.75,0.02,0.2963,23410.0,15782.294
600992.SH,20191212,6.75,6.9,6.69,6.75,6.96,-0.21,-3.0172,55574.29,37499.393
600992.SH,20191211,6.95,7.51,6.95,6.96,6.83,0.13,1.9034,86678.17,62349.821
600992.SH,20191210,6.71,6.84,6.61,6.83,6.68,0.15,2.2455,20623.0,13930.315
600992.SH,20191209,6.73,6.78,6.65,6.68,6.73,-0.05,-0.7429,6959.0,4666.163
600992.SH,20191206,6.68,6.74,6.65,6.73,6.68,0.05,0.7485,9228.34,6186.001
600992.SH,20191205,6.58,6.68,6.58,6.68,6.58,0.1,1.5198,10817.02,7195.556
600992.SH,20191204,6.52,6.61,6.48,6.58,6.52,0.06,0.9202,8955.0,5874.071
600992.SH,20191203,6.5,6.52,6.4,6.52,6.5,0.02,0.3077,8008.72,5181.061
600992.SH,20191202,6.53,6.58,6.46,6.5,6.53,-0.03,-0.4594,10615.0,6917.081
600992.SH,20191129,6.42,6.53,6.42,6.53,6.49,0.04,0.6163,6464.88,4192.215
600992.SH,20191128,6.37,6.52,6.35,6.49,6.52,-0.03,-0.4601,6962.0,4492.037
