ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300044.SZ,20200110,7.66,7.69,7.34,7.47,7.68,-0.21,-2.7344,323364.56,242983.886
300044.SZ,20200109,7.44,7.94,7.39,7.68,7.37,0.31,4.2062,525107.69,402879.909
300044.SZ,20200108,7.34,7.57,7.24,7.37,7.53,-0.16,-2.1248,363904.0,269458.632
300044.SZ,20200107,7.32,7.64,7.27,7.53,7.43,0.1,1.3459,660550.86,492707.411
300044.SZ,20200106,7.43,7.43,7.19,7.43,6.75,0.68,10.0741,622169.02,460297.005
300044.SZ,20200103,6.72,6.78,6.66,6.75,6.72,0.03,0.4464,119741.68,80574.247
300044.SZ,20200102,6.66,6.72,6.6,6.72,6.49,0.23,3.5439,145649.68,97391.407
300044.SZ,20191231,6.53,6.56,6.39,6.49,6.51,-0.02,-0.3072,72057.88,46516.248
300044.SZ,20191230,6.4,6.52,6.3,6.51,6.46,0.05,0.774,86767.8,55823.829
300044.SZ,20191227,6.6,6.62,6.46,6.46,6.59,-0.13,-1.9727,75539.85,49571.41
300044.SZ,20191226,6.6,6.6,6.5,6.59,6.56,0.03,0.4573,60341.76,39534.659
300044.SZ,20191225,6.47,6.6,6.47,6.56,6.49,0.07,1.0786,71629.1,46875.462
300044.SZ,20191224,6.41,6.52,6.41,6.49,6.4,0.09,1.4063,54513.09,35253.962
300044.SZ,20191223,6.61,6.66,6.39,6.4,6.62,-0.22,-3.3233,101349.82,66127.136
300044.SZ,20191220,6.75,6.83,6.61,6.62,6.75,-0.13,-1.9259,85738.5,57625.92
300044.SZ,20191219,6.73,6.78,6.68,6.75,6.75,0.0,0.0,93124.63,62654.727
300044.SZ,20191218,6.73,6.86,6.69,6.75,6.77,-0.02,-0.2954,123486.55,83457.976
300044.SZ,20191217,6.85,6.87,6.68,6.77,6.84,-0.07,-1.0234,205879.34,139245.189
300044.SZ,20191216,6.59,6.94,6.59,6.84,6.54,0.3,4.5872,228283.28,155761.431
300044.SZ,20191213,6.37,6.6,6.37,6.54,6.37,0.17,2.6688,121868.57,79147.361
300044.SZ,20191212,6.44,6.5,6.35,6.37,6.5,-0.13,-2.0,108226.66,69403.715
300044.SZ,20191211,6.45,6.58,6.3,6.5,6.29,0.21,3.3386,219044.12,141470.769
300044.SZ,20191210,6.12,6.29,6.11,6.29,6.15,0.14,2.2764,88007.4,54543.303
300044.SZ,20191209,6.13,6.18,6.09,6.15,6.12,0.03,0.4902,69227.85,42494.221
300044.SZ,20191206,6.07,6.13,6.01,6.12,6.08,0.04,0.6579,63478.13,38533.955
300044.SZ,20191205,6.03,6.1,6.01,6.08,5.97,0.11,1.8425,85245.7,51629.737
