ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
603028.SH,20200110,12.99,13.2,12.67,12.98,13.03,-0.05,-0.3837,31678.95,40882.014
603028.SH,20200109,13.2,13.46,12.94,13.03,13.2,-0.17,-1.2879,46139.97,60623.471
603028.SH,20200108,13.0,13.88,12.78,13.2,12.94,0.26,2.0093,95688.73,125653.733
603028.SH,20200107,11.62,12.94,11.61,12.94,11.76,1.18,10.034,73451.79,93350.215
603028.SH,20200106,11.63,11.96,11.57,11.76,11.78,-0.02,-0.1698,18727.56,21982.264
603028.SH,20200103,11.93,11.97,11.78,11.78,11.89,-0.11,-0.9251,14399.0,17043.323
603028.SH,20200102,11.92,12.13,11.82,11.89,11.82,0.07,0.5922,14990.0,17837.87
603028.SH,20191231,11.96,12.03,11.7,11.82,11.97,-0.15,-1.2531,13518.06,15987.722
603028.SH,20191230,12.12,12.14,11.85,11.97,11.99,-0.02,-0.1668,12077.0,14454.793
603028.SH,20191227,12.41,12.57,11.97,11.99,12.38,-0.39,-3.1502,24857.0,30402.638
603028.SH,20191226,12.0,12.38,11.82,12.38,11.98,0.4,3.3389,32850.12,40036.374
603028.SH,20191225,11.84,12.03,11.8,11.98,11.92,0.06,0.5034,19178.0,22885.225
603028.SH,20191224,11.54,12.08,11.22,11.92,11.48,0.44,3.8328,33692.0,39844.953
603028.SH,20191223,11.5,11.77,11.4,11.48,11.52,-0.04,-0.3472,25833.87,29822.186
603028.SH,20191220,11.88,11.99,11.43,11.52,11.87,-0.35,-2.9486,32686.0,38075.69
603028.SH,20191219,12.19,12.2,11.71,11.87,12.0,-0.13,-1.0833,23249.0,27492.958
603028.SH,20191218,12.15,12.31,11.91,12.0,12.12,-0.12,-0.9901,34105.0,41236.783
603028.SH,20191217,12.21,12.36,12.1,12.12,12.17,-0.05,-0.4108,31228.03,38202.553
603028.SH,20191216,11.86,12.18,11.86,12.17,11.88,0.29,2.4411,35711.0,43102.269
603028.SH,20191213,11.99,11.99,11.61,11.88,11.78,0.1,0.8489,27757.18,32797.606
603028.SH,20191212,11.68,11.88,11.52,11.78,11.67,0.11,0.9426,31803.2,37458.593
603028.SH,20191211,11.53,11.78,11.44,11.67,11.44,0.23,2.0105,36637.9,42601.931
603028.SH,20191210,11.59,11.65,11.01,11.44,11.22,0.22,1.9608,38550.0,43958.398
603028.SH,20191209,10.29,11.22,10.21,11.22,10.2,1.02,10.0,39303.04,42675.933
603028.SH,20191206,10.19,10.28,10.11,10.2,10.22,-0.02,-0.1957,6821.16,6969.151
603028.SH,20191205,10.25,10.27,10.12,10.22,10.22,0.0,0.0,9256.0,9447.492
603028.SH,20191204,10.36,10.56,10.16,10.22,10.36,-0.14,-1.3514,17254.0,17784.218
603028.SH,20191203,10.32,10.45,10.22,10.36,10.41,-0.05,-0.4803,7485.0,7724.896
603028.SH,20191202,10.46,10.57,10.33,10.41,10.46,-0.05,-0.478,11738.0,12217.979
603028.SH,20191129,10.62,10.62,10.44,10.46,10.54,-0.08,-0.759,8598.0,9032.834
603028.SH,20191128,10.69,10.7,10.51,10.54,10.58,-0.04,-0.3781,5636.0,5964.93
603028.SH,20191127,10.78,10.78,10.56,10.58,10.67,-0.09,-0.8435,8447.0,8990.064
603028.SH,20191126,10.89,10.97,10.67,10.67,10.89,-0.22,-2.0202,13769.0,14849.066
603028.SH,20191125,10.68,11.15,10.68,10.89,10.73,0.16,1.4911,11882.0,12962.822
603028.SH,20191122,10.88,10.98,10.7,10.73,10.8,-0.07,-0.6481,11368.06,12317.806
603028.SH,20191121,10.9,10.99,10.63,10.8,11.0,-0.2,-1.8182,12787.0,13799.795
603028.SH,20191120,11.15,11.19,10.95,11.0,11.2,-0.2,-1.7857,9326.16,10293.624
603028.SH,20191119,10.99,11.2,10.99,11.2,10.98,0.22,2.0036,8798.16,9762.823
603028.SH,20191118,11.17,11.36,10.88,10.98,11.29,-0.31,-2.7458,24084.0,26669.359
603028.SH,20191115,11.55,11.86,11.21,11.29,11.6,-0.31,-2.6724,19857.06,22796.327
603028.SH,20191114,11.25,11.65,11.09,11.6,11.11,0.49,4.4104,25156.54,28948.842
603028.SH,20191113,11.01,11.27,11.0,11.11,11.13,-0.02,-0.1797,7744.0,8596.56
603028.SH,20191112,11.28,11.38,11.1,11.13,11.23,-0.1,-0.8905,10683.0,11956.656
603028.SH,20191111,11.65,11.71,11.15,11.23,11.62,-0.39,-3.3563,19241.0,21911.619
