ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000899.SZ,20200110,4.91,4.92,4.88,4.9,4.91,-0.01,-0.2037,13969.26,6844.327
000899.SZ,20200109,4.88,4.94,4.88,4.91,4.87,0.04,0.8214,19401.59,9529.857
000899.SZ,20200108,4.95,4.95,4.86,4.87,4.96,-0.09,-1.8145,20963.0,10286.25
000899.SZ,20200107,4.9,4.97,4.88,4.96,4.9,0.06,1.2245,23624.72,11656.447
000899.SZ,20200106,4.89,4.94,4.86,4.9,4.9,0.0,0.0,19738.8,9650.087
000899.SZ,20200103,4.9,4.93,4.88,4.9,4.9,0.0,0.0,15265.74,7477.333
000899.SZ,20200102,4.86,4.93,4.86,4.9,4.87,0.03,0.616,26193.57,12818.698
000899.SZ,20191231,4.84,4.87,4.83,4.87,4.85,0.02,0.4124,11901.8,5777.561
000899.SZ,20191230,4.83,4.86,4.8,4.85,4.84,0.01,0.2066,19862.24,9582.964
000899.SZ,20191227,4.83,4.85,4.8,4.84,4.82,0.02,0.4149,19364.44,9342.706
000899.SZ,20191226,4.78,4.83,4.77,4.82,4.78,0.04,0.8368,18445.18,8850.074
000899.SZ,20191225,4.76,4.81,4.76,4.78,4.76,0.02,0.4202,11964.0,5731.459
000899.SZ,20191224,4.75,4.77,4.73,4.76,4.74,0.02,0.4219,7928.0,3765.667
000899.SZ,20191223,4.8,4.82,4.73,4.74,4.81,-0.07,-1.4553,14660.0,6997.528
000899.SZ,20191220,4.85,4.86,4.81,4.81,4.86,-0.05,-1.0288,12734.0,6150.34
000899.SZ,20191219,4.79,4.88,4.79,4.86,4.8,0.06,1.25,20712.65,10024.985
000899.SZ,20191218,4.83,4.86,4.79,4.8,4.84,-0.04,-0.8264,20220.73,9757.609
000899.SZ,20191217,4.8,4.85,4.76,4.84,4.79,0.05,1.0438,27367.44,13174.441
000899.SZ,20191216,4.76,4.8,4.73,4.79,4.75,0.04,0.8421,14947.07,7114.773
000899.SZ,20191213,4.74,4.76,4.72,4.75,4.73,0.02,0.4228,10312.87,4884.396
000899.SZ,20191212,4.72,4.75,4.72,4.73,4.74,-0.01,-0.211,7153.76,3389.289
000899.SZ,20191211,4.75,4.76,4.73,4.74,4.74,0.0,0.0,7317.43,3466.921
000899.SZ,20191210,4.73,4.77,4.71,4.74,4.78,-0.04,-0.8368,11852.8,5607.551
000899.SZ,20191209,4.73,4.86,4.73,4.78,4.67,0.11,2.3555,24723.8,11839.427
000899.SZ,20191206,4.67,4.68,4.64,4.67,4.66,0.01,0.2146,6514.01,3031.225
000899.SZ,20191205,4.67,4.67,4.63,4.66,4.63,0.03,0.6479,6759.65,3145.892
000899.SZ,20191204,4.63,4.69,4.62,4.63,4.66,-0.03,-0.6438,6837.42,3175.877
000899.SZ,20191203,4.61,4.67,4.61,4.66,4.65,0.01,0.2151,5707.01,2651.562
000899.SZ,20191202,4.69,4.7,4.64,4.65,4.68,-0.03,-0.641,9956.07,4646.501
000899.SZ,20191129,4.7,4.72,4.65,4.68,4.72,-0.04,-0.8475,9015.69,4217.442
000899.SZ,20191128,4.74,4.74,4.7,4.72,4.72,0.0,0.0,5387.8,2542.022
000899.SZ,20191127,4.72,4.74,4.68,4.72,4.73,-0.01,-0.2114,9644.0,4540.762
000899.SZ,20191126,4.8,4.81,4.71,4.73,4.8,-0.07,-1.4583,17610.54,8343.957
000899.SZ,20191125,4.75,4.8,4.7,4.8,4.76,0.04,0.8403,32130.47,15311.336
000899.SZ,20191122,4.7,4.76,4.65,4.76,4.69,0.07,1.4925,26596.0,12552.203
000899.SZ,20191121,4.66,4.83,4.66,4.69,4.59,0.1,2.1786,34658.65,16482.819
000899.SZ,20191120,4.65,4.67,4.56,4.59,4.67,-0.08,-1.7131,14120.14,6505.351
000899.SZ,20191119,4.62,4.67,4.6,4.67,4.62,0.05,1.0823,9411.15,4370.469
000899.SZ,20191118,4.57,4.65,4.53,4.62,4.57,0.05,1.0941,10063.0,4615.679
000899.SZ,20191115,4.66,4.66,4.56,4.57,4.66,-0.09,-1.9313,9077.0,4177.446
000899.SZ,20191114,4.63,4.67,4.63,4.66,4.65,0.01,0.2151,7510.16,3494.448
000899.SZ,20191113,4.68,4.68,4.61,4.65,4.66,-0.01,-0.2146,8464.23,3922.787
000899.SZ,20191112,4.67,4.69,4.61,4.66,4.68,-0.02,-0.4274,9740.0,4534.215
000899.SZ,20191111,4.71,4.73,4.67,4.68,4.73,-0.05,-1.0571,16833.01,7903.641
000899.SZ,20191108,4.74,4.75,4.71,4.73,4.72,0.01,0.2119,8407.0,3982.019
000899.SZ,20191107,4.7,4.74,4.68,4.72,4.72,0.0,0.0,9561.21,4510.552
000899.SZ,20191106,4.76,4.76,4.68,4.72,4.75,-0.03,-0.6316,12674.92,5975.295
000899.SZ,20191105,4.74,4.77,4.7,4.75,4.73,0.02,0.4228,11032.21,5225.857
000899.SZ,20191104,4.76,4.78,4.72,4.73,4.76,-0.03,-0.6303,19044.03,9020.591
000899.SZ,20191101,4.71,4.78,4.7,4.76,4.7,0.06,1.2766,10466.0,4966.013
000899.SZ,20191031,4.78,4.84,4.7,4.7,4.78,-0.08,-1.6736,20825.8,9917.403
000899.SZ,20191030,4.81,4.84,4.77,4.78,4.81,-0.03,-0.6237,9785.44,4686.136
000899.SZ,20191029,4.86,4.87,4.81,4.81,4.86,-0.05,-1.0288,16218.12,7828.641
000899.SZ,20191028,4.77,4.87,4.77,4.86,4.8,0.06,1.25,19993.84,9663.301
