ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002073.SZ,20200110,4.92,4.95,4.82,4.9,4.89,0.01,0.2045,141467.7,68967.75
002073.SZ,20200109,4.83,4.94,4.82,4.89,4.79,0.1,2.0877,154392.39,75311.775
002073.SZ,20200108,4.89,4.91,4.79,4.79,4.91,-0.12,-2.444,157811.29,76453.075
002073.SZ,20200107,4.93,4.94,4.86,4.91,4.89,0.02,0.409,155692.92,76268.757
002073.SZ,20200106,4.82,4.93,4.79,4.89,4.87,0.02,0.4107,167525.9,81630.617
002073.SZ,20200103,4.81,4.9,4.78,4.87,4.81,0.06,1.2474,175320.03,85099.393
002073.SZ,20200102,4.72,4.83,4.72,4.81,4.68,0.13,2.7778,163341.14,77978.473
002073.SZ,20191231,4.68,4.73,4.63,4.68,4.66,0.02,0.4292,89734.92,41945.253
002073.SZ,20191230,4.62,4.68,4.48,4.66,4.66,0.0,0.0,135704.74,62363.196
002073.SZ,20191227,4.72,4.81,4.66,4.66,4.72,-0.06,-1.2712,148204.0,70009.684
002073.SZ,20191226,4.7,4.75,4.64,4.72,4.72,0.0,0.0,152890.66,71658.469
002073.SZ,20191225,4.77,4.78,4.7,4.72,4.77,-0.05,-1.0482,110202.43,52200.547
002073.SZ,20191224,4.71,4.79,4.64,4.77,4.7,0.07,1.4894,136171.13,64342.14
002073.SZ,20191223,4.8,4.88,4.7,4.7,4.78,-0.08,-1.6736,180917.18,86701.265
002073.SZ,20191220,4.89,4.89,4.77,4.78,4.86,-0.08,-1.6461,158936.75,76966.943
002073.SZ,20191219,4.82,4.93,4.82,4.86,4.83,0.03,0.6211,178935.46,87049.007
002073.SZ,20191218,4.91,4.94,4.81,4.83,4.9,-0.07,-1.4286,218218.0,106153.346
002073.SZ,20191217,4.92,4.98,4.86,4.9,4.88,0.02,0.4098,303781.17,149180.902
002073.SZ,20191216,4.66,5.03,4.64,4.88,4.62,0.26,5.6277,459863.46,223672.265
002073.SZ,20191213,4.59,4.69,4.58,4.62,4.56,0.06,1.3158,158897.38,73527.879
002073.SZ,20191212,4.62,4.67,4.56,4.56,4.65,-0.09,-1.9355,148538.03,68538.237
002073.SZ,20191211,4.68,4.72,4.58,4.65,4.64,0.01,0.2155,210652.42,98031.861
002073.SZ,20191210,4.56,4.67,4.53,4.64,4.58,0.06,1.31,207740.37,96204.794
002073.SZ,20191209,4.62,4.65,4.54,4.58,4.61,-0.03,-0.6508,202927.88,93008.402
002073.SZ,20191206,4.51,4.73,4.48,4.61,4.49,0.12,2.6726,317263.98,145963.532
002073.SZ,20191205,4.53,4.56,4.45,4.49,4.49,0.0,0.0,196930.81,88533.847
002073.SZ,20191204,4.37,4.49,4.36,4.49,4.4,0.09,2.0455,232377.63,103278.786
002073.SZ,20191203,4.28,4.4,4.22,4.4,4.29,0.11,2.5641,155388.73,67195.246
002073.SZ,20191202,4.22,4.34,4.21,4.29,4.24,0.05,1.1792,94546.28,40561.746
002073.SZ,20191129,4.24,4.27,4.17,4.24,4.25,-0.01,-0.2353,100431.01,42277.512
002073.SZ,20191128,4.28,4.28,4.22,4.25,4.29,-0.04,-0.9324,81709.0,34667.869
002073.SZ,20191127,4.3,4.32,4.25,4.29,4.32,-0.03,-0.6944,100084.28,42865.552
002073.SZ,20191126,4.31,4.37,4.3,4.32,4.32,0.0,0.0,88796.0,38429.814
002073.SZ,20191125,4.35,4.36,4.28,4.32,4.35,-0.03,-0.6897,99644.0,42996.582
002073.SZ,20191122,4.4,4.46,4.32,4.35,4.39,-0.04,-0.9112,126391.66,55373.717
002073.SZ,20191121,4.35,4.43,4.34,4.39,4.4,-0.01,-0.2273,102894.35,45127.311
002073.SZ,20191120,4.42,4.51,4.35,4.4,4.4,0.0,0.0,172319.58,76095.487
002073.SZ,20191119,4.34,4.41,4.31,4.4,4.33,0.07,1.6166,127672.67,55907.913
002073.SZ,20191118,4.3,4.34,4.25,4.33,4.3,0.03,0.6977,94827.0,40909.625
002073.SZ,20191115,4.36,4.38,4.3,4.3,4.37,-0.07,-1.6018,108099.22,46773.402
002073.SZ,20191114,4.36,4.43,4.29,4.37,4.39,-0.02,-0.4556,127405.14,55480.14
002073.SZ,20191113,4.41,4.47,4.33,4.39,4.4,-0.01,-0.2273,115567.0,50815.953
002073.SZ,20191112,4.31,4.42,4.28,4.4,4.3,0.1,2.3256,163014.34,70851.364
002073.SZ,20191111,4.51,4.51,4.25,4.3,4.52,-0.22,-4.8673,261368.7,113239.958
002073.SZ,20191108,4.52,4.6,4.48,4.52,4.48,0.04,0.8929,170160.98,77060.397
002073.SZ,20191107,4.52,4.58,4.46,4.48,4.52,-0.04,-0.885,158455.03,71418.349
002073.SZ,20191106,4.43,4.63,4.4,4.52,4.4,0.12,2.7273,316249.19,142950.891
