ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600790.SH,20200110,3.48,3.5,3.47,3.47,3.47,0.0,0.0,43010.99,14967.008
600790.SH,20200109,3.45,3.48,3.45,3.47,3.44,0.03,0.8721,68380.65,23687.741
600790.SH,20200108,3.46,3.48,3.43,3.44,3.48,-0.04,-1.1494,88575.55,30592.122
600790.SH,20200107,3.44,3.48,3.44,3.48,3.44,0.04,1.1628,71641.51,24790.02
600790.SH,20200106,3.42,3.46,3.41,3.44,3.44,0.0,0.0,71403.88,24527.075
600790.SH,20200103,3.44,3.46,3.42,3.44,3.44,0.0,0.0,79424.82,27341.192
600790.SH,20200102,3.41,3.45,3.4,3.44,3.4,0.04,1.1765,109157.61,37373.969
600790.SH,20191231,3.4,3.41,3.37,3.4,3.4,0.0,0.0,68122.45,23086.935
600790.SH,20191230,3.36,3.4,3.34,3.4,3.37,0.03,0.8902,45558.47,15399.682
600790.SH,20191227,3.35,3.4,3.35,3.37,3.36,0.01,0.2976,46542.03,15733.098
600790.SH,20191226,3.35,3.37,3.34,3.36,3.36,0.0,0.0,43283.42,14507.382
600790.SH,20191225,3.33,3.38,3.32,3.36,3.33,0.03,0.9009,40206.51,13482.725
600790.SH,20191224,3.31,3.34,3.31,3.33,3.3,0.03,0.9091,27745.02,9227.242
600790.SH,20191223,3.39,3.39,3.3,3.3,3.38,-0.08,-2.3669,55045.8,18452.274
600790.SH,20191220,3.4,3.41,3.37,3.38,3.4,-0.02,-0.5882,46052.55,15605.558
600790.SH,20191219,3.38,3.41,3.38,3.4,3.39,0.01,0.295,34657.22,11760.197
600790.SH,20191218,3.41,3.42,3.37,3.39,3.41,-0.02,-0.5865,39005.12,13245.478
600790.SH,20191217,3.36,3.43,3.35,3.41,3.36,0.05,1.4881,84639.62,28664.359
600790.SH,20191216,3.37,3.37,3.32,3.36,3.36,0.0,0.0,66597.4,22287.778
600790.SH,20191213,3.31,3.36,3.31,3.36,3.3,0.06,1.8182,47099.12,15758.378
600790.SH,20191212,3.36,3.36,3.3,3.3,3.36,-0.06,-1.7857,51293.08,17058.25
600790.SH,20191211,3.38,3.38,3.34,3.36,3.37,-0.01,-0.2967,38188.08,12824.135
600790.SH,20191210,3.37,3.38,3.35,3.37,3.37,0.0,0.0,38526.66,12972.209
600790.SH,20191209,3.36,3.38,3.33,3.37,3.36,0.01,0.2976,26538.3,8912.85
