ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002421.SZ,20200110,3.78,3.87,3.73,3.79,3.78,0.01,0.2646,350974.53,133490.663
002421.SZ,20200109,3.71,3.82,3.71,3.78,3.67,0.11,2.9973,289377.96,109042.742
002421.SZ,20200108,3.78,3.82,3.67,3.67,3.82,-0.15,-3.9267,346202.89,129448.002
002421.SZ,20200107,3.76,3.83,3.72,3.82,3.74,0.08,2.139,361607.55,136573.842
002421.SZ,20200106,3.72,3.79,3.69,3.74,3.77,-0.03,-0.7958,344647.76,129061.495
002421.SZ,20200103,3.69,3.86,3.66,3.77,3.69,0.08,2.168,390282.56,145784.182
002421.SZ,20200102,3.64,3.7,3.62,3.69,3.61,0.08,2.2161,259084.26,94990.057
002421.SZ,20191231,3.63,3.66,3.59,3.61,3.63,-0.02,-0.551,120345.08,43563.585
002421.SZ,20191230,3.58,3.63,3.48,3.63,3.61,0.02,0.554,210647.01,75219.853
002421.SZ,20191227,3.63,3.69,3.6,3.61,3.62,-0.01,-0.2762,206181.58,75028.916
002421.SZ,20191226,3.6,3.63,3.58,3.62,3.61,0.01,0.277,140830.36,50722.986
002421.SZ,20191225,3.59,3.66,3.58,3.61,3.6,0.01,0.2778,124189.36,44943.047
002421.SZ,20191224,3.59,3.61,3.55,3.6,3.56,0.04,1.1236,126294.73,45267.611
002421.SZ,20191223,3.64,3.69,3.55,3.56,3.67,-0.11,-2.9973,207516.37,75040.334
002421.SZ,20191220,3.77,3.79,3.66,3.67,3.75,-0.08,-2.1333,230039.0,85590.6
002421.SZ,20191219,3.69,3.78,3.68,3.75,3.7,0.05,1.3514,305675.46,114222.045
002421.SZ,20191218,3.7,3.74,3.67,3.7,3.7,0.0,0.0,268531.56,99479.431
002421.SZ,20191217,3.71,3.74,3.67,3.7,3.68,0.02,0.5435,328175.02,121557.394
002421.SZ,20191216,3.56,3.72,3.54,3.68,3.52,0.16,4.5455,376103.99,136702.189
002421.SZ,20191213,3.52,3.55,3.5,3.52,3.49,0.03,0.8596,122711.76,43138.952
002421.SZ,20191212,3.53,3.53,3.48,3.49,3.52,-0.03,-0.8523,133358.0,46687.319
002421.SZ,20191211,3.49,3.55,3.48,3.52,3.49,0.03,0.8596,183227.51,64369.126
002421.SZ,20191210,3.47,3.5,3.45,3.49,3.48,0.01,0.2874,117779.0,40902.782
002421.SZ,20191209,3.44,3.51,3.43,3.48,3.44,0.04,1.1628,155739.21,54123.176
002421.SZ,20191206,3.43,3.44,3.39,3.44,3.43,0.01,0.2915,95584.3,32665.582
002421.SZ,20191205,3.4,3.43,3.39,3.43,3.39,0.04,1.1799,92436.25,31592.307
002421.SZ,20191204,3.4,3.41,3.38,3.39,3.42,-0.03,-0.8772,76208.41,25868.454
002421.SZ,20191203,3.41,3.43,3.38,3.42,3.41,0.01,0.2933,71212.06,24235.652
002421.SZ,20191202,3.39,3.41,3.39,3.41,3.39,0.02,0.59,71505.0,24309.327
002421.SZ,20191129,3.36,3.4,3.35,3.39,3.36,0.03,0.8929,65551.21,22130.611
002421.SZ,20191128,3.37,3.42,3.35,3.36,3.39,-0.03,-0.885,64409.82,21789.437
002421.SZ,20191127,3.36,3.42,3.34,3.39,3.37,0.02,0.5935,99985.82,33772.007
002421.SZ,20191126,3.37,3.4,3.36,3.37,3.36,0.01,0.2976,86400.0,29128.195
002421.SZ,20191125,3.4,3.42,3.34,3.36,3.4,-0.04,-1.1765,133157.15,44844.071
002421.SZ,20191122,3.48,3.53,3.38,3.4,3.5,-0.1,-2.8571,240474.08,82690.055
002421.SZ,20191121,3.47,3.58,3.46,3.5,3.5,0.0,0.0,173484.2,60992.338
002421.SZ,20191120,3.57,3.57,3.48,3.5,3.56,-0.06,-1.6854,126385.0,44582.61
002421.SZ,20191119,3.48,3.57,3.47,3.56,3.49,0.07,2.0057,148652.7,52514.893
002421.SZ,20191118,3.48,3.5,3.42,3.49,3.47,0.02,0.5764,103276.5,35948.009
002421.SZ,20191115,3.51,3.53,3.46,3.47,3.51,-0.04,-1.1396,110110.0,38421.784
002421.SZ,20191114,3.47,3.53,3.45,3.51,3.45,0.06,1.7391,117840.1,41178.145
002421.SZ,20191113,3.46,3.49,3.44,3.45,3.49,-0.04,-1.1461,98053.84,33948.042
002421.SZ,20191112,3.47,3.49,3.41,3.49,3.46,0.03,0.8671,122386.18,42216.629
002421.SZ,20191111,3.55,3.56,3.45,3.46,3.56,-0.1,-2.809,182626.0,63772.328
002421.SZ,20191108,3.64,3.66,3.56,3.56,3.6,-0.04,-1.1111,180905.25,65102.184
002421.SZ,20191107,3.59,3.64,3.55,3.6,3.59,0.01,0.2786,209178.81,75323.179
002421.SZ,20191106,3.69,3.73,3.58,3.59,3.68,-0.09,-2.4457,306644.46,111684.986
002421.SZ,20191105,3.73,3.77,3.67,3.68,3.73,-0.05,-1.3405,270685.81,100714.118
002421.SZ,20191104,3.82,3.85,3.72,3.73,3.81,-0.08,-2.0997,310124.4,116978.823
002421.SZ,20191101,3.74,3.81,3.71,3.81,3.78,0.03,0.7937,400687.96,150838.443
002421.SZ,20191031,3.8,3.84,3.66,3.78,3.86,-0.08,-2.0725,541876.21,203493.392
002421.SZ,20191030,3.8,3.92,3.6,3.86,4.0,-0.14,-3.5,1063514.43,401899.112
002421.SZ,20191029,3.95,4.18,3.86,4.0,3.93,0.07,1.7812,1508849.93,605653.934
002421.SZ,20191028,3.7,3.93,3.66,3.93,3.57,0.36,10.084,737888.1,281879.244
002421.SZ,20191025,3.51,3.58,3.5,3.57,3.53,0.04,1.1331,96382.72,34069.258
002421.SZ,20191024,3.54,3.56,3.51,3.53,3.54,-0.01,-0.2825,82818.7,29242.13
002421.SZ,20191023,3.57,3.59,3.52,3.54,3.59,-0.05,-1.3928,117730.08,41753.864
002421.SZ,20191022,3.51,3.62,3.49,3.59,3.56,0.03,0.8427,133214.83,47595.352
002421.SZ,20191021,3.58,3.6,3.49,3.56,3.58,-0.02,-0.5587,120158.4,42617.612
002421.SZ,20191018,3.72,3.74,3.58,3.58,3.73,-0.15,-4.0214,198457.75,72250.437
002421.SZ,20191017,3.69,3.78,3.63,3.73,3.68,0.05,1.3587,185807.9,68855.124
002421.SZ,20191016,3.69,3.73,3.65,3.68,3.67,0.01,0.2725,160891.81,59362.997
002421.SZ,20191015,3.72,3.75,3.65,3.67,3.77,-0.1,-2.6525,223368.18,82428.161
002421.SZ,20191014,3.66,3.83,3.63,3.77,3.61,0.16,4.4321,417623.72,155967.825
002421.SZ,20191011,3.59,3.64,3.56,3.61,3.59,0.02,0.5571,150906.67,54459.348
002421.SZ,20191010,3.55,3.61,3.54,3.59,3.56,0.03,0.8427,120707.45,43194.488
002421.SZ,20191009,3.52,3.56,3.41,3.56,3.52,0.04,1.1364,154681.9,53712.663
002421.SZ,20191008,3.56,3.6,3.51,3.52,3.51,0.01,0.2849,113978.03,40516.84
002421.SZ,20190930,3.62,3.64,3.5,3.51,3.61,-0.1,-2.7701,97992.42,35017.37
002421.SZ,20190927,3.57,3.63,3.56,3.61,3.58,0.03,0.838,123787.37,44648.487
002421.SZ,20190926,3.79,3.79,3.55,3.58,3.76,-0.18,-4.7872,348851.93,126486.119
002421.SZ,20190925,3.78,3.84,3.75,3.76,3.8,-0.04,-1.0526,223811.0,84824.395
002421.SZ,20190924,3.8,3.85,3.76,3.8,3.81,-0.01,-0.2625,214263.92,81628.078
002421.SZ,20190923,3.86,3.87,3.75,3.81,3.88,-0.07,-1.8041,232575.94,88240.853
002421.SZ,20190920,3.89,3.97,3.83,3.88,3.87,0.01,0.2584,357248.86,139482.502
002421.SZ,20190919,3.93,3.95,3.74,3.87,3.92,-0.05,-1.2755,391707.74,150068.067
002421.SZ,20190918,4.01,4.05,3.9,3.92,3.99,-0.07,-1.7544,295709.26,117321.475
002421.SZ,20190917,4.1,4.1,3.96,3.99,4.12,-0.13,-3.1553,387326.08,155495.364
002421.SZ,20190916,4.06,4.17,4.02,4.12,4.05,0.07,1.7284,530415.91,217180.671
002421.SZ,20190912,4.02,4.07,3.98,4.05,4.04,0.01,0.2475,340123.99,136722.657
002421.SZ,20190911,3.99,4.14,3.97,4.04,3.98,0.06,1.5075,606184.81,245825.671
002421.SZ,20190910,4.07,4.09,3.96,3.98,4.04,-0.06,-1.4851,456958.68,182253.181
002421.SZ,20190909,3.96,4.04,3.9,4.04,3.91,0.13,3.3248,692578.35,276063.89
002421.SZ,20190906,3.84,4.04,3.84,3.91,3.82,0.09,2.356,634470.29,249765.675
002421.SZ,20190905,3.84,3.9,3.82,3.82,3.82,0.0,0.0,467685.98,180692.29
002421.SZ,20190904,3.8,3.87,3.75,3.82,3.78,0.04,1.0582,369230.93,140646.394
002421.SZ,20190903,3.82,3.83,3.74,3.78,3.81,-0.03,-0.7874,336195.09,126876.859
002421.SZ,20190902,3.69,3.82,3.68,3.81,3.69,0.12,3.252,317196.54,119439.445
002421.SZ,20190830,3.89,3.9,3.68,3.69,3.85,-0.16,-4.1558,489418.99,184484.543
002421.SZ,20190829,3.88,3.96,3.84,3.85,3.92,-0.07,-1.7857,508389.84,198219.423
002421.SZ,20190828,4.07,4.1,3.85,3.92,4.21,-0.29,-6.8884,1139790.8,451562.174
002421.SZ,20190827,3.86,4.26,3.82,4.21,3.87,0.34,8.7855,1641945.26,677052.613
002421.SZ,20190826,3.73,4.1,3.68,3.87,3.85,0.02,0.5195,718880.45,276398.976
