ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300244.SZ,20200110,23.96,24.23,23.62,23.9,23.98,-0.08,-0.3336,61503.76,147106.781
300244.SZ,20200109,23.58,24.26,23.32,23.98,23.38,0.6,2.5663,91843.06,219766.993
300244.SZ,20200108,23.11,23.95,23.02,23.38,23.21,0.17,0.7324,93945.64,220207.33
300244.SZ,20200107,23.0,23.33,22.94,23.21,23.16,0.05,0.2159,62144.89,143956.671
300244.SZ,20200106,22.11,23.44,22.03,23.16,22.31,0.85,3.81,115746.11,266381.205
300244.SZ,20200103,22.56,23.08,22.23,22.31,22.63,-0.32,-1.4141,71594.58,160969.658
300244.SZ,20200102,22.3,22.8,21.85,22.63,22.13,0.5,2.2594,98994.39,222149.994
300244.SZ,20191231,21.76,22.58,21.66,22.13,21.83,0.3,1.3743,101348.17,224080.297
300244.SZ,20191230,20.88,21.99,20.49,21.83,20.9,0.93,4.4498,108906.16,234029.349
300244.SZ,20191227,21.13,21.29,20.88,20.9,21.1,-0.2,-0.9479,41611.99,87572.262
300244.SZ,20191226,20.8,21.19,20.68,21.1,20.77,0.33,1.5888,45624.66,95820.208
300244.SZ,20191225,20.68,20.91,20.61,20.77,20.76,0.01,0.0482,43793.15,90827.656
300244.SZ,20191224,21.23,21.25,20.7,20.76,21.23,-0.47,-2.2138,88716.79,184932.862
300244.SZ,20191223,21.32,21.7,21.16,21.23,21.39,-0.16,-0.748,45860.17,98164.392
300244.SZ,20191220,22.02,22.15,21.39,21.39,22.04,-0.65,-2.9492,57173.46,123775.582
300244.SZ,20191219,22.26,22.28,21.78,22.04,22.2,-0.16,-0.7207,53655.73,117724.858
300244.SZ,20191218,22.33,22.35,22.07,22.2,22.3,-0.1,-0.4484,44831.93,99487.43
300244.SZ,20191217,22.3,22.39,21.98,22.3,22.24,0.06,0.2698,59587.21,132276.887
300244.SZ,20191216,22.07,22.27,21.72,22.24,21.91,0.33,1.5062,62504.84,137650.934
300244.SZ,20191213,22.02,22.3,21.63,21.91,21.97,-0.06,-0.2731,83823.95,183684.662
300244.SZ,20191212,21.81,22.18,21.61,21.97,21.83,0.14,0.6413,58961.97,129575.995
300244.SZ,20191211,21.17,21.96,21.05,21.83,21.08,0.75,3.5579,81175.57,176022.634
300244.SZ,20191210,20.98,21.12,20.73,21.08,21.11,-0.03,-0.1421,36690.17,76983.435
300244.SZ,20191209,21.34,21.62,20.91,21.11,21.4,-0.29,-1.3551,54844.22,115741.036
300244.SZ,20191206,21.23,21.44,21.1,21.4,21.26,0.14,0.6585,40937.64,87121.118
300244.SZ,20191205,20.94,21.36,20.9,21.26,20.9,0.36,1.7225,54166.8,114805.783
300244.SZ,20191204,20.85,21.12,20.61,20.9,20.98,-0.08,-0.3813,58054.67,121011.89
300244.SZ,20191203,21.1,21.15,20.6,20.98,21.13,-0.15,-0.7099,68804.08,143376.726
300244.SZ,20191202,21.75,21.78,21.0,21.13,21.78,-0.65,-2.9844,75022.85,160056.96
300244.SZ,20191129,21.95,22.08,21.51,21.78,21.97,-0.19,-0.8648,49440.6,107634.299
300244.SZ,20191128,22.18,22.43,21.83,21.97,22.3,-0.33,-1.4798,63804.43,140747.274
300244.SZ,20191127,22.42,22.69,22.03,22.3,22.33,-0.03,-0.1343,62545.01,139972.426
300244.SZ,20191126,22.95,23.2,22.23,22.33,23.1,-0.77,-3.3333,80191.9,180410.281
300244.SZ,20191125,23.54,23.58,22.9,23.1,23.58,-0.48,-2.0356,66119.62,153245.438
300244.SZ,20191122,24.39,24.73,23.32,23.58,24.4,-0.82,-3.3607,86287.51,205886.13
300244.SZ,20191121,24.44,24.67,24.02,24.4,24.46,-0.06,-0.2453,52708.45,128465.69
300244.SZ,20191120,24.46,24.96,24.15,24.46,24.47,-0.01,-0.0409,83154.31,203845.0
300244.SZ,20191119,23.8,24.55,23.59,24.47,23.74,0.73,3.075,88068.08,213773.075
300244.SZ,20191118,22.96,23.98,22.83,23.74,22.9,0.84,3.6681,65210.28,153346.019
300244.SZ,20191115,23.01,23.22,22.83,22.9,23.12,-0.22,-0.9516,43042.77,99030.861
300244.SZ,20191114,22.94,23.3,22.7,23.12,23.02,0.1,0.4344,60571.84,139639.15
300244.SZ,20191113,23.06,23.22,22.51,23.02,23.06,-0.04,-0.1735,68139.92,155778.621
300244.SZ,20191112,22.47,23.13,22.06,23.06,22.46,0.6,2.6714,70016.31,158849.933
300244.SZ,20191111,22.38,22.85,22.04,22.46,22.51,-0.05,-0.2221,58766.25,132324.635
300244.SZ,20191108,22.94,23.03,22.45,22.51,22.85,-0.34,-1.488,63353.37,143667.379
