ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
300335.SZ,20200110,5.97,5.98,5.89,5.93,5.96,-0.03,-0.5034,32392.39,19209.064
300335.SZ,20200109,5.95,5.98,5.93,5.96,5.9,0.06,1.0169,51174.53,30474.4
300335.SZ,20200108,5.97,6.0,5.87,5.9,5.99,-0.09,-1.5025,73881.0,43928.959
300335.SZ,20200107,5.96,6.0,5.93,5.99,5.96,0.03,0.5034,64177.14,38311.74
300335.SZ,20200106,5.86,5.98,5.83,5.96,5.9,0.06,1.0169,84956.98,50343.798
300335.SZ,20200103,5.91,5.98,5.87,5.9,5.9,0.0,0.0,41191.93,24342.648
300335.SZ,20200102,5.84,5.91,5.82,5.9,5.81,0.09,1.5491,74506.28,43763.07
300335.SZ,20191231,5.83,5.84,5.77,5.81,5.83,-0.02,-0.3431,39632.5,23008.262
300335.SZ,20191230,5.75,5.84,5.66,5.83,5.79,0.04,0.6908,53762.65,30970.65
300335.SZ,20191227,5.8,5.87,5.77,5.79,5.8,-0.01,-0.1724,67369.96,39268.569
300335.SZ,20191226,5.76,5.8,5.71,5.8,5.76,0.04,0.6944,47067.53,27068.594
300335.SZ,20191225,5.8,5.82,5.73,5.76,5.78,-0.02,-0.346,48045.53,27760.971
300335.SZ,20191224,5.76,5.81,5.71,5.78,5.74,0.04,0.6969,46714.79,26944.408
300335.SZ,20191223,5.88,5.92,5.73,5.74,5.93,-0.19,-3.204,84341.0,49099.008
300335.SZ,20191220,6.1,6.28,5.89,5.93,5.98,-0.05,-0.8361,160773.93,98105.62
300335.SZ,20191219,5.87,5.98,5.82,5.98,5.87,0.11,1.8739,86333.78,50997.253
300335.SZ,20191218,5.81,5.94,5.75,5.87,5.85,0.02,0.3419,112751.99,65873.294
300335.SZ,20191217,5.84,6.05,5.8,5.85,5.66,0.19,3.3569,209855.19,124300.357
300335.SZ,20191216,5.6,5.67,5.57,5.66,5.6,0.06,1.0714,48714.9,27389.915
300335.SZ,20191213,5.56,5.61,5.53,5.6,5.53,0.07,1.2658,36439.0,20306.516
300335.SZ,20191212,5.58,5.58,5.52,5.53,5.57,-0.04,-0.7181,15917.5,8836.944
300335.SZ,20191211,5.62,5.62,5.55,5.57,5.6,-0.03,-0.5357,17135.0,9563.017
300335.SZ,20191210,5.59,5.6,5.54,5.6,5.59,0.01,0.1789,16239.0,9047.489
