ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002243.SZ,20200110,15.07,15.21,14.93,15.05,15.01,0.04,0.2665,64408.65,97235.176
002243.SZ,20200109,14.96,15.07,14.9,15.01,14.75,0.26,1.7627,56250.04,84274.938
002243.SZ,20200108,15.36,15.36,14.75,14.75,15.35,-0.6,-3.9088,116176.74,174094.259
002243.SZ,20200107,15.2,15.48,15.15,15.35,15.27,0.08,0.5239,103130.82,158049.211
002243.SZ,20200106,15.49,15.49,15.21,15.27,15.36,-0.09,-0.5859,106269.51,162774.38
002243.SZ,20200103,15.2,15.58,15.13,15.36,15.25,0.11,0.7213,118654.85,182749.463
002243.SZ,20200102,15.24,15.37,15.06,15.25,15.0,0.25,1.6667,107898.98,164141.001
002243.SZ,20191231,14.91,15.56,14.91,15.0,15.0,0.0,0.0,87067.1,131842.489
002243.SZ,20191230,15.15,15.67,15.0,15.0,14.97,0.03,0.2004,128768.2,197897.006
002243.SZ,20191227,14.75,15.16,14.62,14.97,14.71,0.26,1.7675,99335.08,147723.544
002243.SZ,20191226,14.67,14.75,14.45,14.71,14.65,0.06,0.4096,54086.06,79052.327
002243.SZ,20191225,14.66,14.73,14.59,14.65,14.75,-0.1,-0.678,50416.77,73821.196
002243.SZ,20191224,14.6,14.78,14.51,14.75,14.6,0.15,1.0274,53443.85,78357.544
002243.SZ,20191223,15.29,15.48,14.47,14.6,15.58,-0.98,-6.2901,126807.98,189983.51
002243.SZ,20191220,14.94,16.16,14.94,15.58,14.79,0.79,5.3414,186976.02,292767.745
002243.SZ,20191219,14.82,14.89,14.6,14.79,14.8,-0.01,-0.0676,57782.3,85167.528
002243.SZ,20191218,14.64,15.04,14.64,14.8,14.78,0.02,0.1353,81924.73,121710.751
002243.SZ,20191217,14.49,15.2,14.29,14.78,14.51,0.27,1.8608,125870.43,186690.869
002243.SZ,20191216,14.6,14.65,14.38,14.51,14.42,0.09,0.6241,82847.83,120042.74
002243.SZ,20191213,14.03,14.53,14.03,14.42,13.95,0.47,3.3692,107807.49,154676.427
002243.SZ,20191212,14.16,14.16,13.95,13.95,14.09,-0.14,-0.9936,39016.34,54874.098
002243.SZ,20191211,14.05,14.15,14.02,14.09,14.06,0.03,0.2134,37735.87,53154.524
002243.SZ,20191210,14.13,14.14,13.93,14.06,14.15,-0.09,-0.636,46986.7,65904.79
002243.SZ,20191209,14.31,14.35,14.12,14.15,14.31,-0.16,-1.1181,48524.31,68807.143
002243.SZ,20191206,14.27,14.47,14.25,14.31,14.26,0.05,0.3506,49092.0,70397.501
002243.SZ,20191205,14.2,14.31,14.07,14.26,14.13,0.13,0.92,41975.47,59720.141
002243.SZ,20191204,14.0,14.18,13.91,14.13,14.08,0.05,0.3551,32131.0,45261.625
002243.SZ,20191203,14.03,14.11,13.86,14.08,14.24,-0.16,-1.1236,52306.9,73029.511
002243.SZ,20191202,14.43,14.63,14.21,14.24,14.64,-0.4,-2.7322,71863.97,102840.393
002243.SZ,20191129,14.02,14.96,13.95,14.64,13.9,0.74,5.3237,104305.72,151303.91
002243.SZ,20191128,14.02,14.19,13.88,13.9,14.14,-0.24,-1.6973,38680.0,54105.586
002243.SZ,20191127,13.87,14.35,13.78,14.14,13.8,0.34,2.4638,59496.13,84140.999
002243.SZ,20191126,14.0,14.11,13.8,13.8,14.05,-0.25,-1.7794,45199.8,62963.471
002243.SZ,20191125,14.18,14.34,14.02,14.05,14.3,-0.25,-1.7483,40299.68,56849.511
002243.SZ,20191122,14.51,14.75,14.15,14.3,14.56,-0.26,-1.7857,52220.08,75360.384
002243.SZ,20191121,14.43,14.62,14.4,14.56,14.52,0.04,0.2755,35735.59,51919.744
002243.SZ,20191120,14.6,14.85,14.5,14.52,14.82,-0.3,-2.0243,61183.63,89665.514
002243.SZ,20191119,14.32,14.91,14.26,14.82,14.32,0.5,3.4916,88241.12,129148.95
002243.SZ,20191118,14.13,14.42,14.06,14.32,14.13,0.19,1.3447,40312.86,57607.113
002243.SZ,20191115,14.38,14.38,14.1,14.13,14.25,-0.12,-0.8421,36522.87,51788.893
002243.SZ,20191114,14.15,14.34,14.07,14.25,14.11,0.14,0.9922,45528.06,64773.142
002243.SZ,20191113,14.34,14.35,14.05,14.11,14.31,-0.2,-1.3976,36147.86,51287.769
002243.SZ,20191112,14.13,14.38,13.85,14.31,14.11,0.2,1.4174,53105.23,75185.839
002243.SZ,20191111,14.49,14.49,13.76,14.11,14.62,-0.51,-3.4884,80298.68,113496.086
002243.SZ,20191108,14.54,14.64,14.36,14.62,14.44,0.18,1.2465,61644.04,89434.36
002243.SZ,20191107,14.2,14.49,14.1,14.44,14.36,0.08,0.5571,59155.9,84975.874
002243.SZ,20191106,14.88,14.95,14.26,14.36,14.76,-0.4,-2.71,89835.8,130736.009
002243.SZ,20191105,14.79,14.97,14.68,14.76,14.83,-0.07,-0.472,59168.91,87576.835
002243.SZ,20191104,14.99,15.11,14.74,14.83,14.93,-0.1,-0.6698,82283.68,122821.597
002243.SZ,20191101,14.8,14.97,14.55,14.93,14.79,0.14,0.9466,75546.46,112023.424
002243.SZ,20191031,15.05,15.4,14.72,14.79,15.05,-0.26,-1.7276,99793.02,150394.009
002243.SZ,20191030,15.42,15.5,15.02,15.05,15.67,-0.62,-3.9566,104537.56,159142.864
002243.SZ,20191029,16.35,16.43,15.66,15.67,16.43,-0.76,-4.6257,137396.28,219665.929
002243.SZ,20191028,16.1,16.7,15.96,16.43,16.28,0.15,0.9214,128517.0,210714.457
002243.SZ,20191025,16.7,17.14,16.15,16.28,16.88,-0.6,-3.5545,157838.88,260753.59
002243.SZ,20191024,16.87,17.68,16.48,16.88,17.15,-0.27,-1.5743,201158.41,345988.665
002243.SZ,20191023,16.15,17.74,16.04,17.15,16.16,0.99,6.1262,245064.71,421362.599
002243.SZ,20191022,15.99,16.46,15.33,16.16,16.94,-0.78,-4.6045,191403.24,305569.324
002243.SZ,20191018,17.1,17.46,16.08,16.94,16.83,0.11,0.6536,227575.62,384023.074
002243.SZ,20191017,16.97,17.49,16.76,16.83,16.8,0.03,0.1786,130793.81,223073.204
002243.SZ,20191016,17.77,17.77,16.66,16.8,17.84,-1.04,-5.8296,247368.75,424862.801
002243.SZ,20191015,16.51,17.84,16.29,17.84,16.22,1.62,9.9877,324288.89,555193.541
002243.SZ,20191014,15.98,16.68,15.58,16.22,15.72,0.5,3.1807,205692.94,330511.424
002243.SZ,20191011,15.08,16.01,15.08,15.72,15.09,0.63,4.175,209814.83,326356.262
002243.SZ,20191010,14.62,15.49,14.58,15.09,14.36,0.73,5.0836,126990.95,189901.792
002243.SZ,20191009,14.19,14.49,14.04,14.36,14.09,0.27,1.9163,43785.98,62656.859
002243.SZ,20191008,14.22,14.38,14.05,14.09,14.15,-0.06,-0.424,32725.02,46561.661
